author_repo,wf_contents,security_policy
torvalds/linux,,
Genymobile/scrcpy,,
netdata/netdata,Pull Request Labeler' 'active' '157542' 'Build' 'active' '491306' 'Docker' 'active' '673234' 'Checks' 'active' '697936' 'Tests' 'active' '698333' 'Review' 'active' '698408' 'Packages' 'active' '720859' 'Coverity Scan' 'active' '725153' 'Builder' 'active' '754810' 'Docs' 'active' '1330695' 'UI tests' 'active' '8374297' 'Dashboard Version PR' 'active' '8827650' 'Deploy preview' 'active' '9201883' 'Repository Packages' 'active' '11762545' 'macOS CI' 'active' '16668611' 'Trigger Netdata Learn documentation update' 'active' '20208100' 'Trigger Cloud Regression E2E Tests' 'active' '21395289' 'Release' 'active' '21465890' 'Add issues to Agent Board' 'active' '29070764' 'PackageCloud Cleanup' 'active' '29135838' 'CodeQL' 'active' '37246862,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'Latest  Yes' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Were extremely grateful for security researchers and users that report' 'vulnerabilities to Netdata Open Source Community All reports are thoroughly' 'investigated by a set of community volunteers' 'To make a report please send an email to sseeccuurriittyynneettddaattaacclloouudd with the' 'vulnerability details and the details expected for all Netdata bug reports' 'WWhheenn SShhoouulldd II RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You think you discovered a potential security vulnerability in Netdata' '     You are unsure how a vulnerability affects Netdata' '     You think you discovered a vulnerability in another project that Netdata' '      depends on eg python node etc' 'WWhheenn SShhoouulldd II NNOOTT RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You need help tuning Netdata for security' '     You need help applying security related updates' '     Your issue is not security related' 'SSeeccuurriittyy VVuullnneerraabbiilliittyy RReessppoonnssee' 'Each report is acknowledged and analyzed by Netdata Team members within ' 'working days This will set off a Security Release Process' 'Any vulnerability information shared with the Netdata Team stays within the' 'Netdata project and will not be disseminated to other projects unless it is' 'necessary to get the issue fixed' 'As the security issue moves from triage to identified fix to release planning' 'we will keep the reporter updated' 'PPuubblliicc DDiisscclloossuurree TTiimmiinngg' 'A public disclosure date is negotiated by the Netdata team and the bug' 'submitter We prefer to fully disclose the bug as soon as possible once a user' 'mitigation is available It is reasonable to delay disclosure when the bug or' 'the fix is not yet fully understood the solution is not welltested or for' 'vendor coordination The timeframe for disclosure is from immediate especially' 'if its already publicly known to a few weeks As a basic default we expect' 'report date to disclosure date to be on the order of  days The Netdata team' 'holds the final say when setting a disclosure date' 'SSeeccuurriittyy AAnnnnoouunncceemmeennttss' 'Every time a security issue is fixed in Netdata we immediately release a new' 'version of it So to get notified of all security incidents please subscribe' 'to our releases on github
git/git,CI' 'active' '911634' 'check-whitespace' 'active' '3232643' 'git-l10n' 'active' '13011788' 'C/C++ CI' 'active' '33122270,RReeppoorrttiinngg aa vvuullnneerraabbiilliittyy' 'Please send a detailed mail to gitsecuritygooglegroupscom to report' 'vulnerabilities in Git' 'Even when unsure whether the bug in question is an exploitable vulnerability' 'it is recommended to send the report to gitsecuritygooglegroupscom and' 'obviously not to discuss the issue anywhere else' 'Vulnerabilities are expected to be discussed oonnllyy on that list and not in' 'public until the official announcement on the Git mailing list on the release' 'date' 'Examples for details to include' '     Ideally a short description or a script to demonstrate an exploit' '     The affected platforms and scenarios the vulnerability might only affect' '      setups with casesensitive file systems for example' '     The name and affiliation of the security researchers who are involved in' '      the discovery if any' '     Whether the vulnerability has already been disclosed' '     How long an embargo would be required to be safe' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'There are no official Long Term Support versions in Git Instead the' 'maintenance track ie the versions based on the most recently published' 'feature release also known as  version sees occasional updates with bug' 'fixes' 'Fixes to vulnerabilities are made for the maintenance track for the latest' 'feature release and merged up to the indevelopment branches The Git project' 'makes no formal guarantee for any older maintenance tracks to receive updates' 'In practice though critical vulnerability fixes are applied not only to the' 'most recent track but to at least a couple more maintenance tracks' 'This is typically done by making the fix on the oldest and still relevant' 'maintenance track and merging it upwards to newer and newer maintenance' 'tracks' 'For example v was released to address a couple of CVEs and at the same' 'time v v v v v v v v' 'v and v were released
obsproject/obs-studio,BUILD' 'active' '583765' 'Clang Format Check' 'active' '991062' 'Generate Documentation' 'active' '2325818' 'Flatpak' 'active' '3932276' 'UI XML Validator' 'active' '12228630' 'Crowdin Sync: Import latest translations' 'active' '15634122' 'Crowdin Sync: Upload English strings' 'active' '15634123' 'Steam Upload' 'active' '24400498' 'Services Validator' 'active' '24503783,
ventoy/Ventoy,Ventoy CI' 'active' '2293999' 'Mirror GitHub to Gitee' 'active' '5312681,
php/php-src,Close old issues that need feedback' 'active' '15951102' 'Close stale feature requests' 'active' '31257343' 'Close stale PRs' 'active' '18956559' 'Pull Request Labeler' 'active' '27754877' 'New pull request notification' 'active' '18263266' 'Nightly' 'active' '23111900' 'Push' 'active' '20467711' 'Remove needs feedback label' 'active' '15951103,
wg/wrk,build' 'active' '5634941,To report a vulnerability via GitHub please create a draft security advisory' 'with the New draft security advisory button located in the AAddvviissoorriieess section' 'under the SSeeccuurriittyy tab of the appropriate repository' '  New draft security advisory' 'Alternatively you are welcome to email me directly and I will respond as' 'quickly as possible Thank you for your interest in the security of my open' 'source projects
FFmpeg/FFmpeg,,
bilibili/ijkplayer,,
curl/curl,Build on Ubuntu with default options' 'active' '193743' 'Fuzzer' 'active' '605135' 'macOS' 'active' '804123' 'CodeQL' 'active' '1692863' 'Hacktoberfest' 'active' '14628503' 'Markdown links' 'active' '16390219' 'Linux' 'active' '17017225' 'REUSE compliance' 'active' '26270060' 'Linux' 'active' '32345126' 'ngtcp2' 'active' '32412167' 'ngtcp2' 'active' '32600255' 'Linux' 'active' '34788117' 'proselint' 'active' '35082305' 'spell' 'active' '35115237' 'dist' 'active' '35145584' 'AppVeyor Status Report' 'active' '38015700' 'ngtcp2' 'active' '41753996,See SECURITYPROCESS for full details' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have found or just suspect a security problem somewhere in curl or' 'libcurl report it on HackerOne' 'We treat security issues with confidentiality until controlled and disclosed' 'responsibly
tmux/tmux,Lock Threads' 'active' '10238458,
ggreer/the_silver_searcher,,
coolsnowwolf/lede,OpenWrt-CI' 'active' '31608' '.github/workflows/build.yml' 'active' '27200637' '.github/workflows/manualBuild.yml' 'active' '27201175,
cfenollosa/os-tutorial,,
stedolan/jq,,
pjreddie/darknet,,
emscripten-core/emscripten,CI' 'active' '839876' 'Scorecards supply-chain security' 'active' '21823074,
