author_repo,wf_contents,security_policy
animate-css/animate.css,CodeQL' 'active' '12638082' 'pages-build-deployment' 'active' '17013141,this email animateeltonmesquitacom' 'Thanks for helping make our opensource projects safe for everyone we really' 'appreciate it
necolas/normalize.css,,
jgthms/bulma,End-to-end tests' 'active' '14752675' 'pages-build-deployment' 'active' '17170973,
ryanoasis/nerd-fonts,Create Casks PR' 'active' '43057539' 'Docker release' 'active' '8310783' 'Font-Patcher' 'active' '15980193' 'PackSVGs' 'active' '35257287' 'Update gh-pages' 'active' '37791882' 'Release' 'active' '16867082' 'pages-build-deployment' 'active' '17450214,
FreeCodeCampChina/freecodecamp.cn,,
houshanren/hangzhou_house_knowledge,,
bradtraversy/50projects50days,,
SwiftGGTeam/the-swift-programming-language-in-chinese,pages-build-deployment' 'active' '22439040,
tobiasahlin/SpinKit,,
dhg/Skeleton,,
adobe-fonts/source-code-pro,,
you-dont-need/You-Dont-Need-JavaScript,,
30-seconds/30-seconds-of-css,,
CodeByZach/pace,,
twbs/ratchet,,
chokcoco/iCSS,,
chriskempson/tomorrow-theme,,
philipwalton/solved-by-flexbox,,
gabrielecirulli/2048,,
tachyons-css/tachyons,,
picturepan2/spectre,,
h5bp/Effeckt.css,,
ConnorAtherton/loaders.css,,
connors/photon,,
StylishThemes/GitHub-Dark,CI' 'active' '216650' 'CI' 'active' '446267' 'regenerate' 'active' '1000429' 'pages-build-deployment' 'active' '16399228,
dunovank/jupyter-themes,,
fgnass/spin.js,,
mrmrs/colors,,
lipis/flag-icons,Test Flags' 'active' '28636434' 'Test Format' 'active' '28637285' 'pages-build-deployment' 'active' '16608891,
astrit/css.gg,,
HubSpot/offline,,
codeguy/php-the-right-way,pages-build-deployment' 'active' '17683838,
chokcoco/CSS-Inspiration,pages-build-deployment' 'active' '26872821,
horst3180/arc-theme,,
chinchang/hint.css,,
scaffold-eth/scaffold-eth,CodeQL' 'active' '41505810' 'Lint' 'active' '33754749' 'NodeJS with Webpack' 'active' '41505809,
IBM/plex,pages-build-deployment' 'active' '26850113,
barryclark/jekyll-now,,
primefaces/primeng,Comment By Label In Issues and PRs' 'active' '40093636' 'Issue Inactive Checker' 'active' '41762450' 'Issue Labeled' 'active' '41762451' 'Label To Issues and PRs' 'active' '40093637' 'Daily Build' 'active' '38074782' 'NodeJS CI' 'active' '38074783' 'Pr Checker' 'active' '41763158' 'Verify Linked Issue In PRs' 'active' '34737553' 'Stale Issues and PRs' 'active' '40093638,
cyanharlow/purecss-francine,,
thejsway/thejsway,deploy' 'active' '42605913' 'pages-build-deployment' 'active' '42606081,
jdan/98.css,Publish to NPM' 'active' '26584980' 'pages-build-deployment' 'active' '26615452,
kognise/water.css,,
dargullin/icheck,,
deeplearning-ai/machine-learning-yearning-cn,,
HubSpot/odometer,,
DataTables/DataTables,,
json-api/json-api,pages-build-deployment' 'active' '18489652,
lukehaas/css-loaders,,
olton/Metro-UI-CSS,,
HubSpot/vex,,
Compass/compass,,
juliocesarfort/public-pentesting-reports,,
ai/easings.net,CD' 'active' '2304307' 'CI' 'active' '2304308' 'pages-build-deployment' 'active' '18094529,
erikflowers/weather-icons,,
xtyxtyx/sorry,,
eastlakeside/interpy-zh,pages-build-deployment' 'active' '16588736,
tictail/bounce.js,,
adamschwartz/magic-of-css,pages-build-deployment' 'active' '20573374,
tabulapdf/tabula,,
