author_repo,wf_contents,security_policy
microsoft/PowerToys,Spell checking' 'active' '11262241' 'Submit Microsoft.PowerToys package to Windows Package Manager Community Repository' 'active' '25304868' 'Submit Microsoft.PowerToys package to Windows Store' 'active' '26761273' 'Spell checking' 'disabled_manually' '3385740,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and' 'many more' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
shadowsocks/shadowsocks-windows,Build' 'active' '4824536' 'Release' 'active' '4824537,
PowerShell/PowerShell,PowerShell Daily' 'active' '1356863' 'CodeQL' 'active' '3205631' 'Automatic Rebase' 'active' '11534384' 'PowerShell Experimental Features Json Update' 'active' '19164679' 'Backport PR to branch' 'active' '25088377' 'Check links for modified files' 'active' '25602642' 'PowerShell Daily Markdown Link Verification' 'active' '26302281' 'Create reminder' 'active' '26704401' 'Process reminders' 'active' '26704402,Security issues are treated very seriously and will by default takes' 'precedence over other considerations including usability performance etc' 'Best effort will be used to mitigate side effects of a security change but' 'PowerShell must be secure by default' 'RReeppoorrttiinngg aa sseeccuurriittyy vvuullnneerraabbiilliittyy' 'If you believe that there is a security vulnerability in PowerShell it mmuusstt be' 'reported using httpsakamssecureat to allow for Coordinated Vulnerability' 'Disclosure OOnnllyy file an issue if MSRC has confirmed filing an issue is' 'appropriate
2dust/v2rayN,,
dotnet/aspnetcore,Pull Request Labeler' 'active' '228265' 'AspNetCore-Runtime Code Sync' 'active' '561311' 'Backport PR to branch' 'active' '9216943' 'Codespaces Prebuilds' 'active' '19150178,SSuuppppoorrtteedd VVeerrssiioonnss' 'The NET Core and ASPNET Core support policy including supported versions can' 'be found at the NET Core Support Policy Page' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Security issues and bugs should be reported privately via email to the' 'Microsoft Security Response Center MSRC through httpsmsrcmicrosoftcom or' 'by emailing securemicrosoftcom You should receive a response within ' 'hours If for some reason you do not please follow up via email to ensure we' 'received your original message Further information including the MSRC PGP' 'key can be found in the MSRC Report an Issue FAQ' 'Reports via MSRC may qualify for the NET Core Bug Bounty Details of the NET' 'Core Bug Bounty including terms and conditions are at httpsakams' 'corebounty' 'Please do not open issues for anything you think might have a security' 'implication
files-community/Files,Contributor List' 'active' '18076335,
CodeHubApp/CodeHub,,
ShareX/ShareX,Close stale issues and PRs' 'active' '8860587' 'Build ShareX' 'active' '40676482' 'Build ShareX (PR)' 'active' '41718828,
Wox-launcher/Wox,,
dnSpy/dnSpy,GitHub CI' 'active' '206454' 'GitHub CI' 'active' '79904,
dotnet-architecture/eShopOnContainers,identity-api' 'active' '5160922' 'webspa' 'active' '5160923' 'basket-api' 'active' '5160924' 'webshoppingagg' 'active' '5160925' 'webmvc' 'active' '5160926' 'ordering-signalrhub' 'active' '5160927' 'ordering-backgroundtasks' 'active' '5160928' 'catalog-api' 'active' '5160929' 'payment-api' 'active' '5160930' 'webhooks-api' 'active' '5160931' 'mobileshoppingagg' 'active' '5160932' 'ordering-api' 'active' '5160933' 'webstatus' 'active' '5160934' 'webhooks-client' 'active' '5160935' 'Deploy basket-api' 'active' '8447604' 'Deploy catalog-api' 'active' '8447605' 'Deploy identity-api' 'active' '8447606' 'Deploy mobileshoppingagg' 'active' '8447607' 'Deploy ordering-api' 'active' '8447608' 'Deploy ordering-backgroundtasks' 'active' '8447609' 'Deploy ordering-signalrhub' 'active' '8447610' 'Deploy payment-api' 'active' '8447611' 'Deploy webhooks-api' 'active' '8447612' 'Deploy webmvc' 'active' '8447613' 'Deploy webshoppingagg' 'active' '8447614' 'Deploy webspa' 'active' '8447615' 'Deploy webstatus' 'active' '8447616,
mxgmn/WaveFunctionCollapse,,
