author_repo,wf_contents,security_policy
FelisCatus/SwitchyOmega,,
mojs/mojs,CI' 'active' '1959280' 'Publish package' 'active' '7134784,
jashkenas/coffeescript,Build and Test' 'active' '1384541' 'pages-build-deployment' 'active' '18123197,
dropbox/zxcvbn,,
codecombat/codecombat,Node.js CI' 'active' '9132214,
michaelvillar/dynamics.js,,
morrisjs/morris.js,,
ichord/At.js,,
danielgtaylor/aglio,,
Leonidas-from-XIV/node-xml2js,,
jariz/vibrant.js,,
sorich87/bootstrap-tour,,
nicolaskruchten/pivottable,,
yakyak/yakyak,,
JoelBesada/activate-power-mode,,
turbolinks/turbolinks-classic,,
stripe-archive/jquery.payment,,
github/hubot-scripts,,SSeeccuurriittyy' 'GitHub takes the security of our software products and services seriously' 'including all of the open source code repositories managed through our GitHub' 'organizations such as GitHub' 'Even though open source repositories are outside of the scope of our bug bounty' 'program and therefore not eligible for bounty rewards we will ensure that your' 'finding gets passed along to the appropriate maintainers for remediation' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If you believe you have found a security vulnerability in any GitHubowned' 'repository please report it to us through coordinated disclosure' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Instead please send an email to opensourcesecuritygithubcom' 'Please include as much of the information listed below as you can to help us' 'better understand and resolve the issue' '     The type of issue eg buffer overflow SQL injection or crosssite' '      scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPoolliiccyy' 'See GitHubs Safe Harbor Policy
taigaio/taiga-front,Lock down repository' 'active' '9154916,
jnordberg/wintersmith,,
basecamp/pow,,
adaltas/node-csv,Node.js' 'active' '15233177,
alexkirsz/dispatch-proxy,,
Pagedraw/pagedraw,,
dmauro/Keypress,,
docpad/docpad,,
leafo/sticky-kit,,
chaplinjs/chaplin,,
gss/engine,,
paradoxxxzero/butterfly,,
jianliaoim/talk-os,,
angular-ui/angular-google-maps,,
meltingice/psd.js,,
jakubroztocil/cloudtunes,,
bergie/hallo,,
dmotz/oriDomi,,
slackapi/hubot-slack,Hubot Slack Adapter CI Builds' 'active' '5326434' 'Close stale issues' 'active' '15816497' 'pages-build-deployment' 'active' '16648541,
js2coffee/js2coffee,,
soyjavi/QuoJS,,
shadowsocks/shadowsocks-gui,,
node-cache/node-cache,Node.js CI' 'active' '1480588,
michaelficarra/CoffeeScriptRedux,,
lynndylanhurley/ng-token-auth,,
HubSpot/BuckyClient,,
nathansearles/slidesjs,,
basecamp/local_time,,
sstephenson/eco,,
okTurtles/dnschain,,
atom/vim-mode,,
atmos/camo,,
AshesOfOwls/jquery.shapeshift,,
Pathgather/please-wait,,
hiddentao/squel,,
ExpediaGroup/cyclotron,,
sgentle/caniuse-cmd,,
kartograph/kartograph.js,,
Glavin001/atom-beautify,,
AriaMinaei/pretty-error,Node.js CI' 'active' '10254876,
jescalan/roots,,
t9md/atom-vim-mode-plus,,
