author_repo,wf_contents,security_policy
tgstation/tgstation,Mark stale issues and pull requests' 'active' '36502' 'Compile changelogs' 'active' '401031' 'Round ID Linker' 'active' '663699' 'Docker Build' 'active' '1649441' 'Update TGS DMAPI' 'active' '2593773' 'Generate documentation' 'active' '3278682' 'CI Suite' 'active' '3405023' 'GBP' 'active' '6155820' 'GBP Collection' 'active' '7247295' 'Check for merge conflicts' 'active' '8592067' 'PR emoji stripper' 'active' '12008883' 'PR title emoji' 'active' '12010097' 'Codeowner Reviews' 'active' '14651911' 'pages-build-deployment' 'active' '16407238' 'Autowiki' 'active' '18650154' 'Show Screenshot Test Results' 'active' '27953593' 'Test Merge Detector' 'active' '36926643' 'Remove guide comments' 'active' '38198325' 'Auto Changelog' 'active' '38728843' 'Test Alternate Versions' 'active' '40011221' 'Run Integration Tests' 'active' '40012832' '515 Compatibility Pass' 'active' '40524524' 'Rerun/Report Flaky Tests' 'active' '41828779,
Baystation12/Baystation12,Build Release' 'active' '224359' 'Run Tests' 'active' '3545321' 'Cancel' 'active' '3603667' 'Compile changelogs' 'active' '6960220' 'Make changelogs' 'active' '6960221' 'Generate Documentation' 'active' '17599689' 'Close stale issues and PRs' 'active' '18137099' 'Pull Request Labeler' 'active' '20892535' 'CodeQL' 'active' '33456524,SSuuppppoorrtteedd VVeerrssiioonnss' 'This repository is built and tested against BYOND version  at time of' 'writing If this version number is at odds with BYONDMAJORBYONDMINOR as' 'defined in githubworkflowstestyml the Actions configuration should be' 'considered authoritative and this document should be noted as out of date' 'Security vulnerabilities or exploits that apply to this version should be' 'reported so that they can be closed' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have been informed of or discovered a security vulnerability exploit or' 'other flaw please contact a developer to report it privately Public channels' 'on Discord or the forums should be avoided as the exploit may be taken from a' 'public post and used before it can be patched The best method of contacting a' 'developer is by pinging the dev role in the discords code channel informing' 'them there is a security issue you wish to report and they will open a discord' 'ticket to discuss the matter privately
ParadiseSS13/Paradise,Merge Conflict Detection' 'active' '825174' 'Render Nanomaps' 'active' '1872325' 'Generate Documentation' 'active' '2602164' 'Update TGS DMAPI' 'active' '3210263' 'CI' 'active' '3754859' 'pages-build-deployment' 'active' '16395944' 'Check for DMI5' 'active' '27031026,
vgstation-coders/vgstation13,CI' 'active' '4037916,
goonstation/goonstation,Update Changelog' 'active' '1025215' 'Label Merge Conflicts' 'active' '1490970' 'Close stale PRs' 'active' '1665948' 'Beepsky' 'active' '1694054' 'Post Labeled PRs to the Forum' 'active' '2342403' 'Automaton' 'active' '3256257' 'Size-Based Labeling' 'active' '7164362' 'Notify Workflow Failure' 'active' '13960016' 'merge_upstream' 'active' '20847578,
erbing/blog,,
BeeStation/BeeStation-Hornet,Handle stale PRs' 'active' '225741' 'Compile changelogs' 'active' '641726' 'Docker Image CI' 'active' '650177' 'Mark issues as stale' 'active' '657505' 'Mark pull requests as stale' 'active' '657525' 'Make changelogs' 'active' '1206132' 'Run tests' 'active' '3526816' 'Run tests' 'active' '5089133' 'Add Extra PR labels' 'active' '5097437' '515 Compatibility Pass' 'active' '40924415' 'Update TGS DMAPI' 'disabled_manually' '3097628' 'Rebuild TGUI' 'disabled_manually' '11178560,
discordia-space/CEV-Eris,Compile changelogs' 'active' '1207357' 'CI Suite' 'active' '9653330' 'Check for merge conflicts' 'active' '12402813' 'Generate documentation' 'active' '12402814' 'pages-build-deployment' 'active' '16455470' 'Make changelogs' 'active' '38174476' 'Show Screenshot Test Results' 'active' '38174477,
TauCetiStation/TauCetiClassic,CI Suite' 'active' '4061858' 'Check for merge conflicts' 'active' '9852145' 'Close stale issues and PRs' 'active' '9688323,
tgstation/TerraGov-Marine-Corps,Mark stale issues and pull requests' 'active' '361398' 'Check for merge conflicts' 'active' '1523333' 'Update TGS DMAPI' 'active' '3097595' 'Compile changelogs' 'active' '3309158' 'Generate documentation' 'active' '3309160' 'Round ID Linker' 'active' '3309161' 'CI Suite' 'active' '8460660' 'Automatic Approve Workflows' 'active' '9170897' 'pages-build-deployment' 'active' '16457608' 'Auto Changelog' 'active' '39777513' 'Remove guide comments' 'active' '39777514,
yogstation13/Yogstation,PR Labeler' 'active' '340002' 'Turdis' 'active' '874146' 'Compile changelogs' 'active' '1570490' 'Autodocs' 'active' '1979738' 'pages-build-deployment' 'active' '16439265' 'CI Suite' 'active' '29967721,SSuuppppoorrtteedd VVeerrssiioonnss' 'This repository is built and tested against BYOND version  at time of' 'writing If this version number is at odds with BYONDMAJORBYONDMINOR as' 'defined in dependenciessh in the repository root folder the Travis' 'configuration should be considered authoritative and this document should be' 'noted as out of date Security vulnerabilities or exploits that apply to this' 'version should be reported so that they can be closed' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have been informed of or discovered a security vulnerability exploit or' 'other flaw please contact a developer to report it privately Public channels' 'on Discord or the forums should be avoided as the exploit may be taken from a' 'public post and used before it can be patched
Aurorastation/Aurora.3,BYOND tests' 'active' '16302615' 'Maintenance' 'active' '6924407' 'VueUi' 'active' '16101197,
Skyrat-SS13/Skyrat-tg,Auto Changelog' 'active' '41317612' 'automerge' 'disabled_manually' '15340666' 'Autowiki' 'active' '19390912' 'CI Suite' 'active' '3448624' 'Codeowner Reviews' 'active' '37572598' 'Compile changelogs' 'active' '1971291' 'Check for merge conflicts' 'active' '9324518' 'Docker Build' 'disabled_manually' '1962493' 'GBP' 'active' '7132412' 'GBP Collection' 'active' '8568301' 'Generate documentation' 'active' '3320388' '515 Compatibility Pass' 'active' '40533122' 'PR emoji stripper' 'active' '12744749' 'Rerun/Report Flaky Tests' 'active' '42493928' 'Round ID Linker' 'disabled_manually' '2620411' 'Run Integration Tests' 'active' '40530372' 'Show Screenshot Test Results' 'active' '28365689' 'Mark stale issues and pull requests' 'disabled_manually' '1956214' 'Run tests' 'active' '3278690' 'Test Merge Detector' 'active' '37572599' 'Update TGS DMAPI' 'disabled_manually' '2594132' 'pages-build-deployment' 'active' '16391798,
BeeStation/NSV13,Make changelogs' 'active' '1619427' 'Docker Image CI' 'active' '1619428' 'Compile changelogs' 'active' '4208461' 'Update TGS DMAPI' 'active' '4208462' 'Run tests' 'active' '6855277' 'Add Extra PR labels' 'active' '7639092' 'Rebuild TGUI' 'active' '16478415' 'Mark pull requests as stale' 'disabled_manually' '803257' 'Mark issues as stale' 'disabled_manually' '803266,
ChaoticOnyx/OnyxBay,Additional Checks' 'active' '12422091' 'Create Changelog' 'active' '14046715' 'Check Changelog' 'active' '9263711' 'Check Merge Conflicts' 'active' '39226864' 'Labels: PR' 'active' '39226865' 'Linters' 'active' '9371667,
goonstation/goonstation-2016,,
Citadel-Station-13/Citadel-Station-13,Compile changelogs' 'active' '964572' 'Round ID Linker' 'active' '2946919' 'Update TGS DMAPI' 'active' '3246591' 'CI Suite' 'active' '4568053' 'Generate documentation' 'active' '5136307,
FTL13/FTL13,,
