author_repo,wf_contents,security_policy
elixir-lang/elixir,CI' 'active' '1692087' 'Release' 'active' '17112918' 'Notify' 'active' '17123326' 'repo.hex.pm' 'active' '40242638,SSuuppppoorrtteedd vveerrssiioonnss' 'Elixir applies bug fixes only to the latest minor branch Security patches are' 'available for the last  minor branches' 'EElliixxiirr vveerrssiioonn SSuuppppoorrtt' '           Development' '           Bug fixes and security patches' '           Security patches only' '           Security patches only' '           Security patches only' '           Security patches only' 'AAnnnnoouunncceemmeennttss' 'New releases are announced in the readonly announcements mailing list You can' 'subscribe by sending an email to elixirlangannsubscribegooglegroupscom and' 'replying to the confirmation email' 'Security notifications will be tagged with security' 'RReeppoorrttiinngg aa vvuullnneerraabbiilliittyy' 'Please disclose security vulnerabilities privately at elixir' 'securitygooglegroupscom
phoenixframework/phoenix,CI' 'active' '200932' 'CI' 'active' '809594,
plausible/analytics,Build Private Images' 'active' '33938750' 'Build Public Images' 'active' '34183563' 'Build to staging' 'active' '33651244' 'Elixir CI' 'active' '4573295' 'My build' 'active' '35456066' 'NPM CI' 'active' '14060272' 'Publish Elixir documentation' 'active' '34988166' 'Tracker CI' 'active' '31518311' 'pages-build-deployment' 'active' '34989212,SSuuppppoorrtteedd VVeerrssiioonnss' 'We only add security updates to the latest MAJORMINOR version of the project' 'No security updates are backported to previous versions If you want be up to' 'date on security patches make sure your Plausible image is up to date with' 'plausibleanalyticslatest' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If youve found a security vulnerability with the Plausible codebase you can' 'disclose it responsibly by sending a summary to securityplausibleio We will' 'review the potential threat and fix it as fast as we can' 'While we do not have a bounty program in place yet we are incredibly thankful' 'for people who take the time to share their findings with us Whether its a' 'tiny bug that youve found or a security vulnerability all reports help us to' 'continuously improve Plausible for everyone Thank you
h4cc/awesome-elixir,,
lk-geimfari/awesomo,,
elixir-ecto/ecto,CI' 'active' '199025' 'CI' 'active' '71338,
supabase/realtime,Mirror Image' 'active' '36207174' 'MT Deploy Production' 'active' '39648701' 'MT Staging Formatting Checks' 'active' '40067155' 'MT Staging Formatting Checks' 'active' '40067541' 'MT Supabench' 'active' '40068708' 'MT Deploy Staging' 'active' '40068711' 'MT Production Formatting Checks' 'active' '40097144' 'Build PR Image' 'active' '41968490,
papercups-io/papercups,Papercups' 'active' '3366274' 'Release' 'active' '6388937' 'reviewdog' 'active' '6886695,
phoenixframework/phoenix_live_view,CI' 'active' '200803' 'CI' 'active' '7013,
rrrene/credo,Compatibility: Elixir' 'active' '410999' 'Compatibility: Phoenix' 'active' '411000' 'CI Tests' 'active' '568417' 'Reproducing Test-Case Detector (experimental)' 'active' '570065' 'Compatibility: Canary Smoke Tests' 'active' '4072542,
