author_repo,wf_contents,security_policy
ripienaar/free-for-dev,,
google/styleguide,pages-build-deployment' 'active' '17821634,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
PKUFlyingPig/cs-self-learning,ci' 'active' '14424464' 'pages-build-deployment' 'active' '16401883,
facebookresearch/fastText,pages-build-deployment' 'active' '20470888,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
Polymer/polymer,,
ColorlibHQ/gentelella,pages-build-deployment' 'active' '33697339,
WeNeedHome/SummaryOfLoanSuspension,auto-generator' 'active' '30522399,
docker/awesome-compose,CodeQL' 'active' '7987213,
TeamStuQ/skill-map,,
google/web-starter-kit,,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
nndl/nndl.github.io,pages-build-deployment' 'active' '25489924,
twitter/twemoji,pages-build-deployment' 'active' '21602517,
madrobby/zepto,,
emilwallner/Screenshot-to-code,,
tc39/ecma262,ecma-262' 'active' '4562015' 'ecma-262 deploy' 'active' '10768650' 'enforce format' 'active' '15089134' 'esmeta typecheck' 'active' '36642041' 'ecma-262' 'active' '30666822' 'Build Preview' 'active' '10541929' 'Upload Preview' 'active' '10541928' 'ecma-262-biblio' 'active' '21004834' 'Require “Allow Edits”' 'active' '2430438' 'pages-build-deployment' 'active' '16414622,
froala/design-blocks,,
gnab/remark,,
leemunroe/responsive-html-email-template,,
f/awesome-chatgpt-prompts,CSV Linter and Trailing Whitespaces' 'active' '43419593' 'pages-build-deployment' 'active' '42763779,
github/opensource.guide,Test and build on push' 'active' '147199' 'CodeQL' 'active' '1706405' 'CI' 'active' '1135458' 'Node.js CI' 'active' '8125377' 'Mark stale PRs' 'active' '13011349' 'GitHub Actions CI' 'active' '64730' 'pages-build-deployment' 'active' '16700509,SSeeccuurriittyy' 'GitHub takes the security of our software products and services seriously' 'including all of the open source code repositories managed through our GitHub' 'organizations such as GitHub' 'Even though open source repositories are outside of the scope of our bug bounty' 'program and therefore not eligible for bounty rewards we will ensure that your' 'finding gets passed along to the appropriate maintainers for remediation' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If you believe you have found a security vulnerability in any GitHubowned' 'repository please report it to us through coordinated disclosure' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Instead please send an email to opensourcesecuritygithubcom' 'Please include as much of the information listed below as you can to help us' 'better understand and resolve the issue' '     The type of issue eg buffer overflow SQL injection or crosssite' '      scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPoolliiccyy' 'See GitHubs Safe Harbor Policy
phil-opp/blog_os,Build Site' 'active' '171074' 'Build code on schedule' 'active' '2216887' 'Test Suite' 'active' '5640113' 'Code' 'active' '6560279' 'CI' 'active' '7519242' 'Blog' 'active' '14279476' 'Check Links' 'active' '36418083' 'Build Code' 'disabled_manually' '152586,
getpelican/pelican,build' 'active' '1240950,
keen/dashboards,,
kmario23/deep-learning-drizzle,,
metafizzy/isotope,,
electron/electron-api-demos,Generate Sentinel Report' 'active' '698758,
milligram/milligram,,
rigtorp/awesome-modern-cpp,pages-build-deployment' 'active' '38048695,
