author_repo,wf_contents,security_policy
koalaman/shellcheck,Build ShellCheck' 'active' '5815765,
jgm/pandoc,CI tests' 'active' '192239' 'benchmarks' 'active' '35953940' 'CI tests' 'active' '30815' 'commit-validation' 'active' '1383028' 'Format validation' 'active' '3306469' 'Lint' 'active' '3310489' 'Nightly' 'active' '11426' 'Release candidate' 'active' '53868,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the most recent version of pandoc is supported with security updates' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability email the maintainer jgmberkeleyedu But first' 'please read the section of the manual entitled A note on security which' 'describes some security guarantees pandoc does NOT make
PostgREST/postgrest,CI' 'active' '11704065' 'Loadtest' 'active' '15616253' 'Upload Reports' 'active' '15616941,
github/semantic,' 'active' '152459' 'Bazel CI' 'active' '1827454' 'Haskell CI' 'active' '25637,SSeeccuurriittyy' 'GitHub takes the security of our software products and services seriously' 'including all of the open source code repositories managed through our GitHub' 'organizations such as GitHub' 'Even though open source repositories are outside of the scope of our bug bounty' 'program and therefore not eligible for bounty rewards we will ensure that your' 'finding gets passed along to the appropriate maintainers for remediation' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If you believe you have found a security vulnerability in any GitHubowned' 'repository please report it to us through coordinated disclosure' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Instead please send an email to opensourcesecuritygithubcom' 'Please include as much of the information listed below as you can to help us' 'better understand and resolve the issue' '     The type of issue eg buffer overflow SQL injection or crosssite' '      scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPoolliiccyy' 'See GitHubs Safe Harbor Policy
hadolint/hadolint,Markdown Lint' 'active' '3736717' 'Haskell Lint' 'active' '3736718' 'Haskell Tests' 'active' '3736719' 'Release' 'active' '3792678' 'Build With Nix' 'active' '22664066' 'Third Party Notices Update' 'disabled_manually' '8766641,
purescript/purescript,CI' 'active' '4636248,
elm/compiler,Set Issue Expectations' 'active' '555957' '.github/workflows/set-pull-expectations.yml' 'active' '511458,
unisonweb/unison,CI' 'active' '1382967' 'pre-release' 'active' '9439264' 'release' 'active' '9904287' 'Haddocks' 'active' '14611928' 'pages-build-deployment' 'active' '16388897,
carp-lang/Carp,Windows CI' 'active' '998377' 'MacOS CI' 'active' '1273169' 'Linux CI' 'active' '3444340' 'Nixpkgs CI' 'active' '3701675' 'Create Release' 'active' '13284961' 'pages-build-deployment' 'active' '16613122,
facebook/Haxl,Testing' 'active' '4325544,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
system-f/fp-course,,
commercialhaskell/stack,Unit tests' 'active' '1636558' 'Integration tests' 'active' '1643277' 'Unit tests' 'active' '9708927' 'ARM64 Release' 'active' '9712982' 'Toxicity check' 'active' '11428031' 'yamllint' 'active' '31295550' 'hlint' 'active' '31295551' 'Linting' 'active' '31380725' 'Pedantic' 'active' '31521794' 'stan' 'disabled_manually' '31557894,
digitallyinduced/ihp,Tests' 'active' '1457192' 'Binary Build' 'active' '1508261' 'Check PR compiles without errors' 'active' '3659334' 'Build IHP Documentation and API Reference' 'active' '14683376' 'Build ihp-new Package' 'active' '14684235' 'Check JavaScript' 'active' '16731319,
facebook/duckling,CI' 'active' '3936009,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
input-output-hk/cardano-sl,,
idris-lang/Idris-dev,,
sdiehl/write-you-a-haskell,,
