author_repo,wf_contents,security_policy
MisterBooo/LeetCodeAnimation,,
macrozheng/mall,,
ReactiveX/RxJava,Validate Gradle Wrapper' 'active' '395010' 'Branch' 'active' '3741588' 'JDK 11' 'active' '5435035' 'Pull Request' 'active' '3742203' 'Release' 'active' '3742591' 'Snapshot' 'active' '3742592' 'pages-build-deployment' 'active' '18602033,
PhilJay/MPAndroidChart,,
airbnb/lottie-android,Validate' 'active' '2349844,Do not open issues or pull requests  this makes the problem immediately' 'visible to everyone including malicious actors Please report potential' 'security issues in this project through the Airbnb Bug Bounty program' 'httpshackeronecomairbnb' 'Airbnbs team will triage and address all valid issues You may be eligible for' 'a bounty if the report is valid under our program
bumptech/glide,Android CI' 'active' '3799052' 'Validate Gradle Wrapper' 'active' '421259' 'pages-build-deployment' 'active' '19472248,
skylot/jadx,Validate Gradle Wrapper' 'active' '397003' 'CodeQL' 'active' '2892302' 'Build Artifacts' 'active' '26773545' 'Build Test' 'active' '27032656,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security issue please email skylotgmailcom with a description of' 'the issue the steps you took to create the issue affected versions and if' 'known mitigations for the issue We will check and respond within  working' 'days If the issue is confirmed as a vulnerability we will apply required' 'mitigations at the next release This project follows a  day disclosure' 'timeline
zxing/zxing,CodeQL' 'active' '3696782' 'pages-build-deployment' 'active' '17415851' 'Test Java 8' ' Android' 'active' '20862546' 'Test Java 17' 'active' '20920166,
netty/netty,CodeQL' 'active' '3029623' 'Build project' 'active' '4436972' 'Deploy project' 'active' '4448228' 'Build PR' 'active' '4451519' 'PR Reports' 'active' '5645653' 'Release' 'active' '5751804' 'Release 5.0' 'active' '21630956,If you think the bug you found is likely to make Nettybased applications' 'vulnerable to an attack please do not use our public issue tracker but report' 'it to the dedicated private Google Group by sending an email to netty' 'securitygooglegroupscom
dbeaver/dbeaver,Maven Build Verify' 'active' '655787' 'CodeQL' 'active' '2811781' 'Commit Message Validation' 'active' '15877124' 'Check Commit Message' 'active' '15888299,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security issues to techsupportdbeavercom
xkcoding/spring-boot-demo,GitHub CI' 'active' '177369' '自动化编译检查' 'active' '32578523' '自动化编译检查' 'disabled_manually' '18707,
apolloconfig/apollo,build' 'active' '941632' 'CLA Assistant' 'active' '9071356' 'license' 'active' '9159516' 'pages-build-deployment' 'active' '16543655' 'Google Java Format' 'active' '17587186' 'Publish Docker Image' 'active' '43923827,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have apprehensions regarding Apollos security or you discover' 'vulnerability or potential threat dont hesitate to get in touch with us by' 'dropping a mail at apolloconfiggooglegroupscom' 'In the mail specify the description of the issue or potential threat You are' 'also urged to recommend the way to reproduce and replicate the issue The' 'Apollo community will get back to you after assessing and analysing the' 'findings' 'PLEASE PAY ATTENTION to report the security issue on the security email before' 'disclosing it on public domain
JakeWharton/butterknife,,
SeleniumHQ/selenium,Lock Issues' 'active' '12852608' 'Label Commenter' 'active' '14326724' 'Close stale issues' 'active' '14327670' 'pages-build-deployment' 'active' '16475028' 'Should workflow run?' 'active' '20968500' 'CI - Java' 'active' '21037163' 'CI - Python' 'active' '21040357' 'CI - JavaScript' 'active' '21041075' 'CI - Ruby' 'active' '21041076' 'build-selenium-manager' 'active' '37113045' 'Nightly' 'active' '41547632' 'CI - .NET' 'active' '41822278,At the Selenium project we take security seriously Whether it is the code we' 'write or the dependencies we use security is always extremely important' 'Please do not open an issue or pull request as this makes the problem' 'immediately visible to everyone including malicious actors' 'Security issues in this project can be safely reported via the the following' 'address' 'securityseleniumhqorg' 'In the report please provide a concise reproducible test case and describe' 'what results you are seeing and what results you expect' 'A member of the Selenium project will be notified and will begin the triage' 'process
lenve/vhr,,
proxyee-down-org/proxyee-down,,
alibaba/nacos,Java CI' 'active' '3235340' 'Continuous Integration' 'active' '10507346' 'Integration Test' 'active' '10509498,
wuyouzhuguli/SpringAll,,
greenrobot/EventBus,Java CI with Gradle' 'active' '10627196,
scwang90/SmartRefreshLayout,Android CI' 'active' '304499,
xuxueli/xxl-job,Java CI' 'active' '111326,
signalapp/Signal-Android,Android CI' 'active' '2033' 'Reproducible Build Check' 'active' '3024830,
Netflix/Hystrix,,
google/gson,Build' 'active' '13520568' 'CIFuzz' 'active' '15666991' 'CodeQL' 'active' '19541210' 'Check API compatibility' 'active' '32974503,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
DrKLO/Telegram,,
alibaba/Sentinel,Sentinel CI' 'active' '6515619' 'Java CI with Maven' 'active' '8291834,
google/ExoPlayer,pages-build-deployment' 'active' '20579646,To report a security issue please email androidmedia' 'supportsecuritygooglecom with a description of the issue the steps you took' 'to create the issue affected versions and if known mitigations for the' 'issue Our vulnerability management team will respond within  working days of' 'your email If the issue is confirmed as a vulnerability we will open a' 'Security Advisory This project follows a  day disclosure timeline
bazelbuild/bazel,release-helper' 'active' '19214943,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please use httpsgcovulnz to report security vulnerabilities' 'We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
ReactiveX/RxAndroid,build' 'active' '39998453' 'Sonatype: manual close+release' 'active' '40003233' 'release' 'active' '40000553,
didi/DoKit,,
elunez/eladmin,,
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,,
CarGuo/GSYVideoPlayer,CI' 'active' '11114370' 'Release' 'active' '21716361,
dianping/cat,Maven Build CI' 'active' '24544975' 'Build' 'active' '24546848' 'Maven Deploy' 'active' '27346100,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' '   ' '   ' '  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a new vulnerability you can send mail to techmeituancom and add' 'CAT before the subject of your email please ' 'exCAT Report a vulnerability about SQL Injection
Anuken/Mindustry,Java CI' 'active' '173590' 'Deployment' 'active' '3725881' 'Pull Request Tests' 'active' '3725882' 'Tests' 'active' '3725883,
winterbe/java8-tutorial,,
openzipkin/zipkin,test' 'active' '3768548' 'build_server' 'active' '3768549' 'readme_test' 'active' '3776414' 'create_release' 'active' '3776942' 'deploy' 'active' '3776943' 'pages-build-deployment' 'active' '16565790' 'helm_test' 'active' '18608176' 'helm_release' 'active' '18768379,
YunaiV/SpringBoot-Labs,,
LMAX-Exchange/disruptor,Validate Gradle Wrapper' 'active' '3439542' 'Generate Github Pages from ASCIIDoc' 'active' '3471862' 'Generate Documentation from ASCIIDoc' 'active' '3483690' 'Java CI with Gradle' 'active' '4584589' 'CodeQL' 'active' '4866363' 'JCStress Testing - commit-level quick check' 'active' '8356761' 'JCStress Testing - manual testing' 'active' '10564044' 'pages-build-deployment' 'active' '17109494,
iBotPeaches/Apktool,CI' 'active' '10345001' 'pages-build-deployment' 'active' '16522670' 'Analyze' 'active' '35340134,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you discover a security vulnerability within Apktool please send an email' 'to Connor Tumbleson at connortumblesonatgmailcom All security' 'vulnerabilities will be promptly addressed
JeffLi1993/springboot-learning-example,,
