author_repo,wf_contents,security_policy
JetBrains/kotlin,,Security updates are applied to the latest feature release x of the' 'compiler standard library and build plugins' 'A fix will be shipped with the next incremental xy or bug fix release' 'xyz' 'All fixes are also applied to the master branch to be included in all upcoming' 'releases' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Instructions for reporting a vulnerability can be found on the Security page
square/okhttp,Validate Gradle Wrapper' 'active' '526097' 'build' 'active' '1074167' 'pages-build-deployment' 'active' '19378818' 'build' 'active' '42741082,
android/architecture-samples,blueprints' 'active' '9765075' 'Duplicates main to old master branch' 'active' '2778875,
shadowsocks/shadowsocks-android,,
alibaba/p3c,,
bannedbook/fanqiang,pages-build-deployment' 'active' '16848046,
square/leakcanary,Greetings' 'active' '193289' 'Main' 'active' '4137423' 'Mark stale issues' 'active' '16821230' 'pages-build-deployment' 'active' '17345553,
android/architecture-components-samples,Duplicates main to old master branch' 'active' '2778938,
google/iosched,iosched' 'active' '9200172,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
tachiyomiorg/tachiyomi,Lock threads' 'active' '7769954' 'Issue moderator' 'active' '9615033' 'PR build check' 'active' '12219323' 'CI' 'active' '12219324,
afollestad/material-dialogs,Android CI' 'active' '169223' 'Android CI' 'active' '261328,
Kr328/ClashForAndroid,Build Unsigned' 'active' '9337155' 'CI' 'active' '13152767,
square/picasso,build' 'active' '18074831' 'pages-build-deployment' 'active' '18360613,
2dust/v2rayNG,,
google/flexbox-layout,Validate Gradle Wrapper' 'active' '396583,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
android/sunflower,Android CI' 'active' '1034993' 'Duplicates main to old master branch' 'active' '2778234,
nickbutcher/plaid,,
Kotlin/anko,,
android/compose-samples,JetNews' 'active' '2339570' 'Jetsnack' 'active' '2341216' 'Owl' 'active' '2341315' 'Rally' 'active' '2341316' 'Jetchat' 'active' '2341317' 'Crane' 'active' '2341318' 'Jetsurvey' 'active' '2341319' 'Jetcaster' 'active' '2341320' 'GitHub Release with APKs' 'active' '2674946' 'Duplicates main to old master branch' 'active' '2865564' 'Build and Test Sample' 'active' '26463427' 'Reply' 'active' '30171709' 'Build and Test a Compose snapshot' 'active' '36567890' 'JetLagged' 'active' '38312244' 'Update Versions / Dependencies' 'active' '40235170,
android/uamp,Android CI' 'active' '1032397' 'Duplicates main to old master branch' 'active' '2775852,
gedoor/legado,update fork' 'active' '2230786' 'Update Cronet' 'active' '21230038' 'Release Build' 'active' '12058748' 'closeStaleIssue' 'active' '21132004' 'Test Build' 'active' '12058749,
