author_repo,wf_contents,security_policy
AFNetworking/AFNetworking,AFNetworking CI' 'active' '891201,
SDWebImage/SDWebImage,SDWebImage CI' 'active' '14006624,
MustangYM/WeChatExtension-ForMac,,
BradLarson/GPUImage,,
SnapKit/Masonry,,
jdg/MBProgressHUD,,
realm/realm-swift,Issue Needs Attention' 'active' '16163460,
marcuswestin/WebViewJavascriptBridge,,
ibireme/YYKit,,
ccgus/fmdb,,
react-native-maps/react-native-maps,Pull Request' 'active' '22167290' 'Push' 'active' '29810786' 'Run stale action' 'active' '31222523,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report suspected security vulnerabilities to' 'rnmapscigmailcom If the issue is confirmed we will release a patch as soon' 'as possible depending on the complexity of the vulnerability
CoderMJLee/MJRefresh,,
eczarny/spectacle,pages-build-deployment' 'active' '18004860,
FLEXTool/FLEX,,
TKkk-iOSer/WeChatPlugin-MacOS,,
gnachman/iTerm2,,
CocoaLumberjack/CocoaLumberjack,Demo Builds' 'active' '1097202' 'Integration Tests' 'active' '1097203' 'Library Builds' 'active' '1097204' 'Unit Tests' 'active' '1097199' 'Validations' 'active' '1097200,
wix/react-native-navigation,documentation' 'active' '2469115' 'MOTITEST' 'active' '21964884' 'Process Label Action' 'active' '3264978' 'Enforce PR label' 'active' '1132592' 'pages-build-deployment' 'active' '16744582,
Instagram/IGListKit,IGListKit CI' 'active' '12254801' 'pages-build-deployment' 'active' '18201289,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
vicc/chameleon,,
SVProgressHUD/SVProgressHUD,,
robbiehanson/CocoaAsyncSocket,Mark stale issues and pull requests' 'active' '591424,
dzenbot/DZNEmptyDataSet,,
nicklockwood/iCarousel,,
bang590/JSPatch,,
Mantle/Mantle,Carthage Artifact Upload' 'active' '2645932' 'CI (pull-requests-only)' 'active' '2633445' 'cocoapods-publish' 'active' '450057' 'Mark stale issues and pull requests' 'active' '412152,
jessesquires/JSQMessagesViewController,,If you discover a security issue please bring it to our attention right away' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please DDOO NNOOTT file a public issue to report a security vulberability instead' 'send your report privately to oossssjjeesssseessqquuiirreessccoomm This will help ensure that' 'any vulnerabilities that are found can be disclosed responsibly to any affected' 'parties' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'Project versions that are currently being supported with security updates vary' 'per project Please see specific project repositories for details If nothing' 'is specified only the latest major versions are supported
magicalpanda/MagicalRecord,,
git-up/GitUp,,
RestKit/RestKit,,
WenchaoD/FSCalendar,,
forkingdog/UITableView-FDTemplateLayoutCell,,
alcatraz/Alcatraz,,
Hammerspoon/hammerspoon,CI' 'active' '3809862' 'Pull Request Label Checker' 'active' '6325515' 'New Tag' 'active' '6620042' 'Development Builds' 'active' '7781939' 'CI Results' 'active' '8404605,
kevinzhow/PNChart,,
keycastr/keycastr,,
facebookincubator/SocketRocket,,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
facebookarchive/Shimmer,,
sequelpro/sequelpro,,
mwaterfall/MWPhotoBrowser,,
ibireme/YYText,,
TTTAttributedLabel/TTTAttributedLabel,,
CodeTips/BaiduNetdiskPlugin-macOS,,
CoderMJLee/MJExtension,,
slackhq/SlackTextViewController,,
onevcat/VVDocumenter-Xcode,,
steipete/Aspects,,
sunnyyoung/WeChatTweak-macOS,pages-build-deployment' 'active' '17376988,
shadowsocks/shadowsocks-iOS,,
path/FastImageCache,,
draveness/analyze,,
NickYang29/aria2gui,,
banchichen/TZImagePickerController,,
nst/iOS-Runtime-Headers,,
Aufree/trip-to-iOS,,
Grouper/FlatUIKit,,
Flipboard/FLAnimatedImage,,
jigish/slate,,
PureLayout/PureLayout,,
facebookarchive/KVOController,,
