author_repo,wf_contents,security_policy
so-fancy/diff-so-fancy,ci' 'active' '9170486,
AlDanial/cloc,Run all tests' 'active' '422628,
brendangregg/FlameGraph,,
sitaramc/gitolite,,
major/MySQLTuner-perl,CI' 'active' '11014297' 'pages-build-deployment' 'active' '17809227,
sullo/nikto,,
Jack000/Expose,,
jlord/git-it-electron,,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please email jlordgithubcom with reports I am not a very active maintainer' 'these days but I will try to do what I can 
sarabander/sicp-pdf,,
x0rz/EQGRP,,
thoughtbot/rcm,pages-build-deployment' 'active' '25164036,
darold/pgbadger,,
openresty/nginx-tutorials,,
rsnapshot/rsnapshot,,
imapsync/imapsync,Docker Image CI' 'active' '4555001' 'pages-build-deployment' 'active' '17968867,
sqitchers/sqitch,🪳 Cockroach' 'active' '28532127' '📈 Coverage' 'active' '15236079' '☀️ Exasol' 'active' '14774380' '🔥 Firebird' 'active' '14554458' '🐬 MySQL' 'active' '14531179' '🔮 Oracle' 'active' '14994103' '💿 OS' 'active' '14292827' '🧅 Perl' 'active' '14282659' '🐘 Postgres' 'active' '14289588' '🚀 Release' 'active' '15258266' '❄️ Snowflake' 'active' '15018719' '💡 SQLite' 'active' '14511628' '🔺 Vertica' 'active' '14992753' '💫 Yugabyte' 'active' '27042434,
jimsalterjrs/sanoid,,
SpiderLabs/owasp-modsecurity-crs,Mark stale issues' 'active' '35091,SSuuppppoorrtteedd VVeerrssiioonnss' 'OWASP CRS has two types of releases Major releases    etc' 'and point releases   etc For more information see our wiki The' 'OWASP CRS officially supports the two point releases with security patching' 'preceding the current major release  We are happy to receive and merge PRs' 'that address security issues in older versions of the project but the team' 'itself may choose not to fix these Along those lines OWASP CRS team may not' 'issue security notifications for unsupported software' 'VVeerrssiioonn   SSuuppppoorrtteedd' 'xdev ' 'x     ' 'x     ' 'x     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We strive to make the OWASP ModSecurity CRS accessible to a wide audience of' 'beginner and experienced users We welcome bug reports false positive alert' 'reports evasions usability issues and suggestions for new detections Submit' 'these types of nonvulnerability related issues via Github Please include your' 'installed version and the relevant portions of your audit log False negative' 'or common bypasses should create an issue so they can be addressed' 'Do this before submitting a vulnerability using our email' '    Verify that you have the latest version of OWASP CRS' '    Validate which Paranoia Level this bypass applies to If it works in PL' '      please send us an email' '    If you detected anything that causes unexpected behavior of the engine' '      via manipulation of existing CRS provided rules please send it by email' 'Our email is securitycorerulesetorg You can send us encrypted email using' 'this key fingerprint  FE BA    EE ACA ABA E' 'We are happy to work with the community to provide CVE identifiers for any' 'discovered security issues if requested' 'If in doubt feel free to reach out to us
jfcoz/postgresqltuner,,
mojolicious/mojo,linux' 'active' '1212470' 'macos' 'active' '1212590' 'perltidy' 'active' '5384405' 'Rebuild Website' 'active' '4473464' 'windows' 'active' '1212543,
CNSRE/ABTestingGateway,,
YabataDesign/afterglow-theme,,
GuidoBartoli/sherloq,,
adrienverge/openfortivpn,Code Scanning - Action' 'active' '5918360' 'Codespell' 'active' '12304075' 'Synopsys' 'active' '6027705' 'Tests' 'active' '5918318,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn               SSuuppppoorrtteedd' 'latest stable release ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Send an email to securityopenfortivpnorg
