author_repo,wf_contents,security_policy
dotnet/core,No Response' 'active' '24570826' 'Lint Code Base' 'active' '21328542,SSuuppppoorrtteedd VVeerrssiioonnss' 'The NET and ASPNET Core support policy including supported versions can be' 'found at the NET Support Policy Page' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Security issues and bugs should be reported privately to the Microsoft Security' 'Response Center MSRC either by emailing securemicrosoftcom or via the' 'portal at httpsmsrcmicrosoftcom You should receive a response within ' 'hours If for some reason you do not please follow up via email to ensure we' 'received your original message Further information including the MSRC PGP' 'key can be found in the MSRC Report an Issue FAQ' 'Reports via MSRC may qualify for the NET Bug Bounty Details of the NET Bug' 'Bounty including terms and conditions are at httpsakamscorebounty' 'Please do not open issues for anything you think might have a security' 'implication
ScoopInstaller/Scoop,Scoop Core CI Tests' 'active' '17946233' 'Tests' 'active' '17740333' 'pages-build-deployment' 'active' '25315415,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report all security vulnerabilities to InstallerScoopgmailcom ' 'This email address is actively monitored and you should receive a response' 'within  hours
Sycnex/Windows10Debloater,,
PowerShellMafia/PowerSploit,,
dotnet/blazor,,SSuuppppoorrtteedd VVeerrssiioonnss' 'The NET Core and ASPNET Core support policy including supported versions can' 'be found at the NET Core Support Policy Page' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Security issues and bugs should be reported privately to the Microsoft Security' 'Response Center MSRC either by emailing securemicrosoftcom or via the' 'portal at httpsmsrcmicrosoftcom You should receive a response within ' 'hours If for some reason you do not please follow up via email to ensure we' 'received your original message Further information including the MSRC PGP' 'key can be found in the MSRC Report an Issue FAQ' 'Reports via MSRC may qualify for the NET Core Bug Bounty Details of the NET' 'Core Bug Bounty including terms and conditions are at httpsakams' 'corebounty' 'Please do not open issues for anything you think might have a security' 'implication
MicrosoftDocs/azure-docs,Mark stale pull requests' 'active' '11710886,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
BloodHoundAD/BloodHound,Build' 'active' '19698101' 'CLA Assistant' 'active' '33834036' 'Publish' 'active' '19699423,
actions/runner-images,Create GitHub release' 'active' '1754801' 'Create Pull Request' 'active' '1754802' 'Merge pull request' 'active' '1754803' 'Update release' 'active' '1754804' 'Linter' 'active' '2750838' 'CodeQL' 'active' '15626549' 'Create and upload a SBOM to release assets' 'active' '41963361' 'PowerShell Tests' 'active' '43552266,GitHub Security Bug Bounty' 'Thanks for helping make GitHub Actions safe for everyone
samratashok/nishang,,
redcanaryco/atomic-red-team,generate-docs' 'active' '23087663' 'validate-atomics' 'active' '23087664,
