author_repo,wf_contents,security_policy
vinta/awesome-python,,
ytdl-org/youtube-dl,CI' 'active' '4378722' 'CI' 'active' '10291188,
home-assistant/core,Mention CODEOWNERS of integrations when integration label is added to an PRs' 'active' '137411' 'CI' 'active' '1777664' 'Lock' 'active' '3472749' 'Stale' 'active' '3472817' 'Build images' 'active' '8538855' 'Build wheels' 'active' '8953128' 'Translations' 'active' '8986038' 'Codespaces Prebuilds' 'active' '35473342,' 'You can find the Home Assistant security policy guidelines herehttps' 'wwwhomeassistantiosecurity
keras-team/keras,Format the code' 'active' '22967700' 'Lint' 'active' '27017550,
ansible/ansible,,SSuuppppoorrtteedd VVeerrssiioonnss' 'Ansible applies security fixes according to the versionsback support policy' 'Please find more information in our docs' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We encourage responsible disclosure practices for security vulnerabilities' 'Please read our policies for reporting bugs if you want to report a security' 'issue that might affect Ansible
scikit-learn/scikit-learn,Twitter Push Notification' 'active' '22388' 'Assign' 'active' '456218' 'Unassign' 'active' '511466' 'Wheel builder' 'active' '1878380' 'Pull Request Labeler' 'active' '2233277' 'Pull Request Regex Title Labeler' 'active' '2233278' 'Check Manifest' 'active' '2470282' 'Reviewed' 'active' '2819947' 'Publish to Pypi' 'active' '3969801' 'Check Changelog' 'active' '5007091' 'Assign Milestone' 'active' '7598788' 'CPython Nightly' 'active' '12844727' 'Codespell' 'active' '13198580' 'Documentation builder' 'active' '13513672' 'Labels Blank issues' 'active' '16381740' 'Update tracking issue' 'active' '20966472' '.github/workflows/artifact-redirector.yml' 'active' '23067391' '.github/workflows/push-docs.yml' 'active' '25079556' 'Documentation builder' 'active' '25079557' 'Documentation push trigger' 'active' '27249033,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' '   ' '  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security vulnerabilities by email to securityscikitlearnorg' 'This email is an alias to a subset of the scikitlearn maintainers team' 'If the security vulnerability is accepted a patch will be crafted privately in' 'order to prepare a dedicated bugfix release as timely as possible depending on' 'the complexity of the fix' 'In addition to sending the report by email you can also report security' 'vulnerabilities to tidelift
soimort/you-get,develop' 'active' '3234358' 'pages-build-deployment' 'active' '24706353,
fighting41love/funNLP,,
minimaxir/big-list-of-naughty-strings,,
deepfakes/faceswap,ci/build' 'active' '28372071' 'pages-build-deployment' 'active' '17984213,
Textualize/rich,codespell' 'active' '10334017' 'issues' 'active' '12616467' 'lint_python' 'active' '10332602' 'issues' 'active' '41834610' 'Run pre-commit checks' 'active' '34004064' 'Test Rich module' 'active' '76505' 'README.md Changed' 'active' '8326982,To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure
commaai/openpilot,tests' 'active' '421101' 'prebuilt' 'active' '5140265' 'tools' 'active' '5900395' 'selfdrive' 'active' '5900396' 'release' 'active' '26079598' 'badges' 'active' '30765627' '.github/workflows/base.yaml' 'active' '32922737,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Suspected vulnerabilities can be reported to both adeebcommaai and' 'securitycommaai
yt-dlp/yt-dlp,Build' 'active' '3404366' 'Quick Test' 'active' '4770954' 'Core Tests' 'active' '5235551' 'Download Tests' 'active' '5235552,
d2l-ai/d2l-zh,,
isocpp/CppCoreGuidelines,build' 'active' '2816130,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report vulnerabilities if any to cppcgeditorsisocpporg
pandas-dev/pandas,Assign' 'active' '1865' 'Stale PRs' 'active' '2574104' 'Update pre-commit config' 'active' '3311077' 'Posix' 'active' '6645747' 'Python Dev' 'active' '8430619' 'sdist' 'active' '9482327' 'ASV Bot' 'active' '12839252' 'Code Checks' 'active' '17032044' 'Doc Build and Upload' 'active' '17032045' 'Windows-macOS' 'active' '21791580' 'Ubuntu' 'active' '21791581' '32 Bit Linux' 'active' '26071672' 'CodeQL' 'active' '31308357' 'Wheel builder' 'active' '33431716' 'Package Checks' 'active' '38131619' 'CI' 'disabled_manually' '5165' 'Cython 3' 'disabled_manually' '9168456' 'Python Dev with Cython' 'disabled_manually' '13792588' 'Python build with Cython' 'disabled_manually' '13792990' 'Doc Build and Upload' 'disabled_manually' '17032046' 'Data Manager' 'disabled_manually' '17037725' 'Data Manager' 'disabled_manually' '18909689' 'macOS' 'disabled_manually' '21734840' 'Ubuntu 32 bit' 'disabled_manually' '21742193' 'Windows and macOS' 'disabled_manually' '21745979' 'Windows 32 bit builds' 'disabled_manually' '21782683' '32 bit builds' 'disabled_manually' '21784866' 'CodeQL' 'disabled_manually' '29723110,tideliftcomsecurity and see the instructions there
faif/python-patterns,lint_python' 'active' '4639642,
gto76/python-cheatsheet,pages-build-deployment' 'active' '16414151,
testerSunshine/12306,,
psf/black,Lint' 'active' '27022' 'Test' 'active' '27023' 'Primer' 'active' '1357731' 'Documentation' 'active' '2271116' 'Fuzz' 'active' '2276450' 'Publish executables' 'active' '3323034' 'changelog' 'active' '7001487' 'Publish to PyPI' 'active' '7397940' 'docker' 'active' '8502704' 'test ipynb' 'active' '10986477' 'diff-shades' 'active' '16825786' 'diff-shades-comment' 'active' '17925882' 'CodeQL' 'active' '25400572,
certbot/certbot,.github/workflows/stale.yml' 'active' '40813960,
mingrammer/diagrams,CodeQL' 'active' '2160507' 'Run tests' 'active' '1485815' 'pages-build-deployment' 'active' '18421969,
sqlmapproject/sqlmap,.github/workflows/tests.yml' 'active' '13671660' 'pages-build-deployment' 'active' '17267969,
TencentARC/GFPGAN,No Response' 'active' '12293389' 'PyPI Publish' 'active' '12022106' 'PyLint' 'active' '9129181' 'release' 'active' '30136505,
ycm-core/YouCompleteMe,CI' 'active' '8338350' 'Lock Old Issues' 'active' '8737624' 'Update vim docs' 'active' '40320707,
donnemartin/data-science-ipython-notebooks,,
google/python-fire,Python Fire' 'active' '5225801' 'pages-build-deployment' 'active' '42921051,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
pypa/pipenv,CI' 'active' '920310' 'Upload Python Package' 'active' '1147406,
matterport/Mask_RCNN,,
OWASP/CheatSheetSeries,Build and deploy offline website' 'active' '397512' 'Identify old issues and PR' 'active' '408779' 'Markdown Link Check' 'active' '409880' 'Markdown Lint Check' 'active' '23190' 'Build website' 'active' '390191' 'pages-build-deployment' 'active' '16682403,
open-mmlab/mmdetection,build' 'active' '1709981' 'build_pat' 'active' '4157637' 'deploy' 'active' '2428568' 'lint' 'active' '15634208' 'Close stale issues and PRs' 'active' '35028013' 'test-mim' 'active' '28763476,
getredash/redash,,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please email securityredashio to report any security vulnerabilities We will' 'acknowledge receipt of your vulnerability and strive to send you regular' 'updates about our progress If youre curious about the status of your' 'disclosure please feel free to email us again If you want to encrypt your' 'disclosure email you can use this PGP key
numpy/numpy,Build_Test' 'active' '3467966' 'CircleCI artifact redirector' 'active' '1355765' 'Code Scanning - Action' 'active' '14994383' 'Test on Cygwin' 'active' '5574905' 'Build Base Docker Image' 'active' '8538859' 'Test Emscripten/Pyodide build' 'active' '29381267' 'Build Gitpod Docker image' 'active' '8538860' 'Pull Request Labeler' 'active' '2724398' 'Test Meson build (Linux)' 'active' '40402437' 'Test musllinux_x86_64' 'active' '43704816' 'Scorecards supply-chain security' 'active' '39655806' 'Wheel builder' 'active' '14074893,security and see the instructions there
