author_repo,wf_contents,security_policy
tidyverse/ggplot2,R-CMD-check' 'active' '770245' 'pkgdown' 'active' '770246' 'Commands' 'active' '770247' 'test-coverage' 'active' '1067505' 'pages-build-deployment' 'active' '21096973,
qinwf/awesome-R,,
rstudio/shiny,Package checks' 'active' '1224246' 'pages-build-deployment' 'active' '17719968,
tidyverse/dplyr,R-CMD-check' 'active' '11451' 'pkgdown' 'active' '682913' 'Commands' 'active' '1208712' 'test-coverage' 'active' '1198682' 'pages-build-deployment' 'active' '19496564,
swirldev/swirl_courses,,
rmcelreath/stat_rethinking_2022,,
johnmyleswhite/ML_for_Hackers,,
twitter/AnomalyDetection,,
Rdatatable/data.table,R-CMD-check' 'active' '12299486' 'test-coverage' 'active' '12298134,
briatte/awesome-network-analysis,,
rstudio/rmarkdown,R-CMD-check' 'active' '3784147' 'R-CMD-check-daily-pandoc' 'active' '9825656' 'Lock threads' 'active' '3355654' 'pkgdown' 'active' '4269899' 'Update CITATION.cff' 'active' '16755773' 'pages-build-deployment' 'active' '20275660,
plotly/plotly.R,R-CMD-check' 'active' '10255396,
r-lib/devtools,R-CMD-check' 'active' '970703' 'lint' 'active' '26763291' 'pkgdown' 'active' '970704' 'Commands' 'active' '979839' 'test-coverage' 'active' '970702' 'pages-build-deployment' 'active' '16716494,
yihui/knitr,Lock threads' 'active' '3666086' 'R-CMD-check' 'active' '3666548' 'Check knitr examples' 'active' '3695009,
thomasp85/patchwork,R-CMD-check' 'active' '149699' 'pkgdown' 'active' '1607147' 'Commands' 'active' '1607148' 'test-coverage' 'active' '1607149' 'pages-build-deployment' 'active' '32697549,
toddwschneider/nyc-taxi-data,,
ujjwalkarn/DataScienceR,,
szilard/benchm-ml,,
thomasp85/gganimate,R-CMD-check' 'active' '6817760' 'pkgdown' 'active' '6817761' 'Commands' 'active' '6817762' 'test-coverage' 'active' '6817763' 'pages-build-deployment' 'active' '32504805,
rmcelreath/rethinking,,
genomicsclass/labs,,
zonination/investing,,
tylermorganwall/rayshader,R-CMD-check' 'active' '41500278' 'pkgdown' 'active' '10567637' 'pages-build-deployment' 'active' '18965053,
karthik/wesanderson,,
satijalab/seurat,.github/workflows/R_CMD_check.yaml' 'active' '2321768,
rstudio/gt,Package checks' 'active' '1043623' 'pkgdown' 'active' '1043853' 'pages-build-deployment' 'active' '17859814,
hadley/stats337,,
IndrajeetPatil/ggstatsplot,test-coverage' 'active' '807445' 'lint' 'active' '4353869' 'pkgdown' 'active' '15209279' 'pages-build-deployment' 'active' '17473623' 'R-CMD-check' 'active' '37689284' 'check-readme' 'active' '37754335' 'R-CMD-check-hard' 'active' '38679313' 'HTML5 check' 'active' '39635446' 'check-link-rot' 'active' '40118314' 'pkgdown-no-suggests' 'active' '40956223' 'check-all-examples' 'active' '41090790' 'test-coverage-examples' 'active' '43009391' 'pre-commit' 'active' '43806878' 'Style' 'active' '43830710' 'check-test-warnings' 'active' '43850610' 'lint-changed-files' 'active' '43893664,
rich-iannone/DiagrammeR,R-CMD-check' 'active' '1223593' 'pkgdown' 'active' '1223594,
mlr-org/mlr,pages-build-deployment' 'active' '16410505,
rstudio/blogdown,R-CMD-check' 'active' '3783439' 'Build and deploy book' 'active' '5728655' 'pkgdown' 'active' '6142606,
dreamRs/esquisse,R-CMD-check' 'active' '2595233' 'pkgdown' 'active' '15609502' 'pages-build-deployment' 'active' '17009262,
google/CausalImpact,R-CMD-check' 'active' '6003812' 'test-coverage' 'active' '35708516,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
topepo/caret,R-CMD-check' 'active' '104717' 'test-coverage' 'active' '8974777,
fossasia/tofsims,,
rstudio/reticulate,R-CMD-check' 'active' '5197118' 'pkgdown' 'active' '17848596' 'pages-build-deployment' 'active' '17853097,
tidyverse/rvest,R-CMD-check' 'active' '1939573' 'pkgdown' 'active' '1939574' 'Commands' 'active' '1939575' 'test-coverage' 'active' '1939576' 'pages-build-deployment' 'active' '20896881,
bbc/bbplot,,
tidyverse/tidyverse,R-CMD-check' 'active' '8038824' 'pkgdown' 'active' '8039725' 'Commands' 'active' '8039726' 'test-coverage' 'active' '8038825' 'pages-build-deployment' 'active' '29343871,
ropensci/drake,check' 'active' '1325180' 'cover' 'active' '1325182' 'lint' 'active' '1325183,
tidymodels/broom,R-CMD-check-hard' 'active' '23577531' 'R-CMD-check' 'active' '1133024' 'Close stale issues and PRs' 'active' '10496174' 'Lock Threads' 'active' '6419882' 'pkgdown' 'active' '1133025' 'test-coverage' 'active' '1133026' 'pages-build-deployment' 'active' '17017831,
rstudio/plumber,Package checks' 'active' '1523810' 'Docker' 'active' '1851141' 'pages-build-deployment' 'active' '17639677,
rstudio/tensorflow,R-CMD-check' 'active' '13516147' 'Close 'awaiting response' labeled issues' 'active' '13516148' 'Remove 'awaiting response' label' 'active' '13516149' 'pages-build-deployment' 'active' '17439383,
Robinlovelace/geocompr,dev-pkgs' 'active' '1564646' '.github/workflows/qgis-ext.yaml' 'active' '4377745' 'Render' 'active' '12875845' 'pages-build-deployment' 'active' '16421417' 'Render-no-deploy' 'active' '16800913,
jrnold/ggthemes,R-CMD-check' 'active' '4547915,
griffithlab/rnaseq_tutorial,,
tidyverse/tidyr,R-CMD-check' 'active' '809049' 'R-CMD-check-dev-dplyr' 'active' '809290' 'R-CMD-Check' 'active' '16064626' 'pkgdown' 'active' '809050' 'Commands' 'active' '282465' 'test-coverage' 'active' '809051' 'pages-build-deployment' 'active' '16384277,
sfirke/janitor,R-CMD-check' 'active' '3762570' 'pkgdown' 'active' '1171131' 'test-coverage' 'active' '3762664' 'pages-build-deployment' 'active' '35084852,
EmilHvitfeldt/r-color-palettes,,
hadley/mastering-shiny,build-book' 'active' '415045,
daattali/advanced-shiny,,
tidyverse/purrr,R-CMD-check' 'active' '474399' 'pkgdown' 'active' '474400' 'Commands' 'active' '474401' 'test-coverage' 'active' '1041112' 'pages-build-deployment' 'active' '20956240,
juliasilge/tidytext,R-CMD-check-hard' 'active' '33272600' 'R-CMD-check' 'active' '681719' 'Lock Threads' 'active' '22404655' 'pkgdown' 'active' '930266' 'Commands' 'active' '710859' 'test-coverage' 'active' '2632275' 'pages-build-deployment' 'active' '17908449,
hrbrmstr/hrbrthemes,,
r-spatial/sf,tic-db' 'active' '2340761' 'tic' 'active' '2340762' 'Update tic' 'active' '2498618' 'pages-build-deployment' 'active' '16409628' 'test-coverage' 'active' '39985132,
paul-buerkner/brms,R-CMD-check' 'active' '21850706' 'test-coverage' 'active' '21850707,
slowkow/ggrepel,R-CMD-check' 'active' '4740654,
swirldev/swirl,,
r-lib/lintr,R-CMD-check-hard' 'active' '37903477' 'R-CMD-check' 'active' '3928973' 'check-all-examples' 'active' '41267865' 'check-link-rot' 'active' '40908470' 'R-CMD-check-hard' 'active' '37875135' 'HTML5 check' 'active' '33124601' 'lint-changed-files' 'active' '3962484' 'lint' 'active' '3928974' 'pkgdown' 'active' '26619803' 'test-coverage-examples' 'active' '42002081' 'test-coverage' 'active' '3928975' 'test-package' 'active' '26895332' 'pages-build-deployment' 'active' '26618201,
robjhyndman/forecast,R-CMD-check' 'active' '553989' 'pkgdown' 'active' '553990' 'Commands' 'active' '554090' 'pages-build-deployment' 'active' '17177782,
