author_repo,wf_contents,security_policy
denoland/deno,ci' 'active' '2970' 'build' 'active' '195725' 'wpt_epoch' 'active' '10388885' 'cargo_publish' 'active' '22956757' 'version_bump' 'active' '22956758' 'bench' 'active' '29140037' 'start_release' 'active' '31815653' 'post_publish' 'active' '40291978,Thank you for taking the time to investigate the security of Deno The security' 'of Deno is our topmost priority We appreciate investigative work into system' 'security by wellintentioned ethical security researchers If you discover a' 'vulnerability however small we would like to know about it to address it with' 'appropriate measures as quickly as possible This document outlines the method' 'we use to work with the security research community to address runtime' 'security' 'RReeppoorrttiinngg aa vvuullnneerraabbiilliittyy' 'Please email findings to securitydenocom We strive to resolve all problems' 'as quickly as possible and are more than happy to play an active role in' 'publication of writeups after the problem is resolved' 'Try to include as much information as possible in the initial email so we can' 'quickly address the issue' 'PPlleeaassee ddoo nnoott ooppeenn sseeccuurriittyy iissssuueess iinn tthhee ppuubblliicc iissssuuee ttrraacckkeerr' 'PPlleeaassee ddoo tthhee ffoolllloowwiinngg' '     Do not take advantage of the vulnerability or problem you have' '      discovered' '     Do not publish or reveal the problem until it has been resolved' '     Do not use attacks on physical security or applications of third parties' '     Do provide sufficient information to reproduce the problem so we will be' '      able to resolve it as quickly as possible Usually a list of steps to' '      follow and the vulnerable Deno version is enough More complex' '      vulnerabilities may require further explanation' 'OOuurr ccoommmmiittmmeenntt ttoo yyoouu' '     If you act in accordance with this policy we will not take legal action' '      against you in regard to your report' '     We will handle your report with strict confidentiality and not pass on' '      your personal details to third parties without your permission' 'SSeeccuurriittyy MMooddeell' 'The following paragraphs outline the rough security model for Deno The model' 'may change slightly over time but in general the model is as follows' '     All JavaScript run in Deno is considered untrusted so permissions are' '      thus never enforced in JavaScript' '     All JavaScript run in a single Deno process is considered to be part of' '      the same program and is not isolated from itself This means that Deno' '      does not guarantee that values set by one JS module will be inaccessible' '      to another or that a value set in one web worker can not be accessed by' '      another' '     All runtime IO is considered to be privileged and must always be guarded' '      by a runtime permission This includes filesystem access network access' '      etc' '     Users should not be able to selfescalate their permissions without' '      explicit consent' '     IO required to build an initial static module graph should always follow' '      the permissions of its parent If there is no parent all permissions are' '      granted As an example this means that the initial static module graph' '      that is constructed when doing deno run does not have any permission' '      restrictions However the module graph constructed as the result of' '      loading a web worker or dynamic import will be restricted to the' '      permissions of the caller the main worker most likely' '     We consider the V VM to be a secure sandbox
rust-lang/rust,CI' 'active' '817415,for all the repositories in the rruussttllaanngg and rruussttllaannggnnuurrsseerryy organizations' 'If you found a vulnerability please report it according to the security policy' 'on our website Thanks
tauri-apps/tauri,covector status' 'active' '1544457' 'updater test artifacts' 'active' '1660550' 'Audit' 'active' '1794123' 'test core' 'active' '1882451' 'test bundler' 'active' '1882515' 'version or publish' 'active' '1932994' 'Udeps' 'active' '5429696' 'benches' 'active' '9202340' 'core clippy and fmt check' 'active' '19848071' 'cli clippy and fmt check' 'active' '19848072' 'api and cli.js lint check' 'active' '19849703' 'test cli.js' 'active' '29067051' 'test cli.rs' 'active' '29067052' 'publish docker' 'active' '30429544' 'docker' 'active' '30434024' 'publish cli.js' 'active' '31554138' 'publish cli.rs' 'active' '31554139' 'version or publish' 'active' '34988329' 'Check generated files' 'active' '37674105' 'test mobile' 'active' '41050909' 'version or publish' 'active' '42614698,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' '    ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have found a potential security threat vulnerability or exploit in' 'Tauri or one of its upstream dependencies please DONT create a pullrequest' 'DONT file an issue on GitHub DONT mention it on Discord and DONT create a' 'forum thread' 'Please submit your report via the GitHub Private Vulnerability Disclosure' 'functionality' 'Find out more about the reporting process here' 'Our team will triage your report and keep you informed about the progress We' 'may ask questions or request further guidance on reproduction of the' 'vulnerability in the comments of the advisory which will be publicized' 'Additionally we may ask you to independently verify our patch which will be' 'available in the private advisory branch Please do not publish your' 'vulnerability during the process or before coordinated public disclosure from' 'our side We try to adhere to common standards of publication within Days of' 'disclosure' 'Depending on your decision to accept or deny credit for the vulnerability you' 'will be publicly attributed to the vulnerability and may be mentioned in our' 'announcements' 'At the current time we do not have the financial ability to reward bounties' 'but in extreme cases will at our discretion consider a reward
alacritty/alacritty,CI' 'active' '3431868' 'Release' 'active' '3431869,
sharkdp/bat,CICD' 'active' '1455323' 'Toxicity check' 'active' '8406321,
rustdesk/rustdesk,CI' 'active' '14108610' 'Flutter CI' 'active' '34634114' 'Flutter Nightly Build' 'active' '38004562' 'Publish to WinGet' 'active' '28251007,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn   SSuuppppoorrtteedd' 'x     ' 'x       ' 'Below  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Here we should write what to do in case of a security vulnerability
BurntSushi/ripgrep,ci' 'active' '179444' 'ci' 'active' '1463' 'release' 'active' '772960,
rust-lang/rustlings,.github/workflows/main.yml' 'active' '169831' 'rust-clippy analyze' 'active' '29731106' 'Rustlings Tests' 'active' '25987177,for all the repositories in the rruussttllaanngg and rruussttllaannggnnuurrsseerryy organizations' 'If you found a vulnerability please report it according to the security policy' 'on our website Thanks
meilisearch/meilisearch,Publish binaries to release' 'active' '324458' 'Publish deb pkg to GitHub release & APT repository & Homebrew' 'active' '999867' 'Rust' 'active' '10892490' 'Look for flaky tests' 'active' '10893908' 'Publish tagged images to Docker Hub' 'active' '27831245' 'Create issue to upgrade dependencies' 'active' '29643604' 'Update Meilisearch version in all Cargo.toml files' 'active' '34063131' 'Milestone's workflow' 'active' '34076143' 'Uffizzi - Build PR Image' 'active' '40246761' 'Update latest git tag' 'active' '41970285' 'PR status' 'disabled_manually' '14404231,Meilisearch takes the security of our software products and services seriously' 'If you believe you have found a security vulnerability in any Meilisearchowned' 'repository please report it to us as described below' 'SSuuppppoorrtteedd vveerrssiioonnss' 'As long as we are prev only the latest version of Meilisearch will be' 'supported with security updates' 'RReeppoorrttiinngg sseeccuurriittyy iissssuueess' ' Please do not report security vulnerabilities through public GitHub issues' '' 'Instead please kindly email us at securitymeilisearchcom' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'You will receive a response from us within  hours If the issue is confirmed' 'we will release a patch as soon as possible depending on complexity' 'PPrreeffeerrrreedd llaanngguuaaggeess' 'We prefer all communications to be in English
starship/starship,Main workflow' 'active' '9652' 'Installation' 'active' '6148095' 'Security audit' 'active' '8648419' 'Documentation Workflow' 'active' '17911992' '.github/workflows/formatter-workflow.yml' 'active' '17963515' 'Format + Docs Workflow' 'active' '18268813' 'Build Codesigned Starship Binary' 'active' '19403589' 'Apple Notarize Testing' 'active' '20768238' 'Crowdin Updates' 'active' '26070670' 'Release' 'active' '26784017,
