author_repo,wf_contents,security_policy
apache/spark,Close stale PRs' 'active' '36644' 'master' 'active' '164376' 'Report test results' 'active' '2195760' 'Build and test' 'active' '2232286' 'On pull requests' 'active' '3393847' 'Publish Snapshot' 'active' '4074239' 'Cancelling Duplicates' 'active' '4831855' 'Run benchmarks' 'active' '7455792' 'On pull request update' 'active' '7972473' 'Update build status workflow' 'active' '8236437' 'Build and test (ANSI)' 'active' '22241501' 'Build / ANSI (master' ' Hadoop 3' ' JDK 8' ' Scala 2.12)' 'active' '28614389' 'Build (branch-3.2' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614390' 'Build (branch-3.3' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614391' 'Build / Coverage (master' ' Scala 2.12' ' Hadoop 3' ' JDK 8)' 'active' '28614392' 'Build (master' ' Scala 2.12' ' Hadoop 2' ' JDK 8)' 'active' '28614393' 'Build (master' ' Scala 2.12' ' Hadoop 3' ' JDK 11)' 'active' '28614394' 'Build (master' ' Scala 2.12' ' Hadoop 3' ' JDK 17)' 'active' '28614395' 'Build' 'active' '28614396' 'Build (master' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614397' 'Build / Cache base image' 'active' '29661594,
prisma/prisma1,,If you have a security issue to report please contact us at' 'securityprismaio
scala/scala,Scala Merge CI' 'active' '5739230,
akka/akka,Publish' 'active' '10091047' 'Validate and test' 'active' '11847321' 'Pull Requests' 'active' '11876918' 'Multi node test' 'active' '11881669' 'Publish docs' 'active' '11950275' 'Nightly Builds' 'active' '12320620' 'Binary Compatibility' 'active' '12381639' 'Akka Strem Perf Spec' 'active' '12586744' 'Link Validator' 'active' '18598828' 'Timing sensitive tests' 'active' '20364621' 'Dependency License Scanning' 'active' '37427451' 'PR Nightly Builds' 'disabled_manually' '12496562,If you have found an issue in an Akka project that might have security' 'implications you can report it to securitylightbendcom We will make sure' 'those will get handled with priority Thank you for your responsible' 'disclosure
apache/predictionio,,This is a project of the Apache Software Foundation and follows the ASF' 'vulnerability handling process' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a new vulnerability you have discovered please follow the ASF' 'vulnerability reporting process
lichess-org/lila,Lint translations' 'active' '197734' 'Build assets' 'active' '18887' 'Lint code' 'active' '5334054' 'Build server' 'active' '6363' 'Lint translations' 'active' '23778,
playframework/playframework,Check' 'active' '19129972' 'Publish' 'active' '24791794' 'Release Drafter' 'active' '6493234,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have found an issue in an Play Framework project or any of the projects' 'within the Play Framework GitHub organization that might have security' 'implications you can report it to securityplayframeworkcom We will make' 'sure those will get handled with priority Thank you for your responsible' 'disclosure
yahoo/CMAK,,
rtyley/bfg-repo-cleaner,,
gitbucket/gitbucket,build' 'active' '1786225,
