author_repo,wf_contents,security_policy
ohmyzsh/ohmyzsh,Triage Pull Request' 'active' '148722' 'CI' 'active' '493439' 'Project tracking' 'active' '17209357,SSuuppppoorrtteedd VVeerrssiioonnss' 'At the moment Oh My Zsh only considers the very latest commit to be supported' 'We combine that with our fast response to incidents and the automated updates' 'to minimize the time between vulnerability publication and patch release' 'VVeerrssiioonn       SSuuppppoorrtteedd' 'master        ' 'other commits ' 'In the near future we will introduce versioning so expect this section to' 'change' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'DDoo nnoott ssuubbmmiitt aann iissssuuee oorr ppuullll rreeqquueesstt this might reveal the vulnerability' 'Instead you should email the maintainers directly at sseeccuurriittyyoohhmmyyzzsshh' 'We will deal with the vulnerability privately and submit a patch as soon as' 'possible' 'You can also submit your vulnerability report to huntrdev and see if you can' 'get a bounty reward
papers-we-love/papers-we-love,lychee' 'active' '14056441,
nvm-sh/nvm,Docker Image CI' 'active' '7397517' 'install script' 'active' '38695963' 'Tests: `nvm install-latest-npm`' 'active' '3762809' 'Tests: linting' 'active' '3762810' 'Node.js CI' 'active' '7397544' 'Automatic Rebase' 'active' '1156612' 'Tests: release process' 'active' '3745038' 'Require “Allow Edits”' 'active' '3436117' 'Tests: shellcheck' 'active' '3697197' 'urchin tests' 'active' '12771595' 'update readme TOC' 'active' '1156497' 'Tests on Windows: `nvm install`' 'active' '4558806,Please email ljharb or see httpstideliftcomsecurity if you have a' 'potential security vulnerability to report
Anduin2017/HowToCook,Continuous Integration' 'active' '17319934' 'pages-build-deployment' 'active' '20097168' 'build' 'active' '20833254,
pi-hole/pi-hole,.github/workflows/base-branch-check.yml' 'active' '16504658' 'CodeQL' 'active' '13873166' 'Codespell' 'active' '24688120' 'Differential ShellCheck' 'active' '31752256' 'editorconfig-checker' 'active' '29024683' 'Check for merge conflicts' 'active' '43022900' 'Trigger: Push action' 'active' '8384935' 'Repository Smoke Tests' 'active' '13862397' 'Mark stale issues' 'active' '16342897' 'Sync Back to Development' 'active' '17735508' 'Test Supported Distributions' 'active' '3909520,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Pihole welcomes all responsible disclosures PPlleeaassee ddoo nnoott ooppeenn aann IISSSSUUEE ttoo' 'rreeppoorrtt aa sseeccuurriittyy pprroobblleemm' 'We accept disclosures via email at disclosurepiholenet
jgraph/drawio-desktop,Electron Builder CI (WIN)' 'active' '3558306' 'Electron Builder CI' 'active' '3553068' 'Generate sha256 hashes for release files' 'active' '14316650,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'Latest  ' 'Older   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you discover a security vulnerability in axios please disclose it via our' 'huntr page Bounty eligibility CVE assignment response times and past reports' 'are all there
youngyangyang04/leetcode-master,,
romkatv/powerlevel10k,,
open-guides/og-aws,Link-Checker' 'active' '3363227,
dylanaraps/pure-bash-bible,,
