author_repo,wf_contents,security_policy
vsouza/awesome-ios,,
Alamofire/Alamofire,Alamofire CI' 'active' '187593' 'Alamofire CI' 'active' '105919' 'pages-build-deployment' 'active' '17574691,
iina/iina,CI' 'active' '5616494,
shadowsocks/ShadowsocksX-NG,CI' 'active' '187869' 'CI' 'active' '245796,
kodecocodes/swift-algorithm-club,pages-build-deployment' 'active' '38768367,
danielgindi/Charts,Swift' 'active' '4882108,
airbnb/lottie-ios,CI' 'active' '16022557' 'Close stale issues' 'active' '31285758,Do not open issues or pull requests  this makes the problem immediately' 'visible to everyone including malicious actors Please report potential' 'security issues in this project through the Airbnb Bug Bounty program' 'httpshackeronecomairbnb' 'Airbnbs team will triage and address all valid issues You may be eligible for' 'a bounty if the report is valid under our program
ReactiveX/RxSwift,RxSwift Specs' 'active' '2882616' 'RxSwift' 'active' '2640784,
vapor/vapor,test' 'active' '225524' 'deploy-api-docs' 'active' '1549283' 'issue-to-project-board-workflow' 'active' '20879359' 'Generate Sponsors README' 'active' '38756605' 'test' 'active' '7080,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' ' x   ' 'PPrriivvaattee DDiisscclloossuurree PPrroocceessss' 'The Vapor Core Team ask that known and suspected vulnerabilities be privately' 'and responsibly disclosed by emailing securityvaporcodes or message one of' 'the Core team on Discord with the all the required detail' 'DDoo nnoott ffiillee aa ppuubblliicc iissssuuee' 'WWhheenn ttoo rreeppoorrtt aa vvuullnneerraabbiilliittyy' '     You think you have discovered a potential security vulnerability in a' '      Vapor package' '     You are unsure how a vulnerability affects a Vapor package' 'WWhhaatt hhaappppeennss nneexxtt' '     A member of the team will acknowledge receipt of the report within ' '      working days This may include a request for additional information about' '      reproducing the vulnerability' '     We will privately inform the Swift Server Work Group SSWG of the' '      vulnerability within  days of the report as per their security' '      guidelines' '     Once we have identified a fix we may ask you to validate it We aim to do' '      this within  days In some cases this may not be possible for example' '      when the vulnerability exists at the protocol level and the industry must' '      coordinate on the disclosure process' '     If a CVE number is required one will be requested through the GitHub' '      security advisory process providing you with full credit for the' '      discovery' '     We will decide on a planned release date and let you know when it is' '     Prior to release we will inform major dependents that a securityrelated' '      patch is impending' '     Once the fix has been released we will publish a security advisory on' '      GitHub and in the Server  Security Updates category on the Swift forums
SwiftyJSON/SwiftyJSON,,
yichengchen/clashX,.github/workflows/main.yml' 'active' '247462' 'ClashX' 'active' '89850' 'pages-build-deployment' 'active' '17574625,
HeroTransitions/Hero,Build' 'active' '5815776' 'Automatic Rebase' 'active' '39885' 'Swift Lint' 'active' '6478007' 'Unit Test' 'active' '39857' 'pages-build-deployment' 'active' '33770772,
onevcat/Kingfisher,build' 'active' '63482' 'Documentation' 'active' '3622050,
JohnCoates/Aerial,,
MonitorControl/MonitorControl,CI' 'active' '11914965' 'pages-build-deployment' 'active' '26533332,
ReactiveCocoa/ReactiveCocoa,Verification' 'active' '1578941' 'Test' 'active' '1578926,
rxhanson/Rectangle,Build' 'active' '392562,
SnapKit/SnapKit,pages-build-deployment' 'active' '24074727,
utmapp/UTM,Build' 'active' '590800' 'Issues' 'disabled_manually' '4741680,
realm/SwiftLint,pages-build-deployment' 'active' '18343889' 'docker' 'active' '18389814' 'update_swift_syntax' 'active' '38373155,
hackiftekhar/IQKeyboardManager,,
ipader/SwiftGuide,,
CodeEditApp/CodeEdit,Build and publish a new appcast file' 'active' '36560538' 'SwiftLint' 'active' '22158099' 'Build and Publish Pre-release' 'active' '35100456' 'Release Drafter' 'active' '35098618' 'Build and Publish Pre-release' 'active' '39357517' 'Tests' 'active' '22112734' 'pages-build-deployment' 'active' '36308750,
Carthage/Carthage,Integration Tests' 'active' '213980,
OpenEmu/OpenEmu,,
Moya/Moya,,
exelban/stats,build' 'active' '1856871' 'i18n check' 'active' '10302968' 'Linter' 'active' '10302805,
MengTo/Spring,,
mxcl/PromiseKit,CI' 'active' '9060218' 'Publish' 'active' '9156757' 'CD' 'active' '9356073' '.github/workflows/ci-podspec.yml' 'active' '16222382' 'pages-build-deployment' 'active' '18899014' 'Publish Release' 'disabled_manually' '9135833' 'CI (shallow)' 'disabled_manually' '9135834,
ochococo/Design-Patterns-In-Swift,Generate Playground Files and READMES' 'active' '8670615,
PerfectlySoft/Perfect,,
ianyh/Amethyst,Tests' 'active' '14733327,
SwifterSwift/SwifterSwift,SwifterSwift' 'active' '105684,
CosmicMind/Material,,
Juanpe/SkeletonView,CI' 'active' '5346667' 'Validations' 'active' '5444882' 'Release' 'active' '5474251' 'Release Notes' 'active' '5479013' 'Pod lint' 'active' '5828317' 'CD' 'active' '10725771' 'Pod trunk' 'active' '17544521' 'Issue Needs Attention' 'active' '33508714' 'Close stale issues and PRs' 'active' '33509171,
xmartlabs/Eureka,Eureka CI' 'active' '14717551,
allenwong/30DaysofSwift,,
mozilla-mobile/firefox-ios,Bitrise Xcode Check and Update' 'active' '5409452' 'CI' 'active' '10762795' 'Create a PR to build the app using newest a-s version available' 'active' '20903395' 'Create a PR with changes after importing strings' 'active' '22829195' 'Glean probe-scraper' 'active' '28687839' '.github/workflows/update_credtential_provider_script.yml' 'active' '29994056' 'Update credential provider script' 'active' '29994296' 'Update Nimbus Experiments' 'active' '32197044' '.github/workflows/update-content-blocker-shavar-version.yml' 'active' '43656197' 'code-cov' 'active' '43783424' 'Build contributor PR' 'disabled_manually' '9410314,
Ramotion/animated-tab-bar,,
Caldis/Mos,pages-build-deployment' 'active' '30483941,
ninjaprox/NVActivityIndicatorView,iOS starter workflow' 'active' '38150113' 'pages-build-deployment' 'active' '38151827,
Ramotion/folding-cell,,
pock/pock,,
Quick/Quick,CI' 'active' '189473' 'SwiftLint' 'active' '940967' 'CocoaPods' 'active' '5695672' 'CI (Xcode)' 'active' '5695675' 'Danger' 'active' '5695676' 'CI (SwiftPM)' 'active' '5696170' 'pages-build-deployment' 'active' '24194384,
signalapp/Signal-iOS,CI' 'active' '948249,
AudioKit/AudioKit,Tests' 'active' '33983788,
fullstackio/FlappySwift,,
mas-cli/mas,Build' ' Test' ' and Lint' 'active' '7248980' 'Danger' 'active' '15420779,
krzyzanowskim/CryptoSwift,Linux' 'active' '1140471' 'macOS' 'active' '1140472' 'pages-build-deployment' 'active' '19291867,
apple/swift-package-manager,,
tristanhimmelman/ObjectMapper,,
mac-cain13/R.swift,Checks' 'active' '1113506' 'Release' 'active' '1120124' 'Test' 'active' '11289338,
stephencelis/SQLite.swift,Build and test' 'active' '12314558,
IBAnimatable/IBAnimatable,build' 'active' '272241,
SwiftGen/SwiftGen,Archive' 'active' '2959925' 'Cocoapods' 'active' '2959923' 'Output' 'active' '2959921' 'Danger' 'active' '2959924' 'SwiftLint' 'active' '2959927' 'Publish on Tag' 'active' '31386975' 'Test SPM' 'active' '2959926' 'Test Xcode' 'active' '2959922,
insidegui/WWDC,,
gao-sun/eul,CI' 'active' '3155960' 'PR Label' 'active' '3155961,
rileytestut/AltStore,,
kickstarter/ios-oss,,
lexrus/LTMorphingLabel,,
