author_repo,wf_contents,security_policy
exacity/deeplearningbook-chinese,,
lib-pku/libpku,,
terryum/awesome-deep-learning-papers,,
HarisIqbal88/PlotNeuralNet,,
posquit0/Awesome-CV,Azure Static Web Apps CI/CD' 'active' '24008738' 'Integration' 'active' '19283801' 'Compile PDFs' 'active' '15133025' 'Label Pull Requests' 'active' '19283802' 'Sync labels' 'active' '19283803' 'Welcome for First Issue or Pull Request' 'active' '19283804,
vdumoulin/conv_arithmetic,,
jikexueyuanwiki/tensorflow-zh,,
soulmachine/leetcode,,
tuhdo/os01,pages-build-deployment' 'active' '31230046,
hmemcpy/milewski-ctfp-pdf,Build PDFs' 'active' '1953021,
billryan/resume,,
matze/mtheme,,
soulmachine/machine-learning-cheat-sheet,,
liuxinyu95/AlgoXY,Build' 'active' '3015174,
sysprog21/lkmpg,status-check' 'active' '13472983' 'status-checks' 'active' '13473992' 'pages-build-deployment' 'active' '16879802' 'build-deploy-assets' 'active' '42716971' 'deploy-github-page' 'active' '42716972,
zhanwen/MathModel,,
cplusplus/draft,check' 'active' '4767677,
Wandmalfarbe/pandoc-latex-template,Build Example PDF files' 'active' '15244493,
jacobeisenstein/gt-nlp-class,,
rstudio/cheatsheets,,
deedy/Deedy-Resume,,
lervag/vimtex,.github/workflows/main.yml' 'active' '195690' '.github/workflows/jq.yml' 'active' '38306283' 'CI tests' 'active' '75038,
aaronwangy/Data-Science-Cheatsheet,,
awesome-NeRF/awesome-NeRF,,
tuna/thuthesis,Test' 'active' '520977' 'Trigger Docker update' 'active' '1805280,
sb2nov/resume,,
corona-warn-app/cwa-documentation,Checks' 'active' '1790631,
synercys/annotated_latex_equations,,
mohuangrui/ucasthesis,,
horance-liu/tensorflow-internals,,
wzchen/probability_cheatsheet,,
saadq/resumake.io,CI' 'active' '29934518,
sjtug/SJTUThesis,Build' 'active' '8399659' 'Release' 'active' '9871451,
NiuTrans/MTBook,,
wangshusen/DeepLearning,,
thunlp/NRLPapers,,
liuxinyu95/unplugged,Build' 'active' '3279065,
foxsen/archbase,renderbook' 'active' '14633070' 'pages-build-deployment' 'active' '17164156,
ybayle/awesome-deep-learning-music,,
riscv/riscv-isa-manual,Build Document PDF' 'active' '17036912,
THUNLP-MT/MT-Reading-List,,
jindongwang/transferlearning-tutorial,,
pllk/cphb,,
ml874/Data-Science-Cheatsheet,,
openmlsys/openmlsys-zh,CI' 'active' '20580289' 'CI' 'active' '21105704' 'CI' 'active' '28296474,
AllenDowney/ThinkPython2,,
hadley/adv-r,build-book' 'active' '3523354,
mavam/stat-cookbook,,
dart-lang/language,CI' 'active' '6637849' 'No Response' 'active' '42098449,To report potential vulnerabilities please see our security policy on https' 'dartdevsecurity' 'PPuubblliisshheedd sseeccuurriittyy aaddvviissoorriieess' 'For advisories published for the Dart SDK see security advisories
ixy-languages/ixy-languages,,
karlseguin/the-little-go-book,,
jankapunkt/latexcv,CI' 'active' '15198044' 'buildall' 'active' '37305711' 'pages-build-deployment' 'active' '25181105,
clever-algorithms/CleverAlgorithms,,
HoTT/book,Build' 'active' '20546034' '.github/workflows/build.yml' 'active' '21713341' 'pages-build-deployment' 'active' '21835085,
liyin2015/python-coding-interview,pages-build-deployment' 'active' '17974908,
CTeX-org/lshort-zh-cn,,
soulmachine/acm-cheat-sheet,,
michaelgutmann/ml-pen-and-paper-exercises,,
TheNetAdmin/zjuthesis,Build Tests' 'active' '13840' 'Build Tests' 'active' '9284578' 'Release Code' 'active' '102918' 'pages-build-deployment' 'active' '17150493,
xdanaux/moderncv,,
