author_repo,wf_contents,security_policy
freeCodeCamp/freeCodeCamp,CI - Run CodeQL Analysis' 'active' '1622344' 'CI - Node.js Test Current' 'active' '2139888' 'CI - Node.js Test Upcoming' 'active' '2883490' 'CI - Create CodeSee Maps' 'active' '15925942' 'i18n - Download Client UI' 'active' '15925944' 'i18n - Download Curriculum' 'active' '15925945' 'i18n - Download Docs' 'active' '15925946' 'i18n - Upload Client UI' 'active' '15925947' 'i18n - Upload Curriculum' 'active' '15925948' 'i18n - Upload Docs' 'active' '15925949' 'pages-build-deployment' 'active' '16423383' 'Dependency Review' 'active' '25617322' 'Github - Welcome First-timers' 'active' '28360722' 'i18n - Curriculum PR Validation' 'active' '37510435' 'CI - E2E - Web browser' 'active' '37510436' 'CI - E2E - Mobile (webview) Browser' 'active' '37510437' 'i18n - Build Validation' 'active' '37514100' 'CI - E2E - 3rd party donation tests' 'active' '37514102' 'GitHub - Autoclose Invalid PRs' 'active' '37514103' 'GitHub - Label PRs' 'active' '37514104' 'GitHub - No translations via PRs' 'active' '37514106' 'CI - Unused Exports' ' Types and Files' 'active' '38075701' 'GitHub - Spam PR' 'disabled_manually' '37514107,
kamranahmedse/developer-roadmap,Deployment to GH Pages' 'active' '15887633' 'pages-build-deployment' 'active' '16490616,
vuejs/vue,ci' 'active' '26488619' 'Create Release' 'active' '27192329,
microsoft/vscode,CI' 'active' '7564' 'Locker' 'active' '868217' 'info-needed Closer' 'active' '876819' 'Test Plan Item Validator' 'active' '878194' 'Author Verified' 'active' '889935' 'Feature Request Manager' 'active' '932195' 'On Open' 'active' '980384' 'On Label' 'active' '980416' 'English Please' 'active' '1010371' 'Release Pipeline Labeler' 'active' '1437115' 'Latest Release Monitor' 'active' '1453971' 'Rich Navigation Indexing' 'active' '1546445' 'Deep Classifier: Runner' 'active' '1587520' 'Deep Classifier: Scraper' 'active' '1588881' 'VS Code Repo Dev Container Cache Image Generation' 'active' '2931065' 'Prevent yarn.lock changes in PRs' 'active' '5507014' 'On Comment' 'active' '5605803' 'Deep Classifier: Assign Monitor' 'active' '16302299' 'Deep Classifier: Unassign Monitor' 'active' '16302300' 'Codespaces Prebuilds' 'active' '19099518' 'Monaco Editor checks' 'active' '21497327' 'Codespaces Prebuilds (ppe)' 'active' '22467140' 'Codespaces Prebuilds (development)' 'active' '22467200' 'Bad Tag' 'active' '25758415' 'PR Chat' 'active' '25929580' 'Basic checks' 'active' '26369888' 'Telemetry' 'active' '38332752,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
microsoft/TypeScript,CI' 'active' '73' 'New Release Branch' 'active' '597443' 'Set branch version' 'active' '604536' 'Publish Nightly' 'active' '611703' 'Create Releasable Package Drop' 'active' '850443' 'Sync branch with master' 'active' '1113693' 'Code Scanning - Action' 'active' '1472853' 'Twoslash Code Sample Repros' 'active' '1908424' 'Update LKG' 'active' '2092401' 'Update package-lock.json' 'active' '2272174' 'Accept Baselines and Fix Lints' 'active' '3747840' 'Sync Two Wiki Repos' 'active' '9370885' 'Rich Navigation Indexing' 'active' '12149816' 'Related Repo Commit Bumps' 'active' '17536509' 'typescript-error-deltas Watchdog' 'active' '38355795,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
angular/angular,Lock closed inactive issues' 'active' '26653' 'Lock closed inactive issues' 'active' '184400' 'Feature request triage bot' 'active' '8857572' 'DevInfra' 'active' '12187232' 'OpenSSF Scorecard' 'active' '19237157' 'Update AIO events' 'active' '34681352' 'Google Internal Tests Enforcement' 'active' '37324833' 'DevInfra' 'active' '39640272' 'Build AIO app for preview deployment' 'active' '41898350' 'Deploying AIO preview to Firebase' 'active' '42136514' 'Merge Ready' 'disabled_manually' '43189895,for vulnerabilities in Angular please submit your report here' 'For more information on Angulars security policy visit httpsangulario' 'guidesecurity
yangshun/tech-interview-handbook,New workflow' 'active' '163339' 'Lint' 'active' '37072988' 'Typecheck' 'active' '37072987' 'pages-build-deployment' 'active' '16490027,
puppeteer/puppeteer,Scorecards supply-chain security' 'active' '19042286' 'Publish' 'active' '27120114' 'Pre-release' 'active' '27202522' 'CI' 'active' '27203653' 'ToT CI' 'active' '27203654' 'pages-build-deployment' 'active' '29135791' 'Documentation Check' 'active' '36893218,
storybookjs/storybook,Unit tests' 'active' '14458' 'CLI tests' 'active' '14459' 'Puppeteer & A11y tests' 'active' '14461' 'Automention PRs' 'active' '14911' 'Dangerfile JS Pull' 'active' '14912' 'Dangerfile JS Pull' 'active' '127452' 'Trigger CircleCI workflow' 'active' '3911051' 'Danger JS' 'active' '7958226' 'Generate And Push Repros' 'active' '12422119' 'Handle Release Branches' 'active' '14886250' 'Export to linear' 'active' '15268250' 'Markdown Links Check' 'active' '22587517' 'Generate and push repros to the next branch' 'active' '31265784' 'Generate And Push Repros' 'disabled_manually' '31138867,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn       SSuuppppoorrtteedd' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability you can reach out to the maintainers directly on' 'Twitter httpstwittercomstorybookjs' 'When we fix a security issue we will post a security advisory on GithubNPM' 'describe the change in the release notes and also announce notify the' 'community on our Discord
gothinkster/realworld,test-documentation' 'active' '13746477' 'Check & deploy API documentation' 'active' '14891157' 'Build' 'active' '29843081' 'CI' 'active' '42436310' 'CodeQL' 'active' '43671654' 'Chromatic' 'active' '43998753' 'Spammy Guardian' 'active' '44221996,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report any detected vulnerability to RealWorld
sveltejs/svelte,CI' 'active' '196961' 'Browser Tests' 'active' '11802215' 'CI' 'active' '14783' 'Docs' 'active' '12224046,
reduxjs/redux,Bundle Size' 'active' '4249301' 'Tests' 'active' '4249302,
coder/code-server,Build' 'active' '198571' 'Publish code-server' 'active' '1258286' 'brew' 'active' '7361263' 'Security' 'active' '8644877' 'Publish on Docker' 'active' '11739751' 'Publish on npm and brew' 'active' '11739752' 'Docs preview' 'active' '12119204' 'Trivy Nightly Docker Scan' 'active' '21094032' 'Security' 'active' '34787025' 'Draft release' 'active' '35060979' 'Build' 'active' '35075570' 'Script unit tests' 'active' '35572842' 'Installer integration' 'active' '35579745,Coder and the codeserver team want to keep the codeserver project secure and' 'safe for endusers' 'TToooollss' 'We use the following tools to help us stay on top of vulnerability mitigation' '     dependabot' '          o Submits pull requests to upgrade dependencies We use dependabots' '            version upgrades as well as security updates' '     codescanning' '          o CodeQL' '                 Semantic code analysis engine that runs on a regular schedule' '                  see codeqlanalysisyml' '          o trivy' '                 Comprehensive vulnerability scanner that runs on PRs into the' '                  default branch and scans both our container image and' '                  repository code see trivyscanrepo and trivyscanimage' '                  jobs in buildyaml' '     auditci' '          o Audits npm and Yarn dependencies in CI see Audit for' '            vulnerabilities step in buildyaml on PRs into the default branch' '            and fails CI if moderate or higher vulnerabilities see the' '            auditsh script are present' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'Coder sponsors the development and maintenance of the codeserver project We' 'will fix security issues within  days of receiving a report and publish the' 'fix in a subsequent release The codeserver project does not provide backports' 'or patch releases for security issues at this time' 'VVeerrssiioonn SSuuppppoorrtteedd' 'Latest  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability please send an email to securitycodercom and' 'our security team will respond to you
socketio/socket.io,CI' 'active' '4083886,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' 'x     ' 'x   ' '  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security vulnerability in this package please send an email to' 'darrachequesne see address in profile describing the vulnerability and how' 'to reproduce it' 'We will get back to you as soon as possible and publish a fix if necessary' ' IMPORTANT  please do not create an issue in this repository as attackers' 'might take advantage of it Thank you in advance for your responsible' 'disclosure' 'HHiissttoorryy' 'No security vulnerability were reported yet
