author_repo,wf_contents,security_policy
neovim/neovim,CI' 'active' '3822072' 'Release' 'active' '4054572' 'vim-patches' 'active' '8558280' 'Pull Request Labeler' 'active' '9148610' 'Autogenerate API docs' 'active' '9793006' 'Backport' 'active' '10260821' 'Request reviews' 'active' '19675244' 'Missing API docs' 'active' '22282362' 'Remove reviewers' 'active' '23032145' 'Close stale issues and PRs' 'active' '39165855' 'news.txt check' 'active' '41071741' 'Commit Linter' 'active' '41953701' 'Remove reviewers' 'active' '41954233' 'Request reviews' 'active' '41954234' 'CodeQL' 'active' '41954235' 'Coverity' 'active' '41954236' 'New feature' 'active' '43665705,neovimsecurityadvisoriesnew
junegunn/vim-plug,Test vim-plug' 'active' '15970476,
vim/vim,GitHub CI' 'active' '4081728' 'CodeQL' 'active' '2804156' 'Coverity' 'active' '11997784,
amix/vimrc,,
VundleVim/Vundle.vim,,
preservim/nerdtree,Vint' 'active' '102111,
vim-airline/vim-airline,CI' 'active' '4134938' 'reviewdog' 'active' '513380,
tpope/vim-fugitive,,
spf13/spf13-vim,,
altercation/solarized,,
fatih/vim-go,git checks' 'active' '13798194' 'test' 'active' '1008474,
mhinz/vim-galore,,
dense-analysis/ale,CI' 'active' '5168940,
tpope/vim-pathogen,,
morhetz/gruvbox,,
tpope/vim-surround,,
vim-syntastic/syntastic,,
jbranchaud/til,,
wsdjeg/vim-galore-zh_cn,,
yangyangwithgnu/use_vim_as_ide,,
junegunn/fzf.vim,,
airblade/vim-gitgutter,,
carlhuda/janus,,
terryma/vim-multiple-cursors,,
vimwiki/vimwiki,,
kien/ctrlp.vim,,
macvim-dev/macvim,MacVim GitHub CI' 'active' '4361326' 'pages-build-deployment' 'active' '30947070' 'Close inactive issues' 'active' '32316186' 'CodeQL' 'disabled_manually' '2870483' 'Coverity' 'disabled_manually' '12158810,
easymotion/vim-easymotion,reviewdog' 'active' '354519,
altercation/vim-colors-solarized,,
itchyny/lightline.vim,CI' 'active' '471849,
mattn/emmet-vim,,
preservim/tagbar,Vint' 'active' '236706' 'Check' 'active' '55811' 'Reviewdog' 'active' '5903484' 'Vint' 'active' '55812,
python-mode/python-mode,Testing python-mode' 'active' '378466,
sheerun/vim-polyglot,Vim Polyglot CI' 'active' '2297040,
rhysd/vim.wasm,pages-build-deployment' 'active' '35307144,
ryanoasis/vim-devicons,CI' 'active' '946398' 'vint' 'active' '1221588,
tpope/vim-commentary,,
mhinz/vim-startify,,
wklken/k-vim,,
tpope/vim-sensible,,
preservim/nerdcommenter,Reviewdog' 'active' '97367' 'Vint' 'active' '97255,
preservim/vim-markdown,Reviewdog' 'active' '19582856' 'Vader' 'active' '19582367' 'Vint' 'active' '19582368,
junegunn/goyo.vim,,
ma6174/vim,,
Yggdroot/indentLine,,
tpope/vim-rails,,
christoomey/vim-tmux-navigator,,
github/copilot.vim,,GitHub Security Bug Bounty' 'Thanks for helping make GitHub Copilot safe for everyone
jiangmiao/auto-pairs,,
junegunn/vim-easy-align,,
pangloss/vim-javascript,,
chxuan/vimplus,,
joshdick/onedark.vim,Validate Templates' 'active' '48541,
tomasr/molokai,,
puremourning/vimspector,Build' 'active' '2442598' 'Lock Old Issues' 'active' '8734609' 'Update vim docs' 'active' '18197728' 'pages-build-deployment' 'active' '16624834,
rust-lang/rust.vim,.github/workflows/ci.yml' 'active' '12663304,for all the repositories in the rruussttllaanngg and rruussttllaannggnnuurrsseerryy organizations' 'If you found a vulnerability please report it according to the security policy' 'on our website Thanks
flazz/vim-colorschemes,,
Shougo/dein.vim,Lint & Test' 'active' '5019841,
ervandew/supertab,,
mileszs/ack.vim,,
