author_repo,wf_contents,security_policy
ljianshu/Blog,,
metafizzy/infinite-scroll,,
developit/unfetch,CI' 'active' '44291751' 'Compressed Size' 'active' '44291752,
jquery-form/form,,
olifolkerd/tabulator,Bad files check' 'active' '29008865' 'Lint and build' 'active' '29008866,
Studio-42/elFinder,CodeQL' 'active' '10355123' 'pages-build-deployment' 'active' '20198837,
ded/reqwest,,
dwyl/learn-to-send-email-via-google-script-html-no-server,.github/workflows/github-actions-demo.yml' 'active' '33958770' 'pages-build-deployment' 'active' '17670084,
elbywan/wretch,Browser test' 'active' '29456521' 'Deno tests' 'active' '29653147' 'Node.JS test and lint' 'active' '29456522' 'pages-build-deployment' 'active' '18939602,
LeaVerou/bliss,,
wendux/ajax-hook,,
noelboss/featherlight,,
craftpip/jquery-confirm,,
ptaoussanis/sente,tests' 'active' '41127973' 'pages-build-deployment' 'active' '27274034,
nette/tracy,Coding Style' 'active' '4153511' 'Static Analysis (only informative)' 'active' '4153512' 'Tests' 'active' '4153513,please ping me Once I accept the report the fix should be available and new' 'version released within days I will mark the bug as public after releasing a' 'new version or declining the bug' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'I support the last published branch and the last development version master
joaomilho/Enterprise,,
loadingio/css-spinner,,
u014427391/jeeplatform,,
k8w/tsrpc,,
codingforentrepreneurs/eCommerce,,
MoOx/pjax,,
danielm/uploader,,
renderedtext/render_async,,
proyecto26/RestClient,CI' 'active' '16187266,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy ' 'The Proyecto  team and community take all security bugs in RestClient' 'seriously We appreciate your efforts to responsibly disclose your findings' 'and will make every effort to acknowledge your contributions' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure' 'The Proyecto  team will send a response indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'endeavor to keep you informed of the progress towards a fix and full' 'announcement and may ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module' 'DDiisscclloossuurree PPoolliiccyy ' 'When the security team receives a security bug report they will assign it to a' 'primary handler This person will coordinate the fix and release process' 'involving the following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible' 'CCoommmmeennttss oonn tthhiiss PPoolliiccyy ' 'If you have suggestions on how this process could be improved please submit a' 'pull request' 'SSeeccuurriittyy IIss EEvveerryyoonneess RReessppoonnssiibbiilliittyy ' 'Thank you for making the world a better place for everyone 
swlib/saber,PHPUnit for Saber' 'active' '4674269,
opensource-socialnetwork/opensource-socialnetwork,,directly with detail of the issue including OSSN version
webcreate/infinite-ajax-scroll,Tests' 'active' '11004618, PLEASE DONT DISCLOSE SECURITYRELATED ISSUES PUBLICLY SEE BELOW' 'If you have found a security issue in Infinite Ajax Scroll please send the' 'details to hellowebcreatenl and dont disclose it publicly until we can' 'provide a fix for it' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'The following versions are currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' '    
rapidjs/rapid.js,,
csxiaoyaojianxian/JavaScriptStudy,,
karosLi/KKJSBridge,,
BetterTyped/hyper-fetch,Deploy docs' 'active' '17874267' 'Release packages' 'active' '34898050' 'Tests' 'active' '17810881' 'Tests' 'active' '30905877,
GoogTech/sms-ssm,,
cferdinandi/atomic,' 'active' '137993,
Humsen/web,,
