author_repo,wf_contents,security_policy
ansible/ansible,,SSuuppppoorrtteedd VVeerrssiioonnss' 'Ansible applies security fixes according to the versionsback support policy' 'Please find more information in our docs' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We encourage responsible disclosure practices for security vulnerabilities' 'Please read our policies for reporting bugs if you want to report a security' 'issue that might affect Ansible
bregman-arie/devops-exercises,CI' 'active' '25333353' 'CI' 'active' '15588143' 'pages-build-deployment' 'active' '39774709,
trailofbits/algo,Lint Code Base' 'active' '2137949' 'Main' 'active' '354539' 'pages-build-deployment' 'active' '16818705,
StreisandEffect/streisand,Streisand' 'active' '102279,
MichaelCade/90DaysOfDevOps,Add contributors' 'active' '44077861' 'publish' 'disabled_manually' '23494106' 'Send a Tweet' 'active' '24627179' 'pages-build-deployment' 'active' '44078196,
kubernetes-sigs/kubespray,pages-build-deployment' 'active' '16450944,SSeeccuurriittyy AAnnnnoouunncceemmeennttss' 'Join the kubernetessecurityannounce group for security and vulnerability' 'announcements' 'You can also subscribe to an RSS feed of the above using this link' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Instructions for reporting a vulnerability can be found on the Kubernetes' 'Security and Disclosure Information page' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'Information about supported Kubernetes versions can be found on the Kubernetes' 'version and version skew support policy page on the Kubernetes website
ansible/awx,CI' 'active' '11432146' 'Upload API Schema' 'active' '11466555' 'E2E Tests' 'active' '11506406' 'Promote Release' 'active' '15428354' 'Stage Release' 'active' '15428355' 'Label Issue' 'active' '19211850' 'Label PR' 'active' '19211851' 'Build/Push Development Images' 'active' '22449369' 'CI UI' 'active' '24400505' 'PR Check' 'active' '31063256' 'Dependency Pr Update' 'active' '32032471' 'Feature branch deletion cleanup' 'active' '39639202,issue tracker and you will receive a prompt response' 'For more information on the Ansible communitys practices regarding responsible' 'disclosure see httpswwwansiblecomsecurity
easzlab/kubeasz,Mirroring' 'active' '29452172' 'Close inactive issues' 'active' '39260691,
geerlingguy/ansible-for-devops,CI' 'active' '1240305' 'Molecule CI' 'active' '4106585,
khuedoan/homelab,,
Tikam02/DevOps-Guide,.github/workflows/markdownlint.yml' 'active' '2838936' 'pages-build-deployment' 'active' '20657858,
ansible-semaphore/semaphore,Dev' 'active' '28609596' 'Release' 'active' '28609657' 'Test' 'active' '39767538,
geerlingguy/mac-dev-playbook,CI' 'active' '3486457,
rundeck/rundeck,.github/workflows/Releases.yml' 'active' '17721281' 'OWASP Dependency Check' 'active' '2897282,The Rundeck Security Team exists to provide help and advice to Rundeck projects' 'on security issues and to provide coordination of the handling of security' 'vulnerabilities' 'RREEPPOORRTTIINNGG AA VVUULLNNEERRAABBIILLIITTYY' 'We strongly encourage the reporting of potential security vulnerabilities with' 'our Vulnerability Report Form Please note that the Vulnerability Report Form' 'should only be used for reporting undisclosed security vulnerabilities in' 'Rundeck projects We cannot accept regular bug reports or other security' 'related queries via the Form All issues submitted via the Form that do not' 'relate to an undisclosed security problem in a Rundeck project will be ignored' 'The general security mailing list address is securityrundeckcom This is a' 'private mailing list Please submit one form for each vulnerability you are' 'reporting' 'VVUULLNNEERRAABBIILLIITTYY IINNFFOORRMMAATTIIOONN' 'Information on the published vulnerabilities for an Rundeck project can usually' 'be found on the projects github wiki If you cant find the information you' 'are looking for on the projects github wiki you should ask your question on' 'StackOverflow The Vulnerability Report Form should not be used to ask' 'questions about  how to configure Rundeck securely if a published' 'vulnerability applies to specific versions of Rundeck that you are using if a' 'published vulnerability applies to the configuration of the Rundeck instance' 'you are using obtaining further information on a published vulnerability the' 'availability of patches andor new releases to address a published' 'vulnerability' 'VVUULLNNEERRAABBIILLIITTYY HHAANNDDLLIINNGG' 'An overview of the vulnerability handling process is The reporter reports the' 'vulnerability privately to Rundeck The appropriate projects security team' 'works privately with the reporter to resolve the vulnerability A new release' 'of the Rundeck package concerned is made that includes the fix The' 'vulnerability is publicly announced' 'Click here to submit a vulnerability report
KubeOperator/KubeOperator,,' '     supportfitcloudcom' '     ' '' 'SSeeccuurriittyy PPoolliiccyy' 'All security bugs should be reported to the contact as below' '     supportfitcloudcom' '     ' 'Thanks for your support
clong/DetectionLab,Lint Code Base' 'active' '1632878,
netbootxyz/netboot.xyz,pull-requests' 'active' '4000235' 'development' 'active' '4020730' 'release-candidate' 'active' '4070317' 'release' 'active' '4070318' 'rolling' 'active' '13726397,
ansible-community/molecule,Release Management' 'active' '140017' 'release-drafter' 'active' '240914' 'labels' 'active' '1950215' 'tox' 'active' '2249846' 'release' 'active' '11416091' 'ack' 'active' '14312875' 'push' 'active' '14628144,
