author_repo,wf_contents,security_policy
arendst/Tasmota,Mark or close stale issues and PRs' 'active' '4054000' 'Build_firmware_master' 'active' '4470594' 'Build_firmware_development' 'active' '12018684' 'Copy_firmware_master' 'active' '12605172' 'Copy to docs repo' 'active' '14017500' 'Build_development' 'active' '14348876' 'Tasmota CI' 'active' '14580926,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security issues to httpssidwebnlcmsencontact
MarlinFirmware/Marlin,CI' 'active' '45986' 'Bump Distribution Date' 'active' '219430' 'PR Bad Target' 'active' '251756' 'Close Stale Issues' 'active' '1668641' 'Lock Closed Issues' 'active' '1668642' 'Unlock reopened issue' 'active' '1748374' 'CI' 'active' '6442025' 'Clean Closed' 'active' '6442567,
arduino/Arduino,Java CI' 'active' '507796,At Arduino we consider the security of our systems and products a top' 'priority No technology is perfect and Arduino believes that working with' 'skilled security researchers across the globe is crucial in identifying' 'weaknesses in any technology We want security researchers to feel comfortable' 'reporting vulnerabilities theyve discovered as set out in this policy so' 'that we can fix them and keep our information safe' 'If you believe youve found a security issue in our products or services we' 'encourage you to notify us We welcome working with you to resolve the issue' 'promptly' 'This policy describes hhooww ttoo sseenndd uuss vulnerability reports and hhooww lloonngg we ask' 'security researchers to wait before publicly disclosing vulnerabilities Your' 'personal data will be processed to pursue Arduinos legitimate interests in' 'accordance with our privacy policy' 'GGuuiiddeelliinneess' 'We ask that you' '     Make every effort to avoid privacy violations degradation of user' '      experience disruption to production systems and destruction or' '      manipulation of data' '     Only use exploits to the extent necessary to confirm a vulnerability' '      dont exploit a vulnerability for gain Do not use an exploit to' '      compromise or exfiltrate data establish command line access andor' '      persistence or use the exploit to pivot to other systems Once youve' '      established that a vulnerability exists or encountered any of the' '      sensitive information outlined below please stop your test and notify us' '      immediately' '     Please keep confidential any information about discovered vulnerabilities' '      for uupp ttoo  ccaalleennddaarr ddaayyss after you have notified Arduino unless' '      mutually agreed otherwise For details please review our CCoooorrddiinnaatteedd' '      DDiisscclloossuurree section below' '     Please do not modify store or access data that does not belong to you' '      Instead use your own accounts for security research purposes' '     If you inadvertently access modify delete or store user data we ask' '      that you notify Arduino immediately at sseeccuurriittyyaarrdduuiinnoocccc and delete any' '      stored data after notifying us' 'When in doubt about if your potential conduct complies with this policy please' 'contact us first before taking action at sseeccuurriittyyaarrdduuiinnoocccc and we will' 'address your questions' 'RReeppoorrttiinngg aa vvuullnneerraabbiilliittyy' 'We accept and discuss vulnerability reports via email at sseeccuurriittyyaarrdduuiinnoocccc' 'Please encrypt your findings using oouurr PPGGPP kkeeyy to prevent this critical' 'information from falling into the wrong hands' 'Reports should include' '     Description of the location and potential impact of the vulnerability' '     A detailed description of the steps required to reproduce the' '      vulnerability Proof of concept POC scripts screenshots and screen' '      captures are all helpful Please use extreme care to properly label and' '      protect any exploit code' '     Any technical information and related materials we would need to' '      reproduce the issue' 'Please keep your vulnerability reports current by sending us any new' 'information as it becomes available' 'EExxcclluussiioonnss' 'While researching wed like to ask you to refrain from' '     Denial of service' '     Spamming' '     Social engineering including phishing of Arduino staff or contractors' '     Any physical attempts against Arduino property or data centers' '     Any interaction or unauthorized access to data' 'TThhiirrddppaarrttyy bbuuggss' 'If issues reported to our program affect a thirdparty library external' 'project or another vendor we reserve the right to forward details of the' 'issue to that party without further discussion with the researcher We will do' 'our best to coordinate and communicate with researchers through this process' 'and we will not share your name with third parties without your approval' 'SSaaffee HHaarrbboorr' 'To encourage responsible reporting we will not take legal action against you' 'nor ask law enforcement to investigate you provided you comply with the' 'guidelines of this policy You understand that many of our systems and services' 'are interconnected with thirdparty systems and services Please understand' 'that we can only provide this legal commitment with respect to the components' 'we own and control the rights on If legal action is initiated by a third party' 'against you in connection with activities conducted under this policy we will' 'take steps to make it known that your actions were conducted in compliance with' 'this policy' 'CCoooorrddiinnaatteedd DDiisscclloossuurree' 'Arduino is committed to patching vulnerabilities wwiitthhiinn  ddaayyss oorr lleessss and' 'disclosing the details of those vulnerabilities when patches are published We' 'believe that public disclosure of vulnerabilities is an essential part of the' 'vulnerability disclosure process and that one of the best ways to make' 'software better is to enable everyone to learn from each others mistakes At' 'the same time we believe that disclosure in absence of a readily available' 'patch tends to increase risk rather than reduce it and so we ask that you' 'refrain from sharing your report with others while we work on our patch If you' 'believe there are others that should be informed of your report before the' 'patch is available please let us know so we can make arrangements We may want' 'to coordinate an advisory with you to be published simultaneously with the' 'patch but you are also welcome to selfdisclose if you prefer after  days' 'By default we prefer to disclose everything but we will never publish' 'information about you or our communications with you without your permission' 'except when required by law and to a thirdparty affected by the vulnerability' 'as discussed above In some cases we may also have some sensitive information' 'that should be redacted and so please check with us before selfdisclosing' 'after the  days period' 'Thank you for helping keep Arduino and our users safe
rwaldron/johnny-five,,
tinygo-org/tinygo,macOS' 'active' '14834985' 'Docker' 'active' '18233862' 'Linux' 'active' '15334812' 'Windows' 'active' '13805835,
SpacehuhnTech/esp8266_deauther,.github/workflows/insights.yml' 'active' '10641991' 'Trigger nightly build' 'active' '1650904,
espressif/arduino-esp32,ESP32 Arduino CI' 'active' '167603' 'ReadTheDocs CI' 'active' '11627956' 'GitHub Pages CI' 'active' '276588' 'Run tests in hardware' 'active' '17363534' 'Unit Test Results' 'active' '21541390' 'ESP32 Arduino CI' 'active' '11114' 'ESP32 Arduino Release' 'active' '3365309' 'Push components to https://components.espressif.com' 'active' '19221410' 'pages-build-deployment' 'active' '16798262,
gurugio/lowlevelprogramming-university,pages-build-deployment' 'active' '21003078,
hybridgroup/gobot,,
platformio/platformio-core,Docs' 'active' '1090155' 'Core' 'active' '1090731' 'Examples' 'active' '1090732' 'Projects' 'active' '26350121' 'Deployment' 'active' '26444654,
bblanchon/ArduinoJson,Continuous Integration' 'active' '5513315' 'CIFuzz' 'active' '14586650' 'CodeQL' 'active' '16273184' 'Lock Threads' 'active' '5444792' 'Release' 'active' '11346140,
tzapu/WiFiManager,Compile examples' 'active' '10912423' 'Compile Library' 'active' '10912424' 'cpplint' 'active' '10912422' 'Compile examples for ESP32' 'active' '10648953,
hybridgroup/cylon,,
Arduino-IRremote/Arduino-IRremote,LibraryBuild' 'active' '1398601' 'PlatformIo publishing' 'active' '23591412' 'pages-build-deployment' 'active' '31813048,
