author_repo,wf_contents,security_policy
babel/babel,Release' 'active' '973' 'Issue Triage' 'active' '8364' 'Report Coverage' 'active' '36428' 'Issue Triage' 'active' '130809' 'Lock Threads' 'active' '618673' 'CI' 'active' '2169588' 'Update Test262 parser tests' 'active' '4415462' 'Update Windows Fixtures' 'active' '4742872' 'E2E tests' 'active' '19241018' 'E2E tests (breaking)' 'active' '19241019' 'Update compat data' 'active' '27293754' 'E2E tests (esm)' 'active' '28529809' 'E2E tests (breaking' ' esm)' 'active' '35230018,SSuuppppoorrtteedd VVeerrssiioonnss' 'This is the list of versions of babel which are currently being supported with' 'security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' 'x     ' 'Note that for each supported major version we only guarantee security fixes' 'for the last minor version This means that if for example the last released' 'version is  we will only release security fixes as  and not for' 'x or older This is because upgrading from a minor to another should be as' 'easy as updating to a new patch version' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability please send an email with the details to' 'securitybabeljsio The vulnerability report must include a proofofconcept' 'of the exploit or at least a few pointers that can help us assess the risk' 'level' 'VVuullnneerraabbiilliittiieess iinn BBaabbeellss ddeeppeennddeenncciieess' 'If you receive a security warning relative to a dependency of Babel before' 'reporting it to us please make sure that at least one of the following is true' '    the version of that dependency containing the security fix is not' '      compatible with the semver range that Babel uses to depend on it' '    the vulnerability affects Babels usage of that dependency' 'Note that if  is true but  is false we will consider it as a lowlevel' 'vulnerability and might decide not to fix it' '' 'Thanks for helping to keep babel secure
swc-project/swc,Publish (wasm)' 'active' '2629604' 'Publish (node)' 'active' '2630318' 'Benchmark' 'active' '8653985' 'Plugin (swc)' 'active' '14949909' 'crev: Dependencies' 'active' '16917299' 'Bot' 'active' '19880808' 'Maintenance' 'active' '19949657' 'Cancel' 'active' '20436960' 'Stale issue handler' 'active' '26166852' 'CI' 'active' '36194918' 'Lock Threads' 'active' '37549931,
nylas/nylas-mail,,
kriasoft/react-starter-kit,PR' 'active' '9538604' 'conventionalcommits.org' 'active' '27666639,
electron-react-boilerplate/electron-react-boilerplate,CodeQL' 'active' '32636566' 'Publish' 'active' '3445128' 'Test' 'active' '47235,
avajs/ava,Install and test AVA' 'active' '172519' 'Install and test AVA' 'active' '53307,SSuuppppoorrtteedd VVeerrssiioonnss' 'All nonarchived repositories are supported within them the latest release' 'and any later prerelease are supported' 'As a general rule vulnerabilities in dependencies are not considered' 'especially when theyre ReDos vulnerabilities' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please contact Mark Wubben by emailing marknovemberbornnet
SimulatedGREG/electron-vue,,
grab/front-end-guide,,
jamiebuilds/babel-handbook,,
grommet/grommet,,
