author_repo,wf_contents,security_policy
bitcoin/bitcoin,,SSuuppppoorrtteedd VVeerrssiioonnss' 'See our website for versions of Bitcoin Core that are currently supported with' 'security updates httpsbitcoincoreorgenlifecycleschedule' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report security issues send an email to securitybitcoincoreorg not for' 'support' 'The following keys may be used to communicate sensitive information to' 'developers' 'NNaammee          FFiinnggeerrpprriinntt' 'Pieter Wuille E AC  FA CF B F EB E ' 'Michael Ford  E F C DD  EB D F ACD BA' 'Andrew Chow      C D D   EE E' 'You can import a key by running the following command with that individuals' 'fingerprint gpg keyserver hkpskeysopenpgporg recvkeys' 'fingerprint Ensure that you put quotes around fingerprints containing' 'spaces
ccxt/ccxt,,
freqtrade/freqtrade,Freqtrade CI' 'active' '9176' 'Update Docker Hub Description' 'active' '172912' 'Update Docker Hub Description' 'active' '379342' '.github/workflows/draft-pdf.yml' 'active' '37158299,
HelloZeroNet/ZeroNet,CodeQL' 'active' '27837947' 'tests' 'active' '696408,
askmike/gekko,,
solana-labs/solana,Explorer_build&test_on_PR' 'active' '13096002' 'Web3' 'active' '13134856' 'Explorer_production_build&test' 'active' '14622135' 'solana_main' 'active' '15686065' 'client_targets' 'active' '20158163' 'Autolock NaviBot for closed issue' 'active' '22905793' 'Autolock RitBot for for PR' 'active' '22924915' 'export-github-repo' 'active' '24629201' 'release-artifacts-manually' 'active' '25368178' 'release-artifacts' 'active' '25368179' 'docs' 'active' '25511682' 'release-artifacts-auto' 'active' '26029429' 'increment-cargo-version' 'active' '27795655' 'Issue Label Actions' 'active' '30757162' 'Web3.js Experimental' 'active' '41129659' 'Web3.js Analyze Bundle Size' 'active' '41160842' 'error-reporting' 'active' '41786516' 'Pull Request Labeler' 'active' '41823463' 'crate-check' 'active' '41988527' 'Manage stale issues and PRs' 'active' '42436315,    Reporting security problems' '    Security Bug Bounties' '    Incident Response Process' 'RReeppoorrttiinngg sseeccuurriittyy pprroobblleemmss ttoo SSoollaannaa' 'DDOO NNOOTT CCRREEAATTEE AANN IISSSSUUEE to report a security problem Instead please send an' 'email to securitysolanacom and provide your github username so we can add you' 'to a new draft security advisory for further discussion' 'For security reasons DO NOT include attachments or provide detail sufficient' 'for exploitation regarding the security issue in this email Instead wait for' 'the advisory to be created and pprroovviiddee aannyy sseennssiittiivvee ddeettaaiillss iinn tthhee pprriivvaattee' 'GGiittHHuubb aaddvviissoorryy' 'If you havent done so already please eennaabbllee ttwwooffaaccttoorr aauutthh in your GitHub' 'account' 'DO send the email from an email domain that is less likely to get flagged for' 'spam by gmail' 'Expect a response as fast as possible typically within  hours' 'If you do not receive a response within that time frame please do followup' 'with the team directly You can do this through discord coretechnology by' 'pinging the admins of the channel and referencing the fact that you submitted a' 'security bounty' 'As above please DO NOT include attachments or provide detail regarding the' 'security issue in this email' 'IInncciiddeenntt RReessppoonnssee PPrroocceessss' 'In case an incident is discovered or reported the following process will be' 'followed to contain respond and remediate' ' EEssttaabblliisshh aa nneeww ddrraafftt sseeccuurriittyy aaddvviissoorryy' 'In response to an email to securitysolanacom a member of the solanalabs' 'admins group will Create a new draft security advisory for the incident at' 'httpsgithubcomsolanalabssolanasecurityadvisories Add the reporters' 'github user and the solanalabssecurityincidentresponse group to the draft' 'security advisory Create a private fork of the repository grey button towards' 'the bottom of the page Respond to the reporter by email sharing a link to the' 'draft security advisory' 'If the advisory is the result of an audit finding follow the same process as' 'above but add the auditors github users and begin the title with Audit' ' TTrriiaaggee' 'Within the draft security advisory discuss and determine the severity of the' 'issue If necessary members of the solanalabssecurityincidentresponse' 'group may add other github users to the advisory to assist If it is determined' 'that this not a critical network issue then the advisory should be closed and' 'if more followup is required a normal Solana public github issue should be' 'created' ' PPrreeppaarree FFiixxeess' 'For the affected branches typically all three edge beta and stable prepare' 'a fix for the issue and push them to the corresponding branch in the private' 'repository associated with the draft security advisory There is no CI' 'available in the private repository so you must build from source and manually' 'verify fixes Code review from the reporter is ideal as well as from multiple' 'members of the core development team' ' NNoottiiffyy SSeeccuurriittyy GGrroouupp VVaalliiddaattoorrss' 'Once an ETA is available for the fix a member of the solanalabssecurity' 'incidentresponse group should notify the validators so they can prepare for an' 'update using the Solana Red Alert notification system The teams are all over' 'the world and its critical to provide actionable information at the right' 'time Dont be the person that wakes everybody up at am when a fix wont be' 'available for hours' ' SShhiipp tthhee ppaattcchh' 'Once the fix is accepted a member of the solanalabssecurityincident' 'response group should prepare a single patch file for each affected branch The' 'commit title for the patch should only contain the advisory id and not' 'disclose any further details about the incident Copy the patches to https' 'releasesolanacom under a subdirectory named after the advisory id example' 'httpsreleasesolanacomGHSAhxfgjghhvpatch Contact a member of' 'the solanalabsadmins group if you require access to releasesolanacom Using' 'the Solana Red Alert channel a Notify validators that theres an issue and' 'a patch will be provided in X minutes b If X minutes expires and theres no' 'patch notify of the delay and provide a new ETA c Provide links to patches of' 'httpsreleasesolanacom for each affected branch Validators can be expected' 'to build the patch from source against the latest release for the affected' 'branch Since the software version will not change after the patch is applied' 'request that each validator notify in the existing channel once theyve' 'updated Manually monitor the roll out until a sufficient amount of stake has' 'updated  typically at least  or  depending on the issue' ' PPuubblliicc DDiisscclloossuurree aanndd RReelleeaassee' 'Once the fix has been deployed to the security group validators the patches' 'from the security advisory may be merged into the main source repository A new' 'official release for each affected branch should be shipped and all validators' 'requested to upgrade as quickly as possible' ' SSeeccuurriittyy AAddvviissoorryy BBoouunnttyy AAccccoouunnttiinngg aanndd CClleeaannuupp' 'If this issue is eligible for a bounty prefix the title of the security' 'advisory with one of the following depending on the severity' '     Bounty Category Critical Loss of Funds' '     Bounty Category Critical Consensus  Safety Violations' '     Bounty Category Critical Liveness  Loss of Availability' '     Bounty Category Critical DoS Attacks' '     Bounty Category Supply Chain Attacks' '     Bounty Category RPC' 'Confirm with the reporter that they agree with the severity assessment and' 'discuss as required to reach a conclusion' 'We currently do not use the Github workflow to publish security advisories' 'Once the issue and fix have been disclosed and a bounty category is assessed' 'if appropriate the GitHub security advisory is no longer needed and can be' 'closed' 'SSeeccuurriittyy BBuugg BBoouunnttiieess' 'We offer bounties for critical security issues Please see below for more' 'details Either a demonstration or a valid bug report is all thats necessary' 'to submit a bug bounty A patch to fix the issue isnt required' 'LLoossss ooff FFuunnddss' ' USD in locked SOL tokens locked for  months' '     Theft of funds without users signature from any account' '     Theft of funds without users interaction in system token stake vote' '      programs' '     Theft of funds that requires users signature  creating a vote program' '      that drains the delegated stakes' 'CCoonnsseennssuussSSaaffeettyy VViioollaattiioonnss' ' USD in locked SOL tokens locked for  months' '     Consensus safety violation' '     Tricking a validator to accept an optimistic confirmation or rooted slot' '      without a double vote etc' 'LLiivveenneessss  LLoossss ooff AAvvaaiillaabbiilliittyy' ' USD in locked SOL tokens locked for  months' '     Whereby consensus halts and requires human intervention' '     Eclipse attacks' '     Remote attacks that partition the network' 'DDooSS AAttttaacckkss' ' USD in locked SOL tokens locked for  months' '     Remote resource exaustion via NonRPC protocols' 'SSuuppppllyy CChhaaiinn AAttttaacckkss' ' USD in locked SOL tokens locked for  months' '     Nonsocial attacks against source code change management automated' '      testing release build release publication and release hosting' '      infrastructure of the monorepo' 'RRPPCC DDooSSCCrraasshheess' ' USD in locked SOL tokens locked for  months' '     RPC attacks' 'OOuutt ooff SSccooppee' 'The following components are out of scope for the bounty program' '     Metrics metrics in the monorepo as well as httpsmetricssolanacom' '     Explorer explorer in the monorepo as well as https' '      explorersolanacom' '     Any encrypted credentials auth tokens etc checked into the repo' '     Bugs in dependencies Please take them upstream' '     Attacks that require social engineering' '     Any undeveloped automated tooling scanners etc results OK with' '      developed PoC' '     Any asset whose source code does not exist in this repository including' '      but not limited to any and all web properties not explicitly listed on' '      this page' 'EElliiggiibbiilliittyy' '     The participant submitting the bug report shall follow the process' '      outlined within this document' '     Valid exploits can be eligible even if they are not successfully executed' '      on the cluster' '     Multiple submissions for the same class of exploit are still eligible for' '      compensation though may be compensated at a lower rate however these' '      will be assessed on a casebycase basis' '     Participants must complete KYC and sign the participation agreement here' '      when the registrations are open httpssolanafoundationkyc Security' '      exploits will still be assessed and open for submission at all times' '      This needs only be done prior to distribution of tokens' 'DDuupplliiccaattee RReeppoorrttss' 'Compensation for duplicative reports will be split among reporters with first' 'to report taking priority using the following equation' 'R total reports' 'ri report priority' 'bi bounty share' '' 'bi    R  ri  R  ' 'BBoouunnttyy SSpplliitt EExxaammpplleess' 'ttoottaall   pprriioorriittyy  sshhaarree  ttoottaall   pprriioorriittyy  sshhaarree  ttoottaall rreeppoorrttss pprriioorriittyy  sshhaarree' 'rreeppoorrttss                  rreeppoorrttss' '                                                         ' '                                                               ' '                                                               ' '                                                        ' '                                                        ' '                                 ' 'PPaayymmeenntt ooff BBuugg BBoouunnttiieess' '     Bounties are currently awarded on a rollingweekly basis and paid out' '      within  days upon receipt of an invoice' '     The SOLUSD conversion rate used for payments is the market price of SOL' '      denominated in USD at the end of the day the invoice is submitted by' '      the researcher' '     The reference for this price is the Closing Price given by Coingeckocom' '      on that date given here httpswwwcoingeckocomencoinssolana' '      historicaldatausdpanel' '     Bug bounties that are paid out in SOL are paid to stake accounts with a' '      lockup expiring  months from the date of delivery of SOL
bbfamily/abu,,
dvf/blockchain,,
lbryio/lbry-sdk,ci' 'active' '374260' 'slack' 'active' '11479494' 'pages-build-deployment' 'active' '16753967,SSuuppppoorrtteedd VVeerrssiioonnss' 'While we are not at v yet only the latest release will be supported' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'See httpslbrycomfaqsecurity
lightningnetwork/lnd,CI' 'active' '1258384' 'CI' 'active' '2660470' 'Docker image build' 'active' '3728363' 'Release build' 'active' '3843138' 'CodeQL' 'active' '5646064' 'docker-sign-container' 'active' '13764070' 'Pull Request Stats' 'active' '36573480' '.github/workflows/setup.yml' 'active' '38900298' '.github/workflows/action.yml' 'active' '38909878,SSuuppppoorrtteedd VVeerrssiioonnss' 'The last major lnd release is to be considered the current support version' 'Given an issue severe enough a backport will be issued either to the prior' 'major release or the set of releases considered utilized enough' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report security issues send an email to securitylightningengineering' 'this list isnt to be used for support' 'The following key can be used to communicate sensitive information' 'FECDDABBABCEBCBAF
