author_repo,wf_contents,security_policy
twbs/bootstrap,JS Tests' 'active' '72792' 'Lint' 'active' '72793' 'BrowserStack' 'active' '72794' 'CSS' 'active' '72796' 'Docs' 'active' '72798' 'Tests' 'active' '157748' 'CSS (Dart Sass)' 'active' '430636' 'Release notes' 'active' '900394' 'Bundlewatch' 'active' '1030890' 'CodeQL' 'active' '1149056' 'CSS (node-sass)' 'active' '2687666' 'Tests' 'active' '14425510' 'cspell' 'active' '16687980' 'Close Issue Awaiting Reply' 'active' '20412350' 'Issue Labeled' 'active' '20412351' 'pages-build-deployment' 'active' '20412443' 'Compress Images' 'active' '26633268,The Bootstrap team and community take security issues in Bootstrap seriously' 'We appreciate your efforts to responsibly disclose your findings and will make' 'every effort to acknowledge your contributions' 'To report a security issue email securitygetbootstrapcom and include the' 'word SECURITY in the subject line' 'Well endeavor to respond quickly and will keep you updated throughout the' 'process
ColorlibHQ/AdminLTE,CI' 'active' '1431314' 'CodeQL' 'active' '1891664' 'Docs' 'active' '1447074' 'Lint' 'active' '1431350,
tabler/tabler,Test build' 'active' '340280' 'Bundlewatch' 'active' '38360226' 'Changed lock files' 'active' '39303034,We take security very seriously and ask that you follow the following process' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think you may have found a security bug we ask that you privately send' 'the details to supporttablerio Please make sure to use a descriptive title' 'in the email
mdbootstrap/mdb-ui-kit,,
react-bootstrap/react-bootstrap,Node CI' 'active' '171748' 'CI' 'active' '944696,
ColorlibHQ/gentelella,pages-build-deployment' 'active' '33697339,
verekia/js-stack-from-scratch,,
bootstrap-vue/bootstrap-vue,Build' 'active' '1955181' 'CodeQL' 'active' '3359259' 'Tests' 'active' '1001483,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' 'x     ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'The BootstrapVue team takes security issues very seriously We appreciate your' 'efforts to responsibly disclose your findings and will make every effort to' 'acknowledge your contributions' 'To report a security issue email bootstrapvuejsgmailcom and include the' 'word SECURITY in the subject line' 'Well endeavor to respond quickly and will keep you updated throughout the' 'process
thomaspark/bootswatch,CI' 'active' '2522747' 'pages-build-deployment' 'active' '17077734,
selectize/selectize.js,Update Contributors' 'active' '15332470' 'CodeQL' 'active' '9884565' 'Node.js CI' 'active' '3333994' 'Mark stale issues and pull requests' 'active' '4618608' 'pages-build-deployment' 'active' '29922074,SSuuppppoorrtteedd VVeerrssiioonnss' 'The following versions are currently being supported with security updates' 'VVeerrssiioonn  SSuuppppoorrtteedd' 'x   ' 'x   ' 'x   ' 'x   ' '  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'File an issue with details and create a pull request with proposed changes' '     Open an issue
uxsolutions/bootstrap-datepicker,' 'active' '159674' 'CI' 'active' '5262132,
coreui/coreui-free-bootstrap-admin-template,,
wenzhixin/bootstrap-table,Deploy Site' 'active' '25542845' 'Test' 'active' '25578467' 'pages-build-deployment' 'active' '24805128,
reactstrap/reactstrap,Test Coverage' 'active' '12754460' 'Manually Publish Docs' 'active' '12785375' 'Release Bot' 'active' '14608529' 'Tag Release on Master' 'active' '13459543' 'Node.js CI' 'active' '12712845,SSuuppppoorrtteedd VVeerrssiioonnss' 'Currently only the latest version is supported' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'SSeeccuurriittyy ccoonnttaacctt iinnffoorrmmaattiioonn' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure
Templarian/MaterialDesign,CD Font Build' 'active' '617186,
snapappointments/bootstrap-select,Cypress Tests' 'active' '20306864' 'lint' 'active' '15653524' 'publish' 'active' '15653525,
mdbootstrap/material-design-for-bootstrap,CI' 'active' '508333,
StartBootstrap/startbootstrap-sb-admin-2,,
ng-bootstrap/ng-bootstrap,ci' 'active' '5821891,
BlackrockDigital/startbootstrap,,
olton/Metro-UI-CSS,,
twbs/icons,Tests' 'active' '167448' 'CodeQL' 'active' '5645161' 'Deploy' 'active' '809859' 'Release notes' 'active' '713180' 'Tests' 'active' '64882' 'pages-build-deployment' 'active' '19008888,
creativetimofficial/material-kit,Autocloser' 'active' '1531124' 'pages-build-deployment' 'active' '21318529,
valor-software/ngx-bootstrap,on-pull-request' 'active' '5789199' 'on-pull-request-or-push' 'active' '9710046' 'on-release' 'active' '5856719' 'pages-build-deployment' 'active' '16596831,
givanz/VvvebJs,,
kartik-v/bootstrap-fileinput,,
Bttstrp/bootstrap-switch,,
jschr/bootstrap-modal,,
cloudfavorites/favorites-web,,
cydrobolt/polr,,
seyhunak/twitter-bootstrap-rails,,
cookiecutter-flask/cookiecutter-flask,Build Status' 'active' '22965121' 'CodeQL' 'active' '22965270' 'Auto Build Example Repo' 'active' '22965399,contact a maintainer
coreui/coreui-free-react-admin-template,NPM Installation' 'active' '29883502' 'Mark stale issues and pull requests' 'active' '18458107,
ddnexus/pagy,Pagy CI' 'active' '8123742' 'Pagy3 CI' 'active' '8131249' 'Release Gem' 'active' '14700020' 'pages-build-deployment' 'active' '17095181' 'Publish Retype powered website to GitHub Pages' 'active' '30408742,Please report any security issue with pagy by sending an email to' 'ddnexusgmailcom
0wczar/airframe-react,,
TheLocehiliosan/yadm,Scheduled Site Tests' 'active' '3775363' 'Close Stale Issues' 'active' '16761028' 'Tests' 'active' '3775213' 'pages-build-deployment' 'active' '21962249,
bansal/pattern.css,pages-build-deployment' 'active' '29992964,
json-editor/json-editor,Build and Test' 'active' '8101935' 'pages-build-deployment' 'active' '17759338,
primefaces/primereact,Comment By Label In Issues and PRs' 'active' '34557004' 'Label To Issues and PRs' 'active' '34555642' 'Daily Build' 'active' '34165757' 'NodeJS CI' 'active' '23433196' 'Verify Linked Issue In PRs' 'active' '34555643' 'Stale Issues and PRs' 'active' '34555644,
yangzongzhuan/RuoYi,,
cotes2020/jekyll-theme-chirpy,CI' 'active' '423603' 'Intercept bad issues' 'active' '9181374' 'Lint Commit Messages' 'active' '20900438' 'Style Lint' 'active' '38108232' 'CD' 'active' '41466700,
wp-bootstrap/wp-bootstrap-navwalker,,
stisla/stisla,authors update' 'active' '29025560' 'deploy demo to gh-pages' 'disabled_manually' '28049814' 'Stale issue handler' 'active' '29025561' 'pages-build-deployment' 'active' '28049962,
Daemonite/material,,
TheLartians/ModernCppStarter,Dockcross' 'active' '12699460' 'run Docker CI' 'active' '23360728' 'Docker' 'active' '2875421' 'Documentation' 'active' '1457586' 'Install' 'active' '1014494' 'MacOS' 'active' '1000220' 'Release' 'active' '42092686' 'Standalone' 'active' '1020916' 'Style' 'active' '1000221' 'Test' 'active' '42092687' 'Ubuntu' 'active' '1000222' 'Windows' 'active' '1000223,
coreui/coreui-free-vue-admin-template,Mark stale issues and pull requests' 'active' '18458090' 'NPM Installation' 'active' '29892364,
midwayjs/pandora,Node.js CI' 'active' '1217730,
StartBootstrap/startbootstrap-sb-admin,pages-build-deployment' 'active' '22467746,
seiyria/bootstrap-slider,,
understrap/understrap,Lint' 'active' '21503587,
modularcode/modular-admin-html,,
lipis/bootstrap-social,,
tonytomov/jqGrid,,
misterGF/CoPilot,,
jasny/bootstrap,,
Megabit/Blazorise,ASP.NET Core 3.0-p9' 'active' '174208' 'Blazorise Push CI' 'active' '1056581' 'CLA Assistant' 'active' '23069410' 'Label Actions' 'active' '23183589' 'Check for Stale Expecting Answer' 'active' '23936921,
LavaLite/cms,,
nas5w/100-days-of-code-frontend,,
changeweb/Unifiedtransform,pages-build-deployment' 'active' '16414882,
bitwarden/web,Build' 'active' '4419157' 'Release' 'active' '9836104' 'QA Deploy' 'active' '10862740' 'Crowdin Pull' 'active' '14923621' 'Version Bump' 'active' '15853203' 'pages-build-deployment' 'active' '17509503' 'Enforce PR labels' 'active' '19972222' 'Workflow Linter' 'active' '20085322,crucial to keeping our users safe If you believe youve found a security issue' 'in our product or service we encourage you to please submit a report through' 'our HackerOne Program We welcome working with you to resolve the issue' 'promptly Thanks in advance' 'DDiisscclloossuurree PPoolliiccyy' '     Let us know as soon as possible upon discovery of a potential security' '      issue and well make every effort to quickly resolve the issue' '     Provide us a reasonable amount of time to resolve the issue before any' '      disclosure to the public or a thirdparty We may publicly disclose the' '      issue before resolving it if appropriate' '     Make a good faith effort to avoid privacy violations destruction of' '      data and interruption or degradation of our service Only interact with' '      accounts you own or with explicit permission of the account holder' '     If you would like to encrypt your report please use the PGP key with' '      long ID xDEFFECCCDBF available in the' '      public keyserver pool' 'While researching wed like to ask you to refrain from' '     Denial of service' '     Spamming' '     Social engineering including phishing of Bitwarden staff or contractors' '     Any physical attempts against Bitwarden property or data centers' 'WWee wwaanntt ttoo hheellpp yyoouu' 'If you have something that you feel is close to exploitation or if youd like' 'some information regarding the internal API or generally have any questions' 'regarding the app that would help in your efforts please email us at https' 'bitwardencomcontact and ask for that information As stated above Bitwarden' 'wants to help you find issues and is more than willing to help' 'Thank you for helping keep Bitwarden and our users safe
ngx-formly/ngx-formly,CI' 'active' '1651021' 'Release' 'active' '1652506,
StartBootstrap/startbootstrap-freelancer,pages-build-deployment' 'active' '22458666,
twbs/bootlint,Tests' 'active' '167310' 'Code Scanning - Action' 'active' '1198206' 'Tests' 'active' '276177,
codedrinker/community,,
aozora/bootmetro,,
