author_repo,wf_contents,security_policy
ccxt/ccxt,,
discordjs/discord.js,Tests' 'active' '25215' 'Testing Cron' 'active' '169912' 'Publish dev' 'active' '9684652' 'Documentation' 'active' '17540428' 'Publish dev docker images' 'active' '28435733' 'Publish docker images' 'active' '28435734' 'Label sync' 'active' '30664906' 'npm auto deprecate' 'active' '30664907' 'PR Triage' 'active' '30664908' 'Tests' 'active' '30664909' 'Deployment' 'disabled_manually' '42796' 'CodeQL' 'disabled_manually' '2306835,
python-telegram-bot/python-telegram-bot,Testing your PR' 'active' '228251' 'Check Links in Documentation' 'active' '25668470' 'Test Documentation Build' 'active' '15723787' 'Warning maintainers' 'active' '114153' 'Lock Closed Threads' 'active' '2214494' 'Warning maintainers' 'active' '6528515' 'Warning maintainers' 'active' '5159271' 'Mark & close stale questions' 'active' '716128' 'GitHub Actions' 'active' '6664,
hubotio/hubot,,
RasaHQ/rasa,Continuous Integration' 'active' '351973' 'Publish Documentation' 'active' '543780' 'Automatic PR Merger' 'active' '1292328' 'CI - Model Regression' 'active' '1338191' 'CI - Model Regression on schedule' 'active' '1498790' 'Security Scans' 'active' '2993855' 'Typo CI' 'active' '4090055' 'Check if dependencies can be updated and create a pull request with updated ones.' 'active' '4876314' 'Docs Tests' 'active' '5281370' 'Automatic PR Merger' 'active' '6569898' 'Automatic main branch merger' 'active' '11055197' 'CI Github Actions' 'active' '17752909' 'Nightly Builds' 'active' '29866384' 'Cron Test to Check Pip Installation' 'disabled_manually' '18164861,
InstaPy/InstaPy,GitHub Pages' 'active' '14264573' 'PyPi' 'active' '14264574' 'Tests' 'active' '14234222' 'pages-build-deployment' 'active' '18163588,
wechaty/wechaty,NPM' 'active' '518207' 'Docker' 'active' '518443' 'Node.js CI' 'active' '1055697' 'Coverage' 'active' '12194685' 'pages-build-deployment' 'active' '16620457,
gunthercox/ChatterBot,Upload Python Package' 'active' '1173854,
tgbot-collection/YYeTsBot,build docker image' 'active' '10994579' 'Normal upgrade' 'active' '11524130' 'Rapid upgrade' 'active' '11524131' 'publish release' 'active' '11581175' 'CodeQL' 'active' '17340185' 'CI Test' 'active' '32256067,
Rapptz/discord.py,build' 'active' '21223222' 'crowdin download' 'active' '21909518' 'crowdin upload' 'active' '21909519' 'lint' 'active' '21223223' 'test' 'active' '21223224,
leon-ai/leon,Build' 'active' '6972175' 'Lint Commit Messages' 'active' '7315359' 'Lint' 'active' '6811712' 'Pre-release Python bridge' 'active' '36956906' 'Pre-release TCP server' 'active' '36956971' 'Tests' 'active' '6813568,
howdyai/botkit,,
botpress/botpress,Code Style' 'active' '29611' 'Tests' 'active' '29612' 'Publish Reference' 'active' '63832' 'Validate documentation' 'active' '189035' 'Docker' 'active' '1091699' 'Check PR' 'active' '4863545' 'Migration Tests' 'active' '6154114' 'Module Builder Docker Image' 'active' '8538900' 'Release Binaries' 'active' '13285602' 'Branch deleted' 'active' '13922350' 'Create Release Pull Request' 'active' '17977810' 'Draft-Release' 'active' '18201061' 'Slack Notification Demo' 'active' '18402473' 'Close Issues' 'active' '19461831' 'Build' 'active' '20056491' 'Publish Nightly Next Binaries' 'active' '20149776' 'Publish and release module builder' 'active' '21813993,
sfyc23/EverydayWechat,,
pedroslopez/whatsapp-web.js,Lint' 'active' '482765' 'release' 'active' '32409728' 'Update' 'active' '11344115' 'pages-build-deployment' 'active' '18411749,
microsoft/ailab,,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
microsoft/botframework-sdk,,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
EZFNDEV/EZFN-Lobbybot,,
yagop/node-telegram-bot-api,,
Mrs4s/go-cqhttp,release' 'active' '1991525' 'CI' 'active' '2083770' 'Lint' 'active' '6830312' 'Build And Push Docker Image' 'active' '15286887,
telegraf/telegraf,Node.js CI' 'active' '1676471' 'Release' 'active' '9955190' 'CI test' 'active' '30890651' 'pages-build-deployment' 'active' '17990055,
maxbbraun/trump2cash,,
deeppavlov/DeepPavlov,,
botman/botman,Run tests' 'active' '2651474,
Prince-Mendiratta/BotsApp,,
axa-group/nlp.js,Node.js CI' 'active' '4277397,
jef/streetmerchant,Continuous Integration' 'active' '2619956' 'Pull Request Linter' 'active' '2887319' 'Stale Checker' 'active' '4042015' 'Documentation' 'active' '4077419' 'Release' 'active' '5063478' 'Nightly Release' 'active' '5063558' 'pages-build-deployment' 'active' '17299061' 'Nightly Release Test' 'active' '38033474,
jesse-ai/jesse,CodeQL' 'disabled_manually' '15030288' 'Python application' 'active' '11599831,
ohld/igbot,,
orkestral/venom,build' 'active' '2665081' 'CodeQL' 'active' '3003082' 'commit lint' 'active' '2841316' 'Close inactive issues' 'active' '26011967' 'lint' 'active' '2664817' '.github/workflows/nightly.yml' 'active' '3599801' 'Publish' 'active' '2829987' '.github/workflows/replies-actions.yml' 'active' '27303574' 'pages-build-deployment' 'active' '16546104,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x   ' 'x   ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Use this section to tell people how to report a vulnerability' 'Tell them where to go how often they can expect to get an update on a reported' 'vulnerability what to expect if the vulnerability is accepted or declined' 'etc
chrisleekr/binance-trading-bot,Push' 'active' '6895288' 'Bump versions' 'active' '6895865' 'Release & Docker' 'active' '6902434,
Yoctol/bottender,Node.js CI' 'active' '1377449,
goq/telegram-list,,
PokemonGoF/PokemonGo-Bot,,
snipsco/snips-nlu,,
