author_repo,wf_contents,security_policy
CSSEGISandData/COVID-19,,
nytimes/covid-19-data,,
covid19india/covid19india-react,Build and Deploy' 'active' '832960' 'CI and Test' 'active' '967728' 'Claim Issue' 'active' '1111597' 'Mod' 'active' '1115002,
tokyo-metropolitan-gov/covid19,build check' 'active' '676025' 'reviewdog' 'active' '704046' 'OGP Builder' 'active' '748247' 'Pull Request Labeler' 'active' '885436' 'Auto-i18n Generator' 'active' '1127843' 'Audit staging URLs' 'active' '1934117' 'Check Statuses of Forked Sites' 'active' '6090174' 'danger' 'active' '9711111' 'Preview Deploy (only development)' 'active' '26344177' 'Deploy (development)' 'active' '26415356' 'Deploy (production)' 'active' '26415357' 'Deploy (staging)' 'active' '26415358' 'production deploy' 'disabled_manually' '658604' 'screenshot' 'disabled_manually' '665226,
owid/covid-19-data,Netlify deploy' 'active' '7356387,
pcm-dpc/COVID-19,,
ieee8023/covid-chestxray-dataset,CI Test' 'active' '1284334,
disease-sh/API,Eslint' 'active' '939328' 'Unittest' 'active' '939329' 'Docker Publish' 'active' '1127061,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' '       ' '       ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you find any vulnerability in our code or the API we are running please' 'contact us ASAP by creating an Issue or by trying to contact us through' 'Discord We do take this very seriously so actions will be taken towards any' 'person found exploiting these vulnerabilities' 'We will respond to you as fast as we can and start working to fix the problem' 'Please also keep in mind and understand that this is an opensource project and' 'that the maintainers also have other work to finish
geohot/corona,,
WorldHealthOrganization/app,Server CI' 'active' '938322' 'Policy Check' 'active' '1062091' 'Client CI' 'active' '1827653' 'CodeQL' 'active' '1898368' 'Static Content CI' 'active' '2260332,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'HackerOne hosts our Vulnerability Disclosure Program VDP Do not post' 'sensitive security issues on the public GitHub but report them to the HackerOne' 'VDP instead' 'httpshackeronecomwhocovidmobileapp' 'HHaacckkiinngg SSeerrvveerr' 'Please do all security testing against the dedicated hackwhocoronavirusorg' 'server Follow the build instructions and append flavor hack to all build' 'commands to use it The following build command will deploy the app to Android' 'and iOS simulator or connected device pointing to the hack server' 'flutter run flavor hack' 'It should not be an issue if you break the hack server but please be thoughtful' 'in doing so Please keep treat any server data as confidential but by design it' 'shouldnt contain any private data Please be more careful with the other' 'whocoronavirusorg servers as theyre used for active development' 'DDooccuummeennttaattiioonn' '     Design Docs' '     Open Security Issues' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'As a managed service we expect to always run the server on a recent version' 'The mobile clients will be prompted to update as new features are released and' 'in the case of a security issue
corona-warn-app/cwa-server,codeql-analysis-workflow' 'active' '1301307' 'hadolint-analysis-workflow' 'active' '1349339' 'markdown-analysis-workflow' 'active' '1389559' 'license-analysis-workflow' 'active' '1450322' 'Java CI with Maven' 'active' '25820792' 'maven-build' 'active' '25878298,The CoronaWarnApp is built with security and data privacy in mind to ensure' 'your data is safe' 'RReeppoorrttiinngg' 'We are grateful for security researchers and users reporting a vulnerability to' 'us first To ensure that your request is handled in a timely manner and non' 'disclosure of vulnerabilities can be assured please follow the below' 'guideline' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess ddiirreeccttllyy oonn GGiittHHuubb GGiittHHuubb IIssssuueess' 'ccaann bbee ppuubblliiccllyy sseeeenn aanndd tthheerreeffoorree wwoouulldd rreessuulltt iinn aa ddiirreecctt ddiisscclloossuurree' '     Please address questions about data privacy security concepts and other' '      media requests to the coronawarnappopensourcesapcom mailbox' '     For reporting a vulnerability please use the Vulnerability Report Form' '      for Security Researchers on SAP Trust Center' '          o Please select CoronaWarnApp in the pprroodduucctt list' '          o In the vveerrssiioonnss field either note the specific release version or' '            commit id of the main branch you investigated' '          o The affected repository should be mentioned in the vvuullnneerraabbiilliittyy' '            ddeessccrriippttiioonn' '          o Please use this channel only for reporting vulnerabilities of the' '            ccwwaasseerrvveerr component and check the security of the respective' '            repositories for other components' 'DDiisscclloossuurree HHaannddlliinngg' 'SAP is committed to timely review and respond to your request The resolution' 'of code defects will be handled by a dedicated group of security experts and' 'prepared in a private GitHub repository The project will inform the public' 'about resolved security vulnerabilities For more information on the disclosure' 'guidelines please consult SAP security information page
ahmadawais/corona-cli,,
github/covid19-dashboard,GH-Pages Status' 'active' '750161' 'Update Page On Push To Master' 'active' '839285' 'Close stale PRs' 'active' '840633' 'Update Notebooks And Refresh Page' 'active' '932115' 'pages-build-deployment' 'active' '16396847,SSeeccuurriittyy' 'GitHub takes the security of our software products and services seriously' 'including all of the open source code repositories managed through our GitHub' 'organizations such as GitHub' 'Even though open source repositories are outside of the scope of our bug bounty' 'program and therefore not eligible for bounty rewards we will ensure that your' 'finding gets passed along to the appropriate maintainers for remediation' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If you believe you have found a security vulnerability in any GitHubowned' 'repository please report it to us through coordinated disclosure' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Instead please send an email to opensourcesecuritygithubcom' 'Please include as much of the information listed below as you can to help us' 'better understand and resolve the issue' '     The type of issue eg buffer overflow SQL injection or crosssite' '      scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPoolliiccyy' 'See GitHubs Safe Harbor Policy
ExpDev07/coronavirus-tracker-api,,
soroushchehresa/awesome-coronavirus,pages-build-deployment' 'active' '16494238,
mhdhejazi/CoronaTracker,,
chandrikadeb7/Face-Mask-Detection,Auto Assign' 'active' '5923071' 'Greetings' 'active' '5567715' 'pages-build-deployment' 'active' '16491235,
neherlab/covid19_scenarios,Update case counts data' 'active' '3863668' 'eslint' 'active' '1008375,
pomber/covid19,.github/workflows/main.yml' 'active' '752305' 'pages-build-deployment' 'active' '16421387,
covidpass-org/covidpass,Publish' 'active' '10840134,
chrismattmann/tika-python,,
datasets/covid-19,Process Data' 'active' '829608,
lindawangg/COVID-Net,,
cirosantilli/china-dictatorship,Issue' 'active' '8164448' 'pages-build-deployment' 'active' '16764579,
FoldingAtHome/coronavirus,,
UCSD-AI4H/COVID-CT,,
MoH-Malaysia/covid19-public,,
ImperialCollegeLondon/covid19model,.github/workflows/ci.yml' 'active' '942877,
nychealth/coronavirus-data,,
neuml/paperai,build' 'active' '3347512,
makers-for-life/makair,,
OxCGRT/covid-policy-tracker,Data link to OxCGRT' 'active' '985133' 'An R workflow to automate daily updates of main repo timeseries csv' 'active' '3642077,
fahadshamshad/awesome-transformers-in-medical-imaging,,
globalcitizen/2019-wuhan-coronavirus-data,,
ryansmcgee/seirsplus,,
pallupz/covid-vaccine-booking,CI Windows EXE Build' 'disabled_manually' '8704946,
RehanSaeed/Schema.NET,Build' 'active' '80562' 'CodeQL' 'active' '2801603' 'Release Drafter' 'active' '1465493,SSuuppppoorrtteedd VVeerrssiioonnss' 'This project supports only the latest version with security updates However' 'well do our best to help and answer questions about older versions' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Contact Muhammad Rehan Saeed to report a security vulnerability You will be' 'thanked
rbignon/doctoshotgun,Unit tests' 'active' '9310818,
kawalcovid19/wargabantuwarga.com,CodeQL' 'active' '11147242' 'Deploy' 'active' '11030255' 'Web Perf Check for Pull Request' 'active' '12163174' 'Web Perf Check' 'active' '11604173' 'Lighthouse' 'active' '11524463' 'Preview deploy' 'active' '11198300' 'CI' 'active' '11196368' 'Triggering LHCI' 'active' '11526048,
timreibe/vaccipy,build' 'active' '9429244' 'deploy' 'active' '9455132' 'pages-build-deployment' 'active' '36790095,
italia/covid19-opendata-vaccini,,
google/exposure-notifications-android,,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
MohGovIL/hamagen-react-native,Build' 'active' '898091,
MinCiencia/Datos-COVID19,Actualiza_productos_diarios' 'active' '1133463' 'Actualiza_productos_de_informe_epidemiologico' 'active' '1152698' 'Upload std prod' 'active' '1202978' 'Actualiza_productos_de_Registro_Civil' 'active' '1321543' 'Actualiza_productos_de_Registro_Civil_historicos' 'active' '1368734' 'Actualiza_productos_de_UDD' 'active' '1398738' 'Actualiza_productos_de_SOCHIMI' 'active' '1847979' 'Actualiza_productos_de_defunciones_DEIS' 'active' '1932146' 'Actualiza_productos_de_JAC' 'active' '2025046' 'Actualiza_productos_de_ISCI' 'active' '2048554' 'Actualiza_productos_UC' 'active' '2238401' 'Actualiza_productos_de_informe_testeo_trazabilidad' 'active' '2862887' 'verificación' 'active' '4928433' 'Actualiza_info_campaña_vacunación' 'active' '5310879' 'traffic_daily_processing' 'active' '5516926' 'Actualiza_productos_de_MMA_MP' 'active' '5775827' 'Actualiza_productos_de_MMA_otres' 'active' '5775828' 'Actualiza Balance Diario' 'active' '11229167' 'Actualiza Informe EPI' 'active' '11264151' 'Actualiza Balance Vacunacion' 'active' '12313646' 'Actualiza sospechosos p37' ' p50 y p84' 'active' '12410098' 'Actualiza_incidencia_vacunas' 'active' '22177847' 'Exceso_mortalidad' 'active' '30725994,
CITF-Malaysia/citf-public,,
VinAIResearch/BERTweet,,
phildini/stayinghomeclub,,
RamiKrispin/coronavirus,R CMD' 'active' '558668' 'Data Pipeline' 'active' '1068478' 'pages-build-deployment' 'active' '16397641,
JoHof/lungmask,,
GoogleCloudPlatform/covid-19-open-data,Test Data Pipeline' 'active' '1991819,
AaronWard/covidify,,
github/covid-19-repo-data,,SSeeccuurriittyy' 'GitHub takes the security of our software products and services seriously' 'including all of the open source code repositories managed through our GitHub' 'organizations such as GitHub' 'Even though open source repositories are outside of the scope of our bug bounty' 'program and therefore not eligible for bounty rewards we will ensure that your' 'finding gets passed along to the appropriate maintainers for remediation' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If you believe you have found a security vulnerability in any GitHubowned' 'repository please report it to us through coordinated disclosure' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Instead please send an email to opensourcesecuritygithubcom' 'Please include as much of the information listed below as you can to help us' 'better understand and resolve the issue' '     The type of issue eg buffer overflow SQL injection or crosssite' '      scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPoolliiccyy' 'See GitHubs Safe Harbor Policy
Nicolasking007/Scriptable,,
GuangchuangYu/nCov2019,,
wcota/covid19br,,
reichlab/covid19-forecast-hub,Trigger zoltar upload' 'active' '1872215' '(Active) Update JHU' ' NY Times' ' USAFacts truth data weekly' 'active' '6992335' 'Validations v4 (testing)' 'active' '14335456' 'Node.js CI' 'disabled_manually' '1694397' 'Single forecast zoltar upload' 'disabled_manually' '1881403' 'Validate a single/pattern forecast file' 'disabled_manually' '1906021' 'Deploy to GitHub Pages' 'disabled_manually' '1943709' 'Update local visualization' 'disabled_manually' '3223587' 'Pull Request Labeler' 'disabled_manually' '5408899' 'Validations v2' 'disabled_manually' '5650046' '(Deprecated) Update JHU' ' NY Times' ' USAFacts truth data weekly' 'disabled_manually' '6992336' 'Migrate source field' 'disabled_manually' '9321859,
M-Media-Group/Covid-19-API,,
lispc/covid19-citymap-china,pages-build-deployment' 'active' '17658022,
Ank-Cha/Social-Distancing-Analyser-COVID-19,,
asreview/asreview,' 'active' '398999' 'test-core' 'active' '1051159' 'test-frontend' 'active' '1051160' 'Docs Check' 'active' '398997' 'test-extensions' 'active' '13905636' 'Deploy and release' 'active' '462455,
swsoyee/2019-ncov-japan,表示用データセット作成' 'active' '1185159,
ayushi7rawat/Youtube-Projects,,
covidatlas/coronadatascraper,Deploy CI' 'active' '787237' 'Scraper Status CI' 'active' '793546' 'Test CI' 'active' '772072,
vita-epfl/monoloco,Tests' 'active' '8404244,
cabani/MaskedFace-Net,,
midudev/covid-vacuna,Download latest COVID-19 Status vaccination' 'active' '5133489,
HzFu/COVID19_imaging_AI_paper_list,,
deepset-ai/COVID-QA,,
ccodwg/Covid19Canada,,
amodm/api-covid19-in,,
stevenliuyi/covid19,Update Haiti/Venezuela Data' 'active' '1519113' 'Update Ghana Data' 'active' '1544584' 'Update Morocco Data' 'active' '1549397' 'Update Pakistan/Nepal Data' 'active' '1560589' 'Update Bangladesh Data' 'active' '1561802' 'Update Guatemala Data' 'active' '2066094' 'Update Slovenia Data' 'active' '2072166' 'Update Croatia Data' 'active' '6181741' 'Update Datasets' 'disabled_manually' '807277,
JohnCoene/coronavirus,R-CMD-check' 'active' '529160,
anshumanpattnaik/covid19-full-stack-application,,
devarthurribeiro/covid19-brazil-api,Data extract' 'active' '856169' 'pages-build-deployment' 'active' '16757573,
aatishb/covidtrends,Lighthouse Audit' 'active' '1222953' 'Node.js CI' 'active' '1174689,
bhattbhavesh91/cowin-vaccination-slot-availability,,
CogStack/MedCAT,build' 'active' '11662899' 'production' 'active' '13199972' 'publish-to-test-pypi' 'active' '12987447,
hodcroftlab/covariants,Release checks' 'disabled_manually' '14066492,
paulvangentcom/python_corona_simulation,,
opencovid19-fr/data,Node.js CI' 'active' '755226,
open-covid-19/data,Run Data Pipeline' 'disabled_inactivity' '1367546,
wobsoriano/covid3d,Scrape Data' 'disabled_manually' '3473761,
hzi-braunschweig/SORMAS-Project,Java CI with Maven' 'active' '4266729' 'Publish GitHub Pages' 'active' '7554079' 'Validate Gradle Wrapper' 'active' '13671449' 'Lint Code Base' 'active' '6268172' 'OpenAPI Canary' 'active' '8081342' 'Skip Required Status' 'active' '16729377' 'Java CI with Gradle' 'active' '13669319' 'pages-build-deployment' 'active' '16423030,This document outlines security procedures and general policies for the SORMAS' 'project' '     Security Policies and Procedures' '          o Reporting a Security Bug' '          o Disclosure Policy' '          o Comments on this Policy' 'If you want to report a bug which is not security sensible please submit an' 'issue' 'RReeppoorrttiinngg aa SSeeccuurriittyy BBuugg' 'Our team and community take all security bugs in SORMAS seriously Thank you' 'for improving the security of SORMAS We appreciate your efforts and' 'responsible disclosure and will make every effort to acknowledge your' 'contributions Unfortunately SORMAS does not offer a paid bug bounty programme' 'or other forms of compensation' 'Report security bugs by emailing at sseeccuurriittyyssoorrmmaassoorrgg' 'We will acknowledge your email and follow up with a response within  business' 'days or explain why a reply may take longer The response will indicate the' 'next steps in handling your report After the initial reply to your report the' 'security team will endeavor to keep you informed of the progress towards a fix' 'and full announcement and may ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module' 'DDiisscclloossuurree PPoolliiccyy' 'When the security team receives a security bug report they will assign it to a' 'primary handler This person will coordinate the fix and release process' 'involving the following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible' 'CCoommmmeennttss oonn tthhiiss PPoolliiccyy' 'If you have suggestions on how this process could be improved please submit a' 'pull request
trekhleb/covid-19,,
K-G-PRAJWAL/ReactJS-Projects,,
hostolab/covidliste,Quality' 'active' '7551557' 'Test' 'active' '7484845,
fluttercandies/ncov_2019,,
saimj7/People-Counting-in-Real-Time,,
marlon360/rki-covid-api,Code style' 'active' '8639806' 'Deploy to Railway' 'active' '14754680' 'Publish Docker Image' 'active' '4169215' 'Purge cache' 'active' '25066885,
DataForScience/Epidemiology101,pages-build-deployment' 'active' '19855539,
nasa-jpl/Pulse,,
microCOVID/microCOVID,CI' 'active' '2289089' 'Prevalence' 'active' '12416287' 'Merge prevalence updates' 'active' '12603033,
dsfsi/covid19za,Scrape Mobility Reports for South Africa' 'active' '1980171' 'Scrape provincial vaccinations data from sacoronavirus.co.za' 'active' '11415411' 'Scrape prov cases' 'deaths' 'recov from sacoronavirus.co.za and/or nicd.ac.za' 'active' '12545054' 'Scrape provincial hospitalization data from nicd.ac.za' 'active' '16139244' 'Rt Bayesian model (1)' 'disabled_manually' '1195314' 'Rt MCMC model (2)' 'disabled_manually' '2143368' 'CodeQL' 'disabled_manually' '12417620,
alfonsrv/impf-botpy,,
covid19datahub/COVID19,pkgdown' 'active' '1249576' 'pages-build-deployment' 'active' '16399634,
publichealthengland/coronavirus-dashboard,PRODUCTION deployment' 'active' '1039698' 'Build' 'active' '1083038' 'Build and deploy Node.js app to Azure Web App - Covid19StaticSTAGING' 'active' '1267609' 'CodeQL' 'active' '10184389' 'Deploy Dashboard (Static Website) to Sandbox Environment.' 'active' '41322096,
yunwei37/COVID-19-NLP-vis,pages-build-deployment' 'active' '21605119,
YiranJing/Coronavirus-Epidemic-COVID-19,,
COVID-19-electronic-health-system/Corona-tracker,Upload website to QA bucket' 'active' '1197151,
smxl/500,,
