author_repo,wf_contents,security_policy
CyC2018/CS-Notes,pages-build-deployment' 'active' '19311481,
practical-tutorials/project-based-learning,,
azl397985856/leetcode,Compress images' 'active' '158201' 'Continuous Integration' 'active' '22197577' 'pages-build-deployment' 'active' '16532400,
fffaraz/awesome-cpp,,
x64dbg/x64dbg,Build' 'active' '13345794' 'Gitee sync' 'active' '17956436,
youngyangyang04/leetcode-master,,
carbon-language/carbon-lang,pre-commit' 'active' '3248331' 'test' 'active' '6323533' 'Dependent Issues' 'active' '7548814' 'Triage inactive issues and PRs' 'active' '11676346' 'Auto Assign' 'active' '29818305' 'sync-repos' 'active' '31415402' 'Proposal labeled' 'active' '32133863' 'Proposal ready for review' 'active' '32285557' 'spellcheck' 'active' '32322042' 'Wiki Changed Discord Notification' 'active' '33091799' 'Auto label PRs' 'active' '43126811,
huihut/interview,pages-build-deployment' 'active' '21233709,
microsoft/calculator,,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and' 'many more' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center at' 'securemicrosoftcom If possible encrypt your message with our PGP key' 'please download it from the Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
CMU-Perceptual-Computing-Lab/openpose,CI' 'active' '4941227' 'pages-build-deployment' 'active' '22537027,
yuzu-emu/yuzu,yuzu-ci' 'active' '14233941' 'yuzu verify' 'active' '28543803,
TheAlgorithms/C-Plus-Plus,Doxygen CI' 'active' '1620215' 'Awesome CI Workflow' 'active' '1623885' 'CodeQL' 'active' '6657497' 'Add "approved" label when approved' 'active' '8927500' 'Close stale issues and PRs' 'active' '13132521' 'pages-build-deployment' 'active' '17210565' 'Check Code Coverage' 'active' '33952880' 'CodeQL' 'active' '35965304' 'CodeQL' 'active' '35989994,
doocs/leetcode,Greetings' 'active' '201064' 'compress-images' 'active' '7935211' 'update-starcharts' 'active' '13667671' 'pages-build-deployment' 'active' '16478861,
changkun/modern-cpp-tutorial,Website' 'active' '4337556,
ethereum/solidity,buildpack-deps' 'active' '1875405' 'Add new issues to triage column' 'active' '36930809' 'External contributor greeter' 'active' '38318230' 'Check stale issues and pull requests' 'active' '41684805,The Solidity team and community take all security bugs in Solidity seriously' 'We appreciate your efforts and responsible disclosure and will make every' 'effort to acknowledge your contributions' 'SSccooppee' 'Bugs in the Solidity repository are in scope Bugs in thirdparty dependencies' 'eg jsoncpp boost etc are not in scope unless they result in a Solidity' 'specific bug' 'Only bugs that have a demonstrable security impact on smart contracts are in' 'scope For example a Solidity program whose optimization is incorrect eg' 'leads to an incorrect output qualifies as a security bug Please note that the' 'rules of the Ethereum bounty program have precedence over this security policy' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'As a general rule only the latest release gets security updates Exceptions' 'may be made when the current breaking release is relatively new eg less than' 'three months old If you are reporting a bug please state clearly the Solidity' 'versions it affects' 'Example  Assuming the current release is  and a security bug has been' 'found in it that affects both x and x trees we may not only patch' ' the bugfix release numbered  but x as well the bugfix' 'release numbered x' 'Example  Assuming the current release is  and a security bug has been' 'found in it we may only patch  in the bugfix release numbered ' 'even if the bug affects a previous tree such as x' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability please follow the instructions stated in the' 'Ethereum bounty program' 'In the bug report please include all details necessary to reproduce the' 'vulnerability such as' '     Input program that triggers the bug' '     Compiler version affected' '     Target EVM version' '     FrameworkIDE if applicable' '     EVM execution environmentclient if applicable' '     Operating system' 'Please include steps to reproduce the bug you have found in as much detail as' 'possible' 'Once we have received your bug report we will try to reproduce it and provide' 'a more detailed response Once the reported bug has been successfully' 'reproduced the Solidity team will work on a fix' 'The Solidity team maintains the following JSONformatted lists of patched' 'security vulnerabilities' '     Summary of known security vulnerabilities' '     List of security vulnerabilities affecting a specific version of the' '      compiler
microsoft/vcpkg,Build' 'active' '11796090' 'Post PR Suggestions' 'active' '11642551' 'PR Suggestions' 'active' '11642552' 'Doc Validation' 'active' '26390254,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
gabime/spdlog,ci' 'active' '36441245,
dragonflydb/dragonfly,ci-tests' 'active' '16661796' 'docker release' 'active' '20638882' 'weekly docker build' 'active' '44010146' 'Regression Tests' 'active' '40662129' 'Version Release' 'active' '26816669' 'Reusable Container Build Workflow' 'active' '43907709,
catchorg/Catch2,Check header guards' 'active' '3427008' 'Mac builds' 'active' '3892693' 'Linux builds (complex)' 'active' '8666643' 'Linux builds (basic)' 'active' '8666644' 'Linux builds (meson)' 'active' '35261990' 'Bazel build' 'active' '40166919' 'Windows builds (basic)' 'active' '43257148,SSuuppppoorrtteedd VVeerrssiioonnss' '     Versions x branch Catchx are no longer supported' '     Versions x branch vx are currently supported' '     devel branch serves for stableish development and is supported but' '      branches devel are considered short lived and are not supported' '      separately' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Due to its nature as a uunniitt test framework Catch shouldnt interact with' 'untrusted inputs and there shouldnt be many security vulnerabilities in it' 'However if you find one you send email to martin horenovsky gmail com If you' 'want to encrypt the email my pgp key is EC F BA   BD ECC' 'CE B 
ssloy/tinyrenderer,,
AnthonyCalandra/modern-cpp-features,auto-generate-readme' 'disabled_manually' '15936996,
Qv2ray/Qv2ray,Qv2ray build matrix - cmake' 'active' '698782' 'Qv2ray build debian package' 'active' '812057' 'Qv2ray Windows Installer' 'active' '907729' 'Update release files hash' 'active' '1095669' 'Qv2ray build matrix - Qt6' 'active' '4118208' 'Build for Desktop' 'active' '30628938,
facebook/infer,website' 'active' '686088' 'build' 'active' '1413145' 'pages-build-deployment' 'active' '18228779,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
antlr/antlr4,antlr4' 'active' '30344827,
CoatiSoftware/Sourcetrail,,
google/tink,CodeQL' 'active' '3012430' 'pages-build-deployment' 'active' '16398818,vulnz for our intake and coordination and disclose vulnerabilities using' 'GitHub Security Advisory The Google Security Team will respond within ' 'working days of your report on gcovulnz
kyleneideck/BackgroundMusic,Build' ' Test and Release' 'active' '23047991,
compiler-explorer/compiler-explorer,Labeler' 'active' '1864493' 'Compiler Explorer' 'active' '5793211' 'Compiler Explorer on Windows' 'active' '6391189' 'Update browsers list' 'active' '7397167' 'CodeQL' 'active' '13549572' 'Compiler Explorer Frontend Testing' 'active' '17400250,Compiler Explorer allows remote users to compile and if configured execute' 'code We take security seriously and encourage users to promptly report' 'security vulnerabilities they find' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If the issue can be reported without revealing exploitable specifics please' 'file an issue as a bug' 'Please email mattgodboltorg with specifics or if the bug cant be reported' 'publically without leaving an obvious exploit in the public eye' 'We expect to get back within a day or two If you dont hear from us please do' 'ping us again or reach out to us on the Discord
typesense/typesense,,
polybar/polybar,CI' 'active' '4201687' 'Release Workflow' 'active' '4069741,
microsoft/IoT-For-Beginners,pages-build-deployment' 'active' '16481066,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
SFTtech/openage,macOS-CI' 'active' '52361' 'Windows Server 2019 CI' 'active' '14144382' 'Windows Server 2022 CI' 'active' '14144383' 'Ubuntu 22.04 CI' 'active' '27273451,If you would like to report a security problem in an SFT project please write' 'an email to' 'security ät sft dawt mx' 'You can also join our Matrix chat at sfttechmatrixorg and have a more' 'interactive conversation with us' 'In turn we can reward you with Internet Points of Honor and increase your' 'karma reliably
skyline-emu/skyline,CI' 'active' '33458,
OpenRCT2/OpenRCT2,CI' 'active' '13424' 'Dependency check' 'active' '26111218' 'Localisation Merge' 'active' '159919,
Ciphey/Ciphey,.github/workflows/coverage.yml' 'active' '1468680' 'TestPyPI' 'active' '1471353' 'Release' 'active' '1527554' 'Tests' 'active' '1712613' 'Ciphey terminal test' 'active' '2793747,
forthespada/CS-Books,,
hmemcpy/milewski-ctfp-pdf,Build PDFs' 'active' '1953021,
