author_repo,wf_contents,security_policy
metabase/metabase,Backend' 'active' '3554884' 'YAML' 'active' '3554885' 'i18n' 'active' '3554886' 'Frontend' 'active' '3554887' 'Build + Docker Uberjar' 'active' '4149309' 'CodeQL' 'active' '4696938' 'Docker' 'active' '5759817' 'Kerberized Presto Integration Test' 'active' '9848345' 'Percy' 'active' '11557079' 'PercyIssueComment' 'active' '11674506' 'Auto-backport' 'active' '11708991' 'Whitespace' 'active' '11961501' 'Backport' 'active' '12350816' 'Codenotify' 'active' '14067246' 'Docs' 'active' '15048953' 'Snowplow' 'active' '15435319' 'Migrations' 'active' '18273806' 'CLJS' 'active' '18416793' 'Build scripts' 'active' '19281732' 'E2E Tests for PR' 'active' '19333466' 'Percy visual tests' 'active' '25366821' 'E2E Tests' 'active' '27663673' 'Release [WIP]' 'active' '28188093' 'Kerberized Presto Integration Test' 'active' '31142039' 'E2E Tests for PR' 'active' '31184558' 'Snowplow' 'active' '31184559' 'Fuzzing' 'active' '31184560' 'Backend' 'active' '31212115' 'Frontend' 'active' '31282518' 'E2E Cross-version Tests' 'active' '31706617' 'Lint doc Markdown links' 'active' '33542132' 'Driver Tests' 'active' '36466740' 'Close Stale PRs' 'active' '38023729' 'Driver Tests' 'active' '40165771' 'Rerun Flaky Workflows' 'active' '40511577' 'Pre-release [WIP]' 'active' '41116144' 'Fuzzing' 'disabled_manually' '14919362,Security is very important to us at Metabase' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'We typically only support the latest release of Metabase for maintenance' 'updates but depending on the nature of the security issue we may issue' 'hotfixes for arbitrarily earlier versions of Metabase' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you discover any issue regarding security please disclose the information' 'responsibly by sending an email to securitymetabasecom and not by creating a' 'GitHub issue Well get back to you ASAP and work with you to confirm and plan' 'a fix for the issue' 'Please note that we do not currently offer a bug bounty program
penpot/penpot,,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security issues to supportpenpotapp
logseq/logseq,Build-Android' 'active' '16756510' 'Build-Desktop-Release' 'active' '5397555' 'Build-Docker' 'active' '17000720' 'Build-iOS' 'active' '41349119' 'CI-iOS' 'active' '36879782' 'Build-Stage' 'active' '4913188' 'CI' 'active' '3782367' 'logseq/db CI' 'active' '27451823' 'E2E' 'active' '33514959' 'logseq/graph-parser CI' 'active' '26779721' 'PR Labeler' 'active' '17528721' 'Stale Issues Policy' 'active' '44209361,
deeplearning4j/deeplearning4j,.github/workflows/test_multiple_arch.yaml' 'active' '5973097' '.github/workflows/run-amd64.yaml' 'active' '5986392' '.github/workflows/build-deploy-mac.yml' 'active' '6211797' '.github/workflows/build-deploy-windows.yml' 'active' '6211800' '.github/workflows/build-deploy-linux-arm64.yml' 'active' '6253839' '.github/workflows/build-deploy-android-arm64.yml' 'active' '6256267' '.github/workflows/build-deploy-mac-arm64.yml' 'active' '6369500' '.github/workflows/build-deploy-linux-arm32.yml' 'active' '6369501' '.github/workflows/build-deploy-android-arm32.yml' 'active' '6369502' '.github/workflows/build-deploy-linux-x86_64.yml' 'active' '6374745' '.github/workflows/cpu-sanity-check-tests.yaml' 'active' '6427670' '.github/workflows/run-gpu-tests-sanity-checks.yml' 'active' '6549520' '.github/workflows/run-cpu-tests-sanity-checks.yml' 'active' '6619331' '.github/workflows/build-deploy-android-x86.yml' 'active' '7541161' '.github/workflows/build-deploy-android-x86_64.yml' 'active' '7541162' '.github/workflows/build-deploy-cross-platform.yml' 'active' '8513174' '.github/workflows/run-cpu-integration-tests.yml' 'active' '10030139' '.github/workflows/build-deploy-linux-x86_64-compat.yml' 'active' '10383411' '.github/workflows/build-deploy-linux-cuda-10.2-arm64.yml' 'active' '12156732' '.github/workflows/build-deploy-linux-cuda-11.4.yml' 'active' '12503779' '.github/workflows/build-deploy-windows-cuda-11.4.yml' 'active' '12503780' '.github/workflows/build-deploy-linux-cuda-11.6.yml' 'active' '19650772' '.github/workflows/build-deploy-windows-cuda-11.6.yml' 'active' '19650773' '.github/workflows/build-deploy-x86_64.yaml' 'disabled_manually' '6052216' '.github/workflows/build-deploy-arm.yaml' 'disabled_manually' '6057986' '.github/workflows/build-deploy-android.yml' 'disabled_manually' '6211798' '.github/workflows/build-deploy-linux.yml' 'disabled_manually' '6211799' '.github/workflows/run-gpu-tests.yml' 'disabled_manually' '6212433' '.github/workflows/build-deploy-android-self-hosted.yml' 'disabled_manually' '6234605' '.github/workflows/build-deploy-linux-arm64-selfhosted.yml' 'disabled_manually' '6327991' '.github/workflows/build-deploy-android-arm64-self-hosted.yml' 'disabled_manually' '6341706' '.github/workflows/build-deploy-linux-arm32-selfhosted.yml' 'disabled_manually' '6341707' '.github/workflows/build-deploy-android-arm32-self-hosted.yml' 'disabled_manually' '6341708' '.github/workflows/build-deploy-linux-jetsonnano-selfhosted.yml' 'disabled_manually' '6369503' '.github/workflows/run-cpu-integratino-tests-self-hosted.yml' 'disabled_manually' '6866371,
LightTable/LightTable,,
kanaka/mal,Build and Test' 'active' '8232040' 'pages-build-deployment' 'active' '16473254,
lk-geimfari/awesomo,,
tonsky/datascript,Build and test' 'active' '15536133,
reagent-project/reagent,Run tests' 'active' '5596464,
riemann/riemann,Build artifacts' 'active' '16286173' 'Riemann testing' 'active' '28964708' 'pages-build-deployment' 'active' '17897491,This page describes Riemann security and disclosure information' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'The currently supported version of Riemann for securitypatching purposes is' 'always the latest version' 'SSeeccuurriittyy AAnnnnoouunncceemmeennttss' 'Will be made on the Riemann mailing list' 'RReeppoorrtt aa VVuullnneerraabbiilliittyy' 'Were extremely grateful for security researchers and users that report' 'vulnerabilities to Riemann All reports are thoroughly investigated by the' 'maintainers' 'To make a report you should email the private securityriemannio list with' 'the details' 'WWhheenn SShhoouulldd II RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You think you discovered a potential security vulnerability in Riemann' '     You are unsure how a vulnerability affects Riemann' '     You think you discovered a vulnerability in another project that Riemann' '      depends on' 'For projects with their own vulnerability reporting and disclosure process' 'please report it directly there' 'WWhheenn SShhoouulldd II NNOOTT RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You need help tuning Riemann components for security' '     You need help applying security related updates' '     Your issue is not security related' 'SSeeccuurriittyy VVuullnneerraabbiilliittyy RReessppoonnssee' 'Each report is acknowledged and analyzed within  working days' 'Any vulnerability information shared stays within Riemann project and will not' 'be disseminated to other projects unless it is necessary to get the issue' 'fixed' 'As the security issue moves from triage to identified fix to release planning' 'we will keep the reporter updated' 'PPuubblliicc DDiisscclloossuurree TTiimmiinngg' 'A public disclosure date is negotiated by the Riemann maintainers nd the bug' 'submitter We prefer to fully disclose the bug as soon as possible once a user' 'mitigation is available It is reasonable to delay disclosure when the bug or' 'the fix is not yet fully understood the solution is not welltested or for' 'vendor coordination The timeframe for disclosure is from immediate especially' 'if its already publicly known to a few weeks For a vulnerability with a' 'straightforward mitigation we expect report date to disclosure date to be on' 'the order of  days The Riemann maintainers hold the final say when setting a' 'disclosure date
