author_repo,wf_contents,security_policy
realm/SwiftLint,pages-build-deployment' 'active' '18343889' 'docker' 'active' '18389814' 'update_swift_syntax' 'active' '38373155,
facebook/infer,website' 'active' '686088' 'build' 'active' '1413145' 'pages-build-deployment' 'active' '18228779,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
analysis-tools-dev/static-analysis,Check Links' 'active' '172939' 'auto-merge' 'active' '32002886' 'CI' 'active' '1002755' 'Links' 'active' '1102371' 'Render' 'active' '1029667' 'Close stale issues' 'active' '1404209' 'Stats' 'active' '22306566,
Kristories/awesome-guidelines,Lint' 'active' '2642055' 'Mark stale issues and pull requests' 'active' '2268,
checkstyle/checkstyle,Diff-Report' 'active' '1881099' 'Automatic Rebase' 'active' '2674028' 'Site' 'active' '2999882' 'CodeQL' 'active' '3310990' 'Check no closed issue references' 'active' '6039627' 'Check no broken links' 'active' '6684083' 'Check PR Description' 'active' '8735855' 'antlr4 project CI' 'active' '9675874' 'no-exception testing' 'active' '10623956' 'no-exception testing' 'active' '10674344' 'Pitest' 'active' '11117576' 'Pitest4' 'active' '11380595' 'Pitest1' 'active' '11380596' 'Pitest3' 'active' '11380597' 'Pitest5' 'active' '11380598' 'Pitest8' 'active' '11393711' 'Pitest6' 'active' '11393712' 'Pitest2' 'active' '11393713' 'Pitest' 'active' '11415945' 'Pitest' 'active' '11908238' '.github/workflows/bump_license_year.yml' 'active' '18034794' 'shellcheck' 'active' '31084612' 'R: Bump version/Update Milestone' 'active' '32374384' 'Error-Prone' 'active' '32939463' 'R: Maven Release Prepare' 'active' '33436521' 'R: Push Release Notes' 'active' '33436526' 'R: Publish GitHub Page' 'active' '33436530' 'R: Publish Tweet' 'active' '33436533' 'R: Update github.io' 'active' '33661411' 'R: Close/Create Milestone' ' Upload '-all' jar' ' Create issues' 'active' '33819004' 'R: GitHub Upload Jar only' 'active' '33819005' 'Checker' 'active' '34003674' 'Generate release notes' 'active' '40776913' 'R: Copy Site to SourceForge' 'active' '41403814' 'Lint GitHub Actions workflows' 'active' '42233020' '.github/workflows/bump_release_version.yml' 'disabled_manually' '31167169,SSuuppppoorrtteedd VVeerrssiioonnss' 'We do not support any old versions all updates for bugsfeaturessecurity will' 'be released in next planned version' 'VVeerrssiioonn     SSuuppppoorrtteedd' 'LATEST only ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'List of maintainers httpscheckstyleorgteamhtml Maillist for any' 'questions httpscheckstyleorgmailinglistshtml You can find admin emails' 'in maillist You can find emails of maintainers in commits you can clone our' 'repo and see it by git log' 'If we are not responding please keep pining us As final resort create an' 'issue at httpsgithubcomcheckstylecheckstyleissues with a note that you' 'have a security issue' 'If the vulnerability is accepted we will create an issue without much' 'details on GitHub Issue tracker and we put label approved on it If the' 'vulnerability is declined we can keep it private or if you would like to keep' 'record of it in issue tracker you can do this also
SonarSource/sonarqube,Release' 'active' '1151958,
facebook/pyre-check,lint' 'active' '3742779' 'publish website' 'active' '4126526' 'pyre' 'active' '5011730' 'pysa' 'active' '10778981' 'tests' 'active' '3980571' 'pages-build-deployment' 'active' '16766442,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
reviewdog/reviewdog,reviewdog on Pull Request' 'active' '191064' 'Code scanning - action' 'active' '1571628' 'Deploy doghouse' 'active' '5799928' 'Go' 'active' '4640' 'release' 'active' '1219240' 'reviewdog' 'active' '4646,
detekt/detekt,Pull Request Labeler' 'active' '150009' 'Validate Gradle Wrapper' 'active' '517910' 'Pre Merge Checks' 'active' '859233' 'Deploy Snapshot' 'active' '878958' 'Code Coverage' 'active' '1065232' 'detekt with type resolution' 'active' '2319346' 'FOSSA License Scan' 'active' '9417179' 'Mark stale issues and pull requests' 'active' '14795436' 'pages-build-deployment' 'active' '16390122' 'Build and Deploy Website' 'active' '24754454' 'Gradle Enterprise Trail' 'active' '25663363' 'Danger' 'active' '30366740,VVeerrssiioonnss' 'Generally updating to the latest stable version will have all security issues' 'addressed' '     Security patches are applied up to the ccuurrrreenntt mmiinnoorr vveerrssiioonn' '     Earlier versions are not supported by default but we will examine them' '      on a casebycase basis' 'VVeerrssiioonn AAddddrreesssseedd iissssuueess                                              FFiixx' '  CWE Improper Restriction of XML External Entity Reference ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report vulnerability to securitydetektdev We commit to respond within' ' weeks You may also find us in the detekt channel of kotlinlang Slack If' 'you have already reported on vulnerability disclosure platform please include' 'its link in the report
simplecov-ruby/simplecov,stable' 'active' '416296' 'unstable' 'active' '416297,
import-js/eslint-plugin-import,Automatic Rebase' 'active' '5446030' 'Require “Allow Edits”' 'active' '5446031' 'Tests: pretest/posttest' 'active' '5448748' 'Tests: node.js' 'active' '5448749' 'Tests: packages' 'active' '5449091,SSuuppppoorrtteedd VVeerrssiioonnss' 'Latest majorminor version is supported only for security updates' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure
PyCQA/pylint,Backport' 'active' '40720292' 'changelog' 'active' '27257916' 'Checks' 'active' '22750906' 'CI' 'active' '5955043' 'Codacy Security Scan' 'active' '10664029' 'CodeQL' 'active' '10664031' 'Primer' 'active' '15726263' 'Primer / Comment' 'active' '27046353' 'Primer / Main' 'active' '26966058' 'Primer / Run' 'active' '26883962' 'Release' 'active' '10518771' 'Tests' 'active' '22750905' 'Tests-three' 'disabled_manually' '23083371' 'Tests-two' 'disabled_manually' '23083370' 'Veracode Static Analysis Pipeline Scan' 'active' '10664030,
pmd/pmd,build' 'active' '2543383' 'troubleshooting' 'active' '3580106' 'Pushes' 'active' '3614881' 'git-repo-sync' 'active' '8264586' 'pages-build-deployment' 'active' '16425079,
trekhleb/state-of-the-art-shitcode,,
phpro/grumphp,Dependency Review' 'active' '27151324' 'GrumPHP' 'active' '3870030' 'pages-build-deployment' 'active' '16388943,
kucherenko/jscpd,Node CI' 'active' '205533' 'jscpd CI' 'active' '18792,
htmlhint/HTMLHint,CI' 'active' '1269744' 'Test Release' 'active' '1317341' 'Pull Request Labeler' 'active' '10295966' 'Sync labels' 'active' '10295967' 'Development workflow' 'active' '10296591' 'Production workflow' 'active' '10373424' 'Website' 'active' '15728746' 'CodeQL' 'active' '30997164' 'Check spelling' 'active' '34628971,This document outlines general security procedures and policies for HTMLHint' 'RReeppoorrttiinngg aa vvuullnneerraabbiilliittyy' 'Please report security vulnerabilities to us via email to work on verifying the' 'vulnerability and fixing it You will receive a response within  hours' 'Please allow the vulnerability to be fixed before any public exposure as this' 'will help protect all of the people who use a fork of the repo' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue
codeclimate/codeclimate,,
wemake-services/wemake-python-styleguide,wps' 'active' '40457' 'rebase' 'active' '199944' 'test' 'active' '897444' 'depup' 'active' '3426456,
uber/piranha,Release Polyglot Piranha' 'active' '28101521' 'Python package' 'active' '33838052' 'Polyglot Piranha' 'active' '33900458' 'Detect Changes' 'active' '35949636' 'Legacy' 'active' '44170639' 'Legacy' 'active' '44170640,
Tencent/CodeAnalysis,Doc to Github Page' 'active' '26019693' 'TCA docker image build and push' 'active' '31158825' 'Sync-To-TGIT' 'active' '27175096' 'Tencent Cloud Code Analysis' 'active' '28378016' 'pages-build-deployment' 'active' '21842899,
ehmicky/cross-platform-node-guide,,
Tencent/feflow,Test changelog' 'active' '24077976' 'Publish' 'active' '984981' 'Test dist tag' 'active' '23407522' 'Test' 'active' '894949,
mockdeep/typewiz,,
jakzal/phpqa,Nightly builds' 'active' '1111109' 'Update toolbox' 'active' '1111453' 'Build' 'active' '1111865,
sourcery-ai/sourcery,Add issues to On Call project' 'active' '38105719,
imgbot/Imgbot,' 'active' '142204' 'Docker Image CI' 'active' '1009410' 'Dotnet Tests' 'active' '13517242,
