author_repo,wf_contents,security_policy
microsoft/calculator,,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and' 'many more' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center at' 'securemicrosoftcom If possible encrypt your message with our PGP key' 'please download it from the Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
files-community/Files,Contributor List' 'active' '18076335,
ShareX/ShareX,Close stale issues and PRs' 'active' '8860587' 'Build ShareX' 'active' '40676482' 'Build ShareX (PR)' 'active' '41718828,
mxgmn/WaveFunctionCollapse,,
doocs/leetcode,Greetings' 'active' '201064' 'compress-images' 'active' '7935211' 'update-starcharts' 'active' '13667671' 'pages-build-deployment' 'active' '16478861,
jellyfin/jellyfin,Project automation' 'active' '6545794' 'Automation' 'active' '6611189' '.github/workflows/label-commenter-config.yml' 'active' '7836997' 'Commands' 'active' '10053655' 'OpenAPI' 'active' '11374214' '🧪 Run Test Suite' 'active' '11923344' '🔬 Run SonarCloud Scan' 'active' '11923345' '🧪 Run ABI Compatibility Test' 'active' '11923346' '🔬 Run CodeQL Scan' 'active' '11923347' '🔬 Run Container Scan' 'active' '11923348' 'Issue Stale Check' 'active' '18842976' 'CodeQL' 'disabled_manually' '3759632,SSuuppppoorrtteedd VVeerrssiioonnss ooff JJeellllyyffiinn SSeerrvveerr' 'Jellyfin Server is typically only supported on the most recently released' 'version and any release candidate in testing' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x  ' 'x  ' ' ' 'SSuuppppoorrtteedd VVeerrssiioonnss ooff ootthheerr JJeellllyyffiinn PPrroojjeeccttss PPlluuggiinnss CClliieennttss eettcc' 'Most Jellyfin projects are only supported for their most recent release Please' 'see any projects readme for cases where this may differ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability please contact the Jellyfin Core Team directly' 'The team can be reached using security AT jellyfinorg or using Matrix chat' 'See our contact page for other channels
dotnet/corefx,,
thangchung/awesome-dotnet-core,,
dotnet/roslyn,,SSuuppppoorrtteedd VVeerrssiioonnss' 'The NET Core and ASPNET Core support policy including supported versions can' 'be found at the NET Core Support Policy Page' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Security issues and bugs should be reported privately to the Microsoft Security' 'Response Center MSRC either by emailing securemicrosoftcom or via the' 'portal at httpsmsrcmicrosoftcom You should receive a response within ' 'hours If for some reason you do not please follow up via email to ensure we' 'received your original message Further information including the MSRC PGP' 'key can be found in the MSRC Report an Issue FAQ' 'Reports via MSRC may qualify for the NET Core Bug Bounty Details of the NET' 'Core Bug Bounty including terms and conditions are at httpsakams' 'corebounty' 'Please do not open issues for anything you think might have a security' 'implication
AvaloniaUI/Avalonia,,
