author_repo,wf_contents,security_policy
d3/d3,Node.js CI' 'active' '10308137,
apache/echarts,Node CI' 'active' '231567' 'Node CI' 'active' '8349372' 'Publish Nightly Next' 'active' '12759118' 'Publish Nightly' 'active' '8429455' 'Node CI' 'active' '11447' 'Source Release' 'active' '8349500' 'Closing Stale Issues' 'active' '12800286' '.github/workflows/visual-test.yml' 'active' '11103902,This is a project of the Apache Software Foundation and follows the ASF' 'vulnerability handling process' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a new vulnerability you have discovered please follow the ASF' 'vulnerability reporting process
grafana/grafana,publish_docs' 'active' '23555' 'CodeQL' 'active' '2854921' 'Run commands when issues are labeled or comments added' 'active' '2889588' 'Github issue metrics collection' 'active' '2926511' 'Backport PR Creator' 'active' '3035099' 'Bump version' 'active' '3623342' 'Update changelog' 'active' '3652008' 'Create or update GitHub release' 'active' '3687626' 'Main Workflow' 'active' '5851140' 'PR automation' 'active' '6822774' 'pa11y tests' 'active' '12552109' 'Cancel' 'active' '12914236' 'Concurrent Workflows Checker' 'active' '13487895' 'Run when PRs are closed' 'active' '16093715' 'PR Checks' 'active' '16241122' 'Remove milestone' 'active' '16281855' '.github/workflows/detect-breaking-changes-notify.yml' 'active' '16419903' 'Levitate / Detect breaking changes' 'active' '16419904' 'Close milestone' 'active' '16428545' 'Prepare release' 'active' '16607568' 'Levitate / Report breaking changes' 'active' '17270815' 'Close Milestone' 'active' '18112407' 'Close stale issues and PRs' 'active' '20570996' 'Run commands when issues are labeled' 'active' '20845004' '.github/workflows/labeler.yaml' 'active' '22898289' 'Cloud data sources test code coverage' 'active' '22911337' 'CodeQL for PR / javascript' 'active' '23083924' 'CodeQL for PR / python' 'active' '23087614' 'Cloud data sources test code coverage' 'active' '23331169' 'Enterprise PR check' 'active' '24597689' 'Snyk SBOM CI' 'active' '26359654' 'Notify Slack channel based on issue label' 'active' '28749843' 'doc-validator' 'active' '29525781' 'Observability Experience test code coverage' 'active' '35247048' '.github/workflows/test.yml' 'active' '35857520' 'syft-sbom-ci' 'active' '36441324' 'Levitate / Detect breaking changes' 'active' '39936736' 'publish-technical-documentation-next' 'active' '41873450' 'publish-technical-documentation-release' 'active' '41873451' 'When epic issues changed in Platform UX squad projects' ' check if epic is part of specified child projects and update on Platform UX parent project' 'active' '43099076' 'Codeowners Validator' 'active' '44206453' 'go tidy' 'disabled_manually' '6814695' 'Levitate' 'disabled_manually' '16127129' 'CodeQL for PR / go' 'disabled_manually' '23087613,If you think you have found a security vulnerability please send a report to' 'securitygrafanacom This address can be used for all of Grafana Labss open' 'source and commercial products including but not limited to Grafana Grafana' 'Cloud Grafana Enterprise and grafanacom We can accept only vulnerability' 'reports at this address' 'Please encrypt your message to us please use our PGP key The key fingerprint' 'is' 'F BEA A F AEE CAA D  BE CCA' 'The key is available from keyserverubuntucom' 'Grafana Labs will send you a response indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'keep you informed of the progress towards a fix and full announcement and may' 'ask for additional information or guidance' 'IImmppoorrttaanntt We ask you to not disclose the vulnerability before it have been' 'fixed and announced unless you received a response from the Grafana Labs' 'security team that you can do so' 'SSeeccuurriittyy aannnnoouunncceemmeennttss' 'We will post a summary remediation and mitigation details for any patch' 'containing security fixes on the Grafana blog The security announcement blog' 'posts will be tagged with the security tag' 'You can also track security announcements via the RSS feed
apache/superset,Python' 'active' '1024926' 'License Check' 'active' '1024927' 'E2E' 'active' '1024928' 'Frontend' 'active' '1024930' 'Translations' 'active' '1282633' 'Prefer Typescript' 'active' '2508631' 'Hive' 'active' '2508632' 'Docker' 'active' '2508634' 'Presto' 'active' '2508635' 'Docs' 'active' '2509806' 'PR Lint' 'active' '2668108' 'Docker' 'active' '3465823' 'Python Sqlite' 'active' '3803316' 'Python Postgres' 'active' '3803317' 'Python MySQL' 'active' '3803318' 'Python Presto/Hive' 'active' '3803319' 'Python Misc' 'active' '3815270' 'Tags' 'active' '4334068' 'Python-Unit' 'active' '4722038' 'Miscellaneous' 'active' '4722039' 'Cancel Duplicates' 'active' '4755967' 'Docker' 'active' '4796916' 'Push ephmereral env image' 'active' '6121850' 'Ephemeral env workflow' 'active' '6121851' 'Cleanup ephemeral envs (PR close)' 'active' '6543333' 'Check DB migration conflict' 'active' '6585470' 'WebSocket server' 'active' '7169356' 'Lint and Test Charts' 'active' '8177353' 'Release Charts' 'active' '8179801' 'Python-Integration' 'active' '10929587' 'GitHub Actions Demo' 'active' '14377224' 'release-workflow' 'active' '16610251' 'Embedded SDK Release' 'active' '19161392' 'Embedded SDK PR Checks' 'active' '19163777' 'Applitools Storybook' 'active' '24917879' 'Applitools Cypress' 'active' '25353440' 'Superset CLI tests' 'active' '25834206' 'Welcome New Contributor' 'active' '28287379' 'Chromatic' 'active' '32456368' 'Chromatic Storybook Master' 'active' '33382253' '.github/workflows/chromatic-pr.yml' 'active' '33382254' '.github/workflows/generate_tech_debt_metrics.yml.yaml' 'active' '34400599' 'Generate Technical Debt Metrics' 'active' '34413817' 'CodeQL' 'active' '35290406' 'Helm Docs Check' 'active' '38894551,This is a project of the Apache Software Foundation and follows the ASF' 'vulnerability handling process' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a new vulnerability you have discovered please follow the ASF' 'vulnerability reporting process
pixijs/pixijs,Node.js CI' 'active' '1091541,
metabase/metabase,Backend' 'active' '3554884' 'YAML' 'active' '3554885' 'i18n' 'active' '3554886' 'Frontend' 'active' '3554887' 'Build + Docker Uberjar' 'active' '4149309' 'CodeQL' 'active' '4696938' 'Docker' 'active' '5759817' 'Kerberized Presto Integration Test' 'active' '9848345' 'Percy' 'active' '11557079' 'PercyIssueComment' 'active' '11674506' 'Auto-backport' 'active' '11708991' 'Whitespace' 'active' '11961501' 'Backport' 'active' '12350816' 'Codenotify' 'active' '14067246' 'Docs' 'active' '15048953' 'Snowplow' 'active' '15435319' 'Migrations' 'active' '18273806' 'CLJS' 'active' '18416793' 'Build scripts' 'active' '19281732' 'E2E Tests for PR' 'active' '19333466' 'Percy visual tests' 'active' '25366821' 'E2E Tests' 'active' '27663673' 'Release [WIP]' 'active' '28188093' 'Kerberized Presto Integration Test' 'active' '31142039' 'E2E Tests for PR' 'active' '31184558' 'Snowplow' 'active' '31184559' 'Fuzzing' 'active' '31184560' 'Backend' 'active' '31212115' 'Frontend' 'active' '31282518' 'E2E Cross-version Tests' 'active' '31706617' 'Lint doc Markdown links' 'active' '33542132' 'Driver Tests' 'active' '36466740' 'Close Stale PRs' 'active' '38023729' 'Driver Tests' 'active' '40165771' 'Rerun Flaky Workflows' 'active' '40511577' 'Pre-release [WIP]' 'active' '41116144' 'Fuzzing' 'disabled_manually' '14919362,Security is very important to us at Metabase' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'We typically only support the latest release of Metabase for maintenance' 'updates but depending on the nature of the security issue we may issue' 'hotfixes for arbitrarily earlier versions of Metabase' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you discover any issue regarding security please disclose the information' 'responsibly by sending an email to securitymetabasecom and not by creating a' 'GitHub issue Well get back to you ASAP and work with you to confirm and plan' 'a fix for the issue' 'Please note that we do not currently offer a bug bounty program
streamlit/streamlit,PR Preview' 'active' '31306731' 'Cypress' 'active' '31306732' 'Python Versions' 'active' '31736869' 'Javascript' 'active' '31736870' 'CLI Regression' 'active' '32403722' 'Python Prod Deps Smoke' 'active' '32804403' 'Release Candidate' 'active' '34726713' 'Build Release' 'active' '34730317' 'Nightly Build' 'active' '34920480' 'CodeQL' 'active' '37160209' 'Snowpark Conda Build Test' 'active' '37173405' 'Pull Request Labels' 'active' '40624015,
academic/awesome-datascience,Check Markdown links' 'active' '3046064' 'pages-build-deployment' 'active' '16739705,
directus/directus,create-release' 'active' '3703745' 'build-images' 'active' '3704059' 'Release' 'active' '11302442' 'Sync Readme to Docker Hub' 'active' '12921812' 'CodeQL Analysis' 'active' '13677080' '.github/workflows/prepare.yml' 'active' '18111680' 'Blackbox Tests' 'active' '30346235' 'Check' 'active' '30346236' 'Blackbox Tests' 'active' '30346841' '.github/workflows/linear.yml' 'active' '43221800,
plotly/dash,,
