author_repo,wf_contents,security_policy
GetStream/vg,,
ehmicky/nve,Build' 'active' '891189,
coenjacobs/mozart,Lint' ' analyse and test' 'active' '1364140' 'Publish latest to Docker Hub' 'active' '5063158,
thoth-station/micropipenv,Run Tox tests on Linux' 'active' '5385437' 'Run Tox tests on Windows' 'active' '8635465,
netlify/framework-info,Dependency License Scanning' 'active' '2035424' 'Label PR' 'active' '4167467' 'prerelease' 'active' '16009266' 'release-please' 'active' '4276701' 'Build' 'active' '2035425,When submitting a security issue always include Summary Impact and' 'Reproduction steps that are as clear as possible' '     To report a security issue on public repos please use https' '      hackeronecomnetlifytypeteam' '          o The Netlify Security Team will respond as soon as possible' '          o Any coordination and disclosure will be done using the Hackerone UI' '            in order to privately discuss and fix the issue' '     To report a security issue on a private repo please open the issue with' '      the label security and the Netlify Security Team will triage and perform' '      an initial risk assessment
bureado/awesome-software-supply-chain-security,,
aaronpeikert/reproducible-research,,
momosecurity/mosec-maven-plugin,Maven Test' 'active' '10614390,
pichillilorenzo/deps-report,,
silverwind/updates,ci' 'active' '713911,
stempler/bnd-platform,,
abdes/asap,github pages' 'active' '14864794' 'pages-build-deployment' 'active' '16511076' 'CMake Build Matrix' 'active' '21095707,VVuullnneerraabbiilliittyy rreeppoorrttiinngg sseeccuurriittyy iissssuueess' 'We gratefully welcome vulnerability reports' 'If you find a significant vulnerability or evidence of one please send an' 'email to the security contacts that you have such information and well tell' 'you the next steps' 'For now the security contacts are listed in the AUTHORS file at the root of' 'this projects repository' 'Please use an email system like Gmail that supports hoptohop encryption' 'using STARTTLS when reporting vulnerabilities Examples of such systems include' 'Gmail Outlookcom and runboxcom See STARTTLS Everywhere if you wish to' 'learn more about efforts to encourage the use of STARTTLS Your email client' 'should use encryption to communicate with your email system ie if you use a' 'webbased email client then use HTTPS and if you use email client software' 'then configure it to use encryption Hoptohop encryption isnt as strong as' 'endtoend encryption but weve decided that its strong enough for this' 'purpose and its much easier to get everyone to use it' 'We will gladly give credit to anyone who reports a vulnerability so that we can' 'fix it If you want to remain anonymous or pseudonymous instead please let us' 'know that we will gladly respect your wishes
pilosus/pip-license-checker,master' 'active' '10842195' 'pull_request' 'active' '10842150,
MarcoEidinger/swift-package-dependencies-check,Package Dependency Check' 'active' '18630855,
ewohltman/graphdot,,
kevcodez/gradle-upgrade-interactive,,
Zlagi/Blogfy,Android Lint' 'active' '22833272' 'Release' 'active' '22833273' 'Testing' 'active' '22833274,
depscloud/depscloud,extractor-tag' 'active' '2284654' 'goreleaser-branch' 'active' '2284656' 'goreleaser-tag' 'active' '2284657' 'branch' 'active' '2635347' 'dockerfiles' 'disabled_inactivity' '2295445' 'nightly' 'disabled_inactivity' '2911616,
saadmk11/github-actions-version-updater,Changelog CI' 'active' '7608402' 'GitHub Actions Version Updater' 'active' '39050930,
pilosus/action-pip-license-checker,,
ehmicky/nvexeca,Build' 'active' '891193,
fkorotkov/gradle-libraries-plugin,,
ecoAPM/dotnet-libyear,CI' 'active' '91347' 'CodeQL' 'active' '16000625' 'Sonar' 'active' '16000626' 'NuGet' 'active' '15087747,SSuuppppoorrtteedd VVeerrssiioonnss' 'Security updates are generally only applied to the newest release and' 'backported on an asneeded basis where appropriate' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Unless a vulnerability is deemed critical or exposes PII please create an' 'issue in this repository using the Report a Bug template' 'For critical vulnerabilities or those that expose PII please email' 'infoecoAPMcom so that the issue can be fixed confidentially prior to public' 'disclosure
nikhil-thakkar/multi-module-dependency-setup,,
ehmicky/get-bin-path,Build' 'active' '891177,
momosecurity/mosec-gradle-plugin,,
