author_repo,wf_contents,security_policy
django/django,Tests' 'active' '4693886' 'Linters' 'active' '5147559' 'Docs' 'active' '6146682' 'New contributor message' 'active' '6637294' 'Schedule tests' 'active' '21767459' 'Schedule' 'active' '21767460' 'Benchmark' 'active' '32082613' 'Accessibility' 'active' '35764840,
getsentry/sentry,javascript' 'active' '210731' 'acceptance' 'active' '1174556' 'Release' 'active' '1582701' 'migrations' 'active' '1585211' 'backend' 'active' '2261016' 'openapi' 'active' '2666234' 'openapi-diff' 'active' '2886643' 'sentry pull request bot' 'active' '3020796' 'acceptance [py3.6]' 'active' '3023959' 'relay integration' 'active' '3024250' 'command line' 'active' '3024252' 'symbolicator integration' 'active' '3024253' 'backend [py3.6]' 'active' '3024937' 'snuba integration [py3.6]' 'active' '3024938' 'check migration' 'active' '3025574' 'backend' 'active' '3042265' 'snuba integration' 'active' '3042266' 'js build and lint' 'active' '3231902' 'backend lint' 'active' '3345239' 'plugins' 'active' '3406371' 'visual diff' 'active' '3940454' 'lock closed issues/PRs' 'active' '4255898' 'dev env' 'active' '4303870' 'close stale issues/PRs' 'active' '4719796' 'backend' 'active' '4978829' 'snuba integration' 'active' '4978830' 'getsentry dispatcher' 'active' '5578248' 'backend typing' 'active' '6923613' 'Issue Status Helper' 'active' '8836314' 'bootstrap' 'active' '9906026' 'frontend docker' 'active' '11639827' 'Run Smoke Tests' 'active' '12495675' 'meta(deploy)' 'active' '14365740' 'docker cache' 'active' '14687459' 'js test' 'active' '21641072' 'frontend' 'active' '21954733' 'migrations-pg14' 'active' '22830646' 'acceptance-pg14' 'active' '22830647' 'backend-pg14' 'active' '22830649' 'command line pg14' 'active' '22879137' 'Enforce License Compliance' 'active' '23572706' 'CodeQL' 'active' '24420232' 'meta(labels)' 'active' '27637723' 'meta(labels)' 'active' '30670318' 'bump sentry in getsentry' 'active' '31541053' '.github/workflows/self-hosted.yml' 'active' '33200914' '.github/workflows/fast-revert.yml' 'active' '37696546' 'jest balancer' 'active' '38531594' 'push transifex' 'active' '40688719' 'transifex' 'active' '40698002' 'shuffle-tests' 'active' '42097643' 'Self-hosted Sentry end to end tests' 'active' '42441528,RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If youve found a security issue in Sentry or in our supported SDKs you can' 'submit your report with one of the options below' '    Using GitHubs private vulnerabilty reporting feature on the' '      corresponding repository' '    Via email to securitysentryio' '     We prefer reports via GitHubs private vulnerability reporting' 'Please include as much information as possible in your report to better help us' 'understand and resolve the issue' '     Where the security issue exists ie Sentry SaaS a Sentrysupported SDK' '      infrastructure etc' '     The type of issue ex SQL injection crosssite scripting missing' '      authorization etc' '     Full paths or links to the source files where the security issue exists' '      if possible' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proof of concept or exploit code if available' 'If you need to encrypt sensitive information sent to us please use our PGP' 'key' 'E CA E  AB ED D FC D BEB
LeCoupa/awesome-cheatsheets,,
encode/django-rest-framework,CI' 'active' '7517546' 'pre-commit' 'active' '7517087' 'pages-build-deployment' 'active' '17747970,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Security issues are handled under the supervision of the Django security team' 'PPlleeaassee rreeppoorrtt sseeccuurriittyy iissssuueess bbyy eemmaaiilliinngg sseeccuurriittyyddjjaannggoopprroojjeeccttccoomm' 'The project maintainers will then work with you to resolve any issues where' 'required prior to any public disclosure
kataras/iris,Go' 'active' '164575' 'CI' 'active' '5934767' 'CodeQL' 'active' '13172461' 'Go' 'disabled_manually' '242594,SSuuppppoorrtteedd VVeerrssiioonnss' 'We are focusing on fixing issues and security vulnerabilities to the latest and' 'greatest version of Iris Iris users SHOULD always update their backend code to' 'the latest version of Iris API there is a complete HISTORY file which acts as' 'a code migration assistant' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report suspected security vulnerabilities to iirriissggoooouuttllooookkccoomm You' 'will receive a response from us within  working days If the issue is' 'confirmed we will release a new minor version as soon as possible depending on' 'complexity but historically within a few hours or days
jumpserver/jumpserver,Create Release And Upload assets' 'active' '1806178' 'JumpServer repos generic handler' 'active' '1947512' 'Issue Close Require' 'active' '15872933' 'Add issues workflow labels' 'active' '15908836' 'Issue Open Check' 'active' '15908837' 'Check recent handle issues' 'active' '15915709' 'Check untimely handle issues' 'active' '16037405' 'Issue Close Check' 'active' '16107981' '🔀 Sync mirror to Gitee' 'active' '16405292' '.github/workflows/codeql-analysis.yml' 'active' '20103761' 'Send LGTM reaction' 'active' '24017004' 'Run Build Test' 'active' '41722300,JumpServer    ' '' '     ibulerfitcloudcom' '     supportfitcloudcom' '     ' 'SSeeccuurriittyy PPoolliiccyy' 'JumpServer is a security product The installation and development should' 'follow our security tips' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'All security bugs should be reported to the contact as below' '     ibulerfitcloudcom' '     supportfitcloudcom' '     
saleor/saleor,' 'active' '147273' 'Pytest' 'active' '1568698' 'TEST-ENV-DEPLOYMENT' 'active' '2119168' 'TEST-ENV-CLEANUP' 'active' '2120131' 'CodeQL' 'active' '2249117' 'Publish' 'active' '3597572' 'Bump dependencies' 'active' '21859873' 'Test migrations compatibility' 'active' '27279777' 'Migrations performance test' 'active' '29784591' 'GraphQL Inspector' 'active' '30537821' 'Changelog check' 'active' '40450791,SSuuppppoorrtteedd VVeerrssiioonnss' 'The following releases of Saleor are currently supported' 'VVeerrssiioonn SSuuppppoorrtteedd' '    ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please DO NOT report security vulnerabilities using a public GitHub issue If' 'you believe youve found a security issue please contact our security mailing' 'list' 'securitysaleorio' 'You will be credited as the reporter once a fix is ready to be published At' 'this time we do not have a bounty program in place so we are not able to offer' 'monetary rewards for any problems reported
wagtail/wagtail,CodeQL' 'active' '7591205' 'Wagtail Docs' 'active' '4580609' '.github/workflows/greetings.yml' 'active' '33416532' 'Wagtail CI' 'active' '3398399,We take the security of Wagtail and related packages we maintain seriously' 'If you have found a security issue with any of our projects please email us at' 'securitywagtailorg so we can work together to find and patch the issue We' 'appreciate responsible disclosure with any security related issues so please' 'contact us first before creating a Github issue' 'If you want to send an encrypted email optional the public key ID for' 'securitywagtailorg is xbedbdafff and this public key is available' 'from most commonlyused keyservers' 'This information can also be found in our securitytxt https' 'docswagtailorgwellknownsecuritytxt
Miserlou/Zappa,,
ansible/awx,CI' 'active' '11432146' 'Upload API Schema' 'active' '11466555' 'E2E Tests' 'active' '11506406' 'Promote Release' 'active' '15428354' 'Stage Release' 'active' '15428355' 'Label Issue' 'active' '19211850' 'Label PR' 'active' '19211851' 'Build/Push Development Images' 'active' '22449369' 'CI UI' 'active' '24400505' 'PR Check' 'active' '31063256' 'Dependency Pr Update' 'active' '32032471' 'Feature branch deletion cleanup' 'active' '39639202,issue tracker and you will receive a prompt response' 'For more information on the Ansible communitys practices regarding responsible' 'disclosure see httpswwwansiblecomsecurity
