author_repo,wf_contents,security_policy
moby/moby,.dco' 'active' '35072425' '.windows' 'active' '33552684' 'bin-image' 'active' '44461128' 'buildkit' 'active' '33573227' 'ci' 'active' '21805183' 'Differential ShellCheck' 'active' '33399309' 'simple' 'active' '26467860' 'test' 'active' '26704268' 'windows-2019' 'active' '33552685' 'windows-2022' 'active' '33303865' 'windows' 'active' '24017332,The Moby maintainers take security seriously If you discover a security issue' 'please bring it to their attention right away' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please DDOO NNOOTT file a public issue instead send your report privately to' 'securitydockercom' 'Security reports are greatly appreciated and we will publicly thank you for it' 'although we keep your name confidential if you request it We also like to send' 'giftsif youre into schwag make sure to let us know We currently do not' 'offer a paid security bounty program but are not ruling it out in the future
macrozheng/mall,,
netdata/netdata,Pull Request Labeler' 'active' '157542' 'Build' 'active' '491306' 'Docker' 'active' '673234' 'Checks' 'active' '697936' 'Tests' 'active' '698333' 'Review' 'active' '698408' 'Packages' 'active' '720859' 'Coverity Scan' 'active' '725153' 'Builder' 'active' '754810' 'Docs' 'active' '1330695' 'UI tests' 'active' '8374297' 'Dashboard Version PR' 'active' '8827650' 'Deploy preview' 'active' '9201883' 'Repository Packages' 'active' '11762545' 'macOS CI' 'active' '16668611' 'Trigger Netdata Learn documentation update' 'active' '20208100' 'Trigger Cloud Regression E2E Tests' 'active' '21395289' 'Release' 'active' '21465890' 'Add issues to Agent Board' 'active' '29070764' 'PackageCloud Cleanup' 'active' '29135838' 'CodeQL' 'active' '37246862,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'Latest  Yes' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Were extremely grateful for security researchers and users that report' 'vulnerabilities to Netdata Open Source Community All reports are thoroughly' 'investigated by a set of community volunteers' 'To make a report please send an email to sseeccuurriittyynneettddaattaacclloouudd with the' 'vulnerability details and the details expected for all Netdata bug reports' 'WWhheenn SShhoouulldd II RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You think you discovered a potential security vulnerability in Netdata' '     You are unsure how a vulnerability affects Netdata' '     You think you discovered a vulnerability in another project that Netdata' '      depends on eg python node etc' 'WWhheenn SShhoouulldd II NNOOTT RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You need help tuning Netdata for security' '     You need help applying security related updates' '     Your issue is not security related' 'SSeeccuurriittyy VVuullnneerraabbiilliittyy RReessppoonnssee' 'Each report is acknowledged and analyzed by Netdata Team members within ' 'working days This will set off a Security Release Process' 'Any vulnerability information shared with the Netdata Team stays within the' 'Netdata project and will not be disseminated to other projects unless it is' 'necessary to get the issue fixed' 'As the security issue moves from triage to identified fix to release planning' 'we will keep the reporter updated' 'PPuubblliicc DDiisscclloossuurree TTiimmiinngg' 'A public disclosure date is negotiated by the Netdata team and the bug' 'submitter We prefer to fully disclose the bug as soon as possible once a user' 'mitigation is available It is reasonable to delay disclosure when the bug or' 'the fix is not yet fully understood the solution is not welltested or for' 'vendor coordination The timeframe for disclosure is from immediate especially' 'if its already publicly known to a few weeks As a basic default we expect' 'report date to disclosure date to be on the order of  days The Netdata team' 'holds the final say when setting a disclosure date' 'SSeeccuurriittyy AAnnnnoouunncceemmeennttss' 'Every time a security issue is fixed in Netdata we immediately release a new' 'version of it So to get notified of all security incidents please subscribe' 'to our releases on github
traefik/traefik,Build Binaries' 'active' '11462184' 'Check Documentation' 'active' '13826803' 'Check Documentation' 'active' '10621054' 'Check generated Code' 'active' '11154024' 'Build and Publish Documentation' 'active' '13831023' 'Build and Publish Documentation' 'active' '5002872' 'Build experimental image on branch' 'active' '12665474' 'Test Unit' 'active' '11462186' 'Validate' 'active' '11462185,You can join our security mailing list to be aware of the latest announcements' 'from our security team You can subscribe sending a mail to' 'securitysubscribetraefikio or on the online viewer' 'Reported vulnerabilities can be found on cvemitreorg' 'SSuuppppoorrtteedd VVeerrssiioonnss' '     We usually release  new versions eg    per year' '     Release Candidates are available before the release eg rc' '      rc rc rc before ' '     Bugfixes eg     are released as needed no' '      additional features are delivered in those versions bugfixes only' 'Each version is supported until the next one is released eg x will be' 'supported until  is out' 'We use Semantic Versioning' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' ' x ' 'x   ' ' x ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We want to keep Traefik safe for everyone If youve discovered a security' 'vulnerability in Traefik we appreciate your help in disclosing it to us in a' 'responsible manner using this form
mastodon/mastodon,Check i18n' 'active' '9270124' 'Build container image' 'active' '15184521' 'Build container image' 'active' '21840834' 'Lint Code Base' 'active' '27284723' 'CodeQL' 'active' '41889603' 'Ruby Linting' 'active' '42132296' 'YML Linting' 'active' '42132297' 'JavaScript Linting' 'active' '42132298' 'CSS Linting' 'active' '42132299' 'JSON Linting' 'active' '42132300' 'PR Needs Rebase' 'active' '42647725' 'Brakeman Scan' 'disabled_manually' '6360127,If you believe youve identified a security vulnerability in Mastodon a bug' 'that allows something to happen that shouldnt be possible you can reach us' 'at securityjoinmastodonorg' 'You should nnoott report such issues on GitHub or in other public spaces to give' 'us time to publish a fix for the issue without exposing Mastodons users to' 'increased risk' 'SSccooppee' 'A vulnerability in Mastodon is a vulnerability in the code distributed' 'through our main source code repository on GitHub Vulnerabilities that are' 'specific to a given installation eg misconfiguration should be reported to' 'the owner of that installation and not us' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   Yes' 'x   Yes' '    No
wagoodman/dive,CodeQL' 'active' '21213982' 'Codespell' 'active' '21214288' 'Lint Code Base' 'active' '21583900' 'app-pipeline' 'active' '76136,
bregman-arie/devops-exercises,CI' 'active' '25333353' 'CI' 'active' '15588143' 'pages-build-deployment' 'active' '39774709,
Kong/kong,Actions Lint' 'active' '42396154' 'Autodocs' 'active' '10485015' 'Backport' 'active' '40002206' 'Build & Test' 'active' '470958' 'Buildifier' 'active' '42489530' 'Pull Request Label Checker' 'active' '38727445' 'Labeler' 'active' '18185291' 'Spell Check' 'active' '37298948' 'Package & Smoke Test' 'active' '41122321' 'Performance Test' 'disabled_manually' '8733337' 'Rebase Pull Request' 'active' '38728026' 'Package & Release' 'active' '43983817' 'Spell Check' 'active' '37734517' 'Upgrade Tests' 'active' '30561985,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability in the Kong gateway Insomnia or other Kong software' 'or know of a publicly disclosed security vulnerability please immediately let' 'us know by emailing securitykonghqcom' 'For more detailed information please see Kongs Security Update Process
LeCoupa/awesome-cheatsheets,,
ityouknow/spring-boot-examples,,
appwrite/appwrite,CodeQL' 'active' '2516502' 'Linter' 'active' '27213809' 'PHPStan' 'active' '13000028' 'PHPStan' 'active' '13723648' 'Tests' 'active' '13749469,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' '  ' 'x  ' 'x   ' 'x   ' 'x   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'For security issues kindly email us at securityappwriteio instead of posting' 'a public issue in GitHub
docker/compose,ci' 'active' '12764968' 'PR cleanup' 'active' '12765107' 'Docs' 'active' '29140445' 'validate' 'active' '32261988' 'merge' 'active' '35366572' 'Scorecards supply-chain security' 'active' '42617811,
louislam/uptime-kuma,Auto Test' 'active' '13862174' 'Build and deploy containers' 'active' '14142067' 'Automatically close stale issues and PRs' 'active' '14536327' 'Close Incorrect Issue' 'active' '16193907' 'pages-build-deployment' 'active' '16456492,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security issues to httpsgithubcomlouislamuptimekuma' 'securityadvisoriesnew' 'Do not use the public issue tracker or discuss it in the public as it will' 'cause more damage' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'UUppttiimmee KKuummaa VVeerrssiioonnss' 'You should use or upgrade to the latest version of Uptime Kuma All XX' 'versions are upgradable to the lastest version' 'UUppggrraaddaabbllee DDoocckkeerr TTaaggss' 'TTaagg            SSuuppppoorrtteedd' '              ' 'debian       ' 'latest         ' 'debian         ' 'alpine        Deprecated' 'alpine          Deprecated' 'All other tags 
n8n-io/n8n,Docker Image CI' 'active' '113113' 'Docker Nightly Image CI' 'active' '4578556' 'Run test workflows' 'active' '9521460' 'Test Pull Requests' 'active' '33322401' 'Test Master' 'active' '33323319' 'Docker Base Image CI' 'active' '33720002' 'Check PR title' 'active' '34833785' 'Test Postgres and MySQL schemas' 'active' '38488372' 'End-to-End tests' 'active' '41758357' 'Check Documentation URLs' 'active' '43770745' 'Node CI' 'disabled_manually' '74046,Please report suspected security vulnerabilities to sseeccuurriittyynnnniioo You will' 'receive a response from us within  hours If the issue is confirmed we will' 'release a patch as soon as possible depending on complexity but historically' 'within a few days
harness/drone,,
sickcodes/Docker-OSX,pages-build-deployment' 'active' '16564761,
portainer/portainer,Automatic Rebase' 'active' '5842327' 'PR Code Security Scan' 'active' '5895309' '.github/workflows/label-conflcts.yaml' 'active' '12062884' 'Close Stale Issues' 'active' '12896657' 'i18n coverage' 'active' '16364108' 'Lint' 'active' '17395115' 'Test Frontend' 'active' '17613983' 'Test' 'active' '24886180' 'Nightly Code Security Scan' 'active' '25020936' 'Validate' 'disabled_manually' '15344417,
dokku/dokku,CodeQL' 'active' '3698344' 'CI' 'active' '4812919' 'lint' 'active' '5784046' 'release' 'active' '5836498' 'docs' 'active' '34537421,
veggiemonk/awesome-docker,' 'active' '129091' 'Pull Requests' 'active' '1014644,
openfaas/faas,build' 'active' '4170015' 'publish' 'active' '4170016,
dotnet-architecture/eShopOnContainers,identity-api' 'active' '5160922' 'webspa' 'active' '5160923' 'basket-api' 'active' '5160924' 'webshoppingagg' 'active' '5160925' 'webmvc' 'active' '5160926' 'ordering-signalrhub' 'active' '5160927' 'ordering-backgroundtasks' 'active' '5160928' 'catalog-api' 'active' '5160929' 'payment-api' 'active' '5160930' 'webhooks-api' 'active' '5160931' 'mobileshoppingagg' 'active' '5160932' 'ordering-api' 'active' '5160933' 'webstatus' 'active' '5160934' 'webhooks-client' 'active' '5160935' 'Deploy basket-api' 'active' '8447604' 'Deploy catalog-api' 'active' '8447605' 'Deploy identity-api' 'active' '8447606' 'Deploy mobileshoppingagg' 'active' '8447607' 'Deploy ordering-api' 'active' '8447608' 'Deploy ordering-backgroundtasks' 'active' '8447609' 'Deploy ordering-signalrhub' 'active' '8447610' 'Deploy payment-api' 'active' '8447611' 'Deploy webhooks-api' 'active' '8447612' 'Deploy webmvc' 'active' '8447613' 'Deploy webshoppingagg' 'active' '8447614' 'Deploy webspa' 'active' '8447615' 'Deploy webstatus' 'active' '8447616,
yeasy/docker_practice,Check link' 'active' '620084' 'CI' 'active' '55649' 'pages-build-deployment' 'active' '17311105,
dani-garcia/vaultwarden,Hadolint' 'active' '4308317' 'Build' 'active' '4332666' 'Release' 'active' '12967355,something through If you believe youve found a security issue in our' 'application we encourage you to notify us We welcome working with you to' 'resolve the issue promptly Thanks in advance' 'DDiisscclloossuurree PPoolliiccyy' '     Let us know as soon as possible upon discovery of a potential security' '      issue and well make every effort to quickly resolve the issue' '     Provide us a reasonable amount of time to resolve the issue before any' '      disclosure to the public or a thirdparty We may publicly disclose the' '      issue before resolving it if appropriate' '     Make a good faith effort to avoid privacy violations destruction of' '      data and interruption or degradation of our service Only interact with' '      accounts you own or with explicit permission of the account holder' 'IInnssccooppee' '     Security issues in any current release of Vaultwarden Source code is' '      available at httpsgithubcomdanigarciavaultwarden This includes' '      the current latest release and main  testing release' 'EExxcclluussiioonnss' 'The following bug classes are outof scope' '     Bugs that are already reported on Vaultwardens issue tracker https' '      githubcomdanigarciavaultwardenissues' '     Bugs that are not part of Vaultwarden like on the the webvault or' '      mobile and desktop clients These issues need to be reported in the' '      respective project issue tracker at httpsgithubcombitwarden to which' '      we are not associated' '     Issues in an upstream software dependency ex Rust or External' '      Libraries which are already reported to the upstream maintainer' '     Attacks requiring physical access to a users device' '     Issues related to software or protocols not under Vaultwardens control' '     Vulnerabilities in outdated versions of Vaultwarden' '     Missing security best practices that do not directly lead to a' '      vulnerability You may still report them as a normal issue' '     Issues that do not have any impact on the general public' 'While researching wed like to ask you to refrain from' '     Denial of service' '     Spamming' '     Social engineering including phishing of Vaultwarden developers' '      contributors or users' 'Thank you for helping keep Vaultwarden and our users safe' 'HHooww ttoo ccoonnttaacctt uuss' '     You can contact us on Matrix httpsmatrixtovaultwardenmatrixorg' '      user danigmatrixorg' '     You can send an securitycontact to report a security issue' '          o If you want to send an encrypted email you can use the following' '            GPG key' '            httpskeyserverubuntucompks' '            lookupsearchxBBABFCFFCADCCDAfingerprintonopindex
wsargent/docker-cheat-sheet,,
