author_repo,wf_contents,security_policy
storybookjs/storybook,Unit tests' 'active' '14458' 'CLI tests' 'active' '14459' 'Puppeteer & A11y tests' 'active' '14461' 'Automention PRs' 'active' '14911' 'Dangerfile JS Pull' 'active' '14912' 'Dangerfile JS Pull' 'active' '127452' 'Trigger CircleCI workflow' 'active' '3911051' 'Danger JS' 'active' '7958226' 'Generate And Push Repros' 'active' '12422119' 'Handle Release Branches' 'active' '14886250' 'Export to linear' 'active' '15268250' 'Markdown Links Check' 'active' '22587517' 'Generate and push repros to the next branch' 'active' '31265784' 'Generate And Push Repros' 'disabled_manually' '31138867,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn       SSuuppppoorrtteedd' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability you can reach out to the maintainers directly on' 'Twitter httpstwittercomstorybookjs' 'When we fix a security issue we will post a security advisory on GithubNPM' 'describe the change in the release notes and also announce notify the' 'community on our Discord
TryGhost/Ghost,Test Suite' 'active' '790284' 'Release' 'active' '909578' 'Canary Build' 'active' '9779171' 'Auto Assign' 'active' '12947730' 'Migration Review' 'active' '14946639' 'Label Issues' 'active' '15193871' 'Close stale issues and PRs' 'active' '15200334' 'Browser Tests' 'active' '20112945' 'Custom build' 'active' '32757401' 'Create release branch' 'active' '33839021' 'Build PR Image' 'active' '43746352,Potential security vulnerabilities can be reported directly us at' 'securityghostorg The Ghost Security Team communicates privately and works in' 'a secured isolated repository for tracking testing and resolving security' 'related issues' 'The full uptodate details of our security policy and procedure can always be' 'found in our documentation' 'httpsghostorgdocssecurity' 'Please refer to this before emailing us Thanks for helping make Ghost safe for' 'everyone 
discourse/discourse,CI' 'active' '1251' '' 'active' '367807' 'Tests' 'active' '5947271' 'Linting' 'active' '5947272' 'Licenses' 'active' '10900361' 'Annotations' 'active' '11034998' 'mapi' 'active' '28780154' 'Pull Request Labeler' 'active' '39434595,We take security very seriously at Discourse We welcome any peer review of our' ' open source code to ensure nobodys Discourse forum is ever compromised or' 'hacked' 'WWhheerree sshhoouulldd II rreeppoorrtt sseeccuurriittyy iissssuueess' 'In order to give the community time to respond and upgrade we strongly urge you' 'report all security issues privately Please use our vulnerability disclosure' 'program at Hacker One to provide details and repro steps and we will respond' 'ASAP If you are unable to use Hacker One email us directly at' 'teamdiscourseorg with details and repro steps Security issues aallwwaayyss take' 'precedence over bug fixes and feature work We can and do mark releases as' 'urgent if they contain serious security fixes' 'PPlleeaassee nnoottee Due to a significant number of low quality security reports sent' 'via email we are unlikely to act on security reports sent to us via email' 'unless they come from a trusted source and include details on the' 'vulnerability and step by step instructions to reproduce it Theoretical' 'reports without a proof of concept are not accepted We strongly recommend you' 'follow the Hacker One submission protocols' 'For a list of recent security commits check our GitHub commits prefixed with' 'SECURITY' 'PPaasssswwoorrdd SSttoorraaggee' 'Discourse uses the PBKDF algorithm to encrypt salted passwords This algorithm' 'is blessed by NIST Security experts on the web tend to agree that PBKDF is a' 'secure choice' 'ooppttiioonnss yyoouu ccaann ccuussttoommiizzee iinn yyoouurr pprroodduuccttiioonnrrbb ffiillee' '     pbkdfalgorithm the hashing algorithm used default sha' '     pbkdfiterations the number of iterations to run default ' 'XXSSSS' 'The main vector for XSS attacks is via the post composer as we allow users to' 'enter Markdown HTML a safe subset thereof and BBCode to format posts' 'There are  main scenarios we protect against' '    MMaarrkkddoowwnn pprreevviieeww iinnvvookkeess aann XXSSSS This is possibly severe in one specific' '      case when a forum staff member edits a users post seeing the raw' '      markup where a malicious user may have inserted code to run JavaScript' '      This code would only show up in the preview but it would run in the' '      context of a forum staff member which is vveerryy bad' '    MMaarrkkddoowwnn ddiissppllaayyeedd oonn tthhee ppaaggee iinnvvookkeess aann XXSSSS To protect against client' '      side preview XSS Discourse uses xssjs in the preview window' '    CCSSPP iiss oonn bbyy ddeeffaauulltt for all Discourse installations as of Discourse ' '      It can be switched off in the site settings but it is default on' 'On the server side we run a allowlist based sanitizer implemented using the' 'Sanitize gem See the relevant Discourse code' 'In addition titles and all other places where nonadmins can enter code are' 'protected either using the Handlebars library or standard Rails XSS protection' 'CCSSRRFF' 'CSRF allows malicious sites to perform HTTP requests in the context of a forum' 'user without their knowledge  mostly by getting users who already hold a' 'valid forum login cookie to click a specific link in their web browser' 'Discourse extends the builtin Rails CSRF protection in the following ways' '    By default any non GET requests ALWAYS require a valid CSRF token If a' '      CSRF token is missing Discourse will raise an exception' '    API calls using the secret API bypass CSRF checks' '    Certain pages are cacheable we do not render the CSRF token meta' '      namecsrftoken  on any cacheable pages Instead when users are' '      about to perform the first non GET request they retrieve the token just' '      in time via GET sessioncsrf' 'DDDDOOSS' 'If you install via our recommended Docker image in our install guide nginx is' 'the front end web server For additional DDOS protection we recommend placing' 'HAProxy in front' 'DDeeppllooyymmeenntt ccoonncceerrnnss' 'We strongly recommend that the various Discourse processes web server' 'sidekiq run under a nonelevated account This is handled automatically if you' 'install via our recommended Docker image  see our install guide for details
emberjs/ember.js,Alpha Releases' 'active' '6279749' 'CI' 'active' '2051767' 'Cron' 'active' '2051660' 'Nightly TypeScript Run' 'active' '35955760,
text-mask/text-mask,pages-build-deployment' 'active' '36352665,
getsentry/sentry-javascript,Build & Test' 'active' '1963617' 'Prepare Release' 'active' '4298082' 'CodeQL' 'active' '8015010' 'close stale issues/PRs' 'active' '14177588' 'Enforce License Compliance' 'active' '24619226' 'Canary Tests' 'active' '37250429,RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If youve found a security issue in Sentry or in our supported SDKs you can' 'submit your report with one of the options below' '    Using GitHubs private vulnerabilty reporting feature on the' '      corresponding repository' '    Via email to securitysentryio' '     We prefer reports via GitHubs private vulnerability reporting' 'Please include as much information as possible in your report to better help us' 'understand and resolve the issue' '     Where the security issue exists ie Sentry SaaS a Sentrysupported SDK' '      infrastructure etc' '     The type of issue ex SQL injection crosssite scripting missing' '      authorization etc' '     Full paths or links to the source files where the security issue exists' '      if possible' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proof of concept or exploit code if available' 'If you need to encrypt sensitive information sent to us please use our PGP' 'key' 'E CA E  AB ED D FC D BEB
szimek/sharedrop,,
ember-cli/ember-cli,CI' 'active' '6419' 'Code Coverage' 'active' '766668,
emberjs/data,CI' 'active' '200824' 'Alpha Releases' 'active' '6296053' 'AssetSizeCheck' 'active' '10037' 'Canary-Mirror-Beta Release' 'active' '42119028' 'Ecosystem Compat Tests' 'active' '39073936' 'Documentation & Blueprint Tests' 'active' '38283643' 'Documentation & Blueprint Tests' 'active' '38267674' 'Encapsulation Tests' 'active' '38284833' 'Enforce Beta PR labeling' 'active' '9544739' 'Enforce Canary PR labeling' 'active' '9544741' 'Enforce Pervious LTS Release PR labeling' 'active' '9544742' 'Enforce LTS Release PR labeling' 'active' '9544743' 'Enforce Prior Release PR labeling' 'active' '9544737' 'Enforce Release PR labeling' 'active' '9544738' 'Infra Tests' 'active' '38145260' 'CI' 'active' '10038' 'Nightly' 'active' '23687' 'Partner Tests' 'active' '37935707' 'Performance Checks' 'active' '420919' 'Performance Check Against Release' 'active' '33292887,
mainmatter/ember-simple-auth,CI' 'active' '6437' 'Release' 'active' '535937' 'pages-build-deployment' 'active' '35173967,
krakenjs/zoid,build' 'active' '20384748' 'publish to npm' 'active' '20904665' 'pages-build-deployment' 'active' '25368981,HHooww iiss ZZooiidd sseeccuurree' 'Zoid uses Post Robot to do post messaging between multiple domains Zoid helps' 'secure messaging through iframe sandboxing domain validation and data' 'protection' '     IIffrraammee ssaannddbbooxxiinngg is a default browser feature that blocks others from' '      accessing the data of your iframe instance' '     DDoommaaiinn VVaalliiddaattiioonn checks the domain of the connection made to the Zoid' '      child component if requested If domains dont match accepted domains' '      the connect fails This is to stop access to secure components' '     DDaattaa PPrrootteeccttiioonn is the way Zoid manages checking domains of where the' '      data was sent from to help protect against malicious data being injected' '      through events' 'TThhiinnggss ZZooiidd ddooeess NNOOTT pprrootteecctt aaggaaiinnsstt' '     CClliicckkjjaacckkiinngg cannot be avoided Even though the data is secure the click' '      is happening outside the scope of Zoid therefore Zoid cannot validate' '      those actions To learn more about cclliicckkjjaacckkiinngg read this' 'CCoonnttaacctt uuss' 'We take security very seriously and ask that you follow the following process' 'If you think you may have found a security bug we ask that you privately send' 'the details to DLPPKrakenJspaypalcom Please make sure to use a' 'descriptive title in the email' 'EExxppeeccttaattiioonnss' 'We will generally get back to you within  hhoouurrss but a more detailed response' 'may take up to  hhoouurrss If you feel were not responding back in time please' 'send us a message wwiitthhoouutt ddeettaaiill on Twitter krakenjs' 'HHiissttoorryy' 'No reported issues
Addepar/ember-table,Ember-Table CI' 'active' '3345603' 'Static security scanning' 'active' '28929903' 'pages-build-deployment' 'active' '17778486,
FancyGrid/awesome-grid,,
Shopify/storefront-api-examples,,Shopifys Whitehat Bug Bounty program rewards researchers for discovering' 'security vulnerabilities' 'You can submit a report via HackerOne
emberjs/ember-inspector,Build and Publish' 'active' '3678,
miguelcobain/ember-paper,CI' 'active' '21092499' 'Documentation Site' 'active' '29870636' 'Lint to the Future Dashboard' 'active' '29872484' 'pages-build-deployment' 'active' '29872542,
