author_repo,wf_contents,security_policy
microsoft/playwright,infra' 'active' '551664' 'tests' 'active' '551665' 'publish canary' 'active' '1076497' 'devrelease:npm' 'active' '1874824' 'devrelease:driver' 'active' '4720691' 'Internal Tests' 'active' '5762186' 'test Chrome Beta' 'active' '8748112' 'tests 1' 'active' '8973349' 'tests 2' 'active' '8973382' 'test headful' 'active' '9062616' 'test WebKit' 'active' '9062617' 'tests Android' 'active' '9062618' 'test Edge Stable' 'active' '9062619' 'test Chromium' 'active' '9062620' 'test Chrome Stable' 'active' '9062621' 'test transport' 'active' '9062622' 'electron' 'active' '9062623' 'test Firefox Stable' 'active' '9062624' 'test Firefox' 'active' '9062625' 'tests Video' 'active' '9062626' 'test package installation' 'active' '9062627' 'Chrome Beta Tests' 'active' '9390965' 'CodeQL Analysis' 'active' '9890771' 'Trigger: Chromium with Symbols Builds' 'active' '10425337' 'Docker tests' 'active' '10544222' 'Roll Browser into Playwright' 'active' '12271009' 'tests grid' 'active' '12366907' 'Check PR client side changes' 'active' '12455988' 'Check client side changes' 'active' '12517699' 'publish release - Docker' 'active' '17710558' 'publish release - driver' 'active' '17710559' 'publish release - NPM' 'active' '17710560' 'publish release - TraceViewer' 'active' '17710561' 'tests - embedded doc tests' 'active' '22111480' 'components' 'active' '25451272' 'stress' 'active' '26373695' 'PR: bump driver Node.js' 'active' '30020312' 'Cherry-pick into release branch' 'active' '32138392' 'WebView2 Tests' 'active' '33240915' 'Documentation Checks' 'active' '36859769,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts Microsofts definition of a security' 'vulnerability of a security vulnerability please report it to us as described' 'below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'the Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
FiloSottile/mkcert,Upload Release Asset' 'active' '3744385' 'Test' 'active' '3742736,
gorhill/uBlock,uBO release' 'active' '4121570' 'uBO Lite release' 'active' '35264257' 'pages-build-deployment' 'active' '16509852,
iamadamdev/bypass-paywalls-chrome,ci' 'active' '3325127,
ovity/octotree,,
ArchiveBox/ArchiveBox,CodeQL' 'active' '5162403' 'Build Debian package' 'active' '3890358' 'Build Docker image' 'active' '3775899' 'Build Homebrew package' 'active' '3890359' 'Run linters' 'active' '3890360' 'Build Pip package' 'active' '3890357' 'Run tests' 'active' '1780415' 'pages-build-deployment' 'active' '16471647,
mozilla-mobile/firefox-ios,Bitrise Xcode Check and Update' 'active' '5409452' 'CI' 'active' '10762795' 'Create a PR to build the app using newest a-s version available' 'active' '20903395' 'Create a PR with changes after importing strings' 'active' '22829195' 'Glean probe-scraper' 'active' '28687839' '.github/workflows/update_credtential_provider_script.yml' 'active' '29994056' 'Update credential provider script' 'active' '29994296' 'Update Nimbus Experiments' 'active' '32197044' '.github/workflows/update-content-blocker-shavar-version.yml' 'active' '43656197' 'code-cov' 'active' '43783424' 'Build contributor PR' 'disabled_manually' '9410314,
Anarios/return-youtube-dislike,commentCommands' 'active' '30590471' 'Test' 'active' '16127102' 'Website Lint' 'active' '16312067,
crimx/ext-saladict,,
gildas-lormeau/SingleFile,,
