author_repo,wf_contents,security_policy
pallets/flask,CodeQL' 'active' '29724794' 'Lock threads' 'active' '3605901' 'Tests' 'active' '1367898,If you believe you have identified a security issue with a Pallets project ddoo' 'nnoott ooppeenn aa ppuubblliicc iissssuuee To responsibly report a security issue please email' 'securitypalletsprojectscom A security team member will contact you' 'acknowledging the report and how to continue' 'Be sure to include as much detail as necessary in your report As with' 'reporting normal issues a minimal reproducible example will help the' 'maintainers address the issue faster If you are able you may also include a' 'fix for the issue generated with git formatpatch' 'The current and previous release will receive security patches with older' 'versions evaluated based on usage information and severity' 'After fixing an issue we will make a security release along with an' 'announcement on our blog We may obtain a CVE id as well You may include a' 'name and link if you would like to be credited for the report
apache/superset,Python' 'active' '1024926' 'License Check' 'active' '1024927' 'E2E' 'active' '1024928' 'Frontend' 'active' '1024930' 'Translations' 'active' '1282633' 'Prefer Typescript' 'active' '2508631' 'Hive' 'active' '2508632' 'Docker' 'active' '2508634' 'Presto' 'active' '2508635' 'Docs' 'active' '2509806' 'PR Lint' 'active' '2668108' 'Docker' 'active' '3465823' 'Python Sqlite' 'active' '3803316' 'Python Postgres' 'active' '3803317' 'Python MySQL' 'active' '3803318' 'Python Presto/Hive' 'active' '3803319' 'Python Misc' 'active' '3815270' 'Tags' 'active' '4334068' 'Python-Unit' 'active' '4722038' 'Miscellaneous' 'active' '4722039' 'Cancel Duplicates' 'active' '4755967' 'Docker' 'active' '4796916' 'Push ephmereral env image' 'active' '6121850' 'Ephemeral env workflow' 'active' '6121851' 'Cleanup ephemeral envs (PR close)' 'active' '6543333' 'Check DB migration conflict' 'active' '6585470' 'WebSocket server' 'active' '7169356' 'Lint and Test Charts' 'active' '8177353' 'Release Charts' 'active' '8179801' 'Python-Integration' 'active' '10929587' 'GitHub Actions Demo' 'active' '14377224' 'release-workflow' 'active' '16610251' 'Embedded SDK Release' 'active' '19161392' 'Embedded SDK PR Checks' 'active' '19163777' 'Applitools Storybook' 'active' '24917879' 'Applitools Cypress' 'active' '25353440' 'Superset CLI tests' 'active' '25834206' 'Welcome New Contributor' 'active' '28287379' 'Chromatic' 'active' '32456368' 'Chromatic Storybook Master' 'active' '33382253' '.github/workflows/chromatic-pr.yml' 'active' '33382254' '.github/workflows/generate_tech_debt_metrics.yml.yaml' 'active' '34400599' 'Generate Technical Debt Metrics' 'active' '34413817' 'CodeQL' 'active' '35290406' 'Helm Docs Check' 'active' '38894551,This is a project of the Apache Software Foundation and follows the ASF' 'vulnerability handling process' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a new vulnerability you have discovered please follow the ASF' 'vulnerability reporting process
plotly/dash,,
Asabeneh/30-Days-Of-Python,,
jhao104/proxy_pool,Publish Docker image latest' 'active' '30609946' 'Publish Docker image tags' 'active' '30609947' 'pages-build-deployment' 'active' '17142621,
Miserlou/Zappa,,
humiaozuzu/awesome-flask,,
OpenEthan/SMSBoom,🚀 Run SMSBoom in Action' 'active' '24911005,
miguelgrinberg/flasky,,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think youve found a vulnerability on this project please send me' 'Miguel Grinberg an email at miguelgrinberggmailcom with a description of' 'the problem I will personally review the issue and respond to you with next' 'steps' 'If the issue is highly sensitive you are welcome to encrypt your message Here' 'is my PGP key' 'Please do not disclose vulnerabilities publicly before discussing how to' 'proceed with me
jofpin/trape,,
dvf/blockchain,,
benbusby/whoogle-search,pep8' 'active' '4336260' 'buildx' 'active' '4721284' 'tests' 'active' '12682015' 'pypi' 'active' '12704491' 'docker_tests' 'active' '15513879' 'docker_main' 'active' '18636609' 'scan' 'active' '18643463,
pyeve/eve,CI' 'active' '5970087' 'Release Wheel' 'active' '30785896,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please email pyeve at nicolaiarocci dot com any vulnerability you may find' 'about this project
joeyespo/grip,,
miguelgrinberg/Flask-SocketIO,build' 'active' '3745137,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think youve found a vulnerability on this project please send me' 'Miguel Grinberg an email at mailtomiguelgrinberggmailcom with a' 'description of the problem I will personally review the issue and respond to' 'you with next steps' 'If the issue is highly sensitive you are welcome to encrypt your message Here' 'is my PGP key' 'Please do not disclose vulnerabilities publicly before discussing how to' 'proceed with me
