author_repo,wf_contents,security_policy
vuejs/vue,ci' 'active' '26488619' 'Create Release' 'active' '27192329,
laravel/laravel,issues' 'active' '41266824' 'pull requests' 'active' '23546960' 'Tests' 'active' '25144750' 'update changelog' 'active' '19514173,
django/django,Tests' 'active' '4693886' 'Linters' 'active' '5147559' 'Docs' 'active' '6146682' 'New contributor message' 'active' '6637294' 'Schedule tests' 'active' '21767459' 'Schedule' 'active' '21767460' 'Benchmark' 'active' '32082613' 'Accessibility' 'active' '35764840,Please see httpswwwdjangoprojectcomsecurity
gin-gonic/gin,Run Tests' 'active' '4571766' 'CodeQL' 'active' '7897413' 'CodeQL' 'active' '19315571' 'Goreleaser' 'active' '27017870,
spring-projects/spring-boot,Validate Gradle Wrapper' 'active' '541313,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think you have found a security vulnerability please DDOO NNOOTT disclose it' 'publicly until weve had a chance to fix it Please dont report security' 'vulnerabilities using GitHub issues instead head over to httpsspringio' 'securitypolicy and learn how to disclose them responsibly
nestjs/nest,CodeQL' 'active' '2032350,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security issues to supportnestjscom
tiangolo/fastapi,Issue Manager' 'active' '1479052' 'Test' 'active' '1929523' 'Publish' 'active' '1929979' 'Build Docs' 'active' '1930578' 'Preview Docs' 'active' '1932386' 'Latest Changes' 'active' '2947455' 'Label Approved' 'active' '2947479' 'FastAPI People' 'active' '3061793' 'Notify Translations' 'active' '12309785' 'CodeQL' 'active' '15444274' 'Azure Static Web Apps CI/CD' 'active' '39096084' 'Smokeshow' 'active' '39554201,Security is very important for FastAPI and its community ' 'Learn more about it below ' 'VVeerrssiioonnss' 'The latest version of FastAPI is supported' 'You are encouraged to write tests for your application and update your FastAPI' 'version frequently after ensuring that your tests are passing This way you' 'will benefit from the latest features bug fixes and sseeccuurriittyy ffiixxeess' 'You can learn more about FastAPI versions and how to pin and upgrade them for' 'your project in the docs' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think you found a vulnerability and even if you are not sure about it' 'please report it right away by sending an email to securitytiangolocom' 'Please try to be as explicit as possible describing all the steps and example' 'code to reproduce the security issue' 'I the author tiangolo will review it thoroughly and get back to you' 'PPuubblliicc DDiissccuussssiioonnss' 'Please restrain from publicly discussing a potential security vulnerability ' 'Its better to discuss privately and try to find a solution first to limit the' 'potential impact as much as possible' '' 'Thanks for your help' 'The FastAPI community and I thank you for that 
rails/rails,Ruby Gem' 'active' '162381' 'Label Actions' 'active' '11398680' 'Lint' 'active' '7826754' 'Lint Code Base' 'active' '7932404' 'RuboCop' 'active' '3945' '.github/workflows/squash.yml' 'active' '26116004' 'Rails CI' 'active' '16098925,
spring-projects/spring-framework,Backport Bot' 'active' '27293308' 'Java CI with Gradle' 'active' '6318443' 'Validate Gradle Wrapper' 'active' '1448333,SSuuppppoorrtteedd VVeerrssiioonnss' 'Please see the Spring Framework Versions wiki page' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please see httpsspringiosecuritypolicy
ionic-team/ionic-framework,Pull Request Labeler' 'active' '2795988' 'Ionic Framework Build' 'active' '9265489' 'Ionic Dev Build' 'active' '15092567' 'Ionic Production Release' 'active' '16249614' 'Ionic Pre-Release' 'active' '16372890' 'Update Reference Screenshots' 'active' '21085777' '.github/workflows/nightly.yml' 'active' '24194951' 'CodeQL' 'active' '27864643' 'Stencil Nightly Build' 'active' '40155433' 'Release Ionic' 'active' '40795869,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security vulnerabilities via email to securityionicio
scrapy/scrapy,Build' 'active' '3362613' 'Ubuntu' 'active' '4548105' 'Checks' 'active' '4548106' 'Windows' 'active' '4548107' 'Publish' 'active' '4639478' 'macOS (new)' 'active' '6539450' 'Ubuntu' 'active' '13878663' 'macOS' 'disabled_manually' '4603726,
ocornut/imgui,build' 'active' '15240' 'static-analysis' 'active' '2154717' 'scheduled' 'active' '5854776,
