author_repo,wf_contents,security_policy
ipfs/ipfs,Close and mark stale issue' 'active' '28086113,
ipfs/kubo,Add reviewers/assignees to Pull Requests' 'active' '165597' 'CodeQL' 'active' '5675645' 'Go Test' 'active' '10999710' 'Publish Docker image' 'active' '13647427' 'Sync github release assets with dist.ipfs.tech' 'active' '13912189' 'Go Checks' 'active' '25370515' 'Close and mark stale issue' 'active' '28085884' '[EXPERIMENTAL] Go Lint' 'active' '37899319' '[EXPERIMENTAL] Interop' 'active' '37899320' '[EXPERIMENTAL] Go Test' 'active' '37899321' '[EXPERIMENTAL] Build Docker image' 'active' '37899322' '[EXPERIMENTAL] Go Build' 'active' '37899323' '[EXPERIMENTAL] Sharness' 'active' '37899324' 'Testground PR Checker' 'disabled_manually' '12102268,The IPFS protocol and its implementations are still in heavy development This' 'means that there may be problems in our protocols or there may be mistakes in' 'our implementations We take security vulnerabilities very seriously If you' 'discover a security issue please bring it to our attention right away' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you find a vulnerability that may affect live deployments  for example by' 'exposing a remote execution exploit  please sseenndd yyoouurr rreeppoorrtt pprriivvaatteellyy to' 'securityipfsio Please DDOO NNOOTT ffiillee aa ppuubblliicc iissssuuee' 'If the issue is a protocol weakness that cannot be immediately exploited or' 'something not yet deployed just discuss it openly' 'RReeppoorrttiinngg aa nnoonn sseeccuurriittyy bbuugg' 'For nonsecurity bugs please simply file a GitHub issue
lensterxyz/lenster,CI' 'active' '22187509' 'CodeQL' 'active' '24315275' 'Crowdin download' 'active' '44257944' 'Crowdin upload' 'active' '44257945,Contact securitylensterxyz' 'At Lenster we consider the security of our systems a top priority But no' 'matter how much effort we put into system security there can still be' 'vulnerabilities present' 'If you discover a vulnerability we would like to know about it so we can take' 'steps to address it as quickly as possible We would like to ask you to help us' 'better protect our clients and our systems' 'OOuutt ooff ssccooppee vvuullnneerraabbiilliittiieess' '     Clickjacking on pages with no sensitive actions' '     Unauthenticatedlogoutlogin CSRF' '     Attacks requiring MITM or physical access to a users device' '     Any activity that could lead to the disruption of our service DoS' '     Content spoofing and text injection issues without showing an attack' '      vectorwithout being able to modify HTMLCSS' '     Email spoofing' '     Missing DNSSEC CAA CSP headers' '     Lack of Secure or HTTP only flag on nonsensitive cookies' '     Deadlinks' 'PPlleeaassee ddoo tthhee ffoolllloowwiinngg' '     Email your findings to securitylensterxyz' '     Do not run automated scanners on our infrastructure or dashboard If you' '      wish to do this contact us and we will set up a sandbox for you' '     Do not take advantage of the vulnerability or problem you have' '      discovered for example by downloading more data than necessary to' '      demonstrate the vulnerability or deleting or modifying other peoples' '      data' '     Do not reveal the problem to others until it has been resolved' '     Do not use attacks on physical security social engineering distributed' '      denial of service spam or applications of third parties' '     Do provide sufficient information to reproduce the problem so we will be' '      able to resolve it as quickly as possible Usually the IP address or the' '      URL of the affected system and a description of the vulnerability will be' '      sufficient but complex vulnerabilities may require further explanation' 'WWhhaatt wwee pprroommiissee' '     We will respond to your report within  business days with our evaluation' '      of the report and an expected resolution date' '     If you have followed the instructions above we will not take any legal' '      action against you in regard to the report' '     We will handle your report with strict confidentiality and not pass on' '      your personal details to third parties without your permission' '     We will keep you informed of the progress towards resolving the problem' '     In the public information concerning the problem reported we will give' '      your name as the discoverer of the problem unless you desire otherwise' '      and' '     We strive to resolve all problems as quickly as possible and we would' '      like to play an active role in the ultimate publication on the problem' '      after it is resolved
orbitdb/orbit-db,Node.js Package (next tag)' 'active' '13049377' 'Node.js Package' 'active' '13692457' 'Run Tests' 'active' '44259320,
ipfs/js-ipfs,Test' 'active' '13180026' 'Examples' 'active' '18631204' 'Externals' 'active' '18631205' 'Close and mark stale issue' 'active' '28085890,
smartcontractkit/full-blockchain-solidity-course-js,,
berty/berty,Release' 'active' '68111' '' 'active' '159875' '.github/workflows/protobuf.yml' 'active' '1449730' 'Go' 'active' '1632100' 'JS' 'active' '1632203' 'PR' 'active' '1775943' 'Android' 'active' '2598412' 'iOS' 'active' '2608824' 'Integration' 'active' '3404567' 'Dependent Issues' 'active' '4031739' 'CodeQL' 'active' '8312095' 'Pods' 'active' '15397620' 'macOS Release' 'active' '18999714' 'Cancel' 'active' '22167946' 'Monitor self-hosted runners' 'active' '22167947' 'SSH on runner' 'active' '22167948' 'iOS' 'active' '27672998' 'Valist Publish' 'active' '30579850' 'Go benchmark' 'active' '39533089' 'mage-iOS' 'disabled_manually' '4143907,
ipfs/ipfs-desktop,CI' 'active' '172741' 'Auto Assign to IPFS-GUI Project' 'active' '30496404' 'chocolatey' 'active' '2984712' 'ci' 'active' '2813181' 'snapcraft' 'active' '2899844' 'Close and mark stale issue' 'active' '11428277,
ipfs/awesome-ipfs,Open a PR to remove broken links on a schedule' 'active' '35001458' 'auto build data' 'active' '1070297' 'Pull request workflow' 'active' '34898243' 'Close and mark stale issue' 'active' '28086131,
embarklabs/embark,Nightlies' 'active' '401056,
TeamPiped/Piped,Docker Multi-Architecture Build' 'active' '11884216' 'Build and Lint' 'active' '13997263' 'Build and Deploy' 'active' '17849396' 'Azure Static Web Apps CI/CD' 'active' '40082245' 'Merge Weblate translations' 'active' '40173915,
zlib-searcher/zlib-searcher,Build/release docker images' 'active' '41767321' 'Build Releases' 'active' '44350461' 'Release Desktop' 'active' '44345764' 'Build Test' 'active' '41930116' 'Build Desktop Test' 'active' '42254201,
yjjnls/awesome-blockchain,,
hoochanlon/fq-book,pages-build-deployment' 'active' '29675856,
filecoin-project/lotus,CodeQL' 'active' '7895122' '.github/workflows/trigger-helm-deploy.yaml' 'active' '9615056' 'Close and mark stale issue' 'active' '11279101' 'sync-master-main' 'active' '13453526' 'CIFuzz' 'active' '41032212' 'Testground PR Checker' 'disabled_manually' '7195603,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'For reporting security vulnerabilitiesbugs please consult our Security Policy' 'and Responsible Disclosure Program information at httpsgithubcomfilecoin' 'projectcommunityblobmasterSECURITYmd Security vulnerabilities should be' 'reported via our Vulnerability Reporting channels and will be eligible for a' 'Bug Bounty' 'Please try to provide a clear description of any bugs reported along with how' 'to reproduce the bug if possible More detailed bug reports especially those' 'with a PoC included will help us move forward much faster Additionally' 'please avoid reporting bugs that already have open issues Take a moment to' 'search the issue list of the related GitHub repositories before writing up a' 'new report' 'Here are some examples of bugs we would consider to be security' 'vulnerabilities' '     If you can spend from a multisig wallet you do not control the keys for' '     If you can cause a miner to be slashed without them actually misbehaving' '     If you can maintain power without submitting windowed posts regularly' '     If you can craft a message that causes lotus nodes to panic' '     If you can cause your miner to win significantly more blocks than it' '      should' '     If you can craft a message that causes a persistent fork in the network' '     If you can cause the total amount of Filecoin in the network to no longer' '      be  billion' 'This is not an exhaustive list but should provide some idea of what we' 'consider as a security vulnerability ' 'RReeppoorrttiinngg aa nnoonn sseeccuurriittyy bbuugg' 'For nonsecurity bugs please simply file a GitHub issue
lenstube-xyz/lenstube,Checks' 'active' '41437585' 'Continuous integration' 'active' '41437325' 'CodeQL' 'active' '33416175,RReeppoorrttiinngg PPootteennttiiaall SSeeccuurriittyy IIssssuueess' 'If you have encountered a potential security vulnerability in this project' 'please report it to us at sasicodesusersnoreplygithubcom We will work with' 'you to verify the vulnerability and patch it' 'When reporting issues please provide the following information' '     Components affected' '     A description indicating how to reproduce the issue' '     A summary of the security vulnerability and impact' 'We request that you contact us via the email address above and give the project' 'contributors a chance to resolve the vulnerability and issue a new release' 'prior to any public exposure this helps protect the projects users and' 'provides them with a chance to upgrade andor update in order to protect their' 'applications' 'PPoolliiccyy' 'If we verify a reported security vulnerability our policy is' '     We will patch the current release branch as well as the immediate prior' '      minor release branch' '     We will keep you informed of the progress towards resolving the problem
graphprotocol/graph-node,Security audit' 'active' '5016288' 'Benchmark' 'active' '23189246' 'Continuous Integration' 'active' '4934795' 'Code coverage' 'active' '40933221' 'StreamingFast Integration' 'active' '16717059' 'Stale PR handler' 'active' '40685827,
libp2p/js-libp2p,ci' 'active' '3981291' 'examples' 'active' '7276675' 'Automerge' 'active' '22098915' 'Close and mark stale issue' 'active' '35255584,
