author_repo,wf_contents,security_policy
CyC2018/CS-Notes,pages-build-deployment' 'active' '19311481,
Snailclimb/JavaGuide,,
iluwatar/java-design-patterns,Java PR Builder' 'active' '2214207' 'Java CI' 'active' '2226876' 'SonarCloud' 'active' '41738548' 'SonarCloud analysis' 'active' '41753346,
doocs/advanced-java,Sync' 'active' '877831' 'Compress' 'active' '14429152' 'Starcharts' 'active' '16205781' 'pages-build-deployment' 'active' '16436358,
spring-projects/spring-boot,Validate Gradle Wrapper' 'active' '541313,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think you have found a security vulnerability please DDOO NNOOTT disclose it' 'publicly until weve had a chance to fix it Please dont report security' 'vulnerabilities using GitHub issues instead head over to httpsspringio' 'securitypolicy and learn how to disclose them responsibly
macrozheng/mall,,
elastic/elasticsearch,Validate Gradle Wrapper' 'active' '648178' '.github/workflows/YOUR_WORKFLOW.yml' 'active' '25944821' 'Docs Preview Links' 'active' '33376478,Thanks for your interest in the security of our products Our security policy' 'can be found at httpswwwelasticcocommunitysecurity' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please send security vulnerability reports to our public bug bounty program or' 'to securityelasticco
kdn251/interviews,,
azl397985856/leetcode,Compress images' 'active' '158201' 'Continuous Integration' 'active' '22197577' 'pages-build-deployment' 'active' '16532400,
TheAlgorithms/Java,Java gradle CI' 'active' '262893' 'Build' 'active' '3166674' 'CodeQL' 'active' '6754791' 'Close stale issues and PRs' 'active' '13213231' 'Update Directory' 'active' '13560767' 'Prettify' 'disabled_manually' '13560913,
ReactiveX/RxJava,Validate Gradle Wrapper' 'active' '395010' 'Branch' 'active' '3741588' 'JDK 11' 'active' '5435035' 'Pull Request' 'active' '3742203' 'Release' 'active' '3742591' 'Snapshot' 'active' '3742592' 'pages-build-deployment' 'active' '18602033,
