author_repo,wf_contents,security_policy
jekyll/jekyll,Continuous Integration' 'active' '41417' 'Continuous Integration' 'active' '199077' 'Build and deploy Jekyll documentation site' 'active' '1359329' 'Third-Party Repository Profiling' 'active' '2610703' 'Spell Check' 'active' '9095240' 'Micro Benchmark Runs' 'active' '14273784' 'Release Gem' 'active' '14948315' 'pages-build-deployment' 'active' '16449363,SSuuppppoorrtteedd VVeerrssiioonnss' 'Security updates are applied to the latest MINOR version of Jekyll and the' 'version used by GitHub Pages vx' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x   ' ' x ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report vulnerabilities by sending an email to securityjekyllrbcom with' 'the following information' '    A description of the vulnerability' '    Reproduction steps andor a sample site share a private repo to the' '      Jekyll Security Team' '    Your contact information' 'The Jekyll security team will respond to your submission and notify you whether' 'it has been confirmed by the team Your confidentiality is kindly requested as' 'we work on a fix We will provide our patch to you to test and verify that the' 'vulnerability has been closed' 'If you have created a patch and would like to submit that to us as well we' 'will happily consider it though we cannot guarantee that we will use it If we' 'use your patch we will attribute authorship to you either as the commit' 'author or as a coauthor' 'Once a fix is verified we will release PATCH versions of the supported MINOR' 'versions and assign a CVE to the vulnerability You will receive credit in our' 'release post' 'Once the patched version has been released we will no longer request you to' 'maintain confidentiality and you may choose to share details on how you found' 'the vulnerability with the community
tabler/tabler,Test build' 'active' '340280' 'Bundlewatch' 'active' '38360226' 'Changed lock files' 'active' '39303034,We take security very seriously and ask that you follow the following process' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think you may have found a security bug we ask that you privately send' 'the details to supporttablerio Please make sure to use a descriptive title' 'in the email
mmistakes/minimal-mistakes,Cleanup bad PR' 'active' '17679208' 'pages-build-deployment' 'active' '17415722,
primer/octicons,Octicons Build' 'active' '129615' 'Octicons Build' 'active' '238756' 'Optimize SVGs' 'active' '1441610' 'CI' 'active' '8345571' 'Deploy' 'active' '8383983' 'Deploy' 'active' '8385517' 'Release' 'active' '8387134' 'Stale' 'active' '13460035' 'Octicons Publish' 'active' '14490712' 'Release' 'active' '14490713' 'Check for changeset' 'active' '18623472' 'pages-build-deployment' 'active' '24459454' 'CodeQL' 'active' '28611466' 'Package API' 'active' '43012606,
just-the-docs/just-the-docs,CI' 'active' '42322' 'CI' 'active' '148423' 'Publish Ruby Gem' 'active' '3003208' '.github/workflows/node.js.yml' 'active' '7094985' 'pages-build-deployment' 'active' '21083200' 'Deploy Jekyll site to Pages' 'active' '43695446,
mqtt/mqtt.org,pages-build-deployment' 'active' '17353772,
alshedivat/al-folio,Docker Image CI (Upload Tag)' 'active' '30439931' 'Docker Image CI' 'active' '23913385' 'deploy' 'active' '4697367' 'pages-build-deployment' 'active' '16726829,
daattali/beautiful-jekyll,Beautiful Jekyll CI' 'active' '1063173' 'pages-build-deployment' 'active' '19535336,
fastai/fastpages,GH-Pages Status' 'active' '498877' 'Chatops' 'active' '511639' 'CI' 'active' '515342' 'Setup' 'active' '586217' 'Upgrade fastpages' 'active' '680196' 'Build-Docker' 'active' '697592' 'deprecated' 'active' '700207' 'Check Configurations' 'active' '1179042' 'Issue Reminder' 'active' '1179200' 'Check CDN' 'active' '2679472' 'pages-build-deployment' 'active' '17502649,
poole/hyde,,
home-assistant/home-assistant.io,Markdown' 'active' '211520' 'home-assistant.io Test' 'active' '425048' 'Stale' 'active' '3471102' 'Lock' 'active' '3471603' 'Add new PRs to project' 'active' '33145277' 'Codespaces Prebuilds' 'active' '35473111,' 'You can find the Home Assistant security policy guidelines herehttps' 'wwwhomeassistantiosecurity
github/choosealicense.com,Build and Test' 'active' '2555814' 'pages-build-deployment' 'active' '17442295,SSeeccuurriittyy' 'GitHub takes the security of our software products and services seriously' 'including all of the open source code repositories managed through our GitHub' 'organizations such as GitHub' 'Even though open source repositories are outside of the scope of our bug bounty' 'program and therefore not eligible for bounty rewards we will ensure that your' 'finding gets passed along to the appropriate maintainers for remediation' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If you believe you have found a security vulnerability in any GitHubowned' 'repository please report it to us through coordinated disclosure' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Instead please send an email to opensourcesecuritygithubcom' 'Please include as much of the information listed below as you can to help us' 'better understand and resolve the issue' '     The type of issue eg buffer overflow SQL injection or crosssite' '      scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPoolliiccyy' 'See GitHubs Safe Harbor Policy
poole/lanyon,,
jekyll/minima,Continuous Integration' 'active' '13797219' 'Build and Deploy Demo Site' 'active' '34972163' 'pages-build-deployment' 'active' '16860606,
poole/poole,Release notes' 'active' '891553,
jekyll/jekyll-admin,Continuous Integration' 'active' '19899511' 'Build Gem Artifact' 'active' '20050430' 'pages-build-deployment' 'active' '19909036,
kitian616/jekyll-TeXt-theme,,
sergiokopplin/indigo,,
sharu725/online-cv,pages-build-deployment' 'active' '16588956,
eduardoboucas/staticman,,
TaylanTatli/Moon,,
mmistakes/so-simple-theme,,
