author_repo,wf_contents,security_policy
JuliaLang/julia,cffconvert' 'active' '19639582' 'Create Pending Statuses' 'active' '11989671' '.github/workflows/format.yml' 'active' '36826712' '.github/workflows/my_workflow.yml' 'active' '9314673' 'Pending' 'active' '11990182' 'Statuses' 'active' '11989927' 'Rerun Failed Buildkite Jobs' 'active' '14202558' 'Create Buildbot Statuses' 'active' '11990343,SSuuppppoorrtteedd VVeerrssiioonnss' 'The LTS and current stable releases of Julia are the ones supported for' 'security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'LTS     ' 'Stable  ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security vulnerabilities by emailing securityjulialangorg
plotly/dash,,
nteract/papermill,CI' 'active' '8509663' 'CodeQL' 'active' '18552429,
fonsp/Pluto.jl,TagBot' 'active' '738718' 'Pluto backend tests' 'active' '1776739' 'Pluto frontend tests' 'active' '2546114' 'CompatHelper' 'active' '4200263' 'Launch test' 'active' '4329296' 'Bundle Web Assets' 'active' '14974377' 'Automatic PR comment: Try this PR!' 'active' '15310341' 'Fire release triggers' 'active' '16180863' 'Pluto benchmark compile times' 'active' '20816366' 'Run TypeScript checks' 'active' '26888696' 'Test dependent packages' 'active' '39318308' 'Test bundled HTML export' 'active' '43180681' 'Windows launch test' 'disabled_manually' '4176477,
multiprocessio/datastation,Run EE tests' 'active' '22399890' 'Run tests' 'active' '10312609' 'Build and publish artifacts' 'active' '11709036,
SciML/DifferentialEquations.jl,CI' 'active' '3938148' 'CompatHelper' 'active' '2254' 'format-check' 'active' '28845360' 'Invalidations' 'active' '33788544' 'TagBot' 'active' '524616,
szcf-weiya/ESL-CN,gh-pages' 'active' '10603263' 'pages-build-deployment' 'active' '16688747,
grame-cncm/faust,MacOS' 'active' '5968377' 'Ubuntu' 'active' '5968378' 'Windows' 'active' '5968379,
GenieFramework/Genie.jl,CompatHelper' 'active' '152658' 'TagBot' 'active' '541174' 'ci' 'active' '152535' 'pages-build-deployment' 'active' '16452352,of the report is contained within the email body and not solely behind a web' 'link or an attachment' 'The lead maintainer will acknowledge your email within  hours and will send' 'a more detailed response within  hours indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'endeavor to keep you informed of the progress towards a fix and full' 'announcement and may ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module with cced reportstipppleapp if Geniejl is using the module as' 'one of the dependencies' 'DDiisscclloossuurree PPoolliiccyy' 'When the security team receives a security bug report they will assign it to a' 'primary handler This person will coordinate the fix and release process' 'involving the following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible and will be available with latest tagged' '      Genie version and annouced on Genies twitter and Genies Discord' '      announcement channel' 'CCoommmmeennttss oonn tthhiiss PPoolliiccyy' 'If you have suggestions on how this process could be improved please submit a' 'pull request
jump-dev/JuMP.jl,TagBot' 'active' '526189' 'aqua-lint' 'active' '19540423' 'CI' 'active' '3447378' 'Doc Preview Cleanup' 'active' '13728890' 'Documentation' 'active' '3447379' 'format-check' 'active' '6257795' 'nightly_ci' 'active' '5172315' 'pages-build-deployment' 'active' '16411209,
GiovineItalia/Gadfly.jl,CI' 'active' '6902555' 'CompatHelper' 'active' '5891' 'TagBot' 'active' '55259' 'pages-build-deployment' 'active' '17414675,
MakieOrg/Makie.jl,TagBot' 'active' '524641' 'Makie CI' 'active' '9139093' 'CompatHelper' 'active' '9152914' 'Doc Preview Cleanup' 'active' '9300915' 'RegisterAction' 'active' '9472728' 'GLMakie CI' 'active' '10329103' 'CairoMakie CI' 'active' '10329104' 'WGLMakie CI' 'active' '10329105' 'Docs build and deploy' 'active' '12023855' 'pages-build-deployment' 'active' '16456557' 'RPRMakie CI' 'active' '17542192' 'Benchmark' 'active' '20517438' 'IntegrationTest' 'active' '25642837' 'Stale docs patch version removal' 'active' '33055300' 'format' 'active' '43910029,
JuliaPlots/Plots.jl,CompatHelper' 'active' '2173' 'TagBot' 'active' '525935' 'ci' 'active' '1429089' 'benchmarks' 'active' '5263610' 'docs' 'active' '8998554' 'format' 'active' '12008147' 'format' 'active' '12356612' '.github/workflows/codecov.yml' 'active' '12373213' 'format' 'active' '18370862' 'invalidations' 'active' '33644922,
alan-turing-institute/MLJ.jl,TagBot' 'active' '545374' 'CompatHelper' 'active' '2310168' 'CI' 'active' '3900370' 'pages-build-deployment' 'active' '17045628,
JuliaData/DataFrames.jl,CompatHelper' 'active' '35944' 'TagBot' 'active' '525026' 'CI' 'active' '3731274' 'pages-build-deployment' 'active' '16514003,
denizyuret/Knet.jl,TagBot' 'active' '534604,
FluxML/Zygote.jl,CompatHelper' 'active' '44519' 'IntegrationTest' 'active' '11423899' 'TagBot' 'active' '526198' 'CI' 'active' '3765753' 'Doc Preview Cleanup' 'active' '33758209' 'pr_comment' 'active' '33758210' 'pages-build-deployment' 'active' '16749131,
JuliaPy/PyCall.jl,CompatHelper' 'active' '2738380' 'TagBot' 'active' '526131' 'AOT test' 'active' '2667677' 'Test with conda' 'active' '2667676' 'Test with system Python' 'active' '2667678,
svaksha/Julia.jl,,
mossr/BeautifulAlgorithms.jl,CI' 'active' '9107677,
