author_repo,wf_contents,security_policy
justjavac/free-programming-books-zh_CN,,
JetBrains/kotlin,,Security updates are applied to the latest feature release x of the' 'compiler standard library and build plugins' 'A fix will be shipped with the next incremental xy or bug fix release' 'xyz' 'All fixes are also applied to the master branch to be included in all upcoming' 'releases' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Instructions for reporting a vulnerability can be found on the Security page
square/okhttp,Validate Gradle Wrapper' 'active' '526097' 'build' 'active' '1074167' 'pages-build-deployment' 'active' '19378818' 'build' 'active' '42741082,
square/leakcanary,Greetings' 'active' '193289' 'Main' 'active' '4137423' 'Mark stale issues' 'active' '16821230' 'pages-build-deployment' 'active' '17345553,
NativeScript/NativeScript,@nativescript/core -> npm' 'active' '4556236' '@nativescript/types -> npm' 'active' '4556237' '@nativescript/webpack -> npm' 'active' '4556238' 'tns-core-modules -> npm' 'active' '5216937' 'apps/automated' 'active' '5577118,
google/iosched,iosched' 'active' '9200172,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
tachiyomiorg/tachiyomi,Lock threads' 'active' '7769954' 'Issue moderator' 'active' '9615033' 'PR build check' 'active' '12219323' 'CI' 'active' '12219324,
tipsy/profile-summary-for-github,,
afollestad/material-dialogs,Android CI' 'active' '169223' 'Android CI' 'active' '261328,
Kotlin/anko,,
Tencent/MMKV,,
Kotlin/kotlinx.coroutines,pages-build-deployment' 'active' '16416804,
mamoe/mirai,Gradle CI' 'active' '16248' 'mirai-doc Publish' 'active' '1370319' 'Build' 'active' '5359216' 'Release Publish' 'active' '5614908' 'Test' 'active' '15925117' 'pages-build-deployment' 'active' '16492398' 'Build mirai-core JVM' 'active' '27507637' 'Build mirai-console and tools' 'active' '27507638' 'Build mirai-core Native' 'active' '27507639' 'Check Publishing' 'active' '40962890,
wasabeef/recyclerview-animators,,
permissions-dispatcher/PermissionsDispatcher,Deploy snapshot' 'active' '5800992' 'CI for pull request' 'active' '5800999' 'Release' 'active' '5801135' 'KTX Release' 'active' '6746540,
ktorio/ktor,Validate Gradle Wrapper' 'active' '396993' 'CI' 'active' '10058496,
gyf-dev/ImmersionBar,,
KotlinBy/awesome-kotlin,Build' 'active' '8687111,
JetBrains/compose-jb,Test Gradle plugin' 'active' '39654004,
wasabeef/glide-transformations,,
quicktype/quicktype,Test' 'active' '233066' 'Build and Release' 'active' '44333615' 'Test PR' 'active' '44295690' 'Test Pull Request' 'active' '44294954,
