author_repo,wf_contents,security_policy
AtsushiSakai/PythonRobotics,MacOS_CI' 'active' '1228872' 'Linux_CI' 'active' '1228873' 'Code scanning - action' 'active' '1459848' 'circleci-artifacts-redirector-action' 'active' '1853534' 'pages-build-deployment' 'active' '16877355' 'Pages' 'active' '25635500,SSuuppppoorrtteedd VVeerrssiioonnss' 'In this project we are only support latest code' 'VVeerrssiioonn SSuuppppoorrtteedd' 'latest  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you find any security related problem let us know by creating an issue' 'about it
formatjs/formatjs,Node CI' 'active' '189430' 'Unit Tests' 'active' '1883978' 'Unit Tests (PR)' 'active' '2191339' 'Karma Tests' 'active' '2903150' 'Close stale issues and PRs' 'active' '6257744,
frappe/erpnext,Trigger Docker build on release' 'active' '1599233' 'Documentation Required' 'active' '2984871' 'CI' 'active' '6592763' 'Semgrep' 'active' '6677711' 'Patch' 'active' '8876473' 'Server' 'active' '8876474' 'Linters' 'active' '12734477' 'Server' 'active' '15206628' 'Server (Mariadb)' 'active' '17226354' 'Server (Postgres)' 'active' '17226355' 'Pull Request Labeler' 'active' '17630042' 'Generate Semantic Release' 'active' '24327593' 'Semantic Commits' 'active' '30529740' 'Create weekly release pull requests' 'active' '34168133' 'Backport' 'disabled_manually' '603094' 'UI' 'disabled_manually' '9939074,The ERPNext team and community take security issues seriously To report a' 'security issue fill out the form at httpserpnextcomsecurityreport' 'You can help us make ERPNext and all its users more secure by following the' 'Reporting guidelines' 'We appreciate your efforts to responsibly disclose your findings Well' 'endeavor to respond quickly and will keep you updated throughout the process
SwiftGen/SwiftGen,Archive' 'active' '2959925' 'Cocoapods' 'active' '2959923' 'Output' 'active' '2959921' 'Danger' 'active' '2959924' 'SwiftLint' 'active' '2959927' 'Publish on Tag' 'active' '31386975' 'Test SPM' 'active' '2959926' 'Test Xcode' 'active' '2959922,
Humanizr/Humanizer,,
cartographer-project/cartographer,Ubuntu 18.04 CI' 'active' '29204729' 'Debian Bullseye CI' 'active' '30734107' 'Debian Buster CI' 'active' '29204730' 'Ubuntu 20.04 CI' 'active' '29204731' 'Ubuntu 22.04 CI' 'active' '29214016,
lingui/js-lingui,deploy-main-docs' 'active' '3469302' 'lint-pr-title' 'active' '3469303' 'main-suite' 'active' '3469304' 'next-sync' 'active' '3469305' 'publish-work' 'active' '12934066' 'release-workflow-test' 'active' '3618577' 'relase-workflow' 'active' '3469306' 'Size Testing' 'active' '4931922,
WeblateOrg/weblate,Issue labeled' 'active' '21361' 'Issue closed' 'active' '41584' 'Test' 'active' '579038' 'Docs' 'active' '589220' 'Migrations' 'active' '589323' 'Distribution' 'active' '590368' 'Pre-commit check' 'active' '1087811' 'Sync labels' 'active' '1089061' 'Flake8' 'active' '1739010' 'stylelint' 'active' '1739011' 'ESLint' 'active' '1823795' 'Pull request automation' 'active' '2105337' 'CodeQL' 'active' '2386963' 'Close stale' 'active' '3659069' 'yarn update' 'active' '17392697' 'licenses update' 'active' '17665661' 'jsonschema update' 'active' '17818991' 'Rundev' 'active' '20946215' 'Scorecards supply-chain security' 'active' '29999265,We take security very seriously at Weblate We welcome any peer review of our' ' open source code to ensure nobodys Weblate is ever compromised or hacked' 'You can find more information on reporting security issues in our documentation' 'and on our page at HackerOne
jeremykenedy/laravel-auth,pages-build-deployment' 'active' '17143700,
hybridsjs/hybrids,Test' 'active' '39404266' 'pages-build-deployment' 'active' '16421367,
