author_repo,wf_contents,security_policy
jekyll/jekyll,Continuous Integration' 'active' '41417' 'Continuous Integration' 'active' '199077' 'Build and deploy Jekyll documentation site' 'active' '1359329' 'Third-Party Repository Profiling' 'active' '2610703' 'Spell Check' 'active' '9095240' 'Micro Benchmark Runs' 'active' '14273784' 'Release Gem' 'active' '14948315' 'pages-build-deployment' 'active' '16449363,SSuuppppoorrtteedd VVeerrssiioonnss' 'Security updates are applied to the latest MINOR version of Jekyll and the' 'version used by GitHub Pages vx' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x   ' ' x ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report vulnerabilities by sending an email to securityjekyllrbcom with' 'the following information' '    A description of the vulnerability' '    Reproduction steps andor a sample site share a private repo to the' '      Jekyll Security Team' '    Your contact information' 'The Jekyll security team will respond to your submission and notify you whether' 'it has been confirmed by the team Your confidentiality is kindly requested as' 'we work on a fix We will provide our patch to you to test and verify that the' 'vulnerability has been closed' 'If you have created a patch and would like to submit that to us as well we' 'will happily consider it though we cannot guarantee that we will use it If we' 'use your patch we will attribute authorship to you either as the commit' 'author or as a coauthor' 'Once a fix is verified we will release PATCH versions of the supported MINOR' 'versions and assign a CVE to the vulnerability You will receive credit in our' 'release post' 'Once the patched version has been released we will no longer request you to' 'maintain confidentiality and you may choose to share details on how you found' 'the vulnerability with the community
prettier/prettier,Dev' 'active' '439698' 'Lint' 'active' '439699' 'Prod' 'active' '439700' 'Dev_Package_Test' 'active' '1071086' 'Lock' 'active' '1687314' 'Internal_ESLint_Rules_Test' 'active' '4341282' 'Mark Issue Duplicate' 'active' '5316428' 'Support requests' 'active' '6079886' 'Compare Test' 'active' '6182431' 'Release_Script_Test' 'active' '12862563' 'Prevent File change' 'active' '15042520' 'Prevent File change' 'active' '20182951' 'Validate_Vendors' 'active' '21456992' 'Bundler_Friendly' 'active' '22076812' 'Check Sizes' 'active' '23137911' 'CodeQL' 'active' '40640987' 'No Response' 'active' '41348298,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure
Textualize/rich,codespell' 'active' '10334017' 'issues' 'active' '12616467' 'lint_python' 'active' '10332602' 'issues' 'active' '41834610' 'Run pre-commit checks' 'active' '34004064' 'Test Rich module' 'active' '76505' 'README.md Changed' 'active' '8326982,To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure
marktext/marktext,Build' 'active' '15719628' 'Release' 'active' '15887329,
markedjs/marked,CodeQL' 'active' '2807873' 'Tests' 'active' '917822,The only completely secure system is the one that doesnt exist in the first' 'place Having said that we take the security of Marked very seriously' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please disclose potential security issues by email to the project committers as' 'well as the listed owners within NPM We will provide an initial assessment of' 'security reports within  hours and should apply patches within  weeks also' 'feel free to contribute a fix for the issue
jgm/pandoc,CI tests' 'active' '192239' 'benchmarks' 'active' '35953940' 'CI tests' 'active' '30815' 'commit-validation' 'active' '1383028' 'Format validation' 'active' '3306469' 'Lint' 'active' '3310489' 'Nightly' 'active' '11426' 'Release candidate' 'active' '53868,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the most recent version of pandoc is supported with security updates' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability email the maintainer jgmberkeleyedu But first' 'please read the section of the manual entitled A note on security which' 'describes some security guarantees pandoc does NOT make
docsifyjs/docsify,Build & Test' 'active' '1966196' 'pages-build-deployment' 'active' '17461573,If you believe you have found a security vulnerability in docsify please' 'report it to us asap' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh oouurr ppuubblliicc GGiittHHuubb iissssuueess' 'Send email via  maintainersdocsifyjsorg to us' 'Please include as much of the following information as possible to help us' 'better understand the possible issue' '     Type of issue eg crosssite scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'Thank you in advance
notable/notable,,
benweet/stackedit,,
requarks/wiki,Helm Chart CI' 'active' '14510054' 'Build + Publish' 'active' '19234982' 'Build DigitalOcean Image' 'active' '20166258,Wikijs is built with security in mind We try our absolute best to deliver' 'secure and robust applications However like any software there can be' 'security bugs either introduced by an update or by using an attack vector that' 'wasnt considered when designing the software' 'If you find such vulnerability its important to disclose it in a quick and' 'secure manner to the developers Follow the instructions below to report a' 'vulnerability' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' 'xx   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'DDOO NNOOTT CCRREEAATTEE AANN IISSSSUUEE OONN GGIITTHHUUBB to report a potential vulnerability  security' 'problem Instead choose one of these options' 'AA DDiisscclloossee oonn HHuunnttrrddeevv' 'Disclose the vulnerability on Huntrdev for the repository httpsgithubcom' 'Requarkswiki' 'BB SSeenndd aann eemmaaiill
