author_repo,wf_contents,security_policy
GoogleContainerTools/jib,Validate Gradle Wrapper' 'active' '1990063' 'Release Jib CLI' 'active' '4251057' 'Prepare Jib release' 'active' '4449671' 'Unit Tests' 'active' '5388085' 'SonarCloud Analysis' 'active' '11703731,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn                SSuuppppoorrtteedd' 'jibmavenplugin vx  ' 'jibgradleplugin vx ' 'jibcore vx          ' 'jibcli vx           ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security issue please use httpsgcovulnz We use gcovulnz' 'for our intake and do coordination and disclosure here on GitHub including' 'using GitHub Security Advisory The Google Security Team will respond within ' 'working days of your report on gcovulnz
bytedeco/javacv,javacv' 'active' '10504511' 'pages-build-deployment' 'active' '39428100,
zhanglei-workspace/shopping-management-system,,
rubenlagus/TelegramBots,,
apache/maven,Java CI' 'active' '1752954' 'Can Maven build itself' 'active' '15436328,This is a project of the Apache Software Foundation and follows the ASF' 'vulnerability handling process' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a new vulnerability you have discovered please follow the ASF' 'vulnerability reporting process
java-aodeng/hope-boot,,
Kotlin/kotlin-examples,,
diffplug/spotless,CI' 'active' '7518921' 'CodeQL' 'active' '2830864' 'Validate Gradle Wrapper' 'active' '394527,
ZHENFENG13/My-Blog,,
spotify/dockerfile-maven,,
spotify/docker-maven-plugin,,
jitpack/jitpack.io,Close inactive issues' 'active' '21540414' 'pages-build-deployment' 'active' '18471507,
