author_repo,wf_contents,security_policy
netdata/netdata,Pull Request Labeler' 'active' '157542' 'Build' 'active' '491306' 'Docker' 'active' '673234' 'Checks' 'active' '697936' 'Tests' 'active' '698333' 'Review' 'active' '698408' 'Packages' 'active' '720859' 'Coverity Scan' 'active' '725153' 'Builder' 'active' '754810' 'Docs' 'active' '1330695' 'UI tests' 'active' '8374297' 'Dashboard Version PR' 'active' '8827650' 'Deploy preview' 'active' '9201883' 'Repository Packages' 'active' '11762545' 'macOS CI' 'active' '16668611' 'Trigger Netdata Learn documentation update' 'active' '20208100' 'Trigger Cloud Regression E2E Tests' 'active' '21395289' 'Release' 'active' '21465890' 'Add issues to Agent Board' 'active' '29070764' 'PackageCloud Cleanup' 'active' '29135838' 'CodeQL' 'active' '37246862,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'Latest  Yes' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Were extremely grateful for security researchers and users that report' 'vulnerabilities to Netdata Open Source Community All reports are thoroughly' 'investigated by a set of community volunteers' 'To make a report please send an email to sseeccuurriittyynneettddaattaacclloouudd with the' 'vulnerability details and the details expected for all Netdata bug reports' 'WWhheenn SShhoouulldd II RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You think you discovered a potential security vulnerability in Netdata' '     You are unsure how a vulnerability affects Netdata' '     You think you discovered a vulnerability in another project that Netdata' '      depends on eg python node etc' 'WWhheenn SShhoouulldd II NNOOTT RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You need help tuning Netdata for security' '     You need help applying security related updates' '     Your issue is not security related' 'SSeeccuurriittyy VVuullnneerraabbiilliittyy RReessppoonnssee' 'Each report is acknowledged and analyzed by Netdata Team members within ' 'working days This will set off a Security Release Process' 'Any vulnerability information shared with the Netdata Team stays within the' 'Netdata project and will not be disseminated to other projects unless it is' 'necessary to get the issue fixed' 'As the security issue moves from triage to identified fix to release planning' 'we will keep the reporter updated' 'PPuubblliicc DDiisscclloossuurree TTiimmiinngg' 'A public disclosure date is negotiated by the Netdata team and the bug' 'submitter We prefer to fully disclose the bug as soon as possible once a user' 'mitigation is available It is reasonable to delay disclosure when the bug or' 'the fix is not yet fully understood the solution is not welltested or for' 'vendor coordination The timeframe for disclosure is from immediate especially' 'if its already publicly known to a few weeks As a basic default we expect' 'report date to disclosure date to be on the order of  days The Netdata team' 'holds the final say when setting a disclosure date' 'SSeeccuurriittyy AAnnnnoouunncceemmeennttss' 'Every time a security issue is fixed in Netdata we immediately release a new' 'version of it So to get notified of all security incidents please subscribe' 'to our releases on github
grafana/grafana,publish_docs' 'active' '23555' 'CodeQL' 'active' '2854921' 'Run commands when issues are labeled or comments added' 'active' '2889588' 'Github issue metrics collection' 'active' '2926511' 'Backport PR Creator' 'active' '3035099' 'Bump version' 'active' '3623342' 'Update changelog' 'active' '3652008' 'Create or update GitHub release' 'active' '3687626' 'Main Workflow' 'active' '5851140' 'PR automation' 'active' '6822774' 'pa11y tests' 'active' '12552109' 'Cancel' 'active' '12914236' 'Concurrent Workflows Checker' 'active' '13487895' 'Run when PRs are closed' 'active' '16093715' 'PR Checks' 'active' '16241122' 'Remove milestone' 'active' '16281855' '.github/workflows/detect-breaking-changes-notify.yml' 'active' '16419903' 'Levitate / Detect breaking changes' 'active' '16419904' 'Close milestone' 'active' '16428545' 'Prepare release' 'active' '16607568' 'Levitate / Report breaking changes' 'active' '17270815' 'Close Milestone' 'active' '18112407' 'Close stale issues and PRs' 'active' '20570996' 'Run commands when issues are labeled' 'active' '20845004' '.github/workflows/labeler.yaml' 'active' '22898289' 'Cloud data sources test code coverage' 'active' '22911337' 'CodeQL for PR / javascript' 'active' '23083924' 'CodeQL for PR / python' 'active' '23087614' 'Cloud data sources test code coverage' 'active' '23331169' 'Enterprise PR check' 'active' '24597689' 'Snyk SBOM CI' 'active' '26359654' 'Notify Slack channel based on issue label' 'active' '28749843' 'doc-validator' 'active' '29525781' 'Observability Experience test code coverage' 'active' '35247048' '.github/workflows/test.yml' 'active' '35857520' 'syft-sbom-ci' 'active' '36441324' 'Levitate / Detect breaking changes' 'active' '39936736' 'publish-technical-documentation-next' 'active' '41873450' 'publish-technical-documentation-release' 'active' '41873451' 'When epic issues changed in Platform UX squad projects' ' check if epic is part of specified child projects and update on Platform UX parent project' 'active' '43099076' 'Codeowners Validator' 'active' '44206453' 'go tidy' 'disabled_manually' '6814695' 'Levitate' 'disabled_manually' '16127129' 'CodeQL for PR / go' 'disabled_manually' '23087613,If you think you have found a security vulnerability please send a report to' 'securitygrafanacom This address can be used for all of Grafana Labss open' 'source and commercial products including but not limited to Grafana Grafana' 'Cloud Grafana Enterprise and grafanacom We can accept only vulnerability' 'reports at this address' 'Please encrypt your message to us please use our PGP key The key fingerprint' 'is' 'F BEA A F AEE CAA D  BE CCA' 'The key is available from keyserverubuntucom' 'Grafana Labs will send you a response indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'keep you informed of the progress towards a fix and full announcement and may' 'ask for additional information or guidance' 'IImmppoorrttaanntt We ask you to not disclose the vulnerability before it have been' 'fixed and announced unless you received a response from the Grafana Labs' 'security team that you can do so' 'SSeeccuurriittyy aannnnoouunncceemmeennttss' 'We will post a summary remediation and mitigation details for any patch' 'containing security fixes on the Grafana blog The security announcement blog' 'posts will be tagged with the security tag' 'You can also track security announcements via the RSS feed
prometheus/prometheus,Prombench Workflow' 'active' '231798' 'Prombench Workflow' 'active' '448814' 'Funcbench Workflow' 'active' '1336204' 'CodeQL' 'active' '3988507' 'CIFuzz' 'active' '4150407' 'golangci-lint' 'active' '12402774' 'Lock Threads' 'active' '15235027' 'buf.build' 'active' '17367646' 'buf.build' 'active' '20073842' 'ui_build_and_release' 'active' '28315158' 'dagger' 'active' '31597825' 'go-test' 'active' '31778043' 'Sync repo files' 'active' '34112164' 'tests' 'active' '34173676' 'CI' 'active' '34173787' 'CI' 'active' '34174364' 'Container Image Build' 'active' '38484548,The Prometheus security policy including how to report vulnerabilities can be' 'found here' 'httpsprometheusiodocsoperatingsecurity
Unitech/pm2,,
huginn/huginn,CI' 'active' '16377085,
getsentry/sentry,javascript' 'active' '210731' 'acceptance' 'active' '1174556' 'Release' 'active' '1582701' 'migrations' 'active' '1585211' 'backend' 'active' '2261016' 'openapi' 'active' '2666234' 'openapi-diff' 'active' '2886643' 'sentry pull request bot' 'active' '3020796' 'acceptance [py3.6]' 'active' '3023959' 'relay integration' 'active' '3024250' 'command line' 'active' '3024252' 'symbolicator integration' 'active' '3024253' 'backend [py3.6]' 'active' '3024937' 'snuba integration [py3.6]' 'active' '3024938' 'check migration' 'active' '3025574' 'backend' 'active' '3042265' 'snuba integration' 'active' '3042266' 'js build and lint' 'active' '3231902' 'backend lint' 'active' '3345239' 'plugins' 'active' '3406371' 'visual diff' 'active' '3940454' 'lock closed issues/PRs' 'active' '4255898' 'dev env' 'active' '4303870' 'close stale issues/PRs' 'active' '4719796' 'backend' 'active' '4978829' 'snuba integration' 'active' '4978830' 'getsentry dispatcher' 'active' '5578248' 'backend typing' 'active' '6923613' 'Issue Status Helper' 'active' '8836314' 'bootstrap' 'active' '9906026' 'frontend docker' 'active' '11639827' 'Run Smoke Tests' 'active' '12495675' 'meta(deploy)' 'active' '14365740' 'docker cache' 'active' '14687459' 'js test' 'active' '21641072' 'frontend' 'active' '21954733' 'migrations-pg14' 'active' '22830646' 'acceptance-pg14' 'active' '22830647' 'backend-pg14' 'active' '22830649' 'command line pg14' 'active' '22879137' 'Enforce License Compliance' 'active' '23572706' 'CodeQL' 'active' '24420232' 'meta(labels)' 'active' '27637723' 'meta(labels)' 'active' '30670318' 'bump sentry in getsentry' 'active' '31541053' '.github/workflows/self-hosted.yml' 'active' '33200914' '.github/workflows/fast-revert.yml' 'active' '37696546' 'jest balancer' 'active' '38531594' 'push transifex' 'active' '40688719' 'transifex' 'active' '40698002' 'shuffle-tests' 'active' '42097643' 'Self-hosted Sentry end to end tests' 'active' '42441528,RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If youve found a security issue in Sentry or in our supported SDKs you can' 'submit your report with one of the options below' '    Using GitHubs private vulnerabilty reporting feature on the' '      corresponding repository' '    Via email to securitysentryio' '     We prefer reports via GitHubs private vulnerability reporting' 'Please include as much information as possible in your report to better help us' 'understand and resolve the issue' '     Where the security issue exists ie Sentry SaaS a Sentrysupported SDK' '      infrastructure etc' '     The type of issue ex SQL injection crosssite scripting missing' '      authorization etc' '     Full paths or links to the source files where the security issue exists' '      if possible' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proof of concept or exploit code if available' 'If you need to encrypt sensitive information sent to us please use our PGP' 'key' 'E CA E  AB ED D FC D BEB
louislam/uptime-kuma,Auto Test' 'active' '13862174' 'Build and deploy containers' 'active' '14142067' 'Automatically close stale issues and PRs' 'active' '14536327' 'Close Incorrect Issue' 'active' '16193907' 'pages-build-deployment' 'active' '16456492,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security issues to httpsgithubcomlouislamuptimekuma' 'securityadvisoriesnew' 'Do not use the public issue tracker or discuss it in the public as it will' 'cause more damage' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'UUppttiimmee KKuummaa VVeerrssiioonnss' 'You should use or upgrade to the latest version of Uptime Kuma All XX' 'versions are upgradable to the lastest version' 'UUppggrraaddaabbllee DDoocckkeerr TTaaggss' 'TTaagg            SSuuppppoorrtteedd' '              ' 'debian       ' 'latest         ' 'debian         ' 'alpine        Deprecated' 'alpine          Deprecated' 'All other tags 
influxdata/influxdb,.github/workflows/main.yml' 'active' '218813' 'Semantic PR and Commit Messages' 'active' '24863098,SSuuppppoorrtteedd VVeerrssiioonnss' 'These versions of InfluxDB are currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x   ' 'x   ' ' x ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'InfluxData takes security and our users trust very seriously If you believe' 'you have found a security issue in any of our open source projects please' 'responsibly disclose it by contacting securityinfluxdatacom More details' 'about security vulnerability reporting including our GPG key can be found at' 'httpswwwinfluxdatacomhowtoreportsecurityvulnerabilities
nicolargo/glances,CI' 'active' '8280431' 'CodeQL' 'active' '11170377' 'test' 'active' '8314940,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtt sseeccuurriittyy uuppddaatteess' 'x     ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If there are any vulnerabilities in cookiecutterprojectname dont' 'hesitate to report them' ' Describe the vulnerability' '' '   Type of issue eg buffer overflow SQL injection crosssite scripting' 'etc' '   Full paths of source files related to the manifestation of the issue' '   The location of the affected source code tagbranchcommit or direct URL' '   Any special configuration required to reproduce the issue' '   Stepbystep instructions to reproduce the issue' '   Proofofconcept or exploit code if possible' '   Impact of the issue including how an attacker might exploit the issue' '' ' If you have a fix that is most welcome  please attach or summarize it in' 'your message' '' ' We will evaluate the vulnerability and if necessary release a fix or' 'mitigating steps to address it We will contact you to let you know the' 'outcome and will credit you in the report' '' ' Please do not disclose the vulnerability publicly until a fix is released' 'Once we have either a published a fix or b declined to address the' 'vulnerability for whatever reason you are free to publicly disclose it
taosdata/TDengine,Lint Commit Messages' 'active' '26144017,
