author_repo,wf_contents,security_policy
vsouza/awesome-ios,,
serhii-londar/open-source-mac-os-apps,Generate Readme' 'active' '13260206' 'Check PR' 'active' '13261223,
dkhamsing/open-source-ios-apps,Pull Request' 'active' '12048942' 'Ruby' 'active' '892058' 'Update Metadata' 'active' '12571765,
SDWebImage/SDWebImage,SDWebImage CI' 'active' '14006624,
NativeScript/NativeScript,@nativescript/core -> npm' 'active' '4556236' '@nativescript/types -> npm' 'active' '4556237' '@nativescript/webpack -> npm' 'active' '4556238' 'tns-core-modules -> npm' 'active' '5216937' 'apps/automated' 'active' '5577118,
hackiftekhar/IQKeyboardManager,,
realm/realm-swift,Issue Needs Attention' 'active' '16163460,
OpenEmu/OpenEmu,,
CocoaPods/CocoaPods,Lint' 'active' '2767394' 'Specs' 'active' '2761948' '.github/workflows/issue-opened.yml' 'active' '37971296,
facebook/infer,website' 'active' '686088' 'build' 'active' '1413145' 'pages-build-deployment' 'active' '18228779,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
CoderMJLee/MJRefresh,,
CocoaLumberjack/CocoaLumberjack,Demo Builds' 'active' '1097202' 'Integration Tests' 'active' '1097203' 'Library Builds' 'active' '1097204' 'Unit Tests' 'active' '1097199' 'Validations' 'active' '1097200,
kyleneideck/BackgroundMusic,Build' ' Test and Release' 'active' '23047991,
Instagram/IGListKit,IGListKit CI' 'active' '12254801' 'pages-build-deployment' 'active' '18201289,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
SVProgressHUD/SVProgressHUD,,
halfrost/Halfrost-Field,Deploy Blog' 'active' '3578300,
Mantle/Mantle,Carthage Artifact Upload' 'active' '2645932' 'CI (pull-requests-only)' 'active' '2633445' 'cocoapods-publish' 'active' '450057' 'Mark stale issues and pull requests' 'active' '412152,
Tim9Liu9/TimLiu-iOS,,
futurice/ios-good-practices,,
WenchaoD/FSCalendar,,
Hammerspoon/hammerspoon,CI' 'active' '3809862' 'Pull Request Label Checker' 'active' '6325515' 'New Tag' 'active' '6620042' 'Development Builds' 'active' '7781939' 'CI Results' 'active' '8404605,
