author_repo,wf_contents,security_policy
huihut/interview,pages-build-deployment' 'active' '21233709,
SerenityOS/serenity,Build' ' lint' ' and test' 'active' '3451514' 'Discord notifications' 'active' '7948007' 'Generate man pages' 'active' '8773237' 'Twitter notifications' 'active' '8803750' 'Commit linter' 'active' '9318730' 'Run test262 with LibJS and push results to the website repo' 'active' '9986180' 'Sonar Cloud Static Analysis' 'active' '12658873' 'PVS-Studio Static Analysis' 'active' '13879535' 'Pull request labeler' 'active' '37482362' 'Build Wasm Modules' 'active' '41193489' 'Package the js repl as a binary artifact' 'active' '42146330,SerenityOS is a hobby operating system developed by volunteers It is' 'unreleased software still in early development and so bugs and vulnerabilities' 'can be safely disclosed publicly If you find an issue we would prefer if you' 'report it as a GitHub issue If your issue was found using a fuzzer please' 'check ossfuzz first to see if it has already been recorded' 'We run a modest Bug Bounty Program to reward people who find certain kinds of' 'exploits in the system See that link for details and to claim your reward 
Awesome-HarmonyOS/HarmonyOS,,
redox-os/redox,,
s-matyukevich/raspberry-pi-os,,
reactos/reactos,Analyze' 'active' '7680786' 'Build' 'active' '1194048' 'cppcheck-action' 'active' '5366893' 'Pull Request Labeler' 'active' '5589977' 'Mark stale issues and pull requests' 'active' '27085022,
phil-opp/blog_os,Build Site' 'active' '171074' 'Build code on schedule' 'active' '2216887' 'Test Suite' 'active' '5640113' 'Code' 'active' '6560279' 'CI' 'active' '7519242' 'Blog' 'active' '14279476' 'Check Links' 'active' '36418083' 'Build Code' 'disabled_manually' '152586,
tuhdo/os01,pages-build-deployment' 'active' '31230046,
rust-embedded/rust-raspberrypi-OS-tutorials,.github/workflows/build_rpi4.yml' 'active' '255110' 'BSP-RPi3' 'active' '9173' 'BSP-RPi4' 'active' '9157' 'Various Sanity Checks' 'active' '177889' 'Integration-Tests' 'active' '108256' 'Boot-and-Unit-Tests' 'active' '108257' 'Xtra-Tests' 'active' '8647973,
AkashSingh3031/The-Complete-FAANG-Preparation,CodeQL' 'active' '10788696' 'pages-build-deployment' 'active' '18060178,
wolverinn/Waking-Up,,
gurugio/lowlevelprogramming-university,pages-build-deployment' 'active' '21003078,
bottlerocket-os/bottlerocket,Build' 'active' '724962' 'CacheDepsAndTools' 'active' '42927969' 'Check' 'active' '35944176' 'golangci-lint' 'active' '41232588' 'pubsys' 'active' '11238805,If you discover a potential security issue in this project we ask that you' 'notify AWSAmazon Security via our vulnerability reporting page or directly via' 'email to awssecurityamazoncom Please do nnoott create a public GitHub issue
NodeOS/NodeOS,,
klange/toaruos,QEMU AArch64 virt' 'active' '19359355' 'Build Image' 'active' '4114838' 'x86-64 CD Image' 'active' '19359356,
yourtion/30dayMakeOS,,
ravynsoft/ravynos,,
includeos/IncludeOS,,
tock/tock,Benchmarks' 'active' '1171334' 'tock-ci' 'active' '1171333' 'Pull Request Labeler' 'active' '4861425' 'litex-sim-ci' 'active' '12592248' 'Rustfmt' 'active' '6417888' 'tock-hw-ci' 'active' '18419656,
oshi/oshi,Coverity Scan' 'active' '3899629' 'Site' 'active' '3899630' 'SonarCloud' 'active' '3899631' 'Sonatype Snapshot Deployment' 'active' '3899632' 'Pull Request CI' 'active' '3917129' 'AIX CI' 'active' '11991549' 'FreeBSD CI' 'active' '11991550' 'Linux CI' 'active' '11991551' 'macOS CI' 'active' '11991552' 'OpenBSD CI' 'active' '11991553' 'Solaris CI' 'active' '11991554' 'Windows CI' 'active' '11991555' 'CodeQL' 'active' '12891135' 'pages-build-deployment' 'active' '17170115' 'Multiarch CI' 'active' '31516066,
nuta/kerla,CI' 'active' '9158760' 'Release' 'active' '15039215,
armbian/build,Build u-boot & BSP' 'active' '13641980' 'Automatic Rebase' 'active' '14138170' 'Automatic Labeler' 'active' '14149071' 'Forked Helper' 'active' '14160941' 'Build train' 'active' '16902027' 'Update Docker' 'active' '17753222' 'Bump Version' 'active' '17811096' 'Smoke tests on DUTs' 'active' '18312024' 'Build Images' 'active' '19428480' 'Scorecards Security Scan' 'active' '27988757' 'Lint On Scripts' 'active' '28462328' 'Build Kernels at PR' 'active' '28462329' 'Check images integrity' 'active' '28523489' 'Build All Desktops' 'active' '32453346' 'Kernel hardening analysis' 'active' '43994524,
amilajack/reading,,
nebulet/nebulet,,
archcraft-os/archcraft,,
theseus-os/Theseus,Clippy Checks' 'active' '30814905' 'Documentation' 'active' '10791303' 'pages-build-deployment' 'active' '16468607,
the-akira/Computer-Science-Resources,,
dyweb/papers-notebook,,
PureDarwin/PureDarwin,Build Pull Request' 'active' '12057995,
skiftOS/skift,,
joshiemoore/snakeware,autoblack_push' 'active' '1445624' 'PythonLint' 'active' '1423590' 'PythonLint' 'active' '1423589,
FydeOS/chromium_os-raspberry_pi,,
PansonPanson/Java-Notes,,
haiku/haiku,,
vlang/vinix,Build Vinix kernel' 'active' '28794647' '.github/workflows/nightly.yml' 'active' '8714193,
Harvey-OS/harvey,harvey' 'active' '1777674,
ivandavidov/minimal,Greetings' 'disabled_manually' '11507340' 'MLL With Integration Tests' 'active' '11507509' 'pages-build-deployment' 'active' '17340397,
ehmicky/cross-platform-node-guide,,
illumos/illumos-gate,,
GimunLee/tech-refrigerator,,
amaneureka/AtomOS,,
KnightOS/KnightOS,,
AnarchyLinux/installer,,
jens-maus/RaspberryMatic,CI Build' 'active' '32675' 'Release Build' 'active' '5502575' 'Snapshot Build' 'active' '5502576' 'pages-build-deployment' 'active' '16408469' 'Auto-Merge Dependabot PRs' 'active' '21797609,SSuuppppoorrtteedd VVeerrssiioonnss' 'As RaspberryMatic is a communitydriven open source project and our resources' 'are limited we accept security fixes only on the latest released version and' 'also on the sources published in the master branch of this GitHub project' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you found a securityrelated vulnerability please feel free to report this' 'security problem using our valuable issue tracker on GitHub Furthermore' 'please acknowledge that we will try to respond to your security reports as fast' 'as possible and also please make sure to provide proper examples eg example' 'source code stepbystep explainations on how to reproduce the security issue' 'so that we can reproduce and fix this issue as fas as possible
unikraft/unikraft,,
hermitcore/rusty-hermit,Publish container image' 'active' '1790172' 'Publish Docs' 'active' '11184736' 'Test' 'active' '16254849' 'CI' 'active' '33836434,
ffwff/lilith,,
HelenOS/helenos,,
managarm/managarm,CI' 'active' '2353273' 'Documentation' 'active' '2332831,
JingOS-team/JingOS,,
jubalh/awesome-os,,
LemonOSProject/LemonOS,CI' 'active' '6137249,
brutal-org/brutal,Build and Test (Darwin)' 'active' '14978019' 'Build and Test (Ubuntu)' 'active' '14978020' 'Test coverage (Ubuntu)' 'active' '15452726,
halfer53/winix,C/C++ CI' 'active' '1291733,
realabbas/big-companies-interview-questions,,
dzavalishin/phantomuserland,,
hyperledger/cello,Code Check CI' 'active' '30916368' 'CodeQL' 'active' '27226268' 'Cello CI' 'active' '29145425' 'pages-build-deployment' 'active' '16462850,RReeppoorrttiinngg aa SSeeccuurriittyy BBuugg' 'If you think you have discovered a security issue in any of the Hyperledger' 'projects wed love to hear from you We will take all security bugs seriously' 'and if confirmed upon investigation we will patch it within a reasonable amount' 'of time and release a public security bulletin discussing the impact and credit' 'the discoverer' 'There are two ways to report a security bug The easiest is to email a' 'description of the flaw and any related information eg reproduction steps' 'version to security at hyperledger dot org' 'The other way is to file a confidential security bug in our JIRA bug tracking' 'system Be sure to set the Security Level to Security issue' 'The process by which the Hyperledger Security Team handles security bugs is' 'documented further in our Defect Response page on our wiki
godarch/darch,,
nieklinnenbank/FreeNOS,,
1j01/98,pages-build-deployment' 'active' '17138770,
nifanfa/MOOS,,
rcore-os/rCore-Tutorial-v3,Build Rust Doc' 'active' '22207969' 'Build Rust Doc And Run tests' 'active' '26103139' 'pages-build-deployment' 'active' '22208347,
baquer/GATE-and-CSE-Resources-for-Students,,
Zeal-Operating-System/ZealOS,pages-build-deployment' 'active' '16459829,
picodotdev/alis,alis-site-deploy' 'active' '15455338' 'pages-build-deployment' 'active' '16519984' 'Shellcheck' 'active' '30240403,
rcore-os/rCore-Tutorial-Book-v3,Deploy' 'active' '20288027' 'pages-build-deployment' 'active' '16490219,
hermitcore/libhermit-rs,Security audit' 'active' '1341939' 'Tests (nightly)' 'active' '3222955' 'Publish Docs' 'active' '10661944' 'pages-build-deployment' 'active' '16690168' 'CI' 'active' '31130242,
