author_repo,wf_contents,security_policy
photonstorm/phaser,,
nicholas-ochoa/OpenSC2K,,
ssusnic/Machine-Learning-Flappy-Bird,,
photonstorm/phaser-examples,,
channingbreeze/games,,
lean/phaser-es6-webpack,,
photonstorm/phaser-ce,Node CI' 'active' '138497' 'pages-build-deployment' 'active' '17919558,
digitsensitive/phaser3-typescript,,
enable3d/enable3d,CodeQL' 'active' '5650385' 'ESBuild-test' 'active' '26693659' 'CI' 'active' '1179741' 'Close stale issues and PRs' 'active' '15998528' 'TypeScript' 'active' '15958227,
DragonBones/DragonBonesJS,,
kevinshen56714/SkyOffice,,
odrick/free-tex-packer,,
lifenautjoe/webpack-starter-basic,,
ganlvtech/phaser-catch-the-cat,Build and Deploy' 'active' '11960862' 'pages-build-deployment' 'active' '43944753,
jondubois/iogrid,,
rroylance/phaser-ce-npm-webpack-typescript-starter-project,,
photonstorm/phaser3-docs,,
mailgyc/doudizhu,,
photonstorm/phaser3-typescript-project-template,,
Jerenaux/phaserquest,,
yandeu/phaser-project-template,CI' 'active' '6755249,
balajmarius/commit4,Lint' 'active' '193450,
damian-pastorini/reldens,CodeQL' 'active' '40069457' 'pages-build-deployment' 'active' '20611670,
phaserjs/phaser,,
mikewesthad/navmesh,,
julien/generator-phaser,,
PhaserEditor2D/PhaserEditor2D-v3,Add bugs to bugs project' 'active' '38356785,
jsfehler/phaser-ui-tools,test-phaser-3' 'active' '8269605' 'test-phaser-ce' 'active' '8269606' 'pages-build-deployment' 'active' '28043985,
proyecto26/ion-phaser,,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy ' 'The Proyecto  team and community take all security bugs in IonPhaser' 'seriously We appreciate your efforts to responsibly disclose your findings' 'and will make every effort to acknowledge your contributions' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure' 'The Proyecto  team will send a response indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'endeavor to keep you informed of the progress towards a fix and full' 'announcement and may ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module' 'DDiisscclloossuurree PPoolliiccyy ' 'When the security team receives a security bug report they will assign it to a' 'primary handler This person will coordinate the fix and release process' 'involving the following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible' 'CCoommmmeennttss oonn tthhiiss PPoolliiccyy ' 'If you have suggestions on how this process could be improved please submit a' 'pull request' 'SSeeccuurriittyy IIss EEvveerryyoonneess RReessppoonnssiibbiilliittyy ' 'Thank you for making the world a better place for everyone 
AILHC/EasyGameFrameworkOpen,pages-build-deployment' 'active' '17044460,
expo/expo-phaser,,
knagaitsev/slither.io-clone,,
azerion/phaser-input,,
Sun0fABeach/vue-phaser3,,
Flaxis/slick-ui,,
cristianbote/phaser-state-transition,,
jojoee/phaser-examples,,
aaron5670/PokeMMO-Online-Realtime-Multiplayer-Game,,
yuwanli/phaser-collection,,
kestrelm/Creature_WebGL,,
koreezgames/phaser3-particle-editor,,
yandeu/phaser-project-template-es6,,
rblopes/generator-phaser-plus,,
Annoraaq/grid-engine,build-docs' 'active' '22674455' 'CodeQL' 'active' '10546659' 'Release' 'active' '12184970' 'verify-pr' 'active' '6706197' 'pages-build-deployment' 'active' '20913490,
proyecto26/Phaser-Kinetic-Scrolling-Plugin,,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy ' 'The Proyecto  team and community take all security bugs in the code' 'seriously We appreciate your efforts to responsibly disclose your findings' 'and will make every effort to acknowledge your contributions' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure' 'The Proyecto  team will send a response indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'endeavor to keep you informed of the progress towards a fix and full' 'announcement and may ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module' 'DDiisscclloossuurree PPoolliiccyy ' 'When the security team receives a security bug report they will assign it to a' 'primary handler This person will coordinate the fix and release process' 'involving the following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible' 'CCoommmmeennttss oonn tthhiiss PPoolliiccyy ' 'If you have suggestions on how this process could be improved please submit a' 'pull request' 'SSeeccuurriittyy IIss EEvveerryyoonneess RReessppoonnssiibbiilliittyy ' 'Thank you for making the world a better place for everyone 
hexus/phaser-arcade-slopes,,
azerion/phaser-spine,,
mattcolman/phaser-list-view,,
snollygolly/IsoCitySim,,
giongto35/gowog,,
azerion/phaser-ts-boilerplate,,
B3L7/phaser3-tilemap-pack,,
Lallassu/badsanta,,
AmosXu/red-packet-rain,,
josephmbustamante/phaser3-typescript-starter-kit,,
goldfire/phaser-webpack-loader,,
apoorvlathey/Crypto-Car-Battle,,
Arcanorum/rogueworld,Auto Assign to Project(s)' 'active' '11990036,
azerion/phaser-ads,,
geckosio/phaser-on-nodejs,UbuntuCI' 'active' '4602983,
pierpo/phaser3-simple-rpg,,
yandeu/phaser3-typescript-platformer-example,,
oliverbenns/phaser-starter,,
samid737/phaser3-plugin-pathbuilder,,
samme/phaser3-faq,,
jatinchowdhury18/ChowPhaser,Auto-formatter' 'active' '5263017' 'CI' 'active' '5262732,
samme/phaser-parcel,,
koreezgames/phaser3-ninepatch-plugin,,
colinvella/phaser-tilemap-plus,,
laineus/phavuer,,
dotgreg/weixin-minigame-tutorial,,
xense/phaser-ui-comps,,
goldfire/phaser-boilerplate,,
yuwanli/collection-mobile-page,,
vezwork/phasocketonline,,
wiserim/phaser-raycaster,pages-build-deployment' 'active' '16634341,
phaser-cli/phaser-cli,,
Dodging-Turtis/Dodging-Turtis,,
vgrichina/near-lands,Node.js CI' 'active' '25555625,
hiperbou/kotlin-phaser,,
azerion/phaser-nineslice,,
sergioaugrod/uai_shot,,
kevinshen56714/create-react-phaser3-app,,
samme/phaser-sprite-gui,,
azerion/phaser-web-workers,,
DmytroVasin/bomber,,
22mahmoud/Phaser.io-v3-Boilerplate,,
azerion/phaser-super-storage,,
jojoee/blocker,,
eXponenta/gstatsjs,pages-build-deployment' 'active' '18265603,
anjmao/phaser-candy-crush,,
expo/expo-graphics,,
snowbillr/phaser3-webpack-es6-dev-starter,,
littlee/wechat-small-game-phaser,,
VincentPat/Phaser-PickApple,,
develephant/phaser-node-kit,,
JamesSkemp/PhaserTutorials,,
Jerenaux/chunks_tutorial,pages-build-deployment' 'active' '27854390,
lunafromthemoon/RenJS-V2,branch' 'active' '14775615' 'main' 'active' '14990546' 'release' 'active' '14990547' 'pages-build-deployment' 'active' '16858477,
rootasjey/backwards,,
