author_repo,wf_contents,security_policy
home-assistant/core,Mention CODEOWNERS of integrations when integration label is added to an PRs' 'active' '137411' 'CI' 'active' '1777664' 'Lock' 'active' '3472749' 'Stale' 'active' '3472817' 'Build images' 'active' '8538855' 'Build wheels' 'active' '8953128' 'Translations' 'active' '8986038' 'Codespaces Prebuilds' 'active' '35473342,' 'You can find the Home Assistant security policy guidelines herehttps' 'wwwhomeassistantiosecurity
pi-hole/pi-hole,.github/workflows/base-branch-check.yml' 'active' '16504658' 'CodeQL' 'active' '13873166' 'Codespell' 'active' '24688120' 'Differential ShellCheck' 'active' '31752256' 'editorconfig-checker' 'active' '29024683' 'Check for merge conflicts' 'active' '43022900' 'Trigger: Push action' 'active' '8384935' 'Repository Smoke Tests' 'active' '13862397' 'Mark stale issues' 'active' '16342897' 'Sync Back to Development' 'active' '17735508' 'Test Supported Distributions' 'active' '3909520,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Pihole welcomes all responsible disclosures PPlleeaassee ddoo nnoott ooppeenn aann IISSSSUUEE ttoo' 'rreeppoorrtt aa sseeccuurriittyy pprroobblleemm' 'We accept disclosures via email at disclosurepiholenet
MichMich/MagicMirror,Dependency Review' 'active' '27538908' 'Run Codecov Tests' 'active' '27630862' 'Enforce Changelog' 'active' '27630863' 'Run Automated Tests' 'active' '27630864,
jarun/nnn,ci' 'active' '3760121' 'CodeQL' 'active' '40059001' 'Lock threads' 'active' '1374860,
rwaldron/johnny-five,,
s-matyukevich/raspberry-pi-os,,
microsoft/IoT-For-Beginners,pages-build-deployment' 'active' '16481066,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
raysan5/raylib,Windows' 'active' '2228300' 'macOS' 'active' '2228441' 'Linux' 'active' '2228526' 'WebAssembly' 'active' '2252481' 'CMakeBuilds' 'active' '5208305' 'Linux Examples' 'active' '6507087' 'Windows Examples' 'active' '6507280' 'Android' 'disabled_manually' '2249651,
thibmaek/awesome-raspberry-pi,CI' 'active' '18124100,
rust-embedded/rust-raspberrypi-OS-tutorials,.github/workflows/build_rpi4.yml' 'active' '255110' 'BSP-RPi3' 'active' '9173' 'BSP-RPi4' 'active' '9157' 'Various Sanity Checks' 'active' '177889' 'Integration-Tests' 'active' '108256' 'Boot-and-Unit-Tests' 'active' '108257' 'Xtra-Tests' 'active' '8647973,
