author_repo,wf_contents,security_policy
bregman-arie/devops-exercises,CI' 'active' '25333353' 'CI' 'active' '15588143' 'pages-build-deployment' 'active' '39774709,
apache/spark,Close stale PRs' 'active' '36644' 'master' 'active' '164376' 'Report test results' 'active' '2195760' 'Build and test' 'active' '2232286' 'On pull requests' 'active' '3393847' 'Publish Snapshot' 'active' '4074239' 'Cancelling Duplicates' 'active' '4831855' 'Run benchmarks' 'active' '7455792' 'On pull request update' 'active' '7972473' 'Update build status workflow' 'active' '8236437' 'Build and test (ANSI)' 'active' '22241501' 'Build / ANSI (master' ' Hadoop 3' ' JDK 8' ' Scala 2.12)' 'active' '28614389' 'Build (branch-3.2' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614390' 'Build (branch-3.3' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614391' 'Build / Coverage (master' ' Scala 2.12' ' Hadoop 3' ' JDK 8)' 'active' '28614392' 'Build (master' ' Scala 2.12' ' Hadoop 2' ' JDK 8)' 'active' '28614393' 'Build (master' ' Scala 2.12' ' Hadoop 3' ' JDK 11)' 'active' '28614394' 'Build (master' ' Scala 2.12' ' Hadoop 3' ' JDK 17)' 'active' '28614395' 'Build' 'active' '28614396' 'Build (master' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614397' 'Build / Cache base image' 'active' '29661594,
pingcap/tidb,BR & Lightning build' 'active' '12543329' 'BR / Compatibility Test' 'active' '12543330' 'BR & Lightning' 'active' '12545701' 'Dumpling' 'active' '14334594' 'Dumpling' 'active' '14422352' 'Pessimistic Tests' 'active' '25225464' 'BR / Compatibility Test' 'active' '25334116' 'BR & Lightning' 'active' '25334117' 'Dumpling' 'active' '25334118' 'misc' 'active' '32749008' 'Leaked Secrets Scan' 'active' '33780966,TiDB is a fastgrowing open source database To ensure its security a security' 'vulnerability disclosure and response process is adopted' 'The primary goal of this process is to reduce the total exposure time of users' 'to publicly known vulnerabilities To quickly fix vulnerabilities of TiDB' 'products the security team is responsible for the entire vulnerability' 'management process including internal communication and external disclosure' 'If you find a vulnerability or encounter a security incident involving' 'vulnerabilities of TiDB products please report it as soon as possible to the' 'TiDB security team securitytidbio' 'Please kindly help provide as much vulnerability information as possible in the' 'following format' '     Issue title' '     Overview' '     Affected components and version number' '     CVE number if any' '     Vulnerability verification process' '     Contact information' 'The asterisk  indicates the required field' 'RReessppoonnssee TTiimmee' 'The TiDB security team will confirm the vulnerabilities and contact you within' ' working days after your submission' 'We will publicly thank you once the security vulnerability has been fixed To' 'avoid negative impact please keep the vulnerability confidential until we fix' 'it We would appreciate it if you could obey the following code of conduct' 'The vulnerability will not be disclosed until TiDB releases a patch for it' 'The details of the vulnerability for example exploits code will not be' 'disclosed
dbeaver/dbeaver,Maven Build Verify' 'active' '655787' 'CodeQL' 'active' '2811781' 'Commit Message Validation' 'active' '15877124' 'Check Commit Message' 'active' '15888299,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security issues to techsupportdbeavercom
sequelize/sequelize,authors update' 'active' '20420197' 'Auto-remove "awaiting response" label' 'active' '7478673' 'CI' 'active' '4020265' 'Notify release channels' 'active' '16964018' 'Lint PR' 'active' '29249278' 'Stale issue handler' 'active' '14622448,SSuuppppoorrtteedd vveerrssiioonnss' 'The following table describes the versions of this project that are currently' 'supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' 'x     ' 'RReessppoonnssiibbllee ddiisscclloossuurree ppoolliiccyy' 'At Sequelize we prioritize security issues and will try to fix them as soon as' 'they are disclosed' 'If you discover a security vulnerability please reach out to the project' 'maintainers privately You can find related information in CONTACTmd' 'After validating  discussing scope of security vulnerability we will set a' 'timeframe for patch distribution This timeframe may vary depending upon the' 'nature of vulnerability' 'Once affected versions are patched you may report security issue to any Nodejs' 'security vulnerability database A few which we have worked with in past are' 'listed below' '     NPM' '     Snykio
ClickHouse/ClickHouse,Pull Request Labeler' 'active' '233276' 'Docker Container Scan (clickhouse-server)' 'active' '1776438' 'Ligthweight GithubActions' 'active' '13027294' 'Ligthweight GithubActions' 'active' '13201513' 'Ligthweight GithubActions' 'active' '13241696' 'Cancel' 'active' '14586616' 'PublishedReleaseCI' 'active' '14738810' 'ReleaseBranchCI' 'active' '15516108' 'MasterCI' 'active' '15522500' 'BackportPR' 'active' '15797242' 'DocsCheck' 'active' '15834118' 'PullRequestCI' 'active' '16441423' 'WoboqBuilder' 'active' '16670523' 'JepsenWorkflow' 'active' '16858065' 'DocsReleaseChecks' 'active' '18247056' 'TagsStableWorkflow' 'active' '19158988' 'NightlyBuilds' 'active' '19648732' 'Debug' 'active' '20037910' 'CherryPick' 'active' '30537783,SSeeccuurriittyy AAnnnnoouunncceemmeennttss' 'Security fixes will be announced by posting them in the security changelog' 'SSccooppee aanndd SSuuppppoorrtteedd VVeerrssiioonnss' 'The following versions of ClickHouse server are currently being supported with' 'security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' '   ' '   ' '   ' '    ' '    ' '    ' '    ' '    ' '    ' '    ' '    ' '    ' '   ' '   ' '   ' '    ' '    ' '    ' '    ' '    ' '    ' '    ' '    ' '    ' '    ' '    ' '    ' '     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Were extremely grateful for security researchers and users that report' 'vulnerabilities to the ClickHouse Open Source Community All reports are' 'thoroughly investigated by developers' 'To report a potential vulnerability in ClickHouse please send the details about' 'it to securityclickhousecom We do not offer any financial rewards for' 'reporting issues to us using this method Alternatively you can also submit' 'your findings through our public bug bounty program hosted by Bugcrowd and be' 'rewarded for it as per the program scope and rules of engagement' 'WWhheenn SShhoouulldd II RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You think you discovered a potential security vulnerability in ClickHouse' '     You are unsure how a vulnerability affects ClickHouse' 'WWhheenn SShhoouulldd II NNOOTT RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You need help tuning ClickHouse components for security' '     You need help applying security related updates' '     Your issue is not security related' 'SSeeccuurriittyy VVuullnneerraabbiilliittyy RReessppoonnssee' 'Each report is acknowledged and analyzed by ClickHouse maintainers within ' 'working days As the security issue moves from triage to identified fix to' 'release planning we will keep the reporter updated' 'PPuubblliicc DDiisscclloossuurree TTiimmiinngg' 'A public disclosure date is negotiated by the ClickHouse maintainers and the' 'bug submitter We prefer to fully disclose the bug as soon as possible once a' 'user mitigation is available It is reasonable to delay disclosure when the bug' 'or the fix is not yet fully understood the solution is not welltested or for' 'vendor coordination The timeframe for disclosure is from immediate especially' 'if its already publicly known to  days For a vulnerability with a' 'straightforward mitigation we expect the report date to disclosure date to be' 'on the order of  days
cockroachdb/cockroach,Add issues to multi-tenant project board' 'active' '41140882' 'Mark stale backport requests' 'active' '15766140' 'bincheck' 'active' '20691575' 'Publish Cluster UI Pre-release' 'active' '39625538' 'Publish Cluster UI Release' 'active' '38027274' 'CodeQL' 'active' '24420786' 'Create doc issues on PR merge' 'active' '13991622' 'Mark stale test failure issues for KV' 'active' '19439612' 'Linter for PR Body and Commit Messages' 'active' '33635582' 'Epic + Issue Ref Linter for PR Body or Commit Messages' 'active' '21590438' 'SQLancer' 'active' '12157943' 'Mark stale issues and pull requests' 'active' '9906944,
apache/flink,Build documentation' 'active' '21778486' 'Hadoop 2.8.3/Java 8/Scala 2.12' 'active' '23336592,This is a project of the Apache Software Foundation and follows the ASF' 'vulnerability handling process' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a new vulnerability you have discovered please follow the ASF' 'vulnerability reporting process
taosdata/TDengine,Lint Commit Messages' 'active' '26144017,
osquery/osquery,build_aarch64' 'active' '7366055' 'build_x86' 'active' '8108038' 'build_x86' 'active' '14606965' 'build_aarch64' 'active' '14636013' 'cve-scan-runner' 'active' '42136854,This document contains a reference history of osquerys remediated security' 'vulnerabilities If you find a vulnerability please see' 'CONTRIBUTINGmdhowtoreportvulnerabilities for how to submit a vulnerability' 'report' 'SSeeccuurriittyy IIssssuueess' 'This document aggregates security issues weaknesses and vulnerabilities' 'affecting osquery It tracks issues in the format' 'PRNumber Title  Optional CVE  Fixed in Version  Optional Reporter' 'There are several types of issues that do not include a CVE or reporter If you' 'find a security issue and believe a CVE should be assigned please contact a' 'member of the TSC in the osquery Slack we are happy to submit the request and' 'provide attribution to you Specifically we will use the GitHub Security' 'Advisory features for CVE requests The project maintainers will tag related' 'issues and pull requests with the hardening label There may be changes with' 'this label that are not directly security issues' 'If you are editing this document please feel encouraged to change this format' 'to provide more details This is intended to be a helpful resource so please' 'keep content valuable and concise' '      osquery does not validate TLS SNI hostname  CVE  ' '       Timothy Britton of Apple' '      Migrate from boostregex to re  unresolved  Ruslan Habalov and' '      Felix Wilhelm of the Google Security Team' '      ieextensions susceptible to SQL injection  CVE  ' '       Ruslan Habalov and Felix Wilhelm of the Google Security Team' '      safariextensions should not use parent paths for privilege' '      dropping  CVE    Ruslan Habalov and Felix Wilhelm of' '      the Google Security Team' '      knownhosts should drop privileges  CVE   ' '      Ruslan Habalov and Felix Wilhelm of the Google Security Team' '      libxml v and libarchive v updated  ' '      augeas v mitigates CVE    Ruslan Habalov' '      and Felix Wilhelm of the Google Security Team' '      Bad output size for TLS compression    Facebook Whitehat' '      Multiple fixes to macOS crashes    Facebook Whitehat and' '      zzuf' '      Add size checks to packagebom    Facebook Whitehat' '      readFile TOCTOU error    NCC Group' '      Uncaught exception in config JSON parsing    NCC Group' '      Various comparisons of integers of different signs    NCC' '      Group' '      Add restricted permissions to RocksDB    Anonymous security' '      review' '      Add hardening compile flags and fPIE    Anonymous security' '      review' '      Add restricted permissions to osqueryd logging  
