author_repo,wf_contents,security_policy
twbs/bootstrap,JS Tests' 'active' '72792' 'Lint' 'active' '72793' 'BrowserStack' 'active' '72794' 'CSS' 'active' '72796' 'Docs' 'active' '72798' 'Tests' 'active' '157748' 'CSS (Dart Sass)' 'active' '430636' 'Release notes' 'active' '900394' 'Bundlewatch' 'active' '1030890' 'CodeQL' 'active' '1149056' 'CSS (node-sass)' 'active' '2687666' 'Tests' 'active' '14425510' 'cspell' 'active' '16687980' 'Close Issue Awaiting Reply' 'active' '20412350' 'Issue Labeled' 'active' '20412351' 'pages-build-deployment' 'active' '20412443' 'Compress Images' 'active' '26633268,The Bootstrap team and community take security issues in Bootstrap seriously' 'We appreciate your efforts to responsibly disclose your findings and will make' 'every effort to acknowledge your contributions' 'To report a security issue email securitygetbootstrapcom and include the' 'word SECURITY in the subject line' 'Well endeavor to respond quickly and will keep you updated throughout the' 'process
bailicangdu/vue2-elm,Close Inactive Issue' 'active' '13100854,
tabler/tabler,Test build' 'active' '340280' 'Bundlewatch' 'active' '38360226' 'Changed lock files' 'active' '39303034,We take security very seriously and ask that you follow the following process' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think you may have found a security bug we ask that you privately send' 'the details to supporttablerio Please make sure to use a descriptive title' 'in the email
IanLunn/Hover,pages-build-deployment' 'active' '37170221,
akveo/ngx-admin,Deploy to demo (azure storage)' 'active' '10692855' '.github/workflows/demoDeploy.yml' 'active' '1282857' 'Deploy docs' 'active' '1293209' 'pages-build-deployment' 'active' '19267493,
palantir/blueprint,,
chatwoot/chatwoot,Publish Codespace Base Image' 'active' '10861365' 'buildx' 'active' '13899901' 'Publish Chatwoot CE docker images' 'active' '23397801' 'Run Chatwoot CE spec' 'active' '23397831' 'Run Linux nightly installer' 'active' '31592676' 'Lock Threads' 'active' '31934677,keep Chatwoot and our users safe If you have found an issue in our systems' 'applications please reach out to us' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We use huntrdev for security issues that affect our project If you believe' 'you have found a vulnerability please disclose it via this form This will' 'enable us to review the vulnerability fix it promptly and reward you for your' 'efforts' 'If you have any questions about the process contact securitychatwootcom' 'Please try your best to describe a clear and realistic impact for your report' 'and please dont open any public issues on GitHub or social media were doing' 'our best to respond through Huntr as quickly as possible' '     Note Please use the email for questions related to the process' '     Disclosures should be done via huntrdev' 'SSuuppppoorrtteedd vveerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'latest  ' 'latest ' 'VVuullnneerraabbiilliittiieess wwee ccaarree aabboouutt ' '     Note Please do not perform testing against Chatwoot production' '     services Use a selfhosted instance to perform tests' '     Remote command execution' '     SQL Injection' '     Authentication bypass' '     Privilege Escalation' '     Crosssite scripting XSS' '     Performing limited admin actions without authorization' '     CSRF' 'You can learn more about our triaging process here' 'NNoonnQQuuaalliiffyyiinngg VVuullnneerraabbiilliittiieess' 'We consider the following out of scope though there may be exceptions
primer/css,CI' 'active' '39882' 'CI' 'active' '129648' 'Primer CSS' 'active' '7019904' 'Release' 'active' '7170599' 'Release' 'active' '7201107' 'Release' 'active' '7507134' 'Deploy' 'active' '7537402' 'Deploy' 'active' '7539828' 'Deploy' 'active' '7565239' 'Stale' 'active' '7577711' 'Triage' 'active' '7614155' 'Welcome' 'active' '7692171' 'Bundle stats' 'active' '7777125' 'Welcome' 'active' '7782509' 'Next Major Pull Request' 'active' '16010216' 'axe' 'active' '23290586' 'pages-build-deployment' 'active' '24453978' 'CodeQL' 'active' '24881011,
stylelint/stylelint,CI' 'active' '195721' 'Code Scanning' 'active' '1753307' 'Testing' 'active' '1753310' 'Releasing' 'active' '32689967' 'Preparing GitHub Release' 'active' '36113873,Please send an email to stylelintgmailcom if you discover a security issue' 'We can then assess the risk and make a fix available before we add a bug' 'report to the GitHub repository' 'Thank you for making stylelint safe for everyone
thoughtbot/bourbon,,
akveo/nebular,Deploy docs' 'active' '15882863' 'PR check' 'active' '14953242' 'pages-build-deployment' 'active' '16802842,
jonsuh/hamburgers,,
pahen/madge,,
linkedin/css-blocks,,
angular-fullstack/generator-angular-fullstack,,
elastic/eui,Changelog required' 'active' '6160364' 'Close stale issues and PRs' 'active' '6513642' 'pages-build-deployment' 'active' '16391539' 'Adds issues to project board' 'active' '41707220,Thanks for your interest in the security of our products Our security policy' 'can be found at httpswwwelasticcocommunitysecurity' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please send security vulnerability reports to our public bug bounty program or' 'to securityelasticco
maximegris/angular-electron,MacOS Build' 'active' '5791287' 'Linux Build' 'active' '5791144' 'Windows Build' 'active' '5791286' 'pages-build-deployment' 'active' '16504752,
kazzkiq/balloon.css,,
elrumordelaluz/csshake,pages-build-deployment' 'active' '23931602,
thoughtbot/neat,,
RyanFitzgerald/devportfolio,,
webpack-contrib/sass-loader,Cancel' 'active' '32399984' 'Dependency Review' 'active' '37503401' 'sass-loader' 'active' '986267,
sass/dart-sass,CI' 'active' '4796968,
fontsource/fontsource,Build and Release [Weekly]' 'active' '1311183' 'Build and Release [Manual]' 'active' '1314044' 'Build and Release [Force Rebuild No Deploy] [Manual]' 'active' '2073667' 'Packager Tests' 'active' '9207293' 'Rebuild Algolia' 'active' '11885352' 'Build and Release [Force Rebuild] [Manual Republish]' 'active' '31880692' 'Website Deploy' 'active' '34087885,
KittyGiraudel/sass-boilerplate,,
twbs/rfs,Tests' 'active' '167025' 'Lint' 'active' '11814542' 'Tests' 'active' '71332,
diffplug/spotless,CI' 'active' '7518921' 'CodeQL' 'active' '2830864' 'Validate Gradle Wrapper' 'active' '394527,
mojotech/jeet,,
Chalarangelo/mini.css,,
modularcode/modular-admin-html,,
matejlatin/Gutenberg,,
olefredrik/FoundationPress,,
nas5w/100-days-of-code-frontend,,
smartstore/SmartStoreNET,,
eduardoboucas/include-media,pages-build-deployment' 'active' '16485555,
ethantw/Han,,
sunniejs/vue-h5-template,deployment' 'active' '32770894' 'pages-build-deployment' 'active' '32771247,
LukyVj/family.scss,pages-build-deployment' 'active' '23535779,
rammcodes/Dopefolio,,
RainManGO/vue3-composition-admin,Build And Deploy vue3-composition-admin' 'active' '5003862,
AudithSoftworks/Uniform,,
thedodd/trunk,CI' 'active' '2343949' 'Manual Brew' 'active' '29329925' 'Pages' 'active' '5517172' 'Release' 'active' '2563026' 'pages-build-deployment' 'active' '20699754,
symfony/webpack-encore,Testing apps' 'active' '31538984' 'High Dependencies' 'active' '12739783' 'ESLint' 'active' '12716555' 'Low Dependencies' 'active' '12739936' 'Node Tests' 'active' '12715771' 'Locked Dependencies' 'active' '12739597' 'Testing in real apps' 'active' '31541833,DO NOT PUBLISH SECURITY REPORTS PUBLICLY' 'If you found any issues that might have security implications please send a' 'report to securityatsymfonycom' 'The full Security Policy is described in the official documentation
morishitter/stylefmt,,
sl1673495/vue-netease-music,,
mdn/kuma,Docker testing' 'active' '2329374' 'Documentation Build' 'active' '2252506' 'Python Lints' 'active' '2252413,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a suspected securityrelated vulnerability within MDN Web Docs' 'please use this Bugzilla link aanndd bbeeffoorree ssuubbmmiittttiinngg it is important to click' 'the checkbox just above the Submit button entitled' 'This report is about a problem that is putting users at risk It should be kept' 'hidden from the public until it is resolved
wbkd/webpack-starter,,
leebenson/reactql,,
drublic/css-modal,,
Famolus/awesome-sass,,
svg-sprite/svg-sprite,CodeQL' 'active' '6039020' 'Lint' 'active' '6371155' 'Tests' 'active' '6039000' 'pages-build-deployment' 'active' '16868440,
DesignRevision/shards-ui,,
ericalli/static-site-boilerplate,,
abhijithvijayan/web-extension-starter,,
jenil/bulmaswatch,pages-build-deployment' 'active' '28670681,
BlazeSoftware/atoms,CI Build' 'active' '118009' 'Test Pull Request' 'active' '607849,
lusaxweb/vuesax-next,,
luangjokaj/wordpressify,,
thoughtbot/refills,,
ngx-rocket/generator-ngx-rocket,release' 'active' '870669,
flatlogic/react-dashboard,,
pankod/next-boilerplate,Node CI' 'active' '198675' 'Node CI' 'active' '63601,
welaika/wordless,Deploy to WordPress.org' 'active' '5469892' 'Test' 'active' '5469306,
ffoodd/a11y.css,Bundlewatch' 'active' '16034486' 'Docs' 'active' '15661929' 'Lint' 'active' '15661931' 'Sass' 'active' '15661930' 'pages-build-deployment' 'active' '21093945,
thoughtbot/bitters,,
SassDoc/sassdoc,,
devlint/gridlex,,
BootstrapDash/StarAdmin-Free-Bootstrap-Admin-Template,,
flatlogic/sing-app,,
ngx-rocket/starter-kit,,
medialize/sass.js,,
nzbin/three-dots,pages-build-deployment' 'active' '41051848,
digicorp/propeller,,
inkline/inkline,Build' 'active' '684483,
twbs/bootstrap-npm-starter,CI' 'active' '1189612,
moesaid/cleopatra,,
Spiderpig86/Cirrus,CI' 'active' '12854221' 'pages-build-deployment' 'active' '16993836,
envygeeks/jekyll-assets,,
adminkit/adminkit,,
tr1s/tris-webpack-boilerplate,,
brainhubeu/react-carousel,,
CreativeIT/material-angular-dashboard,,
ModusCreateOrg/budgeting,,
mrmckeb/typescript-plugin-css-modules,CI' 'active' '167122' 'CI' 'active' '88354,
josephfusco/angled-edges,,
TowhidKashem/snapchat-clone,pages-build-deployment' 'active' '21673323,
ConciseCSS/concise.css,,
W3cplus/SassMagic,pages-build-deployment' 'active' '21910926,
nrandecker/particle,,
Andy-set-studio/hylia,,
gma/nesta,run-tests' 'active' '36050781,
taniarascia/primitive,,
oruga-ui/oruga,Build Oruga' 'active' '21497910' 'Build Oruga (next)' 'active' '21824833' 'TS Check (next)' 'active' '24889042' 'Lint commits' 'active' '43737752' 'Generate new release' 'active' '43739297,
KittyGiraudel/sass-guidelines,Tests' 'active' '5865128,
livingstyleguide/livingstyleguide,,
zellwk/typi,,
select2/select2-bootstrap-theme,,
vikpe/react-webpack-typescript-starter,,
cferdinandi/gulp-boilerplate,' 'active' '138739,
sierra-library/sierra,,
