author_repo,wf_contents,security_policy
apache/spark,Close stale PRs' 'active' '36644' 'master' 'active' '164376' 'Report test results' 'active' '2195760' 'Build and test' 'active' '2232286' 'On pull requests' 'active' '3393847' 'Publish Snapshot' 'active' '4074239' 'Cancelling Duplicates' 'active' '4831855' 'Run benchmarks' 'active' '7455792' 'On pull request update' 'active' '7972473' 'Update build status workflow' 'active' '8236437' 'Build and test (ANSI)' 'active' '22241501' 'Build / ANSI (master' ' Hadoop 3' ' JDK 8' ' Scala 2.12)' 'active' '28614389' 'Build (branch-3.2' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614390' 'Build (branch-3.3' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614391' 'Build / Coverage (master' ' Scala 2.12' ' Hadoop 3' ' JDK 8)' 'active' '28614392' 'Build (master' ' Scala 2.12' ' Hadoop 2' ' JDK 8)' 'active' '28614393' 'Build (master' ' Scala 2.12' ' Hadoop 3' ' JDK 11)' 'active' '28614394' 'Build (master' ' Scala 2.12' ' Hadoop 3' ' JDK 17)' 'active' '28614395' 'Build' 'active' '28614396' 'Build (master' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614397' 'Build / Cache base image' 'active' '29661594,
apache/kafka,,
apache/flink,Build documentation' 'active' '21778486' 'Hadoop 2.8.3/Java 8/Scala 2.12' 'active' '23336592,This is a project of the Apache Software Foundation and follows the ASF' 'vulnerability handling process' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a new vulnerability you have discovered please follow the ASF' 'vulnerability reporting process
scala/scala,Scala Merge CI' 'active' '5739230,
heibaiying/BigData-Notes,,
deeplearning4j/deeplearning4j,.github/workflows/test_multiple_arch.yaml' 'active' '5973097' '.github/workflows/run-amd64.yaml' 'active' '5986392' '.github/workflows/build-deploy-mac.yml' 'active' '6211797' '.github/workflows/build-deploy-windows.yml' 'active' '6211800' '.github/workflows/build-deploy-linux-arm64.yml' 'active' '6253839' '.github/workflows/build-deploy-android-arm64.yml' 'active' '6256267' '.github/workflows/build-deploy-mac-arm64.yml' 'active' '6369500' '.github/workflows/build-deploy-linux-arm32.yml' 'active' '6369501' '.github/workflows/build-deploy-android-arm32.yml' 'active' '6369502' '.github/workflows/build-deploy-linux-x86_64.yml' 'active' '6374745' '.github/workflows/cpu-sanity-check-tests.yaml' 'active' '6427670' '.github/workflows/run-gpu-tests-sanity-checks.yml' 'active' '6549520' '.github/workflows/run-cpu-tests-sanity-checks.yml' 'active' '6619331' '.github/workflows/build-deploy-android-x86.yml' 'active' '7541161' '.github/workflows/build-deploy-android-x86_64.yml' 'active' '7541162' '.github/workflows/build-deploy-cross-platform.yml' 'active' '8513174' '.github/workflows/run-cpu-integration-tests.yml' 'active' '10030139' '.github/workflows/build-deploy-linux-x86_64-compat.yml' 'active' '10383411' '.github/workflows/build-deploy-linux-cuda-10.2-arm64.yml' 'active' '12156732' '.github/workflows/build-deploy-linux-cuda-11.4.yml' 'active' '12503779' '.github/workflows/build-deploy-windows-cuda-11.4.yml' 'active' '12503780' '.github/workflows/build-deploy-linux-cuda-11.6.yml' 'active' '19650772' '.github/workflows/build-deploy-windows-cuda-11.6.yml' 'active' '19650773' '.github/workflows/build-deploy-x86_64.yaml' 'disabled_manually' '6052216' '.github/workflows/build-deploy-arm.yaml' 'disabled_manually' '6057986' '.github/workflows/build-deploy-android.yml' 'disabled_manually' '6211798' '.github/workflows/build-deploy-linux.yml' 'disabled_manually' '6211799' '.github/workflows/run-gpu-tests.yml' 'disabled_manually' '6212433' '.github/workflows/build-deploy-android-self-hosted.yml' 'disabled_manually' '6234605' '.github/workflows/build-deploy-linux-arm64-selfhosted.yml' 'disabled_manually' '6327991' '.github/workflows/build-deploy-android-arm64-self-hosted.yml' 'disabled_manually' '6341706' '.github/workflows/build-deploy-linux-arm32-selfhosted.yml' 'disabled_manually' '6341707' '.github/workflows/build-deploy-android-arm32-self-hosted.yml' 'disabled_manually' '6341708' '.github/workflows/build-deploy-linux-jetsonnano-selfhosted.yml' 'disabled_manually' '6369503' '.github/workflows/run-cpu-integratino-tests-self-hosted.yml' 'disabled_manually' '6866371,
apache/predictionio,,This is a project of the Apache Software Foundation and follows the ASF' 'vulnerability handling process' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a new vulnerability you have discovered please follow the ASF' 'vulnerability reporting process
lichess-org/lila,Lint translations' 'active' '197734' 'Build assets' 'active' '18887' 'Lint code' 'active' '5334054' 'Build server' 'active' '6363' 'Lint translations' 'active' '23778,
playframework/playframework,Check' 'active' '19129972' 'Publish' 'active' '24791794' 'Release Drafter' 'active' '6493234,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have found an issue in an Play Framework project or any of the projects' 'within the Play Framework GitHub organization that might have security' 'implications you can report it to securityplayframeworkcom We will make' 'sure those will get handled with priority Thank you for your responsible' 'disclosure
yahoo/CMAK,,
