author_repo,wf_contents,security_policy
ohmyzsh/ohmyzsh,Triage Pull Request' 'active' '148722' 'CI' 'active' '493439' 'Project tracking' 'active' '17209357,SSuuppppoorrtteedd VVeerrssiioonnss' 'At the moment Oh My Zsh only considers the very latest commit to be supported' 'We combine that with our fast response to incidents and the automated updates' 'to minimize the time between vulnerability publication and patch release' 'VVeerrssiioonn       SSuuppppoorrtteedd' 'master        ' 'other commits ' 'In the near future we will introduce versioning so expect this section to' 'change' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'DDoo nnoott ssuubbmmiitt aann iissssuuee oorr ppuullll rreeqquueesstt this might reveal the vulnerability' 'Instead you should email the maintainers directly at sseeccuurriittyyoohhmmyyzzsshh' 'We will deal with the vulnerability privately and submit a patch as soon as' 'possible' 'You can also submit your vulnerability report to huntrdev and see if you can' 'get a bounty reward
nvbn/thefuck,Tests' 'active' '5160662,
nvm-sh/nvm,Docker Image CI' 'active' '7397517' 'install script' 'active' '38695963' 'Tests: `nvm install-latest-npm`' 'active' '3762809' 'Tests: linting' 'active' '3762810' 'Node.js CI' 'active' '7397544' 'Automatic Rebase' 'active' '1156612' 'Tests: release process' 'active' '3745038' 'Require “Allow Edits”' 'active' '3436117' 'Tests: shellcheck' 'active' '3697197' 'urchin tests' 'active' '12771595' 'update readme TOC' 'active' '1156497' 'Tests on Windows: `nvm install`' 'active' '4558806,Please email ljharb or see httpstideliftcomsecurity if you have a' 'potential security vulnerability to report
git/git,CI' 'active' '911634' 'check-whitespace' 'active' '3232643' 'git-l10n' 'active' '13011788' 'C/C++ CI' 'active' '33122270,RReeppoorrttiinngg aa vvuullnneerraabbiilliittyy' 'Please send a detailed mail to gitsecuritygooglegroupscom to report' 'vulnerabilities in Git' 'Even when unsure whether the bug in question is an exploitable vulnerability' 'it is recommended to send the report to gitsecuritygooglegroupscom and' 'obviously not to discuss the issue anywhere else' 'Vulnerabilities are expected to be discussed oonnllyy on that list and not in' 'public until the official announcement on the Git mailing list on the release' 'date' 'Examples for details to include' '     Ideally a short description or a script to demonstrate an exploit' '     The affected platforms and scenarios the vulnerability might only affect' '      setups with casesensitive file systems for example' '     The name and affiliation of the security researchers who are involved in' '      the discovery if any' '     Whether the vulnerability has already been disclosed' '     How long an embargo would be required to be safe' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'There are no official Long Term Support versions in Git Instead the' 'maintenance track ie the versions based on the most recently published' 'feature release also known as  version sees occasional updates with bug' 'fixes' 'Fixes to vulnerabilities are made for the maintenance track for the latest' 'feature release and merged up to the indevelopment branches The Git project' 'makes no formal guarantee for any older maintenance tracks to receive updates' 'In practice though critical vulnerability fixes are applied not only to the' 'most recent track but to at least a couple more maintenance tracks' 'This is typically done by making the fix on the oldest and still relevant' 'maintenance track and merging it upwards to newer and newer maintenance' 'tracks' 'For example v was released to address a couple of CVEs and at the same' 'time v v v v v v v v' 'v and v were released
tldr-pages/tldr,CI' 'active' '1700977' 'Codespell' 'active' '32384006' 'PR Labeler' 'active' '15479834' 'Main Mirror' 'active' '6508373' 'Manage stale issues' 'active' '1885161,
ryanoasis/nerd-fonts,Create Casks PR' 'active' '43057539' 'Docker release' 'active' '8310783' 'Font-Patcher' 'active' '15980193' 'PackSVGs' 'active' '35257287' 'Update gh-pages' 'active' '37791882' 'Release' 'active' '16867082' 'pages-build-deployment' 'active' '17450214,
pi-hole/pi-hole,.github/workflows/base-branch-check.yml' 'active' '16504658' 'CodeQL' 'active' '13873166' 'Codespell' 'active' '24688120' 'Differential ShellCheck' 'active' '31752256' 'editorconfig-checker' 'active' '29024683' 'Check for merge conflicts' 'active' '43022900' 'Trigger: Push action' 'active' '8384935' 'Repository Smoke Tests' 'active' '13862397' 'Mark stale issues' 'active' '16342897' 'Sync Back to Development' 'active' '17735508' 'Test Supported Distributions' 'active' '3909520,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Pihole welcomes all responsible disclosures PPlleeaassee ddoo nnoott ooppeenn aann IISSSSUUEE ttoo' 'rreeppoorrtt aa sseeccuurriittyy pprroobblleemm' 'We accept disclosures via email at disclosurepiholenet
PowerShell/PowerShell,PowerShell Daily' 'active' '1356863' 'CodeQL' 'active' '3205631' 'Automatic Rebase' 'active' '11534384' 'PowerShell Experimental Features Json Update' 'active' '19164679' 'Backport PR to branch' 'active' '25088377' 'Check links for modified files' 'active' '25602642' 'PowerShell Daily Markdown Link Verification' 'active' '26302281' 'Create reminder' 'active' '26704401' 'Process reminders' 'active' '26704402,Security issues are treated very seriously and will by default takes' 'precedence over other considerations including usability performance etc' 'Best effort will be used to mitigate side effects of a security change but' 'PowerShell must be secure by default' 'RReeppoorrttiinngg aa sseeccuurriittyy vvuullnneerraabbiilliittyy' 'If you believe that there is a security vulnerability in PowerShell it mmuusstt be' 'reported using httpsakamssecureat to allow for Coordinated Vulnerability' 'Disclosure OOnnllyy file an issue if MSRC has confirmed filing an issue is' 'appropriate
GitSquared/edex-ui,Build packaged binaries' 'active' '3849248' 'CodeQL' 'active' '9130199,SSuuppppoorrtteedd VVeerrssiioonnss' 'We support the latest released version and the current development version' 'master branch' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If youre concerned about a potential or proven security vulnerability in this' 'software please get in touch by sending an email at gabrielsaillarddev' 'If your email subject contains the SECURITY tag you will be surfaced to the' 'front of my inbox and should expect a response in  hours or less The link' 'above will set you up with a subject template
google/zx,Check' 'active' '27391687' 'Dev Publish' 'active' '33463460' 'Publish' 'active' '9182860' 'Test' 'active' '9183711,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
