author_repo,wf_contents,security_policy
icsharpcode/ILSpy,CodeQL' 'active' '1510039' 'Lock threads' 'active' '2142684' 'Build XPlat Frontends' 'active' '3405802' 'Build ILSpy' 'active' '3407391' 'pages-build-deployment' 'active' '20824734' 'Generate BOM' 'active' '26830482' '.github/workflows/dependabot.yml' 'active' '30039774,
lettier/3d-game-shaders-for-beginners,,
Unity-Technologies/ml-agents,pre-commit' 'active' '2282528' 'nightly' 'active' '2308165' 'pytest' 'active' '2308918' 'Publish to PyPI (or TestPyPI)' 'active' '2831259' 'Lock Threads' 'active' '5323511' 'colab' 'active' '9437692' 'pages-build-deployment' 'active' '18799799' 'Publish HTML Docs' 'active' '40925751' 'Publish Python APIs to PyPI (or TestPyPI)' 'active' '40925752,
Perfare/AssetStudio,AssetStudioBuild' 'active' '22174350,
rocksdanister/lively,pages-build-deployment' 'active' '16918268,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the latest release of Lively will be provided with security patches old' 'releases will not be patched or supported' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Report to Awoogitgmailcom with the title Security vulnerability Lively' 'If Im free you will get reply within  hours' 'If the issue is confirmed a new release with the patch is published as soon as' 'possible depending on complexity of the issue
Tencent/xLua,build' 'active' '2994322' 'publish' 'active' '8393241' 'pages-build-deployment' 'active' '16589798,
egametang/ET,pages-build-deployment' 'active' '16649347,
jynew/jynew,,
neuecc/UniRx,,
sschmid/Entitas,Build' 'active' '40057129' 'CI' 'active' '40057130' 'Release' 'active' '40057131' 'pages-build-deployment' 'active' '33898515,
microsoft/MixedRealityToolkit-Unity,Code Validation (MRTK3)' 'active' '28618975' 'Code Validation (MRTK2)' 'active' '28619989' 'Docs Validation (MRTK2)' 'active' '28693887' 'Lint (MRTK3)' 'active' '30055931' '.github/workflows/labeler.yaml' 'active' '33010444' 'PR Labeling' 'active' '33015562' 'Issue Labeling' 'active' '33290708,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
RyanNielson/awesome-unity,,
ThusSpokeNomad/GameNetworkingResources,pages-build-deployment' 'active' '18114368,
UnityTechnologies/open-project-1,Linter' 'disabled_manually' '2890186,
Perfare/Il2CppDumper,,
Cysharp/UniTask,Build-Debug' 'active' '1302760' 'build-docs' 'active' '1268924' 'build-release' 'active' '1311789' 'Close stale issues' 'active' '4754796' 'TOC Generator' 'active' '1306124' 'pages-build-deployment' 'active' '19474177,
michidk/Unity-Script-Collection,pages-build-deployment' 'active' '36544512,
neuecc/MessagePack-CSharp,Mark stale issues and pull requests' 'active' '892711' 'unity' 'active' '42035011,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' '   ' 'x   ' 'x   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please use email to contact the projects main contributors with any' 'vulnerability you become aware of' 'Yoshifumi Kawai ilsneuecc Andrew Arnott andrewarnottgmailcom
ColinLeung-NiloCat/UnityURPToonLitShaderExample,,
mob-sakai/UIEffect,,
EllanJiang/GameFramework,,
marian42/wavefunctioncollapse,,
MirrorNetworking/Mirror,Acquire activation file' 'active' '42279377' 'CI' 'active' '251372' 'pages-build-deployment' 'active' '30066009,
anmoljagetia/Flatabulous,,
