author_repo,wf_contents,security_policy
microsoft/AirSim,clang-format Check' 'active' '9035567' 'Documentation Build & Deploy' 'active' '4325241' 'MacOS Build' 'active' '4278680' 'Ubuntu Build' 'active' '4278681' 'Windows Build' 'active' '4278682' 'pages-build-deployment' 'active' '16453740,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
heroiclabs/nakama,,
ThusSpokeNomad/GameNetworkingResources,pages-build-deployment' 'active' '18114368,
Allar/ue5-style-guide,,
nxrighthere/UnrealCLR,,
tomlooman/ActionRoguelike,,
lgsvl/simulator,,
gildor2/UEViewer,,
Tencent/sluaunreal,,
dyanikoglu/ALS-Community,,
xavier150/Blender-For-UnrealEngine-Addons,,
Gforcex/OpenGraphic,,
Phyronnaz/VoxelPlugin,,
TriAxis-Games/RuntimeMeshComponent,,
zfoo-project/zfoo,,
getnamo/TensorFlow-Unreal,,
sideeffects/HoudiniEngineForUnreal,,
AsPJT/DungeonTemplateLibrary,pages-build-deployment' 'active' '19848679,
Harrison1/unrealcpp,,
ufna/VaRest,,
iniside/ActionRPGGame,,
ProjectBorealis/PBCharacterMovement,,
gonglei007/GameDevMind,,
ashea-code/BLUI,,
deepdrive/deepdrive,,
4sval/FModel,Issue Auto Closing' 'active' '30983909' 'FModel Builder' 'active' '9301203,
SRombauts/UEGitPlugin,pages-build-deployment' 'active' '20830300,
hxhb/HotPatcher,,
adamrehn/ue4-docker,CI' 'active' '11038426' 'Deploy docs to GitHub Pages' 'active' '43141347' 'Release Drafter' 'active' '12357782,
Pantong51/GASContent,,
MothCocoon/FlowGraph,,
ryanjon2040/Unreal-Binary-Builder,.NET' 'active' '10619081,
BYU-PCCL/holodeck,Black Lint' 'active' '5167818' 'Docker build' 'active' '740562,
bw2012/UE4VoxelTerrain,,
mamoniem/UnrealEditorPythonScripts,pages-build-deployment' 'active' '17733339,
truong-bui/AsyncLoadingScreen,,
ikrima/gamedevguide,,
jinyuliao/GenericGraph,,
Jim-Kroovy/Mr-Mannequins-Tools,,
Nihlus/Launchpad,,
spatialos/UnrealGDK,,
CorrM/Unreal-Finder-Tool,,
chris-gong/flopnite-ue4,,
Jay2645/Unreal-Polygonal-Map-Gen,,
mikeroyal/Unreal-Engine-Guide,,
SiggiG/ProceduralMeshDemos,,
