author_repo,wf_contents,security_policy
digitalocean/nginxconfig.io,Deploy to DigitalOcean Spaces' 'active' '1442395' 'Test and deploy to GitHub Pages' 'active' '1442396' 'Test commit or pull request' 'active' '2733117' 'pages-build-deployment' 'active' '18012940,
benweet/stackedit,,
Automattic/wp-calypso,.github/workflows/continuous-integration.yml' 'active' '125359' 'Calculate ICFY stats' 'active' '627929' 'Editing Toolkit Plugin' 'active' '2028934' 'Lighthouse Review Requested' 'active' '2608177' 'Mark stale issues' 'active' '5729663' 'Repo gardening' 'active' '7399792' 'Is Pull Request' 'active' '7739242' 'Calypso Live' 'active' '8321569' 'Create Sentry Release' 'active' '25469451' 'Lint' 'active' '36937509,Although we strive to create the most secure products possible we are not' 'perfect If you happen to find a security vulnerability in one of our services' 'we would appreciate letting us know and allowing us to respond before' 'disclosing the issue publicly We take security seriously and we will try to' 'review and reply to every legitimate security report personally within ' 'hours Other reports submitted will not be replied to' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'WWeebb' 'Only the latest version of Calypso that is what is present in the trunk' 'branch is supported Calypso is continuously deployed shortly after each merge' 'to trunk multiple times per day' 'WWoorrddPPrreessss DDeesskkttoopp' 'Only the latest version of WordPress desktop is supported To receive security' 'updates please update to the latest available version of WordPress desktop' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Calypso is an opensource wpadmin replacement Our HackerOne program covers' 'the software' 'FFoorr rreessppoonnssiibbllee ddiisscclloossuurree ooff sseeccuurriittyy iissssuueess aanndd ttoo bbee eelliiggiibbllee ffoorr oouurr bbuugg' 'bboouunnttyy pprrooggrraamm pplleeaassee ssuubbmmiitt yyoouurr rreeppoorrtt vviiaa tthhee HHaacckkeerrOOnnee ppoorrttaall' 'Our most critical targets are' '     wordpresscom' '     cloudjetpackcom' 'For more targets see the In Scope section on HackerOne' 'PPlleeaassee nnoottee tthhaatt tthhee WWoorrddPPrreessss ssooffttwwaarree iiss aa sseeppaarraattee eennttiittyy ffrroomm AAuuttoommaattttiicc' 'PPlleeaassee rreeppoorrtt vvuullnneerraabbiilliittiieess ffoorr WWoorrddPPrreessss tthhrroouugghh tthhee WWoorrddPPrreessss FFoouunnddaattiioonnss' 'HHaacckkeerrOOnnee ppaaggee' 'GGuuiiddeelliinneess' 'Were committed to working with security researchers to resolve the' 'vulnerabilities they discover You can help us by following these guidelines' '     Follow HackerOnes disclosure guidelines' '     Pentesting Production' '          o Please sseettuupp aa llooccaall eennvviirroonnmmeenntt instead whenever possible Most of' '            our code is open source see above' '          o If thats not possible lliimmiitt aannyy ddaattaa aacccceessssmmooddiiffiiccaattiioonn to the' '            bare minimum necessary to reproduce a PoC' '          o DDoonntt aauuttoommaattee ffoorrmm ssuubbmmiissssiioonnss Thats very annoying for us' '            because it adds extra work for the volunteers who manage those' '            systems and reduces the signalnoise ratio in our communication' '            channels' '          o To be eligible for a bounty all of these guidelines must be' '            followed' '     Be Patient  Give us a reasonable time to correct the issue before you' '      disclose the vulnerability' 'We also expect you to comply with all applicable laws Youre responsible to' 'pay any taxes associated with your bounties
roots/sage,Issue closer' 'active' '180328' 'Post release topic on Discourse' 'active' '21802522' 'Formatting' 'active' '36529980' 'Pull Request Labeler' 'active' '16817416' 'Main' 'active' '5094862,
WordPress/gutenberg,Pull request automation' 'active' '9563' 'Pull request automation' 'active' '152262' 'Compressed Size' 'active' '591052' 'React Native E2E Tests (Android)' 'active' '945811' 'React Native E2E Tests (iOS)' 'active' '1264933' 'Storybook GitHub Pages' 'active' '1323666' 'Create Block' 'active' '1577457' 'Unit Tests' 'active' '1700533' 'Static Analysis (Linting' ' License' ' Type checks...)' 'active' '1700534' 'End-to-End Tests' 'active' '1701506' 'Cancel' 'active' '1743495' 'Performance Tests' 'active' '1831909' 'Build Gutenberg Plugin Zip' 'active' '3406258' 'Update Changelog and upload Gutenberg plugin to WordPress.org plugin repo' 'active' '4693447' 'React Native E2E Tests' 'active' '9240290' 'Re-run only failed jobs' 'active' '11844580' 'pages-build-deployment' 'active' '16392608' 'Publish npm packages' 'active' '17556850' 'Props Bot' 'active' '19295699' 'End-to-End Tests Playwright' 'active' '19422928' 'A11y tests for rendered blocks' 'active' '21810985' 'Stale Issue Gardening' 'active' '36738944' 'Validate Gradle Wrapper' 'active' '41971289' 'PHPUnit Tests' 'active' '43005525' 'PHP Coding Standards' 'active' '43308619' 'PHP Compatibility' 'active' '43591135,The Gutenberg team and WordPress community take security bugs seriously We' 'appreciate your efforts to responsibly disclose your findings and will make' 'every effort to acknowledge your contributions' 'To report a security issue please visit the WordPress HackerOne program
woocommerce/woocommerce,Nightly builds' 'active' '1757340' 'Run unit tests on PR' 'active' '5184888' 'Run tests against PR' 'active' '5461563' 'Run code sniff on PR' 'active' '5687250' 'Run code coverage on PR' 'active' '5687251' 'Run CI' 'active' '7081841' 'Close stale needs-feedback issues' 'active' '7344968' 'Smoke test daily' 'active' '7403132' 'Update contributor feedback labels on comment' 'active' '7623359' 'Build release zip file' 'active' '8186316' 'Pull request post-merge processing' 'active' '8287965' 'Smoke test release' 'active' '12120360' 'Run smoke tests against pull request.' 'active' '13047883' 'Mirrors' 'active' '14851902' 'Changelog' 'active' '16101036' 'Add issue triage comments.' 'active' '18570068' '.github/workflows/k6-try-action-tests.yml' 'active' '19264386' 'Add Triage Label' 'active' '20220341' '.github/workflows/project-pr-label.yml' 'active' '20390155' 'Label Pull Request Project' 'active' '20390421' 'Release: Code freeze' 'active' '20682574' 'Smoke k6 test daily' 'active' '22616531' 'Lint and tests for JS packages and woocommerce-admin/client' 'active' '22745783' 'Lint the PHP' 'active' '22817286' 'Changelogger' 'active' '23050691' 'Run lint checks potentially affecting projects across the monorepo' 'active' '23271226' 'Highlight templates changes' 'active' '23978368' 'Check daily smoke test site status.' 'active' '24401905' 'Prepare package release' 'active' '28790836' 'Package release' 'active' '30218127' 'Prime caches against trunk' 'active' '30644250' 'Release: Generate changelog' 'active' '30748709' 'Cherry Pick Tool' 'active' '31529289' 'Synchronize Dependencies with syncpack' 'active' '32796614' 'Add Community Label' 'active' '33090990' 'Run post release processes' 'active' '34291061' 'Run tests against PR in an environment with COT enabled' 'active' '34746153' 'Run daily tests in an environment with COT enabled' 'active' '35234721' '.github/workflows/build-live-branch.yml' 'active' '38658879' 'Build Live Branch' 'active' '38722247' 'Build release asset' 'disabled_manually' '1453030' 'Smoke test with Playwright daily' 'disabled_manually' '28194197' '.github/workflows/try-pr-assignment.yml' 'disabled_manually' '37383506,Full details of the Automattic Security Policy can be found on automatticcom' 'security' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'Generally oonnllyy tthhee llaatteesstt vveerrssiioonn ooff WWooooCCoommmmeerrccee hhaass ccoonnttiinnuueedd ssuuppppoorrtt If a' 'critical vulnerability is found in the current version of WooCommerce we may' 'opt to backport any patches to previous versions' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'WooCommerce is an opensource plugin for WordPress Our HackerOne program' 'covers the plugin software as well as a variety of related projects and' 'infrastructure' 'FFoorr rreessppoonnssiibbllee ddiisscclloossuurree ooff sseeccuurriittyy iissssuueess aanndd ttoo bbee eelliiggiibbllee ffoorr oouurr bbuugg' 'bboouunnttyy pprrooggrraamm pplleeaassee ssuubbmmiitt yyoouurr rreeppoorrtt bbaasseedd oonn iinnssttrruuccttiioonnss ffoouunndd oonn' 'aauuttoommaattttiiccccoommsseeccuurriittyy' 'Our most critical targets are' '     WooCommerce core this repository' '     WooCommerce Blocks and Admin packages and plugins' '     WooCommercecom  the primary marketplace and marketing site and all of' '      it subdomains eg developerwoocommercecom' '     wordpresscom  hosted WooCommerce for Business and eCommerce offering' '      on WordPresscom' 'For more targets see the In Scope section on HackerOne' 'PPlleeaassee nnoottee tthhaatt tthhee WWoorrddPPrreessss ssooffttwwaarree iiss aa sseeppaarraattee eennttiittyy ffrroomm AAuuttoommaattttiicc' 'PPlleeaassee rreeppoorrtt vvuullnneerraabbiilliittiieess ffoorr WWoorrddPPrreessss tthhrroouugghh tthhee WWoorrddPPrreessss FFoouunnddaattiioonnss' 'HHaacckkeerrOOnnee ppaaggee' 'GGuuiiddeelliinneess' 'Were committed to working with security researchers to resolve the' 'vulnerabilities they discover You can help us by following these guidelines' '     Follow HackerOnes disclosure guidelines' '     Pentesting Production' '          o Please sseettuupp aa llooccaall eennvviirroonnmmeenntt instead whenever possible Most of' '            our code is open source see above' '          o If thats not possible lliimmiitt aannyy ddaattaa aacccceessssmmooddiiffiiccaattiioonn to the' '            bare minimum necessary to reproduce a PoC' '          o DDoonntt aauuttoommaattee ffoorrmm ssuubbmmiissssiioonnss Thats very annoying for us' '            because it adds extra work for the volunteers who manage those' '            systems and reduces the signalnoise ratio in our communication' '            channels' '          o To be eligible for a bounty please follow all of these guidelines' '     Be Patient  Give us a reasonable time to correct the issue before you' '      disclose the vulnerability' 'We also expect you to comply with all applicable laws Youre responsible to' 'pay any taxes associated with your bounties
wpscanteam/wpscan,Build' 'active' '594901' 'Build Docker Images' 'active' '11835170' 'Ruby Gem' 'active' '111965' 'pages-build-deployment' 'active' '19898422,
roots/bedrock,Issue closer' 'active' '209612' 'CI' 'active' '9561625' 'Post release topic on Discourse' 'active' '33728565' 'Integration' 'active' '43413200,
timber/timber,Timber Tests' 'active' '13131413,
wp-cli/wp-cli,Automatic Merge' 'active' '8919335' 'Code Quality Checks' 'active' '1385209' 'Regenerate README file' 'active' '1399939' 'Testing' 'active' '1388395,Thanks for wanting to help keep WPCLI and the larger WordPress community' 'secure' 'The WPCLI team and WordPress community take security bugs seriously We' 'appreciate your efforts to responsibly disclose your findings and will make' 'every effort to acknowledge your contributions' 'To report a security issue please visit the WordPress HackerOne program
