author_repo,wf_contents,security_policy
microsoft/ML-For-Beginners,Mark stale issues and pull requests' 'active' '16091872' 'pages-build-deployment' 'active' '16480870' 'Lock closed issue' 'active' '21407783' 'Azure Static Web Apps CI/CD' 'active' '30467634,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
Avik-Jain/100-Days-Of-ML-Code,,
jakevdp/PythonDataScienceHandbook,CI' 'active' '6501179,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
apachecn/ailearning,pages-build-deployment' 'active' '17273824,
ageron/handson-ml,,
donnemartin/data-science-ipython-notebooks,,
onnx/onnx,WindowsRelease' 'active' '2950668' 'MacRelease' 'active' '2950670' 'Weekly CI with latest onnx.checker' 'active' '3986705' 'LinuxRelease_x86_64' 'active' '5315696' 'Windows_No_Exception_CI' 'active' '5701766' 'LinuxRelease_aarch64' 'active' '7888084' 'Lint' 'active' '28611065' 'Mark stale issues and pull requests' 'active' '28932644' 'pages-build-deployment' 'active' '32300056' 'CodeQL' 'active' '35265654' 'Generate and publish ONNX docs' 'active' '36263337,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think you have found a security vulnerability please send a report to' 'onnxsecuritylistslfaidatafoundation Please do not post security' 'vulnerabilities on Slack' 'We dont currently have a PGP key unfortunately' 'An ONNX committer will send you a response indicating the next steps in' 'handling your report After the initial reply to your report the committer' 'will keep you informed of the progress towards a fix and full announcement and' 'may ask for additional information or guidance' 'Important Please dont disclose the vulnerability before it has been fixed and' 'announced to protect our users' 'SSeeccuurriittyy aannnnoouunncceemmeennttss' 'Please subscribe to the announcements mailing list where we post notifications' 'and remediation details for security vulnerabilities
virgili0/Virgilio,Build and deploy an updated version of the website' 'active' '1211285,
ml-tooling/best-of-ml-python,update-best-of-list' 'active' '4280326,
rasbt/python-machine-learning-book,,
dask/dask,Upstream' 'active' '6923585' 'Additional' 'active' '6923586' 'Tests' 'active' '6923587' 'Linting' 'active' '6923588' 'Check for gpuCI updates' 'active' '14306281' 'Label stale issues and PRs' 'active' '14370518' 'Conda build' 'active' '16139711' 'Issue and PR Labeler' 'active' '20841771' 'PR Labeler' 'active' '20841772' '.github/workflows/dependabot.yml' 'active' '36550866,security and follow the instructions there
EpistasisLab/tpot,build-docs' 'active' '28284325' 'pages-build-deployment' 'active' '26523701,
Yorko/mlcourse.ai,pre-commit' 'active' '16117643' 'pages-build-deployment' 'active' '16393876,
microsoft/onnxruntime,Add documentation issues to docs project' 'active' '42934311' 'Lint Python with black' 'active' '24715424' 'cffconvert' 'active' '24118114' 'CheckLinks' 'active' '14644746' 'CodeQL' 'active' '33652257' 'Lint cpp with cpplint' 'active' '24717342' 'DevSkim' 'active' '25326660' 'Lint js with eslint' 'active' '24717227' 'Windows GPU CI Pipeline' 'active' '36925797' 'Lint Python with flake8' 'active' '24716654' 'Windows GPU CI Pipeline' 'active' '36932235' 'Lint Python with isort' 'active' '24715682' 'Issue Labeler' 'active' '34289079' 'Lint' 'active' '24749466' 'Linux_CI' 'active' '27408708' 'Lint cpp with cpplint' 'active' '24717067' 'Microsoft C++ Code Analysis' 'active' '25326743' 'OSSAR' 'active' '25326790' 'Update C/C++ API Docs' 'active' '16184819' 'Update C# API Docs' 'active' '33264872' 'Update Java API Docs' 'active' '32288546' 'Update Python API Docs' 'active' '17309831' 'Windows_CI' 'active' '30160212' 'pages-build-deployment' 'active' '16391954,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
ljpzzz/machinelearning,,
rasbt/python-machine-learning-book-2nd-edition,,
automl/auto-sklearn,Publish Docker image' 'active' '1976618' 'dist-check' 'active' '3569196' 'Docs' 'active' '3569197' 'Tests' 'active' '3569198' 'pre-commit' 'active' '3689309' 'Close stale issues' 'active' '8217802' 'Generate Baselines' 'active' '12804071' 'Regression Tests' 'active' '13167158' 'pages-build-deployment' 'active' '16681292' 'cffconvert' 'active' '19441892' 'Pre-commit auto-update' 'active' '31595780,
alteryx/featuretools,Build Docs' 'active' '8775928' 'Install Test' 'active' '26066510' 'Lint Check' 'active' '26066553' 'Release Notes Updated' 'active' '26066581' 'Unit Tests - Latest Dependencies' 'active' '26066596' 'Unit Tests - Minimum Dependencies' 'active' '26066600' 'Auto Approve Dependency PRs' 'active' '26069050' 'Kickoff EvalML Unit Tests' 'active' '26069051' 'Latest Dependency Checker' 'active' '26069052' 'Minimum Dependency Checker' 'active' '26069053' 'performance-check' 'active' '26069054' 'Release' 'active' '26069055' 'Unit Tests - Featuretools with Woodwork main branch' 'active' '26069056' 'Create Feedstock PR' 'active' '30808018' 'Test without Test Dependencies' 'active' '33820554' 'Tests' 'disabled_manually' '3653904' 'Broken link check' 'disabled_manually' '26403086,
sktime/sktime,Install and test' 'active' '17190997' 'Build wheels and publish to PyPI' 'active' '19090561' 'Cancel Workflows on Push' 'active' '19957802' 'Update Contributors' 'active' '40784401' 'ci-windows' 'disabled_manually' '12273589' 'ci-macos' 'disabled_manually' '12273675' 'ci' 'disabled_manually' '12278025,
interpretml/interpret,,
autogluon/autogluon,Build Latest Image' 'active' '41138460' 'Run CodeGuru Reviewer' 'active' '34970807' 'Code scanning - action' 'active' '1484126' 'Continuous Integration' 'active' '29178403' 'Unit Test Cross Platforms' 'active' '16645985' 'Platform Tests' 'active' '17138613' 'Pypi Release' 'active' '1257799' 'Upload Python Package' 'active' '943339' 'TestPypi Release' 'active' '6257342' 'Slash Command Dispatch' 'active' '17130624,
skorch-dev/skorch,HF integration tests' 'active' '37101388' 'tests' 'active' '4120113,
apachecn/sklearn-doc-zh,pages-build-deployment' 'active' '17629321,
PipelineAI/pipeline,,
biolab/orange3,Automatic Rebase' 'active' '6637365' 'Test' 'active' '7182595' 'Documentation workflow' 'active' '7425218' 'Cancel' 'active' '8156956' 'Build wheels' 'active' '16602120,
DistrictDataLabs/yellowbrick,Yellowbrick CI' 'active' '6584709' 'Yellowbrick PR Linting' 'active' '32625924,
Nyandwi/machine_learning_complete,pages-build-deployment' 'active' '22261124,
rasbt/python-machine-learning-book-3rd-edition,,
justmarkham/scikit-learn-videos,,
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,Python application' 'active' '52566,
microsoft/hummingbird,Build' 'active' '750911' 'pages-build-deployment' 'active' '17596384,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts Microsofts definition of a security' 'vulnerability of a security vulnerability please report it to us as described' 'below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'the Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
nidhaloff/igel,build' 'active' '10361656,
ml-tooling/ml-workspace,build-pipeline' 'active' '3708354' 'close-stale-issues' 'active' '4215926' 'pr-labeler' 'active' '4215927' 'release-pipeline' 'active' '4215928,SSuuppppoorrtteedd VVeerrssiioonnss' 'We release security patches for the following versions' 'VVeerrssiioonn   SSuuppppoorrtteedd' ' x ' '     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you wish to report a security vulnerability  thank you  we ask that you' 'follow the following process' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess oorr' 'ddiisscclloossee tthhee vvuullnneerraabbiilliittyy ppuubblliiccllyy uunnttiill aa ffiixx iiss rreelleeaasseedd' 'Please report suspected security vulnerabilities to sseeccuurriittyymmllttoooolliinnggoorrgg' 'Please add a description of the issue the steps you took to create the issue' 'affected versions and if known mitigations or fixes for the issue We will' 'evaluate the vulnerability and if necessary release a fix or mitigating steps' 'to address it We will contact you to let you know the outcome and will credit' 'you in the report Once we have either a published a fix or b declined to' 'address the vulnerability for whatever reason you are free to publicly' 'disclose it
TeamHG-Memex/eli5,,
tirthajyoti/Machine-Learning-with-Python,pages-build-deployment' 'active' '17614613,
mars-project/mars,Mars CI Core' 'active' '4330080' 'Mars CI on Platforms' 'active' '4330081' 'Mars CI for OS compatibility' 'active' '4344509' 'Mars CD for DockerHub' 'active' '12950408' 'Mars CD for PyPI' 'active' '12950409' 'Mars Continuous Benchmark' 'active' '21368009,
scikit-optimize/scikit-optimize,,
mljar/mljar-supervised,Tests' 'active' '14715463' 'Test installation with conda' 'active' '15910458,
parrt/dtreeviz,,
BayesWitnesses/m2cgen,GitHub Actions' 'active' '1549086' 'GitHub Release' 'active' '8041871,
reiinakano/scikit-plot,,
tirthajyoti/Data-science-best-resources,pages-build-deployment' 'active' '34828870,
