author_repo,wf_contents,security_policy
bitwarden/server,Build' 'active' '1915904' 'Release' 'active' '8775421' 'Version Bump' 'active' '15775051' 'Clean After PR' 'active' '18345245' 'Container Registry Purge' 'active' '18793809' 'Enforce PR labels' 'active' '19972472' 'Workflow Linter' 'active' '20073838' 'Stop Staging Slots' 'active' '21569149' '.github/workflows/community-pr-label.yml' 'active' '25263386' 'Pull Request Labeler' 'active' '25263457' 'Automatic responses' 'active' '27892742' 'Close stale issues and PRs' 'active' '27892743' 'Protect Files' 'active' '32123124' 'Validate Database' 'active' '34387845' 'Build Packer' 'active' '36836519' 'Build Self-Host' 'active' '40703267,crucial to keeping our users safe If you believe youve found a security issue' 'in our product or service we encourage you to please submit a report through' 'our HackerOne Program We welcome working with you to resolve the issue' 'promptly Thanks in advance' 'DDiisscclloossuurree PPoolliiccyy' '     Let us know as soon as possible upon discovery of a potential security' '      issue and well make every effort to quickly resolve the issue' '     Provide us a reasonable amount of time to resolve the issue before any' '      disclosure to the public or a thirdparty We may publicly disclose the' '      issue before resolving it if appropriate' '     Make a good faith effort to avoid privacy violations destruction of' '      data and interruption or degradation of our service Only interact with' '      accounts you own or with explicit permission of the account holder' '     If you would like to encrypt your report please use the PGP key with' '      long ID xDEFFECCCDBF available in the' '      public keyserver pool' 'While researching wed like to ask you to refrain from' '     Denial of service' '     Spamming' '     Social engineering including phishing of Bitwarden staff or contractors' '     Any physical attempts against Bitwarden property or data centers' 'WWee wwaanntt ttoo hheellpp yyoouu' 'If you have something that you feel is close to exploitation or if youd like' 'some information regarding the internal API or generally have any questions' 'regarding the app that would help in your efforts please email us at https' 'bitwardencomcontact and ask for that information As stated above Bitwarden' 'wants to help you find issues and is more than willing to help' 'Thank you for helping keep Bitwarden and our users safe
dotnet/AspNetCore.Docs,Status checker' 'active' '7678192' 'generate what's new article' 'active' '10768957' 'Merge to Live' 'active' '15913580' 'bulk quest import' 'active' '39662262' 'quest import' 'active' '39662263' 'Add comment' 'active' '40495569,
aspnetboilerplate/aspnetboilerplate,build and test' 'active' '5526012,
abpframework/abp,Angular' 'active' '10629' 'Pull request labeler' 'active' '10630' 'build and test' 'active' '1299107' 'CodeQL' 'active' '2792859' 'Merge branch dev with rel-7.0' 'active' '4443022' 'Compress Images' 'active' '8268314' 'cancel-workflow' 'active' '12783018,
nopSolutions/nopCommerce,,
ElectronNET/Electron.NET,,
thangchung/clean-code-dotnet,,
RicoSuter/NSwag,build' 'active' '14910162' 'pr' 'active' '14910163,
smartstore/SmartStoreNET,,
JimBobSquarePants/ImageProcessor,,
